,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students,Not classified
2256,E02002317,0.06212835759688333,0.014353085913471396,0.04777527168341193,0.14906704941562435,0.11646503998359647,0.09083452942382612,0.07361082632766044,0.15808898913266353,0.15070740209144967,0.11728521632150912,3657.75,0.09185974984621693,0.02542546647529219,0.08181258970678695,0.07272230196158841
2257,E02002318,0.06492960706030679,0.014078587938642572,0.05085101912166422,0.1676822861945787,0.11893254885480142,0.07102332422777895,0.08026896406808152,0.16810254255095608,0.15927715906703088,0.06808152973313722,3569.25,0.044337045597814664,0.023744484135322548,0.10170203824332844,0.0904018117718475
2258,E02002319,0.09043659043659044,0.021413721413721415,0.06902286902286903,0.2153846153846154,0.11912681912681913,0.10810810810810811,0.09750519750519751,0.14573804573804575,0.13180873180873182,0.03596673596673597,3607.5,0.01808731808731809,0.01787941787941788,0.05592515592515593,0.04971124971124971
2259,E02002320,0.10865066225165564,0.02876655629139073,0.0798841059602649,0.23302980132450332,0.13451986754966888,0.10099337748344371,0.06456953642384106,0.13783112582781457,0.10513245033112582,0.05504966887417218,3624.0,0.033319536423841056,0.021730132450331126,0.06022350993377484,0.05353200883002208
2260,E02002321,0.12109033723571554,0.035296173335663115,0.08579416390005241,0.21247597413943736,0.09697710990739122,0.09051196924689849,0.053468460597588675,0.0870172986196051,0.06971867901450288,0.01834702079329023,4292.25,0.010309278350515464,0.008037742442774769,0.2503931504455705,0.22257168928495158
2261,E02002322,0.12439991651012315,0.024629513671467335,0.09977040283865582,0.24483406386975579,0.11041536213734085,0.12043414735963265,0.07409726570653308,0.12878313504487582,0.11605092882487998,0.03256105197244834,3593.25,0.019620121060321436,0.012940930912126905,0.04842412857441035,0.04304366984392031
2262,E02002323,0.1540334361304983,0.04496023372829086,0.10907320240220743,0.2556403181301737,0.1363415030027593,0.11102093815938971,0.06184061029053725,0.11102093815938971,0.08943353351728615,0.024995942217172537,4620.75,0.014445706865768545,0.010550235351403993,0.05567278039279338,0.04948691590470522
2263,E02002324,0.1141609482220836,0.034934497816593885,0.0792264504054897,0.2412143896860054,0.1258057808276149,0.10958619255562486,0.07693907257226035,0.13765855687253067,0.11000207943439384,0.02828030775629029,3606.75,0.016219588271990017,0.012060719484300271,0.05635267207319609,0.05009126406506319
2264,E02002325,0.11875101116324219,0.03429865717521437,0.08445235398802783,0.23361915547646012,0.1316939006633231,0.09949846303187186,0.07474518686296716,0.13573855363209836,0.10596990778191231,0.032519009868953244,4635.75,0.021355767675133475,0.01116324219381977,0.06746481151917165,0.0599687213503748
2265,E02002326,0.16310807836231564,0.04666519920757209,0.11644287915474356,0.28395333480079243,0.13119084305524983,0.10917895663658375,0.06075280651551838,0.09421087387189082,0.07550077041602465,0.020691173233546113,3407.25,0.01078582434514638,0.009905348888399735,0.061413163108078365,0.054589478318291876
2266,E02002327,0.14609812764794314,0.03840371737050704,0.1076944102774361,0.25365586989203226,0.12190788574552412,0.11329779964466312,0.07366406997403308,0.11534782014486812,0.1003143364766981,0.023506901735684024,5487.75,0.015990159901599015,0.007516741834085007,0.05220718873855405,0.046406389989825825
2267,E02002328,0.16257309941520467,0.04541910331384016,0.11715399610136452,0.2803118908382066,0.11832358674463937,0.1165692007797271,0.05555555555555555,0.10448343079922028,0.07953216374269007,0.023976608187134502,3847.5,0.01442495126705653,0.009551656920077973,0.05867446393762183,0.05215507905566385
2268,E02002329,0.15128032345013476,0.03986972147349506,0.11141060197663971,0.2724618149146451,0.11623989218328841,0.12398921832884097,0.05963611859838275,0.10422282120395328,0.08546720575022462,0.024146451033243487,6678.0,0.013140161725067386,0.0110062893081761,0.0625561545372866,0.05560547069981032
2269,E02002330,0.19401148482362593,0.051681706316652996,0.14232977850697293,0.26763740771123873,0.16796554552912224,0.08716160787530763,0.04573420836751436,0.10008203445447088,0.0586546349466776,0.015381460213289582,3657.0,0.010459392945036915,0.004922067268252666,0.06337161607875308,0.056330325403336066
2270,E02002331,0.10398230088495575,0.029766693483507644,0.07421560740144811,0.19288012872083668,0.12007240547063557,0.0925181013676589,0.07220434432823813,0.13515687851971037,0.13596138374899436,0.0997586484312148,3729.0,0.08769106999195495,0.012067578439259855,0.04746580852775543,0.042191829802449274
2271,E02002332,0.0991815117958594,0.021665864227250843,0.07751564756860857,0.21689937409725565,0.13288396726047183,0.11145883485796822,0.07607125662012518,0.1692344727973038,0.10351468464130958,0.03009147809340395,3115.5,0.01661049590755898,0.013480982185844969,0.06066441983630236,0.053923928743379874
2272,E02002333,0.14634568756494631,0.028403186698995497,0.11794250086595082,0.26411499826809837,0.13214409421544857,0.10478004849324558,0.060616556979563564,0.13578108763422236,0.0822653273294077,0.02112919986144787,4330.5,0.010045029442327675,0.011084170419120194,0.052822999653619675,0.046953777469884155
2273,E02002334,0.20011760094080752,0.04684437475499804,0.1532732261858095,0.26989415915327325,0.1342610740885927,0.11093688749509996,0.04429635437083497,0.10250882007056056,0.0715405723245786,0.015876127009016073,3826.5,0.01097608780870247,0.004900039200313603,0.05056840454723638,0.04494969293087678
2274,E02002335,0.22302158273381295,0.057738424644899464,0.16528315808891347,0.2912746725696366,0.11953514111787493,0.12802066039476112,0.0367090942630511,0.0772920125438111,0.04095185390149419,0.020291459140380004,4065.75,0.011437004242759638,0.008854454897620365,0.06290352333517801,0.05591424296460268
2275,E02002336,0.224342663273961,0.05216284987277354,0.17217981340118746,0.29474130619168787,0.12171331636980492,0.13083121289228158,0.03880407124681934,0.07336726039016116,0.03880407124681934,0.015691263782866838,3537.0,0.01166242578456319,0.004028837998303647,0.06170483460559797,0.05484874187164263
2276,E02002337,0.18974566007266855,0.043802987484860716,0.14594267258780783,0.29188534517561565,0.14775938635446104,0.11203068227694792,0.045619701251513926,0.08316511909568026,0.05329027048849415,0.015744852644327817,3715.5,0.008074283407347598,0.007670569236980218,0.06075898264029067,0.054007984569147266
2277,E02002338,0.1573477447516109,0.03055497817501559,0.1267927665765953,0.25649553107462064,0.15339846185824152,0.09499064643525254,0.06776138017044274,0.11827062980669299,0.07129494907503638,0.024319268343379753,3608.25,0.012055705674495947,0.012263562668883808,0.05612138848472251,0.04988567865308668
2278,E02002339,0.08652900688298919,0.019419862340216323,0.06710914454277286,0.19051130776794495,0.1415929203539823,0.08382497541789577,0.07669616519174041,0.18928220255653885,0.12856440511307768,0.046214355948869225,3051.0,0.028023598820058997,0.018190757128810225,0.056784660766961655,0.05047525401507703
2279,E02002340,0.09345339498661474,0.022876612314431735,0.07057678267218301,0.23825748357264542,0.15624239474324653,0.09759065466050133,0.0878559260160623,0.1506449257726941,0.09759065466050133,0.02482355804331954,3081.75,0.015818934047213434,0.009004623996106109,0.0535410075444147,0.0475920067061464
2280,E02002341,0.22472338801983976,0.04177794734834033,0.18294544067149943,0.283479587943533,0.13315528424265546,0.11102632582983595,0.03510110644792064,0.07058374666157954,0.03719954215948111,0.027088897367417018,3931.5,0.018313620755436855,0.00877527661198016,0.0776421213277375,0.06901521895798889
2281,E02002342,0.13032042085126733,0.027498804399808705,0.10282161645145864,0.25107604017216645,0.18436154949784792,0.08273553323768532,0.05786704925872788,0.1245815399330464,0.06551889048302248,0.03562888570062171,3136.5,0.021999043519846963,0.013629842180774749,0.06791009086561454,0.06036452521387959
2282,E02002343,0.14719127755392272,0.03531642569329225,0.11187485186063048,0.26214742830054516,0.1552500592557478,0.11163782886940034,0.05878170182507703,0.1239630244133681,0.0701588054041242,0.018961839298411946,3164.25,0.01066603460535672,0.008295804693055226,0.051908035079402705,0.046140475626135734
2283,E02002344,0.20169277867819196,0.029173419773095625,0.17251935890509634,0.27606699081577524,0.14478660183684494,0.09724473257698542,0.035476319106789125,0.0940032414910859,0.039798307221321806,0.03853772735458311,4164.75,0.02827300558256798,0.010264721772015126,0.07239330091842247,0.06434960081637553
2284,E02002345,0.2419436052366566,0.041289023162134945,0.20065458207452166,0.290785498489426,0.13267875125881168,0.09138972809667674,0.03172205438066465,0.07275931520644512,0.0377643504531722,0.03121852970795569,2979.0,0.021399798590130917,0.009818731117824773,0.06973816717019134,0.06198948192905897
2285,E02002346,0.10404087320018579,0.019507663725034836,0.08453320947515096,0.20947515095215977,0.13748258244310266,0.09057129586623316,0.07338597306084534,0.1555968416163493,0.10311193683232699,0.0568973525313516,3229.5,0.03808639108221087,0.018810961449140733,0.06943799349744542,0.06172266088661816
