,GEOGRAPHY_CODE,All categories: English as a household language,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
5920,E02006057,3410.0,0.9674486803519061,0.015542521994134898,0.0020527859237536657,0.014956011730205278
5921,E02006058,3085.0,0.9789303079416531,0.014586709886547812,0.0009724473257698541,0.005510534846029173
5922,E02006059,2673.0,0.9839132061354283,0.011597456041900486,0.0003741114852225963,0.00411522633744856
5923,E02006060,3432.0,0.9664918414918415,0.014568764568764568,0.0020396270396270395,0.0168997668997669
5924,E02006061,3791.0,0.9794249538380374,0.012397784225797943,0.0005275652862041678,0.007649696649960433
5925,E02006062,4423.0,0.9855301831336197,0.008817544652950485,0.0009043635541487678,0.004747908659281031
5926,E02006063,2748.0,0.9872634643377002,0.009097525473071324,0.001091703056768559,0.002547307132459971
5927,E02006064,3740.0,0.9751336898395722,0.009893048128342246,0.0016042780748663102,0.013368983957219251
5928,E02006065,3743.0,0.9738177932139994,0.014694095645204382,0.0021373230029388193,0.009350788137857334
5929,E02006066,3309.0,0.9930492595950439,0.0060441220912662436,0.0009066183136899365,0.0
5930,E02006067,2972.0,0.9835127860026918,0.010767160161507403,0.00033647375504710633,0.005383580080753701
5931,E02006068,3092.0,0.9628072445019404,0.01164294954721863,0.00129366106080207,0.02425614489003881
5932,E02006069,4435.0,0.9262683201803833,0.018489289740698984,0.002480270574971815,0.05276211950394589
5933,E02006070,2955.0,0.9671742808798647,0.008121827411167513,0.0020304568527918783,0.022673434856175973
5934,E02006071,3408.0,0.9706572769953051,0.01056338028169014,0.002347417840375587,0.01643192488262911
5935,E02006072,3758.0,0.9861628525811602,0.009579563597658328,0.00026609898882384245,0.003991484832357637
5936,E02006073,2960.0,0.960472972972973,0.011486486486486487,0.0033783783783783786,0.024662162162162164
5937,E02006074,3467.0,0.9740409576002308,0.010383616959907702,0.002019036631093164,0.013556388808768388
5938,E02006075,2099.0,0.9852310624106717,0.007622677465459742,0.0014292520247737017,0.005717008099094807
5939,E02006076,3660.0,0.9868852459016394,0.008469945355191256,0.000819672131147541,0.003825136612021858
5940,E02006077,2444.0,0.9799509001636661,0.008592471358428805,0.0020458265139116204,0.009410801963993453
