,GEOGRAPHY_CODE,All categories: Household composition,One family household,One family only: All aged 65 and over,One family only: Cohabiting couple,One family only: Cohabiting couple: All children non-dependent,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: No children,One family only: Lone parent,One family only: Lone parent: All children non-dependent,One family only: Lone parent: Dependent children,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: No children,One person household,One person household: Aged 65 and over,One person household: Other,Other household types,Other household types: All aged 65 and over,Other household types: All full-time students,Other household types: Other,Other household types: With dependent children
3696,E02003791,3215.0,0.702954898911353,0.09984447900466563,0.09548989113530326,0.004354587869362364,0.038880248833592534,0.05225505443234837,0.06314152410575427,0.027682737169517885,0.03545878693623639,0.44447900466562984,0.06314152410575427,0.21368584758942458,0.16765163297045102,0.25194401244167963,0.12068429237947123,0.1312597200622084,0.04510108864696734,0.002488335925349922,0.00031104199066874026,0.028926905132192846,0.013374805598755831
3697,E02003792,3829.0,0.6952206842517629,0.10942804909898146,0.08252807521546096,0.005223295899712719,0.03238443457821886,0.04492034473752938,0.0697310002611648,0.027944633063463044,0.04178636719770175,0.43353355967615564,0.06450770436145208,0.20031339775398277,0.1687124575607208,0.25698615826586574,0.13528336380255943,0.12170279446330634,0.047793157482371375,0.0020893183598850876,0.00026116479498563595,0.027422303473491772,0.01802037085400888
3698,E02003793,2871.0,0.7481713688610241,0.09508881922675026,0.09752699407871822,0.003134796238244514,0.04458376872169976,0.04980842911877394,0.08080808080808081,0.030303030303030304,0.050505050505050504,0.47474747474747475,0.07035876001393243,0.22640195053988157,0.17798676419366075,0.21177290142807384,0.09857192615813305,0.11320097526994079,0.04005572971090213,0.0010449320794148381,0.0,0.02229188436084988,0.01671891327063741
3699,E02003794,3531.0,0.6961200792976494,0.09544038516001133,0.09430756159728122,0.0033984706881903144,0.033984706881903144,0.05692438402718777,0.08156329651656755,0.029453412630982726,0.05210988388558482,0.42480883602378927,0.07278391390540924,0.18408382894364203,0.16794109317473804,0.2599830076465591,0.10846785613140754,0.15151515151515152,0.04389691305579156,0.0008496176720475786,0.0,0.024072500708014727,0.018974794675729253
3700,E02003795,2211.0,0.7259158751696065,0.11578471279963817,0.07191316146540028,0.005427408412483039,0.030303030303030304,0.03618272274988693,0.07824513794663049,0.031659882406151064,0.046585255540479424,0.4599728629579376,0.08050655811849841,0.19810040705563092,0.18136589778380824,0.22795115332428764,0.13704206241519673,0.09090909090909091,0.04613297150610583,0.0027137042062415195,0.0004522840343735866,0.024423337856173677,0.01854364540931705
3701,E02003796,3254.0,0.6278426551936078,0.12015980331899201,0.07959434542102028,0.005531653349723417,0.039028887523048554,0.03503380454824831,0.12138905961893055,0.04548248309772587,0.07590657652120467,0.30669944683466505,0.05654578979717271,0.14136447449293177,0.10878918254456055,0.3275968039336202,0.18869084204056547,0.1389059618930547,0.044560540872771975,0.003380454824830977,0.0006146281499692685,0.023355869698832205,0.017209588199139522
3702,E02003797,3990.0,0.6383458646616541,0.09674185463659148,0.09448621553884712,0.0040100250626566416,0.030325814536340853,0.06015037593984962,0.07017543859649122,0.02606516290726817,0.04411027568922306,0.3769423558897243,0.054385964912280704,0.18721804511278195,0.13533834586466165,0.2957393483709273,0.12406015037593984,0.17167919799498746,0.06591478696741855,0.002756892230576441,0.011528822055137845,0.039097744360902256,0.012531328320802004
3703,E02003798,2488.0,0.6346463022508039,0.04823151125401929,0.11655948553054662,0.007234726688102894,0.06752411575562701,0.04180064308681672,0.18287781350482316,0.04903536977491962,0.13384244372990353,0.2869774919614148,0.06471061093247589,0.12178456591639872,0.10048231511254019,0.2970257234726688,0.11133440514469453,0.18569131832797428,0.06832797427652733,0.0020096463022508037,0.0008038585209003215,0.033360128617363344,0.03215434083601286
3704,E02003799,3103.0,0.5987753786658073,0.07508862391234289,0.10183693200128907,0.007412181759587496,0.059297454076699965,0.03512729616500161,0.15565581695133743,0.05059619722848856,0.10505961972284886,0.2661940058008379,0.06284241057041573,0.10924911376087657,0.0941024814695456,0.3428939735739607,0.13309700290041895,0.20979697067354172,0.058330647760232036,0.0016113438607798904,0.0009668063164679343,0.03287141475990976,0.022881082823074442
3705,E02003800,2603.0,0.7264694583173261,0.14905877833269304,0.06069919323857088,0.002689204763734153,0.02343449865539762,0.03457548981943911,0.06607760276603919,0.027660391855551286,0.0384172109104879,0.4506338839800231,0.07260852862082212,0.20822128313484442,0.1698040722243565,0.23857087975412986,0.1409911640414906,0.09757971571263926,0.03495966192854399,0.003073376872839032,0.000384172109104879,0.018056089127929314,0.013446023818670765
