,GEOGRAPHY_CODE,All usual residents,Area (Hectares),Density (number of persons per hectare),Females,Lives in a communal establishment,Lives in a household,Males,Schoolchild or full-time student aged 4 and over at their non term-time address
4305,E02004407,1,0.9629711353431687,0.0001282873636946761,0.5232841565105837,0.01962796664528544,0.9803720333547146,0.4767158434894163,0.03643361128928801
4306,E02004408,1,0.04455524931094963,0.0028063142069656728,0.5040090202956653,0.043222250062640945,0.9567777499373591,0.49599097970433476,0.015033826108744675
4307,E02004409,1,1.4108571939871153,0.0001252684323550465,0.5080529706513959,0.06531853972798855,0.9346814602720115,0.4919470293486041,0.03095919828203293
4308,E02004410,1,1.079840235173824,0.00011503067484662577,0.5108640081799591,0.012653374233128834,0.9873466257668712,0.4891359918200409,0.02696830265848671
4309,E02004411,1,0.05046410527552579,0.002326401127952062,0.5221478087181295,0.0037598402067912113,0.9962401597932088,0.4778521912818705,0.014451885794853719
4310,E02004412,1,0.0908479155944416,0.0014153371075656203,0.5173700463201235,0.00939269171384457,0.9906073082861554,0.4826299536798765,0.016083376222336594
4311,E02004413,1,0.7416425120772947,0.00019030888596105987,0.5110525545308154,0.02532572097789489,0.9746742790221051,0.4889474454691846,0.02078758600497731
4312,E02004414,1,0.05245737211634905,0.0031929120695419594,0.5162153126044801,0.009027081243731194,0.9909729187562688,0.4837846873955199,0.019391507856904047
4313,E02004415,1,1.3903203772971215,0.00011383964872336965,0.5049601561229469,0.013986013986013986,0.986013986013986,0.4950398438770532,0.02569523499756058
4314,E02004416,1,1.326446204005589,0.00012420431609998448,0.5159136780003105,0.013662474770998292,0.9863375252290018,0.4840863219996895,0.019872690575997515
4315,E02004417,1,0.09719538188277088,0.0018294849023090588,0.5253996447602132,0.011900532859680284,0.9880994671403197,0.47460035523978683,0.008703374777975134
4316,E02004418,1,0.06640723981900452,0.0027330316742081445,0.5247058823529411,0.017556561085972852,0.9824434389140272,0.4752941176470588,0.009592760180995474
4317,E02004419,1,0.15578823132692632,0.001079076041139774,0.5359973023098972,0.013825661777103355,0.9861743382228967,0.4640026976901028,0.007250042151407857
4318,E02004420,1,1.1462753113413822,8.555946382736002e-05,0.5163038311626581,0.04468105333206578,0.9553189466679343,0.48369616883734196,0.017016826694552713
4319,E02004421,1,0.09191508817766166,0.0014239059438275637,0.5311561071195298,0.021685173089484,0.978314826910516,0.4688438928804703,0.006792945787067277
4320,E02004422,1,0.3354568501109116,0.00031689025034329775,0.5198056406464561,0.0038026830041195735,0.9961973169958804,0.4801943593535439,0.009717967677194465
4321,E02004423,1,0.14477822580645164,0.0009274193548387097,0.530241935483871,0.002553763440860215,0.9974462365591398,0.46975806451612906,0.00900537634408602
4322,E02004424,1,0.04015000700967335,0.003490817327912519,0.5053974484789009,0.0015421281368288237,0.9984578718631711,0.4946025515210991,0.02299172858544792
4323,E02004425,1,0.054461685041513545,0.002504423574247992,0.5162651422349258,0.008030488634816932,0.9919695113651831,0.4837348577650742,0.014291547570436913
4324,E02004426,1,0.04175943698016635,0.003058221369161868,0.508637236084453,0.0,1.0,0.491362763915547,0.01689059500959693
4325,E02004427,1,0.07047738693467337,0.0018778101031473155,0.5185136207352552,0.0005289605924358636,0.9994710394075641,0.4814863792647448,0.01348849510711452
4326,E02004428,1,0.031617551813471506,0.00511658031088083,0.521211139896373,0.020563471502590674,0.9794365284974094,0.4787888601036269,0.005505181347150259
4327,E02004429,1,0.11054438972447757,0.0011979235990949022,0.5129775056568614,0.00665513110608279,0.9933448688939173,0.48702249434313855,0.007453746838812725
4328,E02004430,1,0.04124286777474572,0.003001736541801042,0.5066980898040189,0.0016125031009675019,0.9983874968990325,0.49330191019598113,0.012279831307367898
4329,E02004431,1,0.0508852386726932,0.0021717561459596514,0.5096461250137801,0.00033072428618674895,0.9996692757138133,0.4903538749862198,0.008157865725939809
4330,E02004432,1,0.3051146256529309,0.0004788160185722577,0.5134939059779454,0.0007254788160185723,0.9992745211839814,0.4865060940220546,0.01465467208357516
4331,E02004433,1,0.05009174311926605,0.0023226106143305076,0.5163163395656718,0.014632446870282197,0.9853675531297178,0.4836836604343282,0.008593659273022877
