,GEOGRAPHY_CODE,Dependent children in household: Age 0 to 4,Dependent children in household: All ages,No adults in employment in household,No adults in employment in household: No dependent children,No adults in employment in household: With dependent children,One person in household with a long-term health problem or disability,One person in household with a long-term health problem or disability: No dependent children,One person in household with a long-term health problem or disability: With dependent children,count of Household; All households
2952,E02003033,0.060891226127871574,0.1383891502906172,0.2283420979795184,0.2186548574591752,0.009687240520343206,0.1430943814004982,0.12648768336562413,0.016606698034874065,1
2953,E02003034,0.11869276351230024,0.24887771592745556,0.295026036990483,0.21889028550906806,0.07613575148141498,0.23397378344406536,0.18692763512300234,0.047046148321063026,1
2954,E02003036,0.06312292358803986,0.1280347559417327,0.2979810886787631,0.2788142090467672,0.01916687963199591,0.1630462560695119,0.1469460771786353,0.016100178890876567,1
2955,E02003037,0.0554730064388311,0.1141654284299158,0.20232788509162952,0.19415552253590887,0.008172362555720654,0.12134720158494304,0.1109460128776622,0.010401188707280832,1
2956,E02003038,0.12057245080500895,0.2876565295169946,0.3012522361359571,0.26440071556350625,0.03685152057245081,0.2826475849731664,0.23828264758497317,0.0443649373881932,1
2957,E02003039,0.1426947129050597,0.29192723138146676,0.35133598635588403,0.29192723138146676,0.059408754974417284,0.28823194997157475,0.23905628197839682,0.04917566799317794,1
2958,E02003040,0.15095628415300547,0.2575136612021858,0.2893897996357013,0.232695810564663,0.05669398907103825,0.22928051001821492,0.19285063752276868,0.03642987249544627,1
2959,E02003041,0.04833836858006042,0.1148036253776435,0.24471299093655588,0.23531386371265525,0.009399127223900638,0.14434373950990265,0.1346089291708627,0.009734810339039947,1
2960,E02003043,0.04389928986442866,0.08026683882074456,0.29739616957176673,0.28039595437916937,0.017000215192597375,0.13105229180116204,0.12115343232192813,0.009898859479233914,1
2961,E02003044,0.11301233585356148,0.26740947075208915,0.25387982491046557,0.23079984082769597,0.023079984082769598,0.2216474333465977,0.1870274572224433,0.0346199761241544,1
2962,E02003045,0.055220883534136546,0.1328647925033467,0.25133868808567605,0.23728246318607765,0.014056224899598393,0.178380187416332,0.16131191432396252,0.01706827309236948,1
2963,E02003046,0.12661309958607256,0.2734355977599221,0.23301680058436816,0.1969807645483321,0.036036036036036036,0.21938154370586804,0.1745799853907962,0.04480155831507183,1
2964,E02003047,0.12203844434510505,0.23111309789897183,0.25145283862315604,0.22641931157800627,0.025033527045149755,0.21658471166741172,0.19088064371926688,0.025704067948144838,1
2965,E02003048,0.11799501867995019,0.2113947696139477,0.2213574097135741,0.19146948941469488,0.029887920298879204,0.20672478206724781,0.1790161892901619,0.027708592777085927,1
2966,E02003049,0.1364509929532351,0.2885970531710442,0.33920563741191545,0.29436258808456117,0.04484304932735426,0.28155028827674566,0.23638693145419604,0.04516335682254965,1
2967,E02003050,0.08630263766774642,0.16427579824155483,0.3000925497454882,0.27093937991670525,0.029153169828782972,0.25659416936603424,0.22906062008329478,0.02753354928273947,1
2968,E02003051,0.14588484634404805,0.2910632285411515,0.2585658777817026,0.20204874602613918,0.0565171317555634,0.2154715648180855,0.17308371600141292,0.042387848816672555,1
2969,E02003052,0.11252204585537919,0.24620811287477953,0.28818342151675486,0.2677248677248677,0.020458553791887126,0.23633156966490299,0.20423280423280424,0.03209876543209877,1
2970,E02003053,0.12956313584679832,0.2956313584679832,0.2965290245362059,0.2713943746259725,0.025134649910233394,0.25493716337522443,0.21364452423698385,0.04129263913824058,1
