,GEOGRAPHY_CODE,All categories: Long-term health problem or disability,Bad health,Day-to-day activities limited a little,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities limited a lot,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities not limited,Day-to-day activities not limited: Age 16 to 64,Fair health,Good health,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week,Provides no unpaid care,Very bad health,Very good health
1385,E02001424,13529.0,0.06874122255894745,0.10082045975312293,0.05610170744327001,0.13216054401655702,0.059723556803902726,0.7670189962303201,0.5202897479488506,0.14760884026905166,0.30408751570699977,0.05928006504545791,0.01951363737157218,0.036735900657846106,0.8844703969251239,0.020104959716165275,0.45945746174883584
1386,E02001425,10460.0,0.07084130019120459,0.10621414913957936,0.05783938814531549,0.1332695984703633,0.061376673040152964,0.7605162523900574,0.5380497131931167,0.15076481835564054,0.33231357552581264,0.07112810707456979,0.021128107074569788,0.04263862332695985,0.8651051625239006,0.022753346080305926,0.42332695984703633
1387,E02001426,5400.0,0.06055555555555556,0.11018518518518519,0.04388888888888889,0.1272222222222222,0.045925925925925926,0.7625925925925926,0.515,0.14685185185185184,0.3151851851851852,0.07740740740740741,0.022407407407407407,0.035555555555555556,0.8646296296296296,0.01888888888888889,0.4585185185185185
1388,E02001427,10213.0,0.05992362675022031,0.09967688240477822,0.05727993733476941,0.11808479389014001,0.06178400078331538,0.7822383237050817,0.5334377753843141,0.14501126015862137,0.317144815431313,0.060511113286987175,0.022520317242729855,0.04043865661411926,0.8765299128561637,0.019974542250073436,0.45794575540977184
1389,E02001428,5453.0,0.051347881899871634,0.11314872547221713,0.03741059966990647,0.11461580781221346,0.03337612323491656,0.7722354667155694,0.4971575279662571,0.1443242251971392,0.32349165596919127,0.09426004034476435,0.019438841004951402,0.03447643498991381,0.8518246836603705,0.011369888134971575,0.4694663487988263
1390,E02001429,6751.0,0.05613983113612798,0.13568360242926975,0.05125166641978966,0.1139090505110354,0.043697230039994074,0.7504073470596948,0.4757813657235965,0.16723448378018071,0.35728040290327356,0.08606132424825952,0.02073766849355651,0.0364390460672493,0.8567619611909347,0.01466449414901496,0.4046807880314028
1391,E02001430,7142.0,0.042565107812937555,0.12055446653598431,0.04718566227947354,0.09703164379725567,0.03486418370204424,0.7824138896667601,0.4995799495939513,0.1471576589190703,0.34192103052366285,0.08793055166619994,0.016942033043965275,0.03318398207784934,0.8619434332119854,0.010501260151218146,0.45785494259311116
1392,E02001431,7288.0,0.07478046103183315,0.15203073545554335,0.047063666300768386,0.16424259055982438,0.04610318331503842,0.6837266739846323,0.4281009879253567,0.19182217343578487,0.34440175631174536,0.08191547749725576,0.017151481888035128,0.02991218441273326,0.8710208562019759,0.022228320526893525,0.36676728869374314
1393,E02001432,8398.0,0.08013812812574422,0.13777089783281735,0.06823053107882829,0.15467968563943796,0.06680161943319839,0.7075494165277447,0.511193141224101,0.19195046439628483,0.3496070492974518,0.056799237913789,0.014765420338175756,0.025839485591807574,0.9025958561562277,0.020481066920695404,0.35782329125982376
1394,E02001433,7642.0,0.046061240512954724,0.09303847160429207,0.04894006804501439,0.08911279769693797,0.04671551949751374,0.81784873069877,0.5444909709500131,0.13294948966239203,0.3402250719706883,0.0736718136613452,0.015833551426328186,0.02839570792986129,0.8820989269824653,0.014524993457210155,0.46623920439675476
1395,E02001434,7210.0,0.03938973647711512,0.0941747572815534,0.052704576976421634,0.09084604715672677,0.04563106796116505,0.8149791955617198,0.5597780859916782,0.1319001386962552,0.341747572815534,0.06879334257975035,0.01622746185852982,0.023994452149791956,0.8909847434119279,0.011373092926490984,0.4755894590846047
1396,E02001435,8058.0,0.055224621494167285,0.09816331595929512,0.05373541821792008,0.10821543807396376,0.05187391412261107,0.7936212459667411,0.54132539091586,0.14259121370067016,0.33420203524447756,0.06862745098039216,0.014023330851327873,0.02469595433109953,0.8926532638371805,0.01600893521965748,0.45197319434102756
