,GEOGRAPHY_CODE,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations,All categories: Occupation
5855,E02005992,0.15628463755264907,0.26313455996453117,0.13145643981378852,0.11084016847705609,0.0946575038794059,0.07093770782531589,0.05963201064065617,0.0436710263799601,0.06938594546663711,1
5856,E02005993,0.10979228486646884,0.17922848664688426,0.11038575667655787,0.09821958456973294,0.14896142433234422,0.1201780415430267,0.06913946587537093,0.05964391691394659,0.10445103857566766,1
5857,E02005994,0.15781151170145477,0.20398481973434535,0.13345983554712207,0.0961416824794434,0.15370018975332067,0.0825426944971537,0.04269449715370019,0.04174573055028463,0.08791903858317521,1
5858,E02005995,0.17130257801899593,0.2092944369063772,0.1346675712347354,0.09497964721845319,0.13738127544097695,0.08616010854816825,0.051560379918588875,0.047150610583446405,0.0675033921302578,1
5859,E02005996,0.1397112796672376,0.26058233423048693,0.13750917543430388,0.09958404697822364,0.11524345485686323,0.07780768289699046,0.048446293124541226,0.04526547589919256,0.0758502569121605,1
5860,E02005997,0.12482710926694329,0.2327109266943292,0.1421161825726141,0.10304287690179806,0.13174273858921162,0.08575380359612725,0.05636237897648686,0.04426002766251729,0.07918395573997233,1
5861,E02005998,0.14086841233012926,0.2489227709645343,0.14219423268147166,0.114683460391117,0.11269472986410341,0.07756049055353,0.05568445475638051,0.052701358965860125,0.05469008949287372,1
5862,E02005999,0.16069816430935902,0.18597652723442673,0.11044237135118869,0.10833584110743304,0.14775804995486005,0.08125188083057479,0.05627445079747216,0.06409870598856456,0.08516400842612097,1
5863,E02006000,0.12157456472369417,0.20711582134746404,0.13853141559424678,0.11097653292959879,0.10870552611657835,0.08508705526116578,0.07645722937168811,0.06313398940196821,0.08841786525359577,1
5864,E02006001,0.10446821900566394,0.15481434864694776,0.11548143486469478,0.14128382630585273,0.14537444933920704,0.07960981749528005,0.08653241032095657,0.07268722466960352,0.09974826935179358,1
5865,E02006002,0.10158013544018059,0.1598946576373213,0.11869826937547028,0.10609480812641084,0.1318660647103085,0.0963130173062453,0.08502633559066967,0.08239277652370203,0.1181339352896915,1
5866,E02006003,0.1226752503576538,0.19957081545064378,0.1223175965665236,0.1072961373390558,0.1402002861230329,0.07904148783977111,0.06688125894134478,0.06437768240343347,0.09763948497854077,1
