,GEOGRAPHY_CODE,All usual residents aged 16+,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,In a registered same-sex civil partnership,Married,Separated (but still legally married or still legally in a same-sex civil partnership),Single (never married or never registered a same-sex civil partnership),Widowed or surviving partner from a same-sex civil partnership
6602,E02006744,5783.0,0.10686494898841432,0.0017292062943109112,0.36209579802870484,0.03250907833304513,0.44198512882586893,0.05481583952965589
6603,E02006745,6512.0,0.085995085995086,0.0009213759213759214,0.5373157248157249,0.019502457002457004,0.27595208845208846,0.08031326781326781
6604,E02006746,6286.0,0.09163219853643016,0.002068087814190264,0.48234171174037543,0.02338530066815145,0.3320076360165447,0.06856506522430798
6605,E02006747,4680.0,0.09252136752136753,0.0008547008547008547,0.5405982905982906,0.01730769230769231,0.29786324786324786,0.050854700854700854
6606,E02006748,5587.0,0.08770359763737247,0.0007159477358152855,0.5724002147843208,0.017898693395382137,0.24163236083765885,0.07964918560945052
6607,E02006749,4197.0,0.12365975696926376,0.0014295925661186562,0.4662854419823684,0.03359542530378842,0.31379556826304505,0.06123421491541577
6608,E02006750,4592.0,0.101698606271777,0.0008710801393728223,0.47952961672473865,0.02547909407665505,0.28222996515679444,0.11019163763066202
6609,E02006751,4878.0,0.0965559655596556,0.0026650266502665026,0.4977449774497745,0.02111521115211152,0.27613776137761376,0.1057810578105781
6610,E02006752,5512.0,0.08200290275761973,0.00090711175616836,0.627177068214804,0.017779390420899856,0.21806966618287374,0.05406386066763425
6611,E02006753,5194.0,0.08914131690412014,0.0030804774740084712,0.6033885252214093,0.016172506738544475,0.21678860223334617,0.07142857142857142
6612,E02006754,4500.0,0.07511111111111111,0.0028888888888888888,0.638,0.014888888888888889,0.21266666666666667,0.05644444444444444
6613,E02006755,4575.0,0.06907103825136612,0.0017486338797814208,0.6511475409836066,0.0126775956284153,0.19344262295081968,0.07191256830601093
6614,E02006756,4285.0,0.09381563593932322,0.0018669778296382731,0.582730455075846,0.013302217036172695,0.24364060676779464,0.06464410735122521
6615,E02006757,5806.0,0.08370651050637272,0.0006889424733034792,0.6021357216672408,0.01636238374095763,0.21357216672407853,0.08353427488804685
6616,E02006758,4674.0,0.10611895592640137,0.0014976465554129225,0.5408643560119811,0.023320496362858364,0.26743688489516476,0.06076166024818143
6617,E02006759,6041.0,0.11041218341334216,0.0008276775368316504,0.5024002648568118,0.01936765436186062,0.2582353914914749,0.10875682833967885
6618,E02006760,6611.0,0.08591741037664498,0.0016638935108153079,0.5692028437452731,0.02389956133716533,0.2400544546967176,0.07926183633338375
6619,E02006761,4834.0,0.12970624741414977,0.0018618121638394704,0.3694662805130327,0.03516756309474555,0.37856847331402566,0.08522962350020687
6620,E02006762,4730.0,0.09661733615221987,0.0021141649048625794,0.5577167019027485,0.02029598308668076,0.2528541226215645,0.0704016913319239
6621,E02006763,5303.0,0.087686215349802,0.0011314350367716388,0.544785970205544,0.020931548180275317,0.27399585140486515,0.07146897982274185
6622,E02006764,4374.0,0.11156835848193873,0.002286236854138089,0.47233653406492915,0.026748971193415638,0.32510288065843623,0.061957018747142205
6623,E02006765,5076.0,0.08786446020488574,0.0031520882584712374,0.5659968479117415,0.020685579196217493,0.22044917257683216,0.10185185185185185
6624,E02006766,6270.0,0.0759170653907496,0.0014354066985645933,0.6328548644338118,0.017065390749601277,0.1963317384370016,0.07639553429027113
6625,E02006767,7388.0,0.09136437466161343,0.0013535462912831618,0.5518408229561451,0.0234163508391987,0.23890092041147806,0.09312398484028153
6626,E02006768,5659.0,0.09188902632974023,0.0010602579961123874,0.5446191906697296,0.01714083760381693,0.2689521116805089,0.0763385757200919
6627,E02006769,5969.0,0.09046741497738314,0.0015077902496230524,0.5096331043725917,0.027140224493214946,0.30440609817389847,0.06684536773328865
6628,E02006770,5654.0,0.1259285461620092,0.001238061549345596,0.35461620091970286,0.036434382737884685,0.41475061903077465,0.06703218960028298
6629,E02006771,5594.0,0.09742581337146942,0.0010725777618877368,0.5493385770468359,0.025563103324991062,0.24562030747229174,0.08097962102252414
6630,E02006772,5430.0,0.09429097605893186,0.0009208103130755065,0.5077348066298343,0.019152854511970532,0.27753222836095764,0.1003683241252302
6631,E02006773,6978.0,0.12138148466609344,0.0017196904557179708,0.4603038119805102,0.02722843221553454,0.3023789051304099,0.08698767555173402
6632,E02006774,6073.0,0.12761402931006094,0.002634612218014161,0.4230199242548987,0.03178000987979582,0.3487567923596246,0.06619463197760579
6633,E02006775,3965.0,0.12383354350567466,0.0015132408575031526,0.38461538461538464,0.034047919293820936,0.38486759142496846,0.07112232030264817
6634,E02006776,5448.0,0.10480910425844346,0.0018355359765051395,0.5216593245227606,0.021475770925110133,0.29919236417033773,0.05102790014684288
6635,E02006777,6172.0,0.09526895657809462,0.0006480881399870382,0.568049254698639,0.027381723914452365,0.22537265068049256,0.08327932598833442
6636,E02006778,5652.0,0.093241330502477,0.0007077140835102619,0.5383934890304317,0.018577494692144373,0.2489384288747346,0.10014154281670205
6637,E02006779,6312.0,0.10535487959442331,0.0003168567807351077,0.5125158428390367,0.02709125475285171,0.27899239543726234,0.07572877059569075
6638,E02006780,4896.0,0.10620915032679738,0.0012254901960784314,0.5112336601307189,0.01838235294117647,0.26858660130718953,0.09436274509803921
6639,E02006781,1857.0,0.09477652127086698,0.0,0.535271943995692,0.01723209477652127,0.2708669897684437,0.08185245018847603
6640,E02006782,6062.0,0.08066644671725504,0.0013196964698119432,0.47937974265918837,0.0326624876278456,0.33157373804025075,0.0743978884856483
6641,E02006783,5246.0,0.09817003431185665,0.0019062142584826535,0.3551277163553183,0.04765535646206634,0.4323293938238658,0.06481128478841022
6642,E02006784,5722.0,0.09979028311779098,0.002446696959105208,0.358441104508913,0.049982523593149246,0.4140160782943027,0.0753233135267389
6643,E02006785,5174.0,0.07962891379976807,0.00038654812524159255,0.4798994974874372,0.0260919984538075,0.33243138770776964,0.08156165442597603
6644,E02006786,5215.0,0.08916586768935762,0.0015340364333652923,0.39079578139980825,0.04276126558005753,0.42070949185043144,0.05503355704697987
6645,E02006787,5924.0,0.07629979743416611,0.002363268062120189,0.5079338284942606,0.02363268062120189,0.3301823092505064,0.05958811613774477
6646,E02006788,5590.0,0.10554561717352415,0.0017889087656529517,0.3481216457960644,0.04508050089445438,0.4511627906976744,0.04830053667262969
6647,E02006789,5311.0,0.07832799849369233,0.0013180192054227076,0.571267181321785,0.02146488420259838,0.2564488796836754,0.07117303709282621
6648,E02006790,6115.0,0.09043336058871627,0.001635322976287817,0.5097301717089125,0.02632869991823385,0.2793131643499591,0.09255928045789043
6649,E02006791,5629.0,0.07727837981879553,0.012080298454432403,0.3590335761236454,0.024160596908864806,0.49209451057026116,0.03535263812400071
6650,E02006792,7243.0,0.07648764324175066,0.007317409913019467,0.34502278061576697,0.028165124948225873,0.4921993649040453,0.050807676377191774
6651,E02006793,6526.0,0.09439166411277965,0.0010726325467361323,0.3852283174992338,0.05730922463990193,0.41572172847073247,0.046276432730616
6652,E02006794,5313.0,0.09674383587427066,0.002258610954263128,0.31959345002823264,0.06549971767363072,0.47299077733860345,0.04291360813099943
6653,E02006795,6405.0,0.0399687743950039,0.000624512099921936,0.5831381733021077,0.018110850897736144,0.30398126463700237,0.054176424668227946
6654,E02006796,6675.0,0.08209737827715356,0.00149812734082397,0.4764044943820225,0.03176029962546816,0.34322097378277155,0.0650187265917603
6655,E02006798,6044.0,0.08338848444738584,0.003970880211780278,0.263898080741231,0.052448709463931174,0.5628722700198544,0.03342157511581734
6656,E02006799,7210.0,0.08737864077669903,0.0006934812760055479,0.4192787794729542,0.03661581137309293,0.3883495145631068,0.06768377253814147
6657,E02006800,9921.0,0.05291805261566374,0.001915129523233545,0.5059973792964418,0.031750831569398244,0.36447938715855255,0.04293921983671001
6658,E02006801,7266.0,0.06771263418662263,0.011010184420589045,0.23699421965317918,0.02711257913570052,0.6257913570052298,0.03137902559867878
6659,E02006802,6769.0,0.06854779140197961,0.015511892450879007,0.19604077411729945,0.02747820948441424,0.6619884768798936,0.030432855665534053
6660,E02006803,7176.0,0.08110367892976589,0.0020903010033444815,0.56438127090301,0.023968784838350056,0.27564102564102566,0.052814938684503904
6661,E02006804,6675.0,0.09902621722846441,0.003445692883895131,0.4591760299625468,0.021872659176029964,0.32299625468164794,0.09348314606741573
6662,E02006805,6167.0,0.09842711204799741,0.0012972271769093563,0.41430192962542567,0.0319442192313929,0.3898167666612615,0.06421274525701313
6663,E02006806,6517.0,0.0954426883535369,0.0029154518950437317,0.47951511431640326,0.026239067055393587,0.30029154518950435,0.09559613319011816
6664,E02006807,6172.0,0.06124432922877511,0.001134154244977317,0.5379131561892417,0.023331173039533377,0.30946208684381077,0.0669151004536617
6665,E02006808,4834.0,0.0775755068266446,0.0012412081092263137,0.5169631774927597,0.023376086057095572,0.30823334712453454,0.07261067438973935
6666,E02006809,8074.0,0.043968293287094375,0.0003715630418627694,0.5484270497894476,0.022417636859053753,0.3251176616299232,0.05969779539261828
6667,E02006810,8267.0,0.06640861255594532,0.002540220152413209,0.5082859562114431,0.026248941574936496,0.31619692754324424,0.08031934196201766
6668,E02006811,8006.0,0.05970522108418686,0.0004996252810392206,0.6117911566325256,0.01673744691481389,0.23644766425181113,0.07481888583562328
6669,E02006812,6182.0,0.0977030087350372,0.00048527984471044967,0.47104496926560985,0.02119055321902297,0.3231963765771595,0.08637981235846004
6670,E02006813,6798.0,0.11047366872609592,0.00176522506619594,0.41394527802294795,0.02662547808178876,0.33980582524271846,0.10738452486025302
6671,E02006814,6805.0,0.08581925055106539,0.0016164584864070536,0.5384276267450404,0.0213078618662748,0.2843497428361499,0.06847905951506246
6672,E02006815,7136.0,0.09487107623318386,0.0016816143497757848,0.41746076233183854,0.02984865470852018,0.35411995515695066,0.10201793721973094
6673,E02006816,5731.0,0.061071366253707904,0.0019193857965451055,0.6115861106264178,0.018670389111847846,0.2280579305531321,0.07869481765834933
6674,E02006817,6779.0,0.058415695530314206,0.0008850862959138516,0.4130402714264641,0.02006195604071397,0.449328809558932,0.0582681811476619
6675,E02006818,6829.0,0.06662761751354518,0.002782252159906282,0.5772441060184508,0.01815785620149363,0.2517206033094157,0.08346756479718846
6676,E02006819,5878.0,0.1083701939435182,0.001531133038448452,0.35148009527050017,0.03674719292276284,0.430078257910854,0.0717931269139163
6677,E02006820,8026.0,0.07936705706454024,0.00149514079242462,0.5539496635933217,0.02093197109394468,0.2631447794667331,0.08111138798903564
6678,E02006821,5251.0,0.08074652447152923,0.0020948390782708055,0.5852218625023805,0.021138830698914493,0.23728813559322035,0.07350980765568463
6679,E02006822,7349.0,0.08939991835623895,0.0012246564158388895,0.5321812491495441,0.023404544836032114,0.2716015784460471,0.08218805279629882
6680,E02006823,6930.0,0.06421356421356421,0.00202020202020202,0.6372294372294373,0.01616161616161616,0.20836940836940837,0.072005772005772
6681,E02006824,7630.0,0.07483617300131061,0.001310615989515072,0.6043250327653997,0.02018348623853211,0.22988204456094363,0.06946264744429882
6682,E02006825,5216.0,0.07802914110429447,0.003067484662576687,0.5812883435582822,0.019938650306748466,0.24980828220858894,0.0678680981595092
6683,E02006826,8160.0,0.10747549019607844,0.001838235294117647,0.41213235294117645,0.0258578431372549,0.37426470588235294,0.0784313725490196
6684,E02006827,6169.0,0.12595234235694602,0.0008105041335710813,0.4174096287891068,0.024963527313989303,0.34381585346085264,0.08704814394553412
6685,E02006828,5454.0,0.08837550421708837,0.002016868353502017,0.5357535753575358,0.02291895856252292,0.3025302530253025,0.0484048404840484
6686,E02006829,5605.0,0.08296164139161463,0.0016057091882247993,0.592506690454951,0.017662801070472793,0.21623550401427297,0.08902765388046387
6687,E02006830,5199.0,0.11867666859011348,0.0019234468166955184,0.432198499711483,0.033852663973841124,0.3602615887670706,0.05308713214079631
6688,E02006831,5248.0,0.07926829268292683,0.0,0.5708841463414634,0.024009146341463415,0.2341844512195122,0.09165396341463415
6689,E02006832,4947.0,0.09844350111178492,0.0016171417020416413,0.5263796240145543,0.03355569031736406,0.2912876490802507,0.04871639377400445
6690,E02006833,8357.0,0.08950580351800885,0.0025128634677515855,0.5463683139882733,0.02596625583343305,0.2613378006461649,0.07430896254636832
6691,E02006834,6226.0,0.12817218117571474,0.0016061676839061998,0.34612913588178607,0.034532605203983296,0.4041117892707999,0.08544812078380983
6692,E02006835,4811.0,0.09499064643525254,0.0022864269382664726,0.5057160673456662,0.027644980253585534,0.3126169195593432,0.056744959467886096
6693,E02006836,6752.0,0.05761255924170616,0.0008886255924170616,0.5970082938388626,0.01643957345971564,0.2525177725118483,0.07553317535545023
6694,E02006837,8607.0,0.06053212501452306,0.000929476007900546,0.5910305565237597,0.01533635413035901,0.26234460322992914,0.06982688509352852
6695,E02006838,5560.0,0.06780575539568345,0.0014388489208633094,0.624820143884892,0.01852517985611511,0.20737410071942447,0.08003597122302158
6696,E02006839,6841.0,0.07688934366320713,0.00233883935097208,0.5914340008770648,0.018564537348340886,0.23242216050285047,0.07835111825756469
6697,E02006840,8667.0,0.10326525902849891,0.0033460251528787356,0.5156340140763817,0.02411445713626399,0.2756432444905965,0.07799700011538017
6698,E02006841,6704.0,0.10471360381861575,0.006115751789976134,0.22792362768496421,0.0256563245823389,0.5827863961813843,0.052804295942720764
