,GEOGRAPHY_CODE,Africa,All usual residents,Antarctica and Oceania,British Overseas Territories,Central America,Middle East and Asia,No passport,North America and the Caribbean,Other Europe: EU countries,Other Europe: Non EU countries,Republic of Ireland,South America,United Kingdom
955,E02000988,0.005114785297965981,8407.0,0.0008326394671107411,0.0,0.00011894849530153443,0.022481265611990008,0.16521945997383133,0.0008326394671107411,0.012370643511359582,0.0011894849530153444,0.0047579398120613774,0.0,0.7907695967646009
956,E02000989,0.0007279786459597186,8242.0,0.000485319097306479,0.0,0.0,0.001455957291919437,0.11963115748604708,0.0008493084202863383,0.007279786459597185,0.0007279786459597186,0.003518563455471973,0.0006066488716330988,0.8675078864353313
957,E02000990,0.0026191723415400735,7636.0,0.002750130958617077,0.0,0.0,0.00392875851231011,0.1326610790990047,0.001571503404924044,0.011262441068622316,0.0005238344683080147,0.0034049240440020955,0.00026191723415400735,0.8462545835515977
958,E02000991,0.002343139807341838,7682.0,0.0007810466024472793,0.0,0.0,0.012757094506638896,0.14319187711533454,0.0015620932048945586,0.005206977349648529,0.0002603488674824265,0.005467326217130955,0.00013017443374121324,0.8312939338713876
959,E02000992,0.0003459609064175748,5781.0,0.0013838436256702993,0.0,0.0,0.0019027849852966616,0.14668742432105172,0.0005189413596263622,0.002940667704549386,0.0003459609064175748,0.0015568240788790867,0.0,0.8463933575505967
960,E02000993,0.009381125735088211,7142.0,0.0008401008120974517,0.0002800336040324839,0.0,0.00798095771492579,0.2884346121534584,0.0011201344161299357,0.036824418930271635,0.0011201344161299357,0.00574068888266592,0.0007000840100812098,0.6527583309997199
961,E02000994,0.00530705079605762,7914.0,0.00025271670457417233,0.0,0.0,0.05547131665403083,0.20533232246651503,0.001516300227445034,0.029062421026029822,0.001516300227445034,0.0035380338640384128,0.00012635835228708617,0.7049532474096538
962,E02000995,0.00355261546000245,8163.0,0.0018375597206909224,0.0,0.00012250398137939484,0.0037976234227612396,0.20335660908979541,0.0009800318510351587,0.01776307730001225,0.0006125199068969741,0.00355261546000245,0.00012250398137939484,0.7678549552860467
963,E02000996,0.008641504638454695,7869.0,0.0002541619011310205,0.0,0.0,0.004829076121489389,0.3475663997966705,0.000508323802262041,0.031516075740246535,0.0015249714067861228,0.004447833269792858,0.0,0.602744948532215
964,E02000997,0.0017618040873854828,5676.0,0.0015856236786469344,0.0,0.0,0.0035236081747709656,0.16772374911909796,0.0029950669485553204,0.009161381254404511,0.0008809020436927414,0.0028188865398167725,0.0007047216349541931,0.813953488372093
