,GEOGRAPHY_CODE,All categories: Type of central heating in household,Average household size,Average number of bedrooms per household,Average number of rooms per household,Does have central heating,Does not have central heating,Occupancy rating (bedrooms) of -1 or less,Occupancy rating (rooms) of -1 or less
1364,E02001403,1,0.0007391763463569166,0.0008799718409010912,0.0017247448081661389,0.9405139035550862,0.05948609644491376,0.04611052446321718,0.0848292854628652
1365,E02001404,1,0.0007290015847860538,0.000855784469096672,0.0016164817749603803,0.9518225039619651,0.04817749603803487,0.044374009508716325,0.0751188589540412
1366,E02001405,1,0.0005536831969186326,0.0006259027443428021,0.001203659123736158,0.970871449205585,0.029128550794415023,0.058257101588830046,0.07871930669234473
1367,E02001406,1,0.0006386066763425255,0.000841799709724238,0.0017416545718432512,0.9831640058055152,0.01683599419448476,0.01393323657474601,0.020609579100145138
1368,E02001407,1,0.0008788689338937714,0.001108139090561712,0.002216278181123424,0.9862437905999236,0.013756209400076424,0.019870080244554833,0.02445548337791364
1369,E02001408,1,0.0010135135135135136,0.0012246621621621622,0.002533783783783784,0.9733952702702703,0.02660472972972973,0.02322635135135135,0.022381756756756757
1370,E02001409,1,0.0005317919075144508,0.0006242774566473988,0.0012485549132947977,0.9775722543352601,0.022427745664739884,0.029132947976878612,0.03329479768786127
1371,E02001410,1,0.000920736589271417,0.0010808646917534028,0.0021216973578863088,0.9795836669335468,0.020416333066453164,0.02321857485988791,0.03722978382706165
1372,E02001411,1,0.0009126984126984126,0.0010714285714285715,0.002142857142857143,0.9825396825396825,0.01746031746031746,0.025,0.03611111111111111
1373,E02001412,1,0.0006511123168746609,0.0007867607162235485,0.001573521432447097,0.9826370048833424,0.017362995116657624,0.021161150298426478,0.03879544221378188
1374,E02001413,1,0.000587515299877601,0.0006854345165238678,0.0012974296205630355,0.979436964504284,0.020563035495716035,0.03084455324357405,0.03745410036719706
1375,E02001414,1,0.0010652463382157123,0.0013759431868619618,0.0028850421660008875,0.9920106524633822,0.007989347536617843,0.012427873945849977,0.009320905459387484
1376,E02001415,1,0.0008768724881256851,0.0010230179028132991,0.002009499451954695,0.9886737303617099,0.0113262696382901,0.031786627694556084,0.0339788089148703
1377,E02001416,1,0.000905511811023622,0.0010236220472440946,0.001968503937007874,0.9700787401574803,0.029921259842519685,0.047244094488188976,0.0673228346456693
1378,E02001417,1,0.0005244272702180513,0.0006348330113165884,0.0012696660226331768,0.948385316036434,0.0516146839635661,0.03450179409329285,0.07231576041954181
1379,E02001418,1,0.0008443908323281062,0.0009650180940892642,0.001970245275432248,0.9738640932850824,0.02613590671491757,0.03337354242058705,0.049859268194611985
1380,E02001419,1,0.0006587202007528231,0.0007214554579673776,0.0014742785445420326,0.954516938519448,0.04548306148055207,0.042973651191969886,0.08186951066499373
1381,E02001420,1,0.0005289788408463661,0.0006439742410303587,0.0012879484820607174,0.9799908003679852,0.02000919963201472,0.02437902483900644,0.03288868445262189
1382,E02001421,1,0.000493774151996565,0.0005796479175611851,0.001137827393731215,0.9559896951481323,0.04401030485186776,0.0364963503649635,0.048518677544010305
1383,E02001422,1,0.0009053187476423991,0.0010184835910976991,0.0019238023387400979,0.96982270841192,0.03017729158807997,0.04602036967182195,0.07204828366654092
1384,E02001423,1,0.0009032743695897629,0.0011667293940534438,0.0023334587881068875,0.9883327060594655,0.011667293940534437,0.014678208505833647,0.020323673315769664
1385,E02001424,1,0.00042105263157894734,0.0004736842105263158,0.0009298245614035087,0.9764912280701754,0.023508771929824562,0.03368421052631579,0.052456140350877194
1386,E02001425,1,0.0005085120495246518,0.0005969489277028522,0.001149679416316604,0.9650674331196109,0.03493256688038912,0.024762325889896086,0.03338492151227062
1387,E02001426,1,0.0010004349717268376,0.0012179208351457155,0.0023923444976076554,0.9721618094823836,0.027838190517616355,0.01826881252718573,0.024793388429752067
1388,E02001427,1,0.0005612722170252573,0.0006548175865294667,0.0012628624883068288,0.9794200187090739,0.0205799812909261,0.032273152478952294,0.04653882132834425
1389,E02001428,1,0.0010657193605683837,0.0013765541740674955,0.0027975133214920072,0.988898756660746,0.011101243339253997,0.016429840142095916,0.016873889875666074
1390,E02001429,1,0.0007191892775416804,0.0008826413860738804,0.0018306636155606406,0.9797319385420072,0.020268061457992807,0.015364498202026806,0.02190258254331481
1391,E02001430,1,0.0007638658253072069,0.0009963467286615742,0.0020259050149452006,0.9840584523414148,0.015941547658585187,0.014945200929923613,0.01760212553968781
1392,E02001431,1,0.0005221214619400934,0.0006870019236053861,0.0014289640010992032,0.9884583676834295,0.011541632316570486,0.020335256938719428,0.05798296235229459
1393,E02001432,1,0.00037895675434685685,0.00044583147570218456,0.0009139545251894783,0.9157378510922871,0.08426214890771289,0.05617476593847526,0.21533660276415514
1394,E02001433,1,0.0007643312101910828,0.0008917197452229299,0.0017834394904458599,0.9665605095541401,0.03343949044585987,0.0375796178343949,0.033121019108280254
1395,E02001434,1,0.0008716875871687587,0.00101115760111576,0.0020571827057182706,0.9721059972105998,0.02789400278940028,0.030683403068340307,0.034518828451882845
1396,E02001435,1,0.000674289064790384,0.0007622398123717385,0.0016124303723248313,0.9387276458516564,0.061272354148343595,0.05482263265904427,0.0911756083260041
1397,E02001436,1,0.0006745362563237774,0.0008150646430578976,0.0016301292861157952,0.9654300168634065,0.03456998313659359,0.032602585722315905,0.04047217537942664
1398,E02001437,1,0.00048735205384079833,0.000696217219772569,0.0014388489208633094,0.9788814110002321,0.02111858899976793,0.013228127175678811,0.04780691575771641
1399,E02001438,1,0.0007830342577487765,0.0009787928221859706,0.001957585644371941,0.9791190864600327,0.020880913539967374,0.019249592169657423,0.019902120717781403
1400,E02001439,1,0.0008415660446395902,0.0009879253567508233,0.002049030369557263,0.9740212221002561,0.02597877789974387,0.02561287961946579,0.03293084522502744
1401,E02001440,1,0.0008461538461538462,0.0013076923076923077,0.002576923076923077,0.9934615384615385,0.006538461538461538,0.009230769230769232,0.009615384615384616
1402,E02001441,1,0.0008928571428571428,0.0013020833333333333,0.0026413690476190473,0.9940476190476191,0.005952380952380952,0.010044642857142858,0.010416666666666666
1403,E02001442,1,0.0008432349559218092,0.0011498658489842851,0.00233806055960138,0.987734764277501,0.012265235722499043,0.014564967420467612,0.025297048677654272
1404,E02001443,1,0.0010969723562966214,0.001491882404563405,0.003027643703378675,0.9929793769197016,0.007020623080298377,0.007459412022817025,0.006581834137779728
1405,E02001444,1,0.0010012515644555694,0.0012515644555694619,0.0025031289111389237,0.9783062161034627,0.02169378389653734,0.013350020859407593,0.010012515644555695
1406,E02001445,1,0.0008157715839564922,0.0010197144799456153,0.0020394289598912306,0.9843643779741672,0.01563562202583277,0.020394289598912305,0.022433718558803536
1407,E02001446,1,0.000840630472854641,0.0010507880910683013,0.002066549912434326,0.978984238178634,0.021015761821366025,0.01646234676007005,0.017162872154115588
1408,E02001447,1,0.0009001956947162426,0.0011741682974559687,0.0023091976516634053,0.9737769080234834,0.026223091976516635,0.019178082191780823,0.01604696673189824
1409,E02001448,1,0.0008963786303334528,0.0010756543564001434,0.002151308712800287,0.9824309788454644,0.017569021154535677,0.017569021154535677,0.022230190032269632
1410,E02001449,1,0.0006209573091849935,0.0008020698576972833,0.0016041397153945666,0.974385510996119,0.025614489003880983,0.027166882276843468,0.03001293661060802
1411,E02001450,1,0.0006528526823729776,0.0009367016747090548,0.0019017882486517172,0.9767243826284416,0.02327561737155833,0.014760147601476014,0.026965654271927333
1412,E02001451,1,0.0008768585589020205,0.001067479984750286,0.00198246282882196,0.9630194433854365,0.036980556614563474,0.040411742279832255,0.05947388486465879
1413,E02001452,1,0.0008011145942180424,0.0009056078021595263,0.001706722396377569,0.9609892023685127,0.039010797631487286,0.05816788575409265,0.08324625566004876
1414,E02001453,1,0.000714694110920526,0.0008862206975414523,0.0017438536306460834,0.9802744425385935,0.01972555746140652,0.019439679817038306,0.026300743281875358
1415,E02001454,1,0.0008241758241758242,0.0010302197802197802,0.0020604395604395605,0.9773351648351648,0.022664835164835164,0.021291208791208792,0.025412087912087912
1416,E02001455,1,0.0008582217645039478,0.0010298661174047373,0.001956745623069001,0.9708204600068657,0.029179539993134225,0.029522828698935806,0.03364229316855476
1417,E02001456,1,0.0007068223724646588,0.0009219422249539029,0.0018131530424093424,0.9502151198524893,0.04978488014751076,0.021204671173939767,0.04025814382298709
1418,E02001457,1,0.0007718120805369127,0.0009060402684563759,0.0017114093959731543,0.9550335570469799,0.04496644295302014,0.03825503355704698,0.053020134228187916
1419,E02001458,1,0.000747430706944877,0.0009654313298037995,0.0018685767673621925,0.9392712550607287,0.06072874493927125,0.026160074743070694,0.049828713796325134
1420,E02001459,1,0.0008538251366120218,0.0009904371584699453,0.0019125683060109287,0.9603825136612022,0.03961748633879782,0.03927595628415301,0.03927595628415301
1421,E02001460,1,0.0005411255411255411,0.0006493506493506494,0.0013257575757575758,0.952922077922078,0.04707792207792208,0.03463203463203463,0.08874458874458875
1422,E02001461,1,0.0009070294784580498,0.0010959939531368103,0.0020786092214663643,0.9591836734693877,0.04081632653061224,0.026077097505668934,0.030612244897959183
1423,E02001462,1,0.0006459189665296536,0.000733998825601879,0.001467997651203758,0.9497944803288315,0.05020551967116853,0.05049911920140928,0.07604227833235466
1424,E02001463,1,0.0009167583425009168,0.0010634396773010633,0.0019435276861019435,0.9614961496149615,0.03850385038503851,0.0352035203520352,0.06233956729006234
1425,E02001464,1,0.0007092198581560284,0.0008059316569954867,0.001644100580270793,0.9235976789168279,0.07640232108317214,0.05061250805931657,0.06157317859445519
1426,E02001465,1,0.000592823712948518,0.0007176287051482059,0.0014352574102964118,0.9538221528861155,0.046177847113884556,0.04336973478939157,0.11450858034321373
1427,E02001466,1,0.0006709533128319821,0.0008107352530053117,0.0015096449538719598,0.949958065417948,0.050041934582052,0.0349454850433324,0.051160190103438634
