,GEOGRAPHY_CODE,All categories: Living arrangements,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
28,E02000030,7221.0,0.5974241794765268,0.06010247888104141,0.5373217005954853,0.4025758205234732,0.054978534828971054,0.018695471541337765,0.017449106771915246,0.24428749480681347,0.06716521257443567
29,E02000031,5788.0,0.5884588804422944,0.07290946786454734,0.5155494125777471,0.4115411195577056,0.05165860400829302,0.024187975120939877,0.019177608845888046,0.253628196268141,0.06288873531444368
30,E02000032,6223.0,0.6141732283464567,0.05077936686485618,0.5633938614816005,0.3858267716535433,0.04113771492849108,0.019283303872730195,0.016551502490760085,0.2530933633295838,0.055760887031978144
31,E02000033,6659.0,0.5262051359062923,0.09550983631175852,0.43069529959453373,0.47379486409370775,0.06622616008409671,0.018020723832407267,0.023727286379336236,0.31085748610902536,0.05496320768884217
32,E02000034,6769.0,0.547200472743389,0.08568473925247451,0.46151573349091446,0.45279952725661105,0.06677500369330773,0.01935293248633476,0.01950066479539075,0.28985079036785344,0.057320135913724334
33,E02000035,6403.0,0.5494299547087302,0.09901608620958925,0.450413868499141,0.4505700452912697,0.05825394346400125,0.027487115414649384,0.01952209901608621,0.2887708886459472,0.05653599875058566
34,E02000036,8238.0,0.5502549162418062,0.057052682689973294,0.49320223355183296,0.4497450837581937,0.058752124302015055,0.02524884680747754,0.021849963583394028,0.28574896819616413,0.058145180869143
35,E02000037,7337.0,0.5937031484257871,0.0397982826768434,0.5539048657489437,0.4062968515742129,0.04484121575575849,0.01867248194084776,0.017718413520512472,0.26209622461496523,0.06296851574212893
36,E02000038,8269.0,0.514088765267868,0.09203047526907727,0.42205828999879064,0.48591123473213205,0.0615552061918007,0.019591244406820654,0.02805659692828637,0.331116217196759,0.045591970008465356
37,E02000039,5206.0,0.597003457548982,0.06569343065693431,0.5313100268920476,0.40299654245101807,0.05608912792931233,0.020937379946215903,0.017479830964271994,0.26277372262773724,0.0457164809834806
