,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
144,2021,E02005347,2021 super output areas - middle layer,152,Works mainly from home,873
145,2021,E02005347,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",393
146,2021,E02005348,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2546
147,2021,E02005348,2021 super output areas - middle layer,152,Less than 2km,400
148,2021,E02005348,2021 super output areas - middle layer,152,2km to less than 5km,477
149,2021,E02005348,2021 super output areas - middle layer,152,5km to less than 10km,136
150,2021,E02005348,2021 super output areas - middle layer,152,10km to less than 20km,347
151,2021,E02005348,2021 super output areas - middle layer,152,20km to less than 30km,110
152,2021,E02005348,2021 super output areas - middle layer,152,30km to less than 40km,18
153,2021,E02005348,2021 super output areas - middle layer,152,40km to less than 60km,32
154,2021,E02005348,2021 super output areas - middle layer,152,60km and over,38
155,2021,E02005348,2021 super output areas - middle layer,152,Works mainly from home,697
156,2021,E02005348,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",291
157,2021,E02005349,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3926
158,2021,E02005349,2021 super output areas - middle layer,152,Less than 2km,461
159,2021,E02005349,2021 super output areas - middle layer,152,2km to less than 5km,256
160,2021,E02005349,2021 super output areas - middle layer,152,5km to less than 10km,749
161,2021,E02005349,2021 super output areas - middle layer,152,10km to less than 20km,487
162,2021,E02005349,2021 super output areas - middle layer,152,20km to less than 30km,245
163,2021,E02005349,2021 super output areas - middle layer,152,30km to less than 40km,40
164,2021,E02005349,2021 super output areas - middle layer,152,40km to less than 60km,45
165,2021,E02005349,2021 super output areas - middle layer,152,60km and over,39
166,2021,E02005349,2021 super output areas - middle layer,152,Works mainly from home,1058
167,2021,E02005349,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",546
168,2021,E02005350,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3416
169,2021,E02005350,2021 super output areas - middle layer,152,Less than 2km,477
170,2021,E02005350,2021 super output areas - middle layer,152,2km to less than 5km,306
171,2021,E02005350,2021 super output areas - middle layer,152,5km to less than 10km,543
172,2021,E02005350,2021 super output areas - middle layer,152,10km to less than 20km,467
173,2021,E02005350,2021 super output areas - middle layer,152,20km to less than 30km,167
174,2021,E02005350,2021 super output areas - middle layer,152,30km to less than 40km,43
175,2021,E02005350,2021 super output areas - middle layer,152,40km to less than 60km,48
176,2021,E02005350,2021 super output areas - middle layer,152,60km and over,35
177,2021,E02005350,2021 super output areas - middle layer,152,Works mainly from home,873
178,2021,E02005350,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",457
179,2021,E02005351,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2815
180,2021,E02005351,2021 super output areas - middle layer,152,Less than 2km,511
181,2021,E02005351,2021 super output areas - middle layer,152,2km to less than 5km,423
182,2021,E02005351,2021 super output areas - middle layer,152,5km to less than 10km,132
183,2021,E02005351,2021 super output areas - middle layer,152,10km to less than 20km,332
184,2021,E02005351,2021 super output areas - middle layer,152,20km to less than 30km,94
185,2021,E02005351,2021 super output areas - middle layer,152,30km to less than 40km,29
186,2021,E02005351,2021 super output areas - middle layer,152,40km to less than 60km,41
187,2021,E02005351,2021 super output areas - middle layer,152,60km and over,122
188,2021,E02005351,2021 super output areas - middle layer,152,Works mainly from home,800
189,2021,E02005351,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",331
190,2021,E02005352,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3109
191,2021,E02005352,2021 super output areas - middle layer,152,Less than 2km,76
192,2021,E02005352,2021 super output areas - middle layer,152,2km to less than 5km,161
193,2021,E02005352,2021 super output areas - middle layer,152,5km to less than 10km,378
194,2021,E02005352,2021 super output areas - middle layer,152,10km to less than 20km,564
195,2021,E02005352,2021 super output areas - middle layer,152,20km to less than 30km,135
196,2021,E02005352,2021 super output areas - middle layer,152,30km to less than 40km,40
197,2021,E02005352,2021 super output areas - middle layer,152,40km to less than 60km,38
198,2021,E02005352,2021 super output areas - middle layer,152,60km and over,51
199,2021,E02005352,2021 super output areas - middle layer,152,Works mainly from home,1276
200,2021,E02005352,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",390
201,2021,E02005353,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4820
202,2021,E02005353,2021 super output areas - middle layer,152,Less than 2km,846
203,2021,E02005353,2021 super output areas - middle layer,152,2km to less than 5km,689
204,2021,E02005353,2021 super output areas - middle layer,152,5km to less than 10km,284
205,2021,E02005353,2021 super output areas - middle layer,152,10km to less than 20km,774
206,2021,E02005353,2021 super output areas - middle layer,152,20km to less than 30km,161
207,2021,E02005353,2021 super output areas - middle layer,152,30km to less than 40km,46
208,2021,E02005353,2021 super output areas - middle layer,152,40km to less than 60km,43
209,2021,E02005353,2021 super output areas - middle layer,152,60km and over,70
210,2021,E02005353,2021 super output areas - middle layer,152,Works mainly from home,1357
211,2021,E02005353,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",550
212,2021,E02005354,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4747
213,2021,E02005354,2021 super output areas - middle layer,152,Less than 2km,409
214,2021,E02005354,2021 super output areas - middle layer,152,2km to less than 5km,625
215,2021,E02005354,2021 super output areas - middle layer,152,5km to less than 10km,237
216,2021,E02005354,2021 super output areas - middle layer,152,10km to less than 20km,604
217,2021,E02005354,2021 super output areas - middle layer,152,20km to less than 30km,208
218,2021,E02005354,2021 super output areas - middle layer,152,30km to less than 40km,36
219,2021,E02005354,2021 super output areas - middle layer,152,40km to less than 60km,47
220,2021,E02005354,2021 super output areas - middle layer,152,60km and over,88
221,2021,E02005354,2021 super output areas - middle layer,152,Works mainly from home,2012
222,2021,E02005354,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",481
223,2021,E02005355,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3651
224,2021,E02005355,2021 super output areas - middle layer,152,Less than 2km,179
225,2021,E02005355,2021 super output areas - middle layer,152,2km to less than 5km,359
226,2021,E02005355,2021 super output areas - middle layer,152,5km to less than 10km,499
227,2021,E02005355,2021 super output areas - middle layer,152,10km to less than 20km,631
228,2021,E02005355,2021 super output areas - middle layer,152,20km to less than 30km,143
229,2021,E02005355,2021 super output areas - middle layer,152,30km to less than 40km,38
230,2021,E02005355,2021 super output areas - middle layer,152,40km to less than 60km,44
231,2021,E02005355,2021 super output areas - middle layer,152,60km and over,42
232,2021,E02005355,2021 super output areas - middle layer,152,Works mainly from home,1269
233,2021,E02005355,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",447
234,2021,E02005356,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3525
235,2021,E02005356,2021 super output areas - middle layer,152,Less than 2km,177
236,2021,E02005356,2021 super output areas - middle layer,152,2km to less than 5km,380
237,2021,E02005356,2021 super output areas - middle layer,152,5km to less than 10km,362
238,2021,E02005356,2021 super output areas - middle layer,152,10km to less than 20km,544
239,2021,E02005356,2021 super output areas - middle layer,152,20km to less than 30km,106
240,2021,E02005356,2021 super output areas - middle layer,152,30km to less than 40km,43
241,2021,E02005356,2021 super output areas - middle layer,152,40km to less than 60km,37
242,2021,E02005356,2021 super output areas - middle layer,152,60km and over,34
243,2021,E02005356,2021 super output areas - middle layer,152,Works mainly from home,1427
244,2021,E02005356,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",415
245,2021,E02005357,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4335
246,2021,E02005357,2021 super output areas - middle layer,152,Less than 2km,335
247,2021,E02005357,2021 super output areas - middle layer,152,2km to less than 5km,389
248,2021,E02005357,2021 super output areas - middle layer,152,5km to less than 10km,785
249,2021,E02005357,2021 super output areas - middle layer,152,10km to less than 20km,828
250,2021,E02005357,2021 super output areas - middle layer,152,20km to less than 30km,126
251,2021,E02005357,2021 super output areas - middle layer,152,30km to less than 40km,55
252,2021,E02005357,2021 super output areas - middle layer,152,40km to less than 60km,59
253,2021,E02005357,2021 super output areas - middle layer,152,60km and over,46
254,2021,E02005357,2021 super output areas - middle layer,152,Works mainly from home,1060
255,2021,E02005357,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",652
256,2021,E02005358,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,6336
257,2021,E02005358,2021 super output areas - middle layer,152,Less than 2km,327
258,2021,E02005358,2021 super output areas - middle layer,152,2km to less than 5km,422
259,2021,E02005358,2021 super output areas - middle layer,152,5km to less than 10km,1429
260,2021,E02005358,2021 super output areas - middle layer,152,10km to less than 20km,820
261,2021,E02005358,2021 super output areas - middle layer,152,20km to less than 30km,179
262,2021,E02005358,2021 super output areas - middle layer,152,30km to less than 40km,100
263,2021,E02005358,2021 super output areas - middle layer,152,40km to less than 60km,69
264,2021,E02005358,2021 super output areas - middle layer,152,60km and over,71
265,2021,E02005358,2021 super output areas - middle layer,152,Works mainly from home,2138
266,2021,E02005358,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",781
267,2021,E02005359,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3853
268,2021,E02005359,2021 super output areas - middle layer,152,Less than 2km,223
269,2021,E02005359,2021 super output areas - middle layer,152,2km to less than 5km,358
270,2021,E02005359,2021 super output areas - middle layer,152,5km to less than 10km,610
271,2021,E02005359,2021 super output areas - middle layer,152,10km to less than 20km,671
272,2021,E02005359,2021 super output areas - middle layer,152,20km to less than 30km,117
273,2021,E02005359,2021 super output areas - middle layer,152,30km to less than 40km,64
274,2021,E02005359,2021 super output areas - middle layer,152,40km to less than 60km,60
275,2021,E02005359,2021 super output areas - middle layer,152,60km and over,36
276,2021,E02005359,2021 super output areas - middle layer,152,Works mainly from home,1177
277,2021,E02005359,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",537
278,2021,E02005360,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2972
279,2021,E02005360,2021 super output areas - middle layer,152,Less than 2km,51
280,2021,E02005360,2021 super output areas - middle layer,152,2km to less than 5km,183
281,2021,E02005360,2021 super output areas - middle layer,152,5km to less than 10km,550
282,2021,E02005360,2021 super output areas - middle layer,152,10km to less than 20km,376
283,2021,E02005360,2021 super output areas - middle layer,152,20km to less than 30km,100
284,2021,E02005360,2021 super output areas - middle layer,152,30km to less than 40km,44
285,2021,E02005360,2021 super output areas - middle layer,152,40km to less than 60km,41
286,2021,E02005360,2021 super output areas - middle layer,152,60km and over,36
287,2021,E02005360,2021 super output areas - middle layer,152,Works mainly from home,1275
288,2021,E02005360,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",316
289,2021,E02005361,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3227
290,2021,E02005361,2021 super output areas - middle layer,152,Less than 2km,321
291,2021,E02005361,2021 super output areas - middle layer,152,2km to less than 5km,325
292,2021,E02005361,2021 super output areas - middle layer,152,5km to less than 10km,601
293,2021,E02005361,2021 super output areas - middle layer,152,10km to less than 20km,421
294,2021,E02005361,2021 super output areas - middle layer,152,20km to less than 30km,94
295,2021,E02005361,2021 super output areas - middle layer,152,30km to less than 40km,46
296,2021,E02005361,2021 super output areas - middle layer,152,40km to less than 60km,44
297,2021,E02005361,2021 super output areas - middle layer,152,60km and over,39
298,2021,E02005361,2021 super output areas - middle layer,152,Works mainly from home,886
299,2021,E02005361,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",450
300,2021,E02005362,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3526
301,2021,E02005362,2021 super output areas - middle layer,152,Less than 2km,397
302,2021,E02005362,2021 super output areas - middle layer,152,2km to less than 5km,375
303,2021,E02005362,2021 super output areas - middle layer,152,5km to less than 10km,632
304,2021,E02005362,2021 super output areas - middle layer,152,10km to less than 20km,462
305,2021,E02005362,2021 super output areas - middle layer,152,20km to less than 30km,124
306,2021,E02005362,2021 super output areas - middle layer,152,30km to less than 40km,47
307,2021,E02005362,2021 super output areas - middle layer,152,40km to less than 60km,31
308,2021,E02005362,2021 super output areas - middle layer,152,60km and over,30
309,2021,E02005362,2021 super output areas - middle layer,152,Works mainly from home,910
310,2021,E02005362,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",518
311,2021,E02005363,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4377
312,2021,E02005363,2021 super output areas - middle layer,152,Less than 2km,246
313,2021,E02005363,2021 super output areas - middle layer,152,2km to less than 5km,739
314,2021,E02005363,2021 super output areas - middle layer,152,5km to less than 10km,690
315,2021,E02005363,2021 super output areas - middle layer,152,10km to less than 20km,454
316,2021,E02005363,2021 super output areas - middle layer,152,20km to less than 30km,147
317,2021,E02005363,2021 super output areas - middle layer,152,30km to less than 40km,80
318,2021,E02005363,2021 super output areas - middle layer,152,40km to less than 60km,34
319,2021,E02005363,2021 super output areas - middle layer,152,60km and over,57
320,2021,E02005363,2021 super output areas - middle layer,152,Works mainly from home,1394
321,2021,E02005363,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",536
322,2021,E02005364,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2750
323,2021,E02005364,2021 super output areas - middle layer,152,Less than 2km,232
324,2021,E02005364,2021 super output areas - middle layer,152,2km to less than 5km,505
325,2021,E02005364,2021 super output areas - middle layer,152,5km to less than 10km,444
326,2021,E02005364,2021 super output areas - middle layer,152,10km to less than 20km,277
327,2021,E02005364,2021 super output areas - middle layer,152,20km to less than 30km,68
328,2021,E02005364,2021 super output areas - middle layer,152,30km to less than 40km,39
329,2021,E02005364,2021 super output areas - middle layer,152,40km to less than 60km,26
330,2021,E02005364,2021 super output areas - middle layer,152,60km and over,34
331,2021,E02005364,2021 super output areas - middle layer,152,Works mainly from home,728
332,2021,E02005364,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",397
333,2021,E02005365,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4573
334,2021,E02005365,2021 super output areas - middle layer,152,Less than 2km,573
335,2021,E02005365,2021 super output areas - middle layer,152,2km to less than 5km,808
336,2021,E02005365,2021 super output areas - middle layer,152,5km to less than 10km,744
337,2021,E02005365,2021 super output areas - middle layer,152,10km to less than 20km,453
338,2021,E02005365,2021 super output areas - middle layer,152,20km to less than 30km,106
339,2021,E02005365,2021 super output areas - middle layer,152,30km to less than 40km,60
340,2021,E02005365,2021 super output areas - middle layer,152,40km to less than 60km,52
341,2021,E02005365,2021 super output areas - middle layer,152,60km and over,56
342,2021,E02005365,2021 super output areas - middle layer,152,Works mainly from home,1064
343,2021,E02005365,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",657
344,2021,E02005366,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3872
345,2021,E02005366,2021 super output areas - middle layer,152,Less than 2km,288
346,2021,E02005366,2021 super output areas - middle layer,152,2km to less than 5km,380
347,2021,E02005366,2021 super output areas - middle layer,152,5km to less than 10km,873
348,2021,E02005366,2021 super output areas - middle layer,152,10km to less than 20km,406
349,2021,E02005366,2021 super output areas - middle layer,152,20km to less than 30km,108
350,2021,E02005366,2021 super output areas - middle layer,152,30km to less than 40km,84
351,2021,E02005366,2021 super output areas - middle layer,152,40km to less than 60km,43
352,2021,E02005366,2021 super output areas - middle layer,152,60km and over,40
