,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARS_5_NAME,OBS_VALUE
354,2021,E02003357,2021 super output areas - middle layer,152,3 or more cars or vans in household,349
355,2021,E02003358,2021 super output areas - middle layer,152,Total: All households,5036
356,2021,E02003358,2021 super output areas - middle layer,152,No cars or vans in household,1064
357,2021,E02003358,2021 super output areas - middle layer,152,1 car or van in household,2116
358,2021,E02003358,2021 super output areas - middle layer,152,2 cars or vans in household,1442
359,2021,E02003358,2021 super output areas - middle layer,152,3 or more cars or vans in household,414
360,2021,E02003359,2021 super output areas - middle layer,152,Total: All households,2797
361,2021,E02003359,2021 super output areas - middle layer,152,No cars or vans in household,272
362,2021,E02003359,2021 super output areas - middle layer,152,1 car or van in household,1181
363,2021,E02003359,2021 super output areas - middle layer,152,2 cars or vans in household,1072
364,2021,E02003359,2021 super output areas - middle layer,152,3 or more cars or vans in household,272
365,2021,E02003360,2021 super output areas - middle layer,152,Total: All households,4335
366,2021,E02003360,2021 super output areas - middle layer,152,No cars or vans in household,460
367,2021,E02003360,2021 super output areas - middle layer,152,1 car or van in household,1612
368,2021,E02003360,2021 super output areas - middle layer,152,2 cars or vans in household,1703
369,2021,E02003360,2021 super output areas - middle layer,152,3 or more cars or vans in household,560
370,2021,E02003361,2021 super output areas - middle layer,152,Total: All households,3072
371,2021,E02003361,2021 super output areas - middle layer,152,No cars or vans in household,443
372,2021,E02003361,2021 super output areas - middle layer,152,1 car or van in household,1237
373,2021,E02003361,2021 super output areas - middle layer,152,2 cars or vans in household,1046
374,2021,E02003361,2021 super output areas - middle layer,152,3 or more cars or vans in household,346
