,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGR_3_NAME,OBS_VALUE
297,2021,W02000123,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7502
298,2021,W02000123,2021 super output areas - middle layer,152,Cannot read Welsh,4060
299,2021,W02000123,2021 super output areas - middle layer,152,Can read Welsh,3442
300,2021,W02000124,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8459
301,2021,W02000124,2021 super output areas - middle layer,152,Cannot read Welsh,4781
302,2021,W02000124,2021 super output areas - middle layer,152,Can read Welsh,3678
303,2021,W02000125,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7282
304,2021,W02000125,2021 super output areas - middle layer,152,Cannot read Welsh,3859
305,2021,W02000125,2021 super output areas - middle layer,152,Can read Welsh,3423
306,2021,W02000421,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,11224
307,2021,W02000421,2021 super output areas - middle layer,152,Cannot read Welsh,5740
308,2021,W02000421,2021 super output areas - middle layer,152,Can read Welsh,5484
309,2021,W02000126,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8041
310,2021,W02000126,2021 super output areas - middle layer,152,Cannot read Welsh,4348
311,2021,W02000126,2021 super output areas - middle layer,152,Can read Welsh,3693
312,2021,W02000127,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9412
313,2021,W02000127,2021 super output areas - middle layer,152,Cannot read Welsh,6542
314,2021,W02000127,2021 super output areas - middle layer,152,Can read Welsh,2870
315,2021,W02000128,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7102
316,2021,W02000128,2021 super output areas - middle layer,152,Cannot read Welsh,5277
317,2021,W02000128,2021 super output areas - middle layer,152,Can read Welsh,1825
318,2021,W02000129,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7030
319,2021,W02000129,2021 super output areas - middle layer,152,Cannot read Welsh,5115
320,2021,W02000129,2021 super output areas - middle layer,152,Can read Welsh,1915
321,2021,W02000130,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6464
322,2021,W02000130,2021 super output areas - middle layer,152,Cannot read Welsh,5733
323,2021,W02000130,2021 super output areas - middle layer,152,Can read Welsh,731
324,2021,W02000131,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6992
325,2021,W02000131,2021 super output areas - middle layer,152,Cannot read Welsh,6170
326,2021,W02000131,2021 super output areas - middle layer,152,Can read Welsh,822
327,2021,W02000132,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6829
328,2021,W02000132,2021 super output areas - middle layer,152,Cannot read Welsh,5613
329,2021,W02000132,2021 super output areas - middle layer,152,Can read Welsh,1216
330,2021,W02000133,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8103
331,2021,W02000133,2021 super output areas - middle layer,152,Cannot read Welsh,7170
332,2021,W02000133,2021 super output areas - middle layer,152,Can read Welsh,933
333,2021,W02000134,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8133
334,2021,W02000134,2021 super output areas - middle layer,152,Cannot read Welsh,7407
335,2021,W02000134,2021 super output areas - middle layer,152,Can read Welsh,726
336,2021,W02000135,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7116
337,2021,W02000135,2021 super output areas - middle layer,152,Cannot read Welsh,6555
338,2021,W02000135,2021 super output areas - middle layer,152,Can read Welsh,561
339,2021,W02000136,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8141
340,2021,W02000136,2021 super output areas - middle layer,152,Cannot read Welsh,7298
341,2021,W02000136,2021 super output areas - middle layer,152,Can read Welsh,843
342,2021,W02000137,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7185
343,2021,W02000137,2021 super output areas - middle layer,152,Cannot read Welsh,6706
344,2021,W02000137,2021 super output areas - middle layer,152,Can read Welsh,479
345,2021,W02000138,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9356
