,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
215,2021,E02002454,2021 super output areas - middle layer,152,Renewable energy only,5
216,2021,E02002454,2021 super output areas - middle layer,152,District or communal heat networks only,66
217,2021,E02002454,2021 super output areas - middle layer,152,Other central heating only,51
218,2021,E02002454,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),255
219,2021,E02002454,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),10
220,2021,E02002455,2021 super output areas - middle layer,152,Total: All households,2705
221,2021,E02002455,2021 super output areas - middle layer,152,No central heating,27
222,2021,E02002455,2021 super output areas - middle layer,152,Mains gas only,2196
223,2021,E02002455,2021 super output areas - middle layer,152,Tank or bottled gas only,9
224,2021,E02002455,2021 super output areas - middle layer,152,Electric only,103
225,2021,E02002455,2021 super output areas - middle layer,152,Oil only,0
226,2021,E02002455,2021 super output areas - middle layer,152,Wood only,0
227,2021,E02002455,2021 super output areas - middle layer,152,Solid fuel only,21
228,2021,E02002455,2021 super output areas - middle layer,152,Renewable energy only,5
229,2021,E02002455,2021 super output areas - middle layer,152,District or communal heat networks only,55
230,2021,E02002455,2021 super output areas - middle layer,152,Other central heating only,26
231,2021,E02002455,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),256
232,2021,E02002455,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),7
233,2021,E02002456,2021 super output areas - middle layer,152,Total: All households,3202
234,2021,E02002456,2021 super output areas - middle layer,152,No central heating,55
235,2021,E02002456,2021 super output areas - middle layer,152,Mains gas only,2475
236,2021,E02002456,2021 super output areas - middle layer,152,Tank or bottled gas only,15
237,2021,E02002456,2021 super output areas - middle layer,152,Electric only,310
238,2021,E02002456,2021 super output areas - middle layer,152,Oil only,5
239,2021,E02002456,2021 super output areas - middle layer,152,Wood only,0
240,2021,E02002456,2021 super output areas - middle layer,152,Solid fuel only,4
241,2021,E02002456,2021 super output areas - middle layer,152,Renewable energy only,5
242,2021,E02002456,2021 super output areas - middle layer,152,District or communal heat networks only,24
243,2021,E02002456,2021 super output areas - middle layer,152,Other central heating only,31
244,2021,E02002456,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),268
245,2021,E02002456,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),10
246,2021,E02002457,2021 super output areas - middle layer,152,Total: All households,3263
247,2021,E02002457,2021 super output areas - middle layer,152,No central heating,40
248,2021,E02002457,2021 super output areas - middle layer,152,Mains gas only,2478
249,2021,E02002457,2021 super output areas - middle layer,152,Tank or bottled gas only,12
250,2021,E02002457,2021 super output areas - middle layer,152,Electric only,335
251,2021,E02002457,2021 super output areas - middle layer,152,Oil only,0
252,2021,E02002457,2021 super output areas - middle layer,152,Wood only,3
253,2021,E02002457,2021 super output areas - middle layer,152,Solid fuel only,23
254,2021,E02002457,2021 super output areas - middle layer,152,Renewable energy only,10
255,2021,E02002457,2021 super output areas - middle layer,152,District or communal heat networks only,5
256,2021,E02002457,2021 super output areas - middle layer,152,Other central heating only,35
257,2021,E02002457,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),316
258,2021,E02002457,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),6
259,2021,E02002458,2021 super output areas - middle layer,152,Total: All households,3982
260,2021,E02002458,2021 super output areas - middle layer,152,No central heating,43
261,2021,E02002458,2021 super output areas - middle layer,152,Mains gas only,3349
262,2021,E02002458,2021 super output areas - middle layer,152,Tank or bottled gas only,11
263,2021,E02002458,2021 super output areas - middle layer,152,Electric only,180
264,2021,E02002458,2021 super output areas - middle layer,152,Oil only,3
265,2021,E02002458,2021 super output areas - middle layer,152,Wood only,2
266,2021,E02002458,2021 super output areas - middle layer,152,Solid fuel only,6
267,2021,E02002458,2021 super output areas - middle layer,152,Renewable energy only,7
268,2021,E02002458,2021 super output areas - middle layer,152,District or communal heat networks only,18
269,2021,E02002458,2021 super output areas - middle layer,152,Other central heating only,18
270,2021,E02002458,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),329
271,2021,E02002458,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),16
272,2021,E02002459,2021 super output areas - middle layer,152,Total: All households,4145
273,2021,E02002459,2021 super output areas - middle layer,152,No central heating,60
274,2021,E02002459,2021 super output areas - middle layer,152,Mains gas only,3343
275,2021,E02002459,2021 super output areas - middle layer,152,Tank or bottled gas only,7
276,2021,E02002459,2021 super output areas - middle layer,152,Electric only,285
277,2021,E02002459,2021 super output areas - middle layer,152,Oil only,8
278,2021,E02002459,2021 super output areas - middle layer,152,Wood only,2
279,2021,E02002459,2021 super output areas - middle layer,152,Solid fuel only,9
280,2021,E02002459,2021 super output areas - middle layer,152,Renewable energy only,4
281,2021,E02002459,2021 super output areas - middle layer,152,District or communal heat networks only,14
282,2021,E02002459,2021 super output areas - middle layer,152,Other central heating only,35
283,2021,E02002459,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),360
284,2021,E02002459,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),18
285,2021,E02002460,2021 super output areas - middle layer,152,Total: All households,3330
286,2021,E02002460,2021 super output areas - middle layer,152,No central heating,20
287,2021,E02002460,2021 super output areas - middle layer,152,Mains gas only,2935
288,2021,E02002460,2021 super output areas - middle layer,152,Tank or bottled gas only,3
289,2021,E02002460,2021 super output areas - middle layer,152,Electric only,69
290,2021,E02002460,2021 super output areas - middle layer,152,Oil only,9
291,2021,E02002460,2021 super output areas - middle layer,152,Wood only,1
292,2021,E02002460,2021 super output areas - middle layer,152,Solid fuel only,11
293,2021,E02002460,2021 super output areas - middle layer,152,Renewable energy only,1
294,2021,E02002460,2021 super output areas - middle layer,152,District or communal heat networks only,11
295,2021,E02002460,2021 super output areas - middle layer,152,Other central heating only,6
296,2021,E02002460,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),253
297,2021,E02002460,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),11
298,2021,E02002461,2021 super output areas - middle layer,152,Total: All households,4994
299,2021,E02002461,2021 super output areas - middle layer,152,No central heating,40
300,2021,E02002461,2021 super output areas - middle layer,152,Mains gas only,4194
301,2021,E02002461,2021 super output areas - middle layer,152,Tank or bottled gas only,14
302,2021,E02002461,2021 super output areas - middle layer,152,Electric only,139
303,2021,E02002461,2021 super output areas - middle layer,152,Oil only,20
304,2021,E02002461,2021 super output areas - middle layer,152,Wood only,2
305,2021,E02002461,2021 super output areas - middle layer,152,Solid fuel only,47
306,2021,E02002461,2021 super output areas - middle layer,152,Renewable energy only,6
307,2021,E02002461,2021 super output areas - middle layer,152,District or communal heat networks only,8
308,2021,E02002461,2021 super output areas - middle layer,152,Other central heating only,21
309,2021,E02002461,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),469
310,2021,E02002461,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),34
311,2021,E02002462,2021 super output areas - middle layer,152,Total: All households,3462
312,2021,E02002462,2021 super output areas - middle layer,152,No central heating,54
313,2021,E02002462,2021 super output areas - middle layer,152,Mains gas only,2824
314,2021,E02002462,2021 super output areas - middle layer,152,Tank or bottled gas only,10
315,2021,E02002462,2021 super output areas - middle layer,152,Electric only,245
316,2021,E02002462,2021 super output areas - middle layer,152,Oil only,5
317,2021,E02002462,2021 super output areas - middle layer,152,Wood only,0
318,2021,E02002462,2021 super output areas - middle layer,152,Solid fuel only,2
319,2021,E02002462,2021 super output areas - middle layer,152,Renewable energy only,10
320,2021,E02002462,2021 super output areas - middle layer,152,District or communal heat networks only,14
321,2021,E02002462,2021 super output areas - middle layer,152,Other central heating only,17
322,2021,E02002462,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),259
323,2021,E02002462,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),22
324,2021,E02002463,2021 super output areas - middle layer,152,Total: All households,4068
325,2021,E02002463,2021 super output areas - middle layer,152,No central heating,36
326,2021,E02002463,2021 super output areas - middle layer,152,Mains gas only,3232
327,2021,E02002463,2021 super output areas - middle layer,152,Tank or bottled gas only,14
328,2021,E02002463,2021 super output areas - middle layer,152,Electric only,219
329,2021,E02002463,2021 super output areas - middle layer,152,Oil only,3
330,2021,E02002463,2021 super output areas - middle layer,152,Wood only,0
331,2021,E02002463,2021 super output areas - middle layer,152,Solid fuel only,10
332,2021,E02002463,2021 super output areas - middle layer,152,Renewable energy only,1
333,2021,E02002463,2021 super output areas - middle layer,152,District or communal heat networks only,35
334,2021,E02002463,2021 super output areas - middle layer,152,Other central heating only,54
335,2021,E02002463,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),452
336,2021,E02002463,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),12
337,2021,E02002464,2021 super output areas - middle layer,152,Total: All households,4003
338,2021,E02002464,2021 super output areas - middle layer,152,No central heating,28
339,2021,E02002464,2021 super output areas - middle layer,152,Mains gas only,3255
340,2021,E02002464,2021 super output areas - middle layer,152,Tank or bottled gas only,19
341,2021,E02002464,2021 super output areas - middle layer,152,Electric only,183
342,2021,E02002464,2021 super output areas - middle layer,152,Oil only,4
343,2021,E02002464,2021 super output areas - middle layer,152,Wood only,4
344,2021,E02002464,2021 super output areas - middle layer,152,Solid fuel only,42
345,2021,E02002464,2021 super output areas - middle layer,152,Renewable energy only,13
346,2021,E02002464,2021 super output areas - middle layer,152,District or communal heat networks only,48
347,2021,E02002464,2021 super output areas - middle layer,152,Other central heating only,29
348,2021,E02002464,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),360
349,2021,E02002464,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),18
350,2021,E02002465,2021 super output areas - middle layer,152,Total: All households,2901
351,2021,E02002465,2021 super output areas - middle layer,152,No central heating,36
352,2021,E02002465,2021 super output areas - middle layer,152,Mains gas only,2290
353,2021,E02002465,2021 super output areas - middle layer,152,Tank or bottled gas only,8
354,2021,E02002465,2021 super output areas - middle layer,152,Electric only,300
355,2021,E02002465,2021 super output areas - middle layer,152,Oil only,2
356,2021,E02002465,2021 super output areas - middle layer,152,Wood only,0
357,2021,E02002465,2021 super output areas - middle layer,152,Solid fuel only,6
358,2021,E02002465,2021 super output areas - middle layer,152,Renewable energy only,4
359,2021,E02002465,2021 super output areas - middle layer,152,District or communal heat networks only,10
360,2021,E02002465,2021 super output areas - middle layer,152,Other central heating only,10
361,2021,E02002465,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),222
362,2021,E02002465,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),13
363,2021,E02002466,2021 super output areas - middle layer,152,Total: All households,4119
364,2021,E02002466,2021 super output areas - middle layer,152,No central heating,29
365,2021,E02002466,2021 super output areas - middle layer,152,Mains gas only,3572
366,2021,E02002466,2021 super output areas - middle layer,152,Tank or bottled gas only,3
367,2021,E02002466,2021 super output areas - middle layer,152,Electric only,121
368,2021,E02002466,2021 super output areas - middle layer,152,Oil only,4
369,2021,E02002466,2021 super output areas - middle layer,152,Wood only,1
370,2021,E02002466,2021 super output areas - middle layer,152,Solid fuel only,7
371,2021,E02002466,2021 super output areas - middle layer,152,Renewable energy only,9
372,2021,E02002466,2021 super output areas - middle layer,152,District or communal heat networks only,4
373,2021,E02002466,2021 super output areas - middle layer,152,Other central heating only,23
374,2021,E02002466,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),327
375,2021,E02002466,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),19
376,2021,E02002467,2021 super output areas - middle layer,152,Total: All households,3826
377,2021,E02002467,2021 super output areas - middle layer,152,No central heating,74
378,2021,E02002467,2021 super output areas - middle layer,152,Mains gas only,2825
379,2021,E02002467,2021 super output areas - middle layer,152,Tank or bottled gas only,20
380,2021,E02002467,2021 super output areas - middle layer,152,Electric only,438
381,2021,E02002467,2021 super output areas - middle layer,152,Oil only,2
382,2021,E02002467,2021 super output areas - middle layer,152,Wood only,0
