,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
319,2021,E02002550,2021 super output areas - middle layer,152,4 or more bedrooms,603
320,2021,E02002551,2021 super output areas - middle layer,152,Total: All households,2632
321,2021,E02002551,2021 super output areas - middle layer,152,1 bedroom,523
322,2021,E02002551,2021 super output areas - middle layer,152,2 bedrooms,903
323,2021,E02002551,2021 super output areas - middle layer,152,3 bedrooms,1020
324,2021,E02002551,2021 super output areas - middle layer,152,4 or more bedrooms,186
325,2021,E02002552,2021 super output areas - middle layer,152,Total: All households,3003
326,2021,E02002552,2021 super output areas - middle layer,152,1 bedroom,164
327,2021,E02002552,2021 super output areas - middle layer,152,2 bedrooms,572
328,2021,E02002552,2021 super output areas - middle layer,152,3 bedrooms,1963
329,2021,E02002552,2021 super output areas - middle layer,152,4 or more bedrooms,304
330,2021,E02002553,2021 super output areas - middle layer,152,Total: All households,2487
331,2021,E02002553,2021 super output areas - middle layer,152,1 bedroom,172
332,2021,E02002553,2021 super output areas - middle layer,152,2 bedrooms,684
333,2021,E02002553,2021 super output areas - middle layer,152,3 bedrooms,1227
334,2021,E02002553,2021 super output areas - middle layer,152,4 or more bedrooms,404
335,2021,E02002554,2021 super output areas - middle layer,152,Total: All households,2293
336,2021,E02002554,2021 super output areas - middle layer,152,1 bedroom,236
337,2021,E02002554,2021 super output areas - middle layer,152,2 bedrooms,682
338,2021,E02002554,2021 super output areas - middle layer,152,3 bedrooms,1135
339,2021,E02002554,2021 super output areas - middle layer,152,4 or more bedrooms,240
340,2021,E02002555,2021 super output areas - middle layer,152,Total: All households,4387
341,2021,E02002555,2021 super output areas - middle layer,152,1 bedroom,171
342,2021,E02002555,2021 super output areas - middle layer,152,2 bedrooms,906
343,2021,E02002555,2021 super output areas - middle layer,152,3 bedrooms,2028
344,2021,E02002555,2021 super output areas - middle layer,152,4 or more bedrooms,1282
345,2021,E02002556,2021 super output areas - middle layer,152,Total: All households,2881
346,2021,E02002556,2021 super output areas - middle layer,152,1 bedroom,32
347,2021,E02002556,2021 super output areas - middle layer,152,2 bedrooms,351
348,2021,E02002556,2021 super output areas - middle layer,152,3 bedrooms,1126
349,2021,E02002556,2021 super output areas - middle layer,152,4 or more bedrooms,1372
350,2021,E02002558,2021 super output areas - middle layer,152,Total: All households,4890
351,2021,E02002558,2021 super output areas - middle layer,152,1 bedroom,235
352,2021,E02002558,2021 super output areas - middle layer,152,2 bedrooms,984
353,2021,E02002558,2021 super output areas - middle layer,152,3 bedrooms,1651
354,2021,E02002558,2021 super output areas - middle layer,152,4 or more bedrooms,2020
355,2021,E02007060,2021 super output areas - middle layer,152,Total: All households,2863
356,2021,E02007060,2021 super output areas - middle layer,152,1 bedroom,658
357,2021,E02007060,2021 super output areas - middle layer,152,2 bedrooms,1022
358,2021,E02007060,2021 super output areas - middle layer,152,3 bedrooms,930
359,2021,E02007060,2021 super output areas - middle layer,152,4 or more bedrooms,253
360,2021,E02007061,2021 super output areas - middle layer,152,Total: All households,3193
361,2021,E02007061,2021 super output areas - middle layer,152,1 bedroom,429
362,2021,E02007061,2021 super output areas - middle layer,152,2 bedrooms,873
363,2021,E02007061,2021 super output areas - middle layer,152,3 bedrooms,1130
364,2021,E02007061,2021 super output areas - middle layer,152,4 or more bedrooms,761
365,2021,E02007062,2021 super output areas - middle layer,152,Total: All households,2810
366,2021,E02007062,2021 super output areas - middle layer,152,1 bedroom,37
367,2021,E02007062,2021 super output areas - middle layer,152,2 bedrooms,398
368,2021,E02007062,2021 super output areas - middle layer,152,3 bedrooms,1128
369,2021,E02007062,2021 super output areas - middle layer,152,4 or more bedrooms,1247
370,2021,E02007063,2021 super output areas - middle layer,152,Total: All households,3184
371,2021,E02007063,2021 super output areas - middle layer,152,1 bedroom,12
372,2021,E02007063,2021 super output areas - middle layer,152,2 bedrooms,182
373,2021,E02007063,2021 super output areas - middle layer,152,3 bedrooms,859
374,2021,E02007063,2021 super output areas - middle layer,152,4 or more bedrooms,2131
375,2021,E02002559,2021 super output areas - middle layer,152,Total: All households,4120
376,2021,E02002559,2021 super output areas - middle layer,152,1 bedroom,110
377,2021,E02002559,2021 super output areas - middle layer,152,2 bedrooms,824
378,2021,E02002559,2021 super output areas - middle layer,152,3 bedrooms,1636
379,2021,E02002559,2021 super output areas - middle layer,152,4 or more bedrooms,1550
380,2021,E02002560,2021 super output areas - middle layer,152,Total: All households,2688
381,2021,E02002560,2021 super output areas - middle layer,152,1 bedroom,38
382,2021,E02002560,2021 super output areas - middle layer,152,2 bedrooms,831
383,2021,E02002560,2021 super output areas - middle layer,152,3 bedrooms,1439
384,2021,E02002560,2021 super output areas - middle layer,152,4 or more bedrooms,380
385,2021,E02002561,2021 super output areas - middle layer,152,Total: All households,2475
386,2021,E02002561,2021 super output areas - middle layer,152,1 bedroom,125
387,2021,E02002561,2021 super output areas - middle layer,152,2 bedrooms,687
