,GEOGRAPHY_CODE,All lone parent housholds with dependent children,Female lone parent: In full-time employment,Female lone parent: In part-time employment,Female lone parent: Total,Male lone parent: In full-time employment,Male lone parent: In part-time employment,Male lone parent: Total
61,E02000062,1,0.1589958158995816,0.200836820083682,0.9456066945606695,0.016736401673640166,0.0,0.05439330543933055
62,E02000063,1,0.2713178294573643,0.13953488372093023,0.8914728682170543,0.031007751937984496,0.023255813953488372,0.10852713178294573
63,E02000064,1,0.20454545454545456,0.14545454545454545,0.9409090909090909,0.022727272727272728,0.0,0.05909090909090909
64,E02000065,1,0.24521072796934865,0.16475095785440613,0.9042145593869731,0.05363984674329502,0.011494252873563218,0.09578544061302682
65,E02000066,1,0.13778705636743216,0.12108559498956159,0.9352818371607515,0.037578288100208766,0.0,0.06471816283924843
66,E02000067,1,0.2280130293159609,0.1498371335504886,0.9185667752442996,0.04560260586319218,0.0,0.08143322475570032
67,E02000068,1,0.16597510373443983,0.11618257261410789,0.9336099585062241,0.024896265560165973,0.0,0.06639004149377593
68,E02000069,1,0.19883040935672514,0.16374269005847952,0.9005847953216374,0.06432748538011696,0.0,0.09941520467836257
69,E02000070,1,0.2709677419354839,0.22580645161290322,0.9161290322580645,0.07096774193548387,0.0,0.08387096774193549
70,E02000071,1,0.18285714285714286,0.2342857142857143,0.8857142857142857,0.06857142857142857,0.0,0.11428571428571428
71,E02000072,1,0.1266025641025641,0.11538461538461539,0.9423076923076923,0.030448717948717948,0.004807692307692308,0.057692307692307696
72,E02000073,1,0.2620689655172414,0.20689655172413793,0.8551724137931035,0.10344827586206896,0.0,0.14482758620689656
73,E02000074,1,0.15269461077844312,0.17964071856287425,0.9191616766467066,0.041916167664670656,0.008982035928143712,0.08083832335329341
74,E02000075,1,0.1925925925925926,0.2814814814814815,0.8814814814814815,0.08148148148148149,0.0,0.11851851851851852
75,E02000076,1,0.24475524475524477,0.21678321678321677,0.8671328671328671,0.09090909090909091,0.0,0.13286713286713286
76,E02000077,1,0.16666666666666666,0.26515151515151514,0.9015151515151515,0.03787878787878788,0.022727272727272728,0.09848484848484848
77,E02000078,1,0.22727272727272727,0.23636363636363636,0.8818181818181818,0.07272727272727272,0.0,0.11818181818181818
78,E02000079,1,0.2953020134228188,0.21476510067114093,0.8859060402684564,0.08053691275167785,0.0,0.11409395973154363
79,E02000080,1,0.20238095238095238,0.16071428571428573,0.8988095238095238,0.06547619047619048,0.0,0.10119047619047619
80,E02000081,1,0.17532467532467533,0.16883116883116883,0.9090909090909091,0.06493506493506493,0.0,0.09090909090909091
81,E02000082,1,0.3722627737226277,0.2116788321167883,0.8759124087591241,0.08759124087591241,0.0,0.12408759124087591
82,E02000083,1,0.21285140562248997,0.1606425702811245,0.9196787148594378,0.0642570281124498,0.0,0.08032128514056225
83,E02000084,1,0.2925531914893617,0.28191489361702127,0.9095744680851063,0.0425531914893617,0.015957446808510637,0.09042553191489362
84,E02000085,1,0.27972027972027974,0.21678321678321677,0.8881118881118881,0.055944055944055944,0.02097902097902098,0.11188811188811189
85,E02000086,1,0.32673267326732675,0.22772277227722773,0.9108910891089109,0.0594059405940594,0.0297029702970297,0.0891089108910891
86,E02000087,1,0.2597402597402597,0.24675324675324675,0.8701298701298701,0.07792207792207792,0.0,0.12987012987012986
87,E02000088,1,0.30612244897959184,0.25510204081632654,0.8469387755102041,0.12244897959183673,0.030612244897959183,0.15306122448979592
88,E02000089,1,0.2857142857142857,0.22448979591836735,0.8877551020408163,0.07142857142857142,0.0,0.11224489795918367
89,E02000090,1,0.2468354430379747,0.23417721518987342,0.9177215189873418,0.05063291139240506,0.0,0.08227848101265822
90,E02000091,1,0.19254658385093168,0.2236024844720497,0.9130434782608695,0.037267080745341616,0.0,0.08695652173913043
91,E02000092,1,0.1774891774891775,0.19047619047619047,0.9437229437229437,0.012987012987012988,0.0,0.05627705627705628
92,E02000093,1,0.24293785310734464,0.15254237288135594,0.8983050847457628,0.02824858757062147,0.01694915254237288,0.1016949152542373
93,E02000094,1,0.3089005235602094,0.16753926701570682,0.9319371727748691,0.04712041884816754,0.0,0.06806282722513089
94,E02000095,1,0.24553571428571427,0.16517857142857142,0.9107142857142857,0.04017857142857143,0.013392857142857142,0.08928571428571429
95,E02000096,1,0.2857142857142857,0.2698412698412698,0.873015873015873,0.06349206349206349,0.0,0.12698412698412698
96,E02000097,1,0.22580645161290322,0.16774193548387098,0.9290322580645162,0.04516129032258064,0.01935483870967742,0.07096774193548387
97,E02000098,1,0.22872340425531915,0.17553191489361702,0.9574468085106383,0.02127659574468085,0.0,0.0425531914893617
98,E02000099,1,0.25263157894736843,0.14736842105263157,0.9368421052631579,0.031578947368421054,0.015789473684210527,0.06315789473684211
99,E02000100,1,0.32323232323232326,0.21212121212121213,0.9191919191919192,0.04040404040404041,0.030303030303030304,0.08080808080808081
100,E02000101,1,0.23577235772357724,0.15853658536585366,0.959349593495935,0.012195121951219513,0.012195121951219513,0.04065040650406504
101,E02000102,1,0.20675105485232068,0.14345991561181434,0.9704641350210971,0.012658227848101266,0.012658227848101266,0.029535864978902954
102,E02000103,1,0.22695035460992907,0.09929078014184398,0.9290780141843972,0.03900709219858156,0.014184397163120567,0.07092198581560284
