,GEOGRAPHY_CODE,All categories: Ethnic group,Asian/Asian British,Asian/Asian British: Bangladeshi,Asian/Asian British: Indian,Asian/Asian British: Other,Asian/Asian British: Pakistani,Black/Black British,Black/Black British: Black African,Black/Black British: Black Caribbean,Black/Black British: Other,Chinese/Other,Chinese/Other: Chinese,Chinese/Other: Other,Mixed,Mixed: Other,Mixed: White and Asian,Mixed: White and Black African,Mixed: White and Black Caribbean,White,White: British,White: Irish,White: Other
2040,E02002041,1,0.017552182163187855,0.0007906388361796331,0.008064516129032258,0.003320683111954459,0.005376344086021506,0.0018975332068311196,0.0,0.0006325110689437065,0.001265022137887413,0.0023719165085388993,0.0018975332068311196,0.0004743833017077799,0.005218216318785579,0.001265022137887413,0.002530044275774826,0.0,0.0014231499051233396,0.9729601518026565,0.9645793801391525,0.0036369386464263124,0.004743833017077799
2041,E02002042,1,0.009157509157509158,0.0,0.005250305250305251,0.00231990231990232,0.0015873015873015873,0.002442002442002442,0.0007326007326007326,0.0017094017094017094,0.0,0.00402930402930403,0.002442002442002442,0.0015873015873015873,0.006715506715506716,0.0019536019536019536,0.0014652014652014652,0.0,0.0032967032967032967,0.9776556776556776,0.9678876678876679,0.005616605616605617,0.004151404151404151
2042,E02002043,1,0.0702994473718031,0.028531037141755557,0.034828428222593494,0.0017992545945251252,0.005140727412928929,0.00912479115794885,0.0003855545559696697,0.007582572934070171,0.0011566636679090092,0.0005140727412928929,0.0,0.0005140727412928929,0.016064773165402904,0.0015422182238786788,0.0035985091890502505,0.0003855545559696697,0.010538491196504305,0.9039969155635522,0.8970569335560982,0.0028274000771109113,0.004112581930343143
2043,E02002044,1,0.1585924713584288,0.006055646481178396,0.13633387888707038,0.010474631751227497,0.0057283142389525366,0.028314238952536826,0.003109656301145663,0.023731587561374796,0.0014729950900163667,0.005564648117839607,0.005073649754500818,0.0004909983633387888,0.01849427168576105,0.0022913256955810145,0.0044189852700491,0.0009819967266775777,0.010801963993453356,0.7890343698854337,0.7783960720130932,0.005564648117839607,0.005073649754500818
2044,E02002045,1,0.0455434478904722,0.01173512154233026,0.031153953618329143,0.0013970382788488405,0.0012573344509639564,0.009639564124056999,0.0008382229673093043,0.008801341156747695,0.0,0.0009779267951941883,0.0009779267951941883,0.0,0.012713048337524449,0.0012573344509639564,0.0020955574182732607,0.00041911148365465214,0.008941044984632579,0.9311260128527522,0.9242805252863928,0.002933780385582565,0.003911707180776753
2045,E02002046,1,0.012235623142807201,0.0005243838489774515,0.008390141583639224,0.0005243838489774515,0.0027967138612130745,0.011886033910155568,0.001048767697954903,0.010138087746897395,0.0006991784653032686,0.0008739730816290859,0.0,0.0008739730816290859,0.016780283167278448,0.0013983569306065373,0.002971508477538892,0.0005243838489774515,0.011886033910155568,0.9582240866981298,0.9522810697430519,0.002272330012235623,0.0036706869428421605
2046,E02002047,1,0.0970490768502446,0.039293040871074644,0.05207511440744832,0.0039450844248066904,0.001735837146914944,0.01467571406028089,0.0011046236389458735,0.012150860028404608,0.0014202303929304087,0.002209247277891747,0.0011046236389458735,0.0011046236389458735,0.012939876913365947,0.002524854031876282,0.002524854031876282,0.0,0.007890168849613381,0.8731260848982169,0.8623954552627426,0.004260691178791226,0.006469938456682973
2047,E02002048,1,0.09126984126984126,0.0004761904761904762,0.08063492063492063,0.006507936507936508,0.003650793650793651,0.01984126984126984,0.0026984126984126986,0.01650793650793651,0.0006349206349206349,0.003650793650793651,0.0014285714285714286,0.0022222222222222222,0.011587301587301587,0.001746031746031746,0.004126984126984127,0.0004761904761904762,0.005238095238095238,0.8736507936507937,0.8422222222222222,0.023809523809523808,0.007619047619047619
2048,E02002049,1,0.03169877408056042,0.0,0.029597197898423817,0.0010507880910683013,0.0010507880910683013,0.011733800350262696,0.0010507880910683013,0.009281961471103328,0.0014010507880910684,0.0007005253940455342,0.0007005253940455342,0.0,0.012959719789842382,0.0008756567425569177,0.005253940455341506,0.0005253940455341507,0.006304728546409807,0.942907180385289,0.9350262697022768,0.0035026269702276708,0.0043782837127845885
2049,E02002050,1,0.08586818757921419,0.000739332488381918,0.07615124630333756,0.005175327418673426,0.0038022813688212928,0.026299112801013942,0.0036966624419095904,0.02175749894381073,0.0008449514152936206,0.0021123785382340513,0.0009505703422053232,0.0011618081960287283,0.012674271229404309,0.0011618081960287283,0.0026404731727925645,0.0006337135614702154,0.008238276299112801,0.8730460498521335,0.8546683565694972,0.009083227714406422,0.009294465568229826
