,GEOGRAPHY_CODE,All people,Divorced,Married (first marriage),Re-married,Separated (but still legally married),Single (never married),Widowed
1980,E02001981,1,0.0904029304029304,0.29743589743589743,0.035897435897435895,0.03340659340659341,0.47706959706959706,0.06578754578754578
1981,E02001982,1,0.08531002913025384,0.4879317519766958,0.0715771951727008,0.02247191011235955,0.2544735746982938,0.07823553890969621
1982,E02001983,1,0.09159703610279048,0.39003626044458456,0.05675547848021441,0.021125650323190918,0.3551947028220085,0.0852908718272111
1983,E02001984,1,0.07078488372093024,0.4164244186046512,0.06162790697674419,0.02063953488372093,0.33561046511627907,0.09491279069767442
1984,E02001985,1,0.08253588516746412,0.2326555023923445,0.041666666666666664,0.03349282296650718,0.5436602870813397,0.06598883572567783
1985,E02001986,1,0.1058351446246447,0.3716769770941314,0.06654405617789667,0.022069887978598896,0.3338906537368333,0.099983280387895
1986,E02001987,1,0.09134139092530216,0.19516544481870418,0.030513176144244106,0.023776500891618785,0.6039231226471171,0.05528036457301367
1987,E02001988,1,0.09249909844933285,0.15001803101334296,0.029390551749008294,0.02289938694554634,0.64028128380815,0.06491164803461955
1988,E02001989,1,0.07723929035049762,0.41194288186932065,0.0739939420164431,0.020121159671138037,0.3336218087408048,0.08308091735179576
1989,E02001990,1,0.06766917293233082,0.530571712299617,0.07745779543197617,0.014895729890764648,0.2415945524187828,0.06781103702652859
1990,E02001991,1,0.0725338491295938,0.4184857695495993,0.058856037579441835,0.0183752417794971,0.3348991434097817,0.09684995855208621
1991,E02001992,1,0.11351431980906922,0.3679892601431981,0.06742243436754176,0.026998806682577564,0.33248806682577564,0.09158711217183771
1992,E02001993,1,0.0997907949790795,0.3696652719665272,0.06569037656903766,0.022594142259414227,0.32364016736401674,0.11861924686192468
1993,E02001994,1,0.06982193064667291,0.45313964386129335,0.06497969384567323,0.017494532958450486,0.2942830365510778,0.10028116213683223
1994,E02001995,1,0.10439137134052388,0.3353235747303544,0.05816640986132512,0.02754237288135593,0.3578582434514638,0.11671802773497689
1995,E02001996,1,0.13672124176057834,0.28556240697427177,0.06570274293004465,0.03572187965128641,0.37380395492239,0.10248777376142887
1996,E02001997,1,0.05066079295154185,0.5804698972099853,0.059324522760646106,0.012041116005873716,0.19118942731277533,0.10631424375917768
1997,E02001998,1,0.0634453781512605,0.5489495798319328,0.060714285714285714,0.018067226890756304,0.22626050420168067,0.08256302521008403
1998,E02001999,1,0.02951165241831596,0.30671038763321234,0.036889565522894956,0.008666120154584846,0.5685677479798571,0.049654526291134794
1999,E02002000,1,0.07271798365122616,0.46866485013623976,0.05194141689373297,0.02452316076294278,0.2850817438692098,0.0970708446866485
2000,E02002001,1,0.07095297544735747,0.47107781939242616,0.05930087390761548,0.021639617145235122,0.2667498959633791,0.11027881814398668
2001,E02002002,1,0.03663587129659127,0.6056068811723478,0.056387384517362214,0.01083147499203568,0.19799299139853457,0.09254539662312838
2002,E02002003,1,0.06062238986932507,0.5260676276438098,0.0546948673043244,0.01926444833625219,0.24855179846423278,0.09079886838205577
2003,E02002004,1,0.08235711750088746,0.45704650337238195,0.06017039403620873,0.01561945331913383,0.27387291444799433,0.11093361732339369
2004,E02002005,1,0.07336272040302266,0.4343513853904282,0.052739294710327456,0.025503778337531487,0.327455919395466,0.08658690176322419
2005,E02002006,1,0.08973060563094996,0.4527040712983593,0.06279116872594694,0.019242454932145027,0.2932955235973263,0.08223617581527243
2006,E02002007,1,0.05750925436277102,0.5454785827604443,0.05764145954521417,0.015071390798519302,0.23585404547858277,0.08844526705446853
2007,E02002008,1,0.0539611617116343,0.5518130262931775,0.07217735006014779,0.019075442515896202,0.2551984877126654,0.04777453170647877
2008,E02002009,1,0.0815020268828675,0.4132707488798805,0.054619159377000216,0.0270962235971837,0.3343289950928099,0.08918284617025816
2009,E02002010,1,0.0841863379987466,0.4182160016711928,0.04658449968665135,0.030708167954877793,0.3156465427198663,0.10465844996866513
2010,E02002011,1,0.06178726933443915,0.5506945884304375,0.07236160066348746,0.0147211279286751,0.2199875596102011,0.0804478540327597
2011,E02002012,1,0.0935672514619883,0.42208462332301344,0.058651530787753696,0.02562779497764018,0.2674578603371173,0.13261093911248711
2012,E02002013,1,0.05207059234667133,0.5621177704001398,0.07146601432814957,0.014502883103267517,0.2021666957889219,0.0976760440328499
2013,E02002014,1,0.0731658692185008,0.43859649122807015,0.05661881977671451,0.02492025518341308,0.29944178628389156,0.10725677830940988
2014,E02002015,1,0.0606000789577576,0.5367153572838531,0.06790367153572839,0.016383734701934466,0.23391235688906434,0.08448480063166205
2015,E02002016,1,0.08908723475917818,0.42286965308184576,0.06416301785112832,0.021892893230043786,0.3014482990906029,0.10053890198720108
2016,E02002017,1,0.0730291794293084,0.46074480090278896,0.05626309850072546,0.018539416411413833,0.2932452039335805,0.09817830082218282
2017,E02002018,1,0.04899135446685879,0.5871102960440137,0.0707361802462667,0.010217448257794078,0.20788577416819493,0.07505894681687189
2018,E02002019,1,0.08053577483892845,0.448118006103764,0.06205493387589013,0.026449643947100712,0.29331976941336046,0.08952187182095625
2019,E02002020,1,0.05964535196131112,0.5502418054809243,0.06179473401397098,0.014239656098871574,0.23898441698011821,0.07509403546480387
2020,E02002021,1,0.11874635000973331,0.36071637142300955,0.053143858283044576,0.02939458828109792,0.349620401012264,0.08837843099085069
