,GEOGRAPHY_CODE,All categories: Religion,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Other religion,Religion not stated,Sikh
4234,E02004235,1,0.0012712537740346417,0.780073097092007,0.0004767201652629906,0.0011123470522803114,0.0004767201652629906,0.15032575877959636,0.003019227713332274,0.06324487525822342,0.0
4235,E02004236,1,0.002793783830976078,0.7850532565042779,0.0,0.0019207263837960537,0.0008730574471800245,0.13253012048192772,0.004365287235900122,0.07246376811594203,0.0
4236,E02004237,1,0.002849002849002849,0.7874643874643875,0.0008547008547008547,0.0014245014245014246,0.004131054131054131,0.12777777777777777,0.004273504273504274,0.07122507122507123,0.0
4237,E02004238,1,0.0013671578307762418,0.8341181831991493,0.0,0.002582409235910679,0.00045571927692541396,0.10360018228771077,0.0027343156615524835,0.055142032507975086,0.0
4238,E02004239,1,0.0020614692653673165,0.8288980509745127,0.0,0.00356071964017991,0.0013118440779610195,0.10288605697151425,0.0024362818590704647,0.0588455772113943,0.0
4239,E02004240,1,0.0028696826468602296,0.7226536124240378,0.0008440243079000675,0.0015192437542201215,0.0011816340310600946,0.1850101282916948,0.0027008777852802163,0.08322079675894666,0.0
4240,E02004241,1,0.0015026296018031556,0.7682193839218633,0.0003756574004507889,0.0023791635361883295,0.0036313548710242925,0.1551465063861758,0.004007012271475081,0.0643626346105685,0.0003756574004507889
4241,E02004242,1,0.0017501988862370723,0.8143198090692124,0.0,0.004932378679395386,0.002386634844868735,0.10994431185361973,0.0027048528241845663,0.0639618138424821,0.0
4242,E02004243,1,0.0018776404318572994,0.8073853856986387,0.001095290251916758,0.0006258801439524331,0.00046941010796432484,0.11985604756689094,0.002659990611797841,0.06603035518698169,0.0
4243,E02004244,1,0.0019469821776246818,0.7939194248914183,0.0007488392990864161,0.002845589336528381,0.0014976785981728321,0.1249063950876142,0.0025460536168938146,0.07113973341320952,0.00044930357945184964
4244,E02004245,1,0.0014277555682467161,0.789977155910908,0.0009994288977727014,0.0009994288977727014,0.0008566533409480297,0.13592233009708737,0.002998286693318104,0.06681896059394632,0.0
4245,E02004246,1,0.002247864528697737,0.8107298066836506,0.0004495729057395474,0.003896298516409411,0.0037464408811628954,0.10475048703731456,0.0032968679754233478,0.07088266147160198,0.0
4246,E02004247,1,0.003084832904884319,0.8011996572407883,0.0005141388174807198,0.001199657240788346,0.0006855184233076263,0.119280205655527,0.002913453299057412,0.07112253641816624,0.0
4247,E02004248,1,0.0006944444444444445,0.8181944444444444,0.0009722222222222222,0.0030555555555555557,0.0011111111111111111,0.11361111111111111,0.002916666666666667,0.059027777777777776,0.0004166666666666667
4248,E02004249,1,0.002,0.7901818181818182,0.0,0.0027272727272727275,0.0005454545454545455,0.136,0.0030909090909090908,0.06545454545454546,0.0
4249,E02004250,1,0.0009864712514092446,0.7950958286358512,0.00042277339346110483,0.002536640360766629,0.0032412626832018037,0.1273957158962796,0.0033821871476888386,0.0669391206313416,0.0
4250,E02004251,1,0.001099418878592744,0.8087011151248625,0.000785299198994817,0.0009423590387937804,0.0017276582377885974,0.12376315376158316,0.002041777917386524,0.06046803832260091,0.0004711795193968902
4251,E02004252,1,0.002268602540834846,0.7711736237144585,0.0009074410163339383,0.0015124016938898972,0.0028735632183908046,0.1560798548094374,0.0028735632183908046,0.062310949788263764,0.0
4252,E02004253,1,0.0006034274680183442,0.8286265990827902,0.0003620564808110065,0.0032585083272990588,0.001568911416847695,0.10234129857591118,0.0024137098720733766,0.0608254887762491,0.0
4253,E02004254,1,0.0007884103675963339,0.775697250418843,0.0013797181432935843,0.0009855129594954174,0.0016753720311422095,0.14565881541342268,0.001872474623041293,0.07144968956341775,0.0004927564797477087
4254,E02004255,1,0.0011627906976744186,0.7986918604651163,0.0015988372093023256,0.00043604651162790697,0.0010174418604651163,0.1308139534883721,0.002180232558139535,0.06409883720930233,0.0
4255,E02004256,1,0.0018010529232474369,0.8079800498753117,0.00041562759767248546,0.0006927126627874758,0.0006927126627874758,0.11499030202272098,0.002770850651149903,0.07024106400665005,0.00041562759767248546
