,GEOGRAPHY_CODE,All communal establishments,Medical and care establishments - Housing association,Medical and care establishments - Local Authority - Children's home,Medical and care establishments - Local Authority - Other,Medical and care establishments - NHS - Other hospital home,Medical and care establishments - NHS - Psychiatric hospital / home,Medical and care establishments - Other,Medical and care establishments - Other - Children's home,Medical and care establishments - Other - Nursing home,Medical and care establishments - Other - Residential care home,Number of residents by communal establishment type,Other establishments,Residents in establishments with limiting long-term illness - medical and care establishments,Residents in establishments with limiting long-term illness - other establishments
3784,E02004214,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,4.333333333333333,0.0,4.333333333333333,0.0
3785,E02004215,1,0.0,0.0,0.0,0.7619047619047619,0.9523809523809523,0.0,0.0,3.5714285714285716,7.476190476190476,13.19047619047619,0.42857142857142855,12.238095238095237,0.42857142857142855
3786,E02004217,1,0.0,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,2.466666666666667,3.466666666666667,9.0,1.9333333333333333,6.466666666666667,0.6
3787,E02004218,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,5.4,0.6,4.8,0.0
3788,E02004219,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,10.6,18.0,0.8,16.8,0.0
3789,E02004220,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,8.75,2.5,6.0,1.5
3790,E02004221,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,5.88,9.24,0.52,7.56,0.16
3791,E02004222,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5555555555555556,12.444444444444445,10.88888888888889,1.5555555555555556,2.111111111111111
3792,E02004223,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,4.090909090909091,16.09090909090909,7.909090909090909,8.181818181818182,1.3636363636363635
3793,E02004224,1,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,4.090909090909091,1.4545454545454546,6.7272727272727275,0.5454545454545454,5.363636363636363,0.2727272727272727
3794,E02004225,1,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,3.4285714285714284,2.2857142857142856,10.0,1.1428571428571428,8.285714285714286,0.42857142857142855
3795,E02004226,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.5,4.5,7.0,0.0
3796,E02004227,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.636363636363637,5.454545454545454,11.181818181818182,1.0909090909090908,9.909090909090908,0.6363636363636364
3797,E02004228,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,2.7142857142857144,17.142857142857142,11.0,6.0,0.42857142857142855
3798,E02004230,1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,2.8,3.8,9.0,1.7,7.2,0.9
3799,E02004231,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615384615384615,50.23076923076923,45.61538461538461,4.3076923076923075,13.076923076923077
3800,E02004232,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.857142857142858,10.285714285714286,0.42857142857142855,9.571428571428571,0.0
3801,E02004233,1,2.0,0.0,0.8888888888888888,0.7222222222222222,0.0,0.0,0.0,3.0555555555555554,4.333333333333333,21.11111111111111,10.11111111111111,10.055555555555555,1.0
3802,E02004234,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,6.9,9.6,0.3,9.3,0.0
3803,E02004235,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,3.2857142857142856,17.571428571428573,4.857142857142857,12.142857142857142,0.0
3804,E02004236,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,4.333333333333333,0.0,4.333333333333333,0.0
3805,E02004237,1,0.0,0.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,13.333333333333334,25.0,0.0,22.666666666666668,0.0
3806,E02004238,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,2.125,11.125,0.75,9.875,0.0
3807,E02004239,1,inf,,,,,,,,,inf,,inf,
3808,E02004240,1,,,,,,,,,,inf,inf,,
3809,E02004241,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.6666666666666665,7.666666666666667,0.5,7.166666666666667,0.0
3810,E02004242,1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,20.8,1.8,18.6,0.0
3811,E02004243,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,11.25,5.75,5.25,3.5
3812,E02004244,1,,,,inf,,,,,,inf,,inf,
3813,E02004245,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,0.0,16.75,0.0,16.75,0.0
3814,E02004246,1,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,6.0,25.0,18.428571428571427,6.285714285714286,3.2857142857142856
3815,E02004247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,6.5,16.25,2.0,13.5,0.0
3816,E02004248,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.833333333333334,24.5,7.666666666666667,13.833333333333334,0.0
3817,E02004249,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,3.6666666666666665,1.3333333333333333,1.6666666666666667,0.0
3818,E02004250,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,18.666666666666668,0.0
3819,E02004251,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,12.333333333333334,22.0,0.0,21.0,0.0
3820,E02004252,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,13.333333333333334,2.0,10.833333333333334,1.0
3821,E02004253,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.125,8.5,0.375,8.125,0.0
3822,E02004255,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,10.833333333333334,18.5,1.0,17.333333333333332,0.0
3823,E02004256,1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,56.4,55.8,0.6,2.4
3824,E02004257,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,7.428571428571429,11.428571428571429,0.42857142857142855,9.142857142857142,0.0
3825,E02004258,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.444444444444445,0.4444444444444444,6.666666666666667,0.4444444444444444
3826,E02004259,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5833333333333333,82.25,80.66666666666667,1.0,7.25
3827,E02004260,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,264.57142857142856,261.57142857142856,3.0,6.714285714285714
3828,E02004261,1,0.0,0.0,6.555555555555555,0.0,0.0,0.0,0.0,2.4444444444444446,1.2222222222222223,10.666666666666666,0.4444444444444444,10.333333333333334,0.4444444444444444
3829,E02004262,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,4.666666666666667
3830,E02004263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,0.0
3831,E02004265,1,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,3.0,0.75,2.25,0.0
3832,E02004266,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.666666666666666,12.666666666666666,0.0,12.333333333333334,0.0
3833,E02004267,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,9.444444444444445,7.555555555555555,0.8888888888888888,0.0
3834,E02004268,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6756756756756757,4.378378378378378,13.297297297297296,7.243243243243243,5.702702702702703,0.13513513513513514
3835,E02004269,1,0.0,0.0,1.8333333333333333,1.1666666666666667,0.0,0.0,0.0,3.2916666666666665,3.25,50.25,40.708333333333336,8.958333333333334,1.75
3836,E02004270,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,8.0,32.25,23.5,8.0,0.0
3837,E02004271,1,0.0,0.0,0.0,0.0,0.0,3.25,0.0,2.375,4.75,13.625,3.25,8.25,2.75
3838,E02004272,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,5.8,24.6,7.0,16.0,0.0
3839,E02004273,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.608695652173913,8.521739130434783,0.9130434782608695,6.826086956521739,0.0
3840,E02004274,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,3.1666666666666665,10.833333333333334,0.0,10.833333333333334,0.0
3841,E02004275,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,9.333333333333334,0.0
3842,E02004276,1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.833333333333334,17.833333333333332,0.0,16.666666666666668,0.0
3843,E02004277,1,0.0,0.16666666666666666,0.5,0.0,0.0,0.125,0.0,1.25,6.166666666666667,11.708333333333334,3.5,7.625,1.375
3844,E02004278,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.5,0.0,2.5,0.0
3845,E02004279,1,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,5.428571428571429,7.571428571428571,17.714285714285715,4.285714285714286,12.857142857142858,0.0
3846,E02004280,1,0.0,0.0,0.0,0.0,0.0,0.0,0.375,2.5,0.0,8.0,5.125,2.5,0.0
3847,E02004281,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,6.166666666666667,11.833333333333334,0.0,11.833333333333334,0.0
3848,E02004282,1,0.0,0.0,2.1538461538461537,0.0,0.0,0.0,0.0,1.5384615384615385,9.615384615384615,13.307692307692308,0.0,12.615384615384615,0.0
