,GEOGRAPHY_CODE,2001 Density(number of people per hectare),All people,Area (hectares),Females,Males,People living in communal establishments,People living in households,Students away from home
6332,E02006333,0.0006407371691846137,1,0.1671488267438123,0.5058394942676524,0.4941605057323476,0.034822672238294224,0.9651773277617057,0.023143683702989394
6333,E02006334,0.0006623292127521144,1,0.1963565387117762,0.5159401431359791,0.4840598568640208,0.009108653220559532,0.9908913467794405,0.036304489264801565
6334,E02006335,0.005423301486199575,1,0.024416135881104035,0.5168524416135881,0.4831475583864119,0.0,1.0,0.01260615711252654
6335,E02006336,0.0075112490302560115,1,0.020636152055857254,0.5225756400310319,0.4774243599689682,0.0006206361520558572,0.9993793638479441,0.00791311093871218
6336,E02006337,0.005188982949803267,1,0.023011803982353644,0.5050673661619173,0.4949326338380827,0.0021461786097531897,0.9978538213902468,0.017050196733039227
6337,E02006338,0.006957737214273969,1,0.023680315737543166,0.5129090610097023,0.48709093899029765,0.003124486104259168,0.9968755138957408,0.008880118401578688
6338,E02006339,0.001977720128185564,1,0.07721654204181291,0.4982450785899588,0.5017549214100412,0.06653441171982298,0.933465588280177,0.007782694948878377
6339,E02006340,0.0012918263752201389,1,0.08018232673780172,0.5197347974722885,0.4802652025277116,0.012120584274318865,0.9878794157256812,0.022272868538278257
6340,E02006341,0.004299583911234397,1,0.026930189551548776,0.5245030050855294,0.4754969949144706,0.006703652334720296,0.9932963476652797,0.013291724456773001
6341,E02006342,0.005517921146953405,1,0.03243727598566308,0.5492831541218638,0.4507168458781362,0.02992831541218638,0.9700716845878136,0.014336917562724014
6342,E02006343,0.0009434654919236417,1,0.12971120900636318,0.5052618697993148,0.49473813020068524,0.048947626040137054,0.951052373959863,0.020313264806656878
6343,E02006344,0.00020659659296846683,1,0.5831823124320406,0.5212033345415006,0.47879666545849947,0.037815633683701826,0.9621843663162982,0.02331762715959889
6344,E02006345,0.000281905290931815,1,0.491459519511179,0.4357728093320372,0.5642271906679628,0.16261630329120955,0.8373836967087904,0.018330787390640188
6345,E02006346,0.000331041776837652,1,0.31961924907456374,0.5203595980962453,0.4796404019037546,0.019037546271813855,0.9809624537281861,0.028027498677948175
6346,E02006347,0.0019082719082719084,1,0.07152607152607153,0.4942669942669943,0.5057330057330057,0.02661752661752662,0.9733824733824734,0.00969150969150969
6347,E02006348,0.0005568305350887789,1,0.21669283729919073,0.5053750452953255,0.4946249547046745,0.013528203889358619,0.9864717961106414,0.013045053750452952
6348,E02006349,0.00834017687934302,1,0.018951358180669616,0.4987365761212887,0.5012634238787113,0.0,1.0,0.009475679090334808
6349,E02006350,0.0035370433595083646,1,0.048310003414134516,0.5017070672584499,0.49829293274155,0.0,1.0,0.005633321952884944
6350,E02006351,0.0034893288763178194,1,0.0368989457444073,0.5105425559269735,0.4894574440730265,0.0030856261249678583,0.9969143738750321,0.01478529184880432
6351,E02006352,0.009263470093919922,1,0.017795353435491844,0.5030482781347834,0.4969517218652167,0.0,1.0,0.015653320151590048
6352,E02006353,0.004850536746490504,1,0.03402146985962015,0.5096614368290668,0.4903385631709331,0.001486374896779521,0.9985136251032205,0.007597027250206441
6353,E02006354,0.0018420103402669232,1,0.06528796441024408,0.5232656005771312,0.4767343994228688,0.014308043765780931,0.9856919562342191,0.03426716364073584
6354,E02006355,0.003751621271076524,1,0.04328793774319066,0.5085927367055771,0.4914072632944228,0.025616083009079117,0.9743839169909209,0.006971465629053178
6355,E02006356,0.0036320243002820564,1,0.029832935560859187,0.505098719895856,0.4949012801041441,0.01388587546105446,0.9861141245389455,0.011499240616185723
6356,E02006357,0.0017466174661746616,1,0.08809963099630996,0.5038437884378844,0.49615621156211565,0.0016912669126691268,0.9983087330873309,0.008302583025830259
6357,E02006358,0.004029692470837752,1,0.02922116177683516,0.51926475786497,0.48073524213503005,0.3058795805349358,0.6941204194650642,0.011782726522917402
6358,E02006359,0.001196285506190823,1,0.15222141296431171,0.5063729060451566,0.4936270939548434,0.03040786598689002,0.96959213401311,0.030043699927166788
6359,E02006360,0.00019168079280219063,1,0.6805320119963489,0.5278393532403182,0.47216064675968183,0.0421176163776242,0.9578823836223758,0.022297561611683402
6360,E02006361,0.00022622699386503066,1,0.847967791411043,0.5124616564417178,0.4875383435582822,0.003067484662576687,0.9969325153374233,0.021088957055214724
6361,E02006362,0.0017851716803403222,1,0.0850805226374962,0.5161045274992404,0.48389547250075965,0.004861744150714068,0.995138255849286,0.02218170768763294
6362,E02006363,0.0019996354356543932,1,0.09114108640174991,0.5320816624134159,0.467918337586584,0.026977761574917974,0.9730222384250821,0.020962449872402478
6363,E02006364,0.0016210670314637484,1,0.1055061559507524,0.5058139534883721,0.4941860465116279,0.012824897400820793,0.9871751025991792,0.008207934336525308
6364,E02006365,0.0013604408132243968,1,0.13965418962568876,0.5130153904617138,0.48698460953828615,0.05035151054531636,0.9496484894546836,0.020710621318639558
6365,E02006366,0.0010290510006455778,1,0.12550032278889606,0.5067785668173015,0.4932214331826985,0.011103938024531955,0.9888960619754681,0.017688831504196256
