,GEOGRAPHY_CODE,All households,Average household size,Average number of rooms per household,Lowest floor level - Basement or semi-basement,Lowest floor level - Ground level (street level),Lowest floor level - fifth floor or higher,Lowest floor level - first to fourth floor,Occupancy rating of -1 or less,With central heating and sole use of bath/shower and toilet,With central heating; without sole use of bath/shower and toilet,Without central heating or sole use of bath/shower and toilet,Without central heating; with sole use of bath/shower and toilet
636,E02000637,3505.0,2.12,4.35,0.07475035663338088,0.5320970042796006,0.011412268188302425,0.3817403708987161,0.2122681883024251,0.8738944365192582,0.014265335235378032,0.011126961483594865,0.10071326676176891
637,E02000638,3511.0,2.14,4.2,0.043577328396468246,0.49245229279407576,0.05468527485046995,0.40928510395898604,0.2173170037026488,0.9134149814867559,0.008829393335232128,0.0031330105383081744,0.0746226146397038
638,E02000639,3502.0,2.24,3.92,0.022558537978298116,0.38492290119931466,0.028840662478583665,0.5636778983438036,0.2892632781267847,0.7881210736721873,0.0105653912050257,0.01684751570531125,0.18446601941747573
639,E02000640,4156.0,2.25,4.67,0.02863330125120308,0.5887872954764196,0.00505293551491819,0.37752646775745907,0.13691049085659288,0.9023099133782483,0.0019249278152069298,0.0014436958614051972,0.09432146294513956
640,E02000641,3010.0,2.34,4.12,0.019269102990033222,0.49169435215946844,0.02026578073089701,0.46877076411960134,0.2558139534883721,0.93421926910299,0.003986710963455149,0.0,0.061129568106312294
641,E02000642,3492.0,2.25,4.79,0.07388316151202749,0.5893470790378007,0.006872852233676976,0.32989690721649484,0.14604810996563575,0.8980526918671249,0.002004581901489118,0.002004581901489118,0.0979381443298969
642,E02000643,3461.0,2.18,4.52,0.02109216989309448,0.5495521525570645,0.011846287200231146,0.41750939034960993,0.1915631320427622,0.8494654724068188,0.012135221034383126,0.01704709621496677,0.12135221034383126
643,E02000644,3228.0,2.28,4.72,0.09138785625774473,0.5858116480793061,0.006195786864931847,0.31660470879801733,0.16728624535315986,0.8931226765799256,0.006815365551425031,0.006505576208178439,0.09355638166047088
644,E02000645,3580.0,2.14,4.74,0.09497206703910614,0.5843575418994413,0.0011173184357541898,0.3195530726256983,0.1653631284916201,0.8932960893854749,0.01005586592178771,0.002793296089385475,0.09385474860335195
645,E02000646,3408.0,2.18,4.7,0.07922535211267606,0.5296361502347418,0.020539906103286387,0.37059859154929575,0.17018779342723006,0.8879107981220657,0.01584507042253521,0.017312206572769953,0.07893192488262911
646,E02000647,3402.0,2.25,4.87,0.05114638447971781,0.6757789535567313,0.00823045267489712,0.2648442092886537,0.14609053497942387,0.913286302175191,0.006172839506172839,0.006760728982951205,0.0737801293356849
647,E02000648,3328.0,2.24,4.29,0.033353365384615384,0.6295072115384616,0.014723557692307692,0.32241586538461536,0.2049278846153846,0.9002403846153846,0.006310096153846154,0.0,0.0928485576923077
648,E02000649,4587.0,2.04,4.16,0.08262480924351429,0.4754741661216481,0.00828428166557663,0.43361674296926095,0.23741007194244604,0.8192718552430782,0.02528885982123392,0.026814911706998037,0.12862437322868978
649,E02000650,3306.0,2.26,4.47,0.11070780399274047,0.5665456745311555,0.009679370840895343,0.31306715063520874,0.18330308529945555,0.896551724137931,0.004839685420447671,0.00514216575922565,0.09346642468239565
650,E02000651,3210.0,2.34,4.87,0.04454828660436137,0.6613707165109034,0.004672897196261682,0.28940809968847353,0.19190031152647974,0.8582554517133957,0.01838006230529595,0.01806853582554517,0.10529595015576323
651,E02000652,2703.0,2.69,5.16,0.01220865704772475,0.8871624121346652,0.0014798372179060304,0.09914909359970403,0.14317425083240842,0.8901220865704772,0.004809470958194599,0.0011098779134295228,0.10432852386237514
652,E02000653,3047.0,2.44,3.87,0.015425008204791599,0.41483426320971445,0.15818838201509683,0.41155234657039713,0.31145388907121757,0.9304233672464719,0.00590744995077125,0.0013127666557269445,0.062356416147029865
653,E02000654,2912.0,2.43,3.82,0.029532967032967032,0.4337225274725275,0.08344780219780219,0.4532967032967033,0.33001373626373626,0.9371565934065934,0.005151098901098901,0.0013736263736263737,0.05631868131868132
654,E02000655,3420.0,2.21,3.8,0.08011695906432749,0.514327485380117,0.025146198830409357,0.3804093567251462,0.2868421052631579,0.8567251461988304,0.005555555555555556,0.0011695906432748538,0.13654970760233917
655,E02000656,3146.0,2.29,3.76,0.024157660521296885,0.4698029243483789,0.04227590591226955,0.46376350921805465,0.31532104259376986,0.9132231404958677,0.018753973299427844,0.0,0.0677050222504768
