,GEOGRAPHY_CODE,All people aged 3 and over,No knowledge of Welsh,Other combination of skills,Speaks and reads but does not write Welsh,Speaks but does not read or write Welsh,"Speaks, reads and writes Welsh",Understands spoken Welsh only
68,W02000069,1,0.7847838399093827,0.03152727959222201,0.007551444213705872,0.017557107796866152,0.11006229941476307,0.04851802907306022
69,W02000070,1,0.8341252243691268,0.026396367859782496,0.007918910357934749,0.015204307887234716,0.08721359940872137,0.029141590117199873
70,W02000071,1,0.7940282001658834,0.029582526956040918,0.009952999723527785,0.01962952723251313,0.10588885816975394,0.0409178877522809
71,W02000072,1,0.8689267763871095,0.016753720311422096,0.007194244604316547,0.019414605302059722,0.06691632994973884,0.020794323445353306
72,W02000073,1,0.7057044079515989,0.032411408815903195,0.013504753673292999,0.02355229040622299,0.16756698357821953,0.057260155574762314
73,W02000074,1,0.8429132040627886,0.025161588180978762,0.007040627885503232,0.016043397968605724,0.07259926131117267,0.03624192059095106
74,W02000075,1,0.816566904807878,0.0254875458582738,0.009075111025294458,0.016026259895732767,0.0975091716547596,0.0353350067580614
75,W02000076,1,0.7051966292134831,0.042134831460674156,0.01853932584269663,0.027668539325842696,0.15224719101123596,0.054213483146067415
76,W02000077,1,0.7732335537765402,0.03289244691959624,0.010442046641141664,0.02419074138531152,0.10824921684650192,0.05099199443090846
77,W02000078,1,0.8613795842711506,0.02012445385939362,0.0068846815834767644,0.01456374950350854,0.0660664636568251,0.03098106712564544
78,W02000079,1,0.8272200772200772,0.025482625482625483,0.008687258687258687,0.019691119691119693,0.07644787644787644,0.04247104247104247
79,W02000080,1,0.825013638843426,0.02973267866884888,0.007637752318603383,0.016639388979814512,0.07665030005455538,0.044326241134751775
80,W02000081,1,0.8223117787140501,0.026012090126396777,0.008976002930939732,0.017768822128594982,0.08371496611100934,0.04121633998900898
81,W02000082,1,0.8022870899789347,0.03596148058982847,0.00842612097502257,0.016701775504062592,0.08892566957568462,0.047697863376467045
82,W02000083,1,0.6902281047592228,0.04590256265840608,0.016755843424387497,0.030132357082511968,0.1446071529146719,0.07237397916079978
83,W02000084,1,0.8067677514792899,0.0323594674556213,0.010170118343195266,0.015902366863905327,0.09005177514792899,0.04474852071005917
84,W02000085,1,0.7953893795159995,0.030966853997018005,0.010207592613831862,0.01961234086477807,0.09886454868677601,0.044959284321596515
85,W02000086,1,0.8091728091728092,0.027436527436527438,0.007985257985257985,0.019246519246519246,0.09275184275184276,0.043407043407043405
86,W02000087,1,0.846200332376492,0.028252001812962682,0.008460492521528931,0.022208792869013446,0.06405801480586192,0.03082036561414111
87,W02000088,1,0.7758857456742653,0.031035429826970613,0.009200769019500137,0.02073606152156001,0.11370502609173304,0.04943696786597089
88,W02000089,1,0.818247023382585,0.02323913355329221,0.005307703342418591,0.01922249318605652,0.08664467077894134,0.047338975756706356
89,W02000090,1,0.6582746478873239,0.041901408450704225,0.020774647887323944,0.03609154929577465,0.1551056338028169,0.08785211267605633
90,W02000091,1,0.6761759212090338,0.03498047206656478,0.0163015792154865,0.035489896417048736,0.17116658176260827,0.06588554932925794
91,W02000092,1,0.5513354948278524,0.033194380114250424,0.02779064381658175,0.05527250270186815,0.23776439709742164,0.09464258144202563
92,W02000093,1,0.7916522341531002,0.03255975060616557,0.013682022861101489,0.0199168687218566,0.09248354693453412,0.04970557672324212
93,W02000094,1,0.7401715511079342,0.04229211341434358,0.01250893495353824,0.02394567548248749,0.11150822015725519,0.06957350488444126
94,W02000095,1,0.8422585342177641,0.025562206762659762,0.00695680310629348,0.01520789516259505,0.07749555088173435,0.032519009868953244
95,W02000096,1,0.7063639172072907,0.03151065801668211,0.017763361136855112,0.031356194006796415,0.1462774173617547,0.06672845227062095
96,W02000097,1,0.5109754666040615,0.03286770747740345,0.026998473999295693,0.04695386782486207,0.30426106350510623,0.07794342058927105
97,W02000098,1,0.7848484848484848,0.026136363636363635,0.012878787878787878,0.019696969696969695,0.10397727272727272,0.05246212121212121
98,W02000099,1,0.7862354892205639,0.027529021558872307,0.008789386401326699,0.025207296849087894,0.10497512437810945,0.0472636815920398
99,W02000100,1,0.3329882677708765,0.026052449965493444,0.029158040027605244,0.05434782608695652,0.4867149758454106,0.0707384403036577
100,W02000101,1,0.8115258408531584,0.02378999179655455,0.010254306808859722,0.028917145200984415,0.08388022969647252,0.04163248564397047
101,W02000102,1,0.581021897810219,0.04069343065693431,0.018065693430656934,0.036313868613138685,0.2406934306569343,0.08321167883211679
102,W02000103,1,0.82134944612286,0.022759315206445117,0.005639476334340383,0.021349446122860022,0.08398791540785498,0.04491440080563948
103,W02000104,1,0.7512346808121456,0.03182732760197549,0.012255350283519298,0.022132796780684104,0.12218767148344613,0.060362173038229376
104,W02000105,1,0.7787866281469253,0.026826248452331822,0.010317787866281469,0.02703260420965745,0.10689228229467602,0.05014444903012794
