,GEOGRAPHY_CODE,All households,No adults in employment - with dependent children,No adults in employment - without dependent children,With dependent children - aged 0 to 4,With dependent children - all ages,With one or more people with a limiting long-term illness
58,E02000059,1,0.07015620718004933,0.2608933954508084,0.11674431351055084,0.30419292956974514,0.3030967388325569
59,E02000060,1,0.03777923784494087,0.2897503285151117,0.1645860709592641,0.3252299605781866,0.2818659658344284
60,E02000061,1,0.02524735585124531,0.2326850904128284,0.09825997952917093,0.2408734220402593,0.21869669054930058
61,E02000062,1,0.09651474530831099,0.2676496872207328,0.13136729222520108,0.3221626452189455,0.3355674709562109
62,E02000063,1,0.05795724465558195,0.2323040380047506,0.12589073634204276,0.32494061757719717,0.28978622327790976
63,E02000064,1,0.08027038445289396,0.2885509083227714,0.11618081960287284,0.2758766370933671,0.30671736375158426
64,E02000065,1,0.0742811501597444,0.1505591054313099,0.17252396166134185,0.39177316293929715,0.2507987220447284
65,E02000066,1,0.11898535564853556,0.2526150627615063,0.1535041841004184,0.3564330543933054,0.33289748953974896
66,E02000067,1,0.06927175843694494,0.25695677915926585,0.14298401420959148,0.3185316755476613,0.2951450562462996
67,E02000068,1,0.08646616541353383,0.2284878863826232,0.1670843776106934,0.341687552213868,0.2769423558897243
68,E02000069,1,0.05215605749486653,0.2985626283367556,0.11170431211498973,0.28542094455852157,0.31211498973305957
69,E02000070,1,0.028635778635778635,0.31145431145431146,0.10038610038610038,0.3001930501930502,0.33719433719433717
70,E02000071,1,0.041879096868171886,0.24726875455207575,0.15076474872541878,0.3721777130371449,0.31281864530225784
71,E02000072,1,0.12317880794701987,0.25739514348785875,0.18785871964679912,0.3609271523178808,0.30485651214128034
72,E02000073,1,0.022503160556257902,0.31049304677623263,0.11554993678887485,0.3274336283185841,0.31757269279393174
73,E02000074,1,0.08410028562361155,0.317994287527769,0.12884798476674073,0.33037131069501746,0.35036496350364965
74,E02000075,1,0.023674242424242424,0.33396464646464646,0.1029040404040404,0.3036616161616162,0.3317550505050505
75,E02000076,1,0.034375,0.337890625,0.089453125,0.278515625,0.3484375
