,GEOGRAPHY_CODE,All categories: Tenure,Other,Owned outright,Owned with a mortgage or loan,Rented from a housing association/registered social landlord,Rented from a private landlord or letting agency,Rented from council(local authority),Shared ownership
806,E02000807,1,0.027614024201054917,0.09587340986658392,0.39404281725100837,0.12752094322060192,0.2044678870617437,0.09618367980142724,0.05429723859757989
807,E02000808,1,0.05780730897009967,0.07973421926910298,0.1514950166112957,0.24717607973421926,0.1318936877076412,0.32325581395348835,0.008637873754152824
808,E02000809,1,0.040957315568714535,0.10066617320503331,0.25758697261287933,0.04071058475203553,0.22600542807796695,0.32790525536639525,0.00616827041697508
809,E02000810,1,0.024078478002378122,0.057074910820451845,0.1429845422116528,0.08204518430439953,0.07877526753864447,0.6010701545778835,0.013971462544589775
810,E02000811,1,0.03536977491961415,0.07324044301536263,0.1532690246516613,0.1836370132190068,0.14648088603072526,0.3912111468381565,0.01679171132547338
811,E02000812,1,0.028002154011847066,0.045234248788368334,0.13920301561658588,0.16774367259019923,0.10608508346795907,0.5026925148088315,0.01103931071620894
812,E02000813,1,0.03206724782067248,0.050435865504358655,0.12173100871731009,0.10647571606475716,0.10709838107098381,0.5379825653798257,0.04420921544209216
813,E02000814,1,0.03192124105011933,0.08144391408114558,0.32846062052505964,0.16199284009546538,0.23269689737470167,0.12678997613365156,0.0366945107398568
814,E02000815,1,0.036388602814967384,0.053896326810847925,0.1249570889117748,0.06453827669069688,0.16340542396155167,0.5472021970477171,0.009612083762444216
815,E02000816,1,0.01870503597122302,0.07309352517985611,0.22158273381294963,0.08834532374100719,0.11971223021582734,0.44,0.03856115107913669
816,E02000817,1,0.018518518518518517,0.04359567901234568,0.08989197530864197,0.15123456790123457,0.05131172839506173,0.6331018518518519,0.012345679012345678
817,E02000818,1,0.021726190476190475,0.055357142857142855,0.12291666666666666,0.09970238095238096,0.15208333333333332,0.5401785714285714,0.008035714285714285
818,E02000819,1,0.03224815724815725,0.04944717444717445,0.14312039312039312,0.20485257985257985,0.10841523341523342,0.45055282555282555,0.011363636363636364
819,E02000820,1,0.02121476315024702,0.07381575123510607,0.14065678581807614,0.1037489102005231,0.0912525428654461,0.5582679453647196,0.01104330136588201
820,E02000821,1,0.023880597014925373,0.04046434494195688,0.07694859038142621,0.10248756218905472,0.0845771144278607,0.668988391376451,0.0026533996683250414
821,E02000822,1,0.017469709777402084,0.03409411101718794,0.06621583544660467,0.16483516483516483,0.06846999154691462,0.6449704142011834,0.0039447731755424065
822,E02000823,1,0.01965356429047302,0.07228514323784144,0.17388407728181213,0.041305796135909394,0.10193204530313124,0.5829447035309794,0.007994670219853431
823,E02000824,1,0.016825396825396827,0.044126984126984126,0.07587301587301587,0.09904761904761905,0.04285714285714286,0.7133333333333334,0.007936507936507936
824,E02000825,1,0.015430937147158449,0.024840045163718478,0.052314640572073766,0.1539330071509221,0.05118554761008656,0.6955212645841174,0.006774557771923222
825,E02000826,1,0.026184538653366583,0.062032418952618455,0.14307980049875313,0.1094139650872818,0.10037406483790523,0.5442643391521197,0.014650872817955112
826,E02000827,1,0.01862503423719529,0.04519309778142974,0.09367296631059983,0.20049301561216104,0.1018898931799507,0.5349219391947412,0.005204053683922213
827,E02000828,1,0.016237204376985528,0.06141899046946699,0.14542887398517473,0.07271443699258737,0.07342040240028239,0.6071302506177197,0.023649841157783267
828,E02000829,1,0.014710389212381244,0.09837572785779958,0.19154152620288079,0.10481152313821636,0.09163346613545817,0.49187863928899783,0.007048728164266013
829,E02000830,1,0.026131874810088117,0.13339410513521727,0.2923123670616834,0.10391978122151321,0.15496809480401094,0.2780309936189608,0.011242783348526283
830,E02000831,1,0.026597370834607153,0.15744420666462855,0.2864567410577805,0.1305411189238765,0.1553041883216142,0.2366248853561602,0.007031488841332926
831,E02000832,1,0.025022078304386224,0.08831321754489255,0.2107742125404769,0.10420959670297321,0.1003826906093612,0.45599057992346187,0.015307624374448043
832,E02000833,1,0.03682037164487268,0.11734342739160358,0.2050929112181693,0.030626290433585685,0.07845836200963524,0.5282174810736407,0.0034411562284927736
833,E02000834,1,0.02142051860202931,0.1488162344983089,0.3599210822998873,0.11922209695603157,0.221815107102593,0.11837655016910936,0.010428410372040587
834,E02000835,1,0.01889644746787604,0.17800453514739228,0.35563114134542706,0.051776266061980346,0.13718820861678005,0.25245653817082386,0.006046863189720333
835,E02000836,1,0.022037687639731716,0.1957840945384861,0.39348450974129673,0.08719259022676461,0.17598211434046632,0.11753433407856914,0.007984669434685404
836,E02000837,1,0.02502606882168926,0.3381995133819951,0.37608620090371914,0.03858185610010428,0.12061174834897463,0.0983663538408064,0.0031282586027111575
