,GEOGRAPHY_CODE,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,All categories: Car or van availability,No cars or vans in household,sum of all cars or vans in the area
6122,E02006123,0.38711001642036125,0.38341543513957305,0.07019704433497537,0.01929392446633826,1,0.13998357963875205,1.4523809523809523
6123,E02006124,0.4286660046342271,0.17941079112876532,0.029129427341939754,0.009268454154253558,1,0.3535253227408143,0.9132737504137702
6124,E02006125,0.44976076555023925,0.22775119617224882,0.03413078149920255,0.012759170653907496,1,0.2755980861244019,1.060287081339713
6125,E02006126,0.4259077526987242,0.3411841674844619,0.07131174353941773,0.020608439646712464,1,0.14098789663068367,1.4115145567549885
6126,E02006127,0.3789287295263391,0.49667994687915007,0.07171314741035857,0.02036299247454626,1,0.03231518370960602,1.675077467906153
6127,E02006128,0.4079841449603624,0.30379388448471123,0.06483578708946772,0.01840317100792752,1,0.20498301245753114,1.2896375990939977
6128,E02006129,0.4474720945502298,0.17892317793827972,0.032501641497045305,0.008207485226526593,1,0.3328956007879186,0.9415627051871307
6129,E02006130,0.4363354037267081,0.3093944099378882,0.0593944099378882,0.020186335403726708,1,0.17468944099378883,1.3183229813664596
6130,E02006131,0.41228379809389337,0.34451111895517117,0.0801270737733851,0.02717966819625838,1,0.13589834098129192,1.4599364631133074
6131,E02006132,0.488353085410707,0.22435635472006538,0.031058438904781365,0.00939926440539436,1,0.2468328565590519,1.0694728238659583
6132,E02006133,0.4476650563607085,0.27375201288244766,0.05434782608695652,0.015297906602254429,1,0.20893719806763286,1.2250402576489532
6133,E02006134,0.43669827105409925,0.3354712771890686,0.05577244841048522,0.016174010039040714,1,0.15588399330730618,1.3424428332403793
6134,E02006135,0.46436561201661875,0.3326941514860978,0.058165548098434,0.009268136784915308,1,0.13550655161393416,1.345158197507191
6135,E02006136,0.3319932998324958,0.4284757118927973,0.11323283082077051,0.035175879396984924,1,0.09112227805695143,1.684422110552764
6136,E02006137,0.46618357487922707,0.17119565217391305,0.022342995169082124,0.006642512077294686,1,0.3336352657004831,0.9045893719806763
6137,E02006138,0.4719710669077758,0.15867992766726943,0.024412296564195298,0.004972875226039783,1,0.3399638336347197,0.8878842676311031
6138,E02006139,0.44932844932844934,0.13553113553113552,0.0231990231990232,0.005291005291005291,1,0.38665038665038665,0.8123728123728123
6139,E02006140,0.4422724496029322,0.24129505192425169,0.03726328649969456,0.013439218081857055,1,0.2657299938912645,1.1023213194868662
6140,E02006141,0.4495522388059702,0.12208955223880597,0.02,0.005074626865671642,1,0.40328358208955223,0.777910447761194
6141,E02006142,0.46253101736972707,0.35384615384615387,0.04813895781637717,0.010421836228287842,1,0.1250620347394541,1.361786600496278
6142,E02006143,0.46311889525092625,0.3536544291007073,0.04816436510609633,0.014482990906028967,1,0.12057931963624116,1.3765577635567532
6143,E02006144,0.44842657342657344,0.15064102564102563,0.02564102564102564,0.006701631701631702,1,0.3685897435897436,0.8540209790209791
6144,E02006145,0.3875448028673835,0.38485663082437277,0.0793010752688172,0.02867383512544803,1,0.1196236559139785,1.5192652329749103
6145,E02006146,0.4381941956288069,0.3403797921891795,0.06485130777499104,0.024005732712289504,1,0.13256897169473308,1.420637764242207
6146,E02006147,0.3434747798238591,0.4187349879903923,0.09727782225780625,0.03282626100880705,1,0.1076861489191353,1.6184947958366693
6147,E02006148,0.3269976726144298,0.4422032583397983,0.11442979053529868,0.04460822342901474,1,0.0717610550814585,1.7463149728471683
6148,E02006149,0.4268841394825647,0.17463442069741283,0.028965129358830145,0.008998875140607425,1,0.36051743532058494,0.9032620922384702
6149,E02006150,0.42913385826771655,0.36572731040198925,0.07252382925818483,0.01989225031081641,1,0.112722751761293,1.4658101947782842
6150,E02006151,0.40166046378471226,0.3243630117377612,0.06298310907529345,0.01975379330088749,1,0.19123962210134554,1.3243630117377612
6151,E02006152,0.45356176735798015,0.3143973549744515,0.05440336639615269,0.015329125338142471,1,0.1623083859332732,1.317102494740006
6152,E02006153,0.33499425067075506,0.4246837868915293,0.11115369873514756,0.037562284400153315,1,0.09160597930241472,1.6849367573783058
6153,E02006154,0.3966286564204264,0.3772930094199306,0.08998512642538424,0.026524541398116015,1,0.10956866633614279,1.5344571145265244
6154,E02006155,0.48359929078014185,0.22695035460992907,0.047872340425531915,0.011081560283687944,1,0.23049645390070922,1.12854609929078
6155,E02006156,0.320633850303439,0.44099797707349964,0.12002697235333783,0.04821308159136885,1,0.07012811867835468,1.7862440997977074
6156,E02006157,0.38308651597817617,0.31683554169914263,0.0779423226812159,0.026500389711613406,1,0.1956352299298519,1.3686671862821511
6157,E02006158,0.43712930011862394,0.35883748517200476,0.0732502965599051,0.018386714116251483,1,0.11239620403321471,1.454329774614472
6158,E02006159,0.45811197384552516,0.22435635472006538,0.03841438496117695,0.006538618716796077,1,0.27257866775643647,1.051491622394769
6159,E02006160,0.4789892106757524,0.196763202725724,0.04088586030664395,0.010505394662123793,1,0.2728563316297558,1.0428733674048836
6160,E02006161,0.46130952380952384,0.34672619047619047,0.055431547619047616,0.014508928571428572,1,0.12202380952380952,1.3854166666666667
6161,E02006162,0.44344146685472496,0.25811001410437234,0.06008462623413258,0.019746121297602257,1,0.21861777150916784,1.2267983074753173
6162,E02006163,0.462246192893401,0.19003807106598986,0.03267766497461929,0.005076142131979695,1,0.30996192893401014,0.9660532994923858
