,GEOGRAPHY_CODE,All people,All people who provide unpaid care,People of working age with limiting long-term illness,People who provide unpaid care 1 to 19 hours a week,People who provide unpaid care 20 to 49 hours a week,People who provide unpaid care 50 or more hours a week,People whose health was fairly good,People whose health was good,People whose health was not good,People with limiting long-term illness
6070,E02006071,6706.0,0.11586638830897704,0.06770056665672532,0.08440202803459589,0.008350730688935281,0.02311362958544587,0.2244258872651357,0.6893826424097823,0.08619147032508202,0.18013719057560393
6071,E02006072,8958.0,0.11609734315695468,0.06943514177271712,0.08852422415717794,0.007925876311676714,0.019647242688100024,0.21500334896182183,0.709310113864702,0.07568653717347622,0.16331770484483144
6072,E02006073,7255.0,0.07980702963473467,0.0957960027567195,0.044658855961405924,0.009648518263266712,0.025499655410062026,0.2709855272226051,0.6136457615437629,0.11536871123363197,0.21474844934527912
6073,E02006074,6737.0,0.0976695858690812,0.07599821879174706,0.06902181980109841,0.010093513433278908,0.018554252634703873,0.24224432239869378,0.679382514472317,0.07837316312898916,0.1681757458809559
6074,E02006075,5314.0,0.09126834776063229,0.05438464433571697,0.06925103500188182,0.008844561535566429,0.013172751223184042,0.20436582611968385,0.7391795257809559,0.05645464809936018,0.13793752352277003
6075,E02006076,8110.0,0.10209617755856967,0.06103575832305795,0.07546239210850801,0.00998766954377312,0.016646115906288533,0.2130702836004932,0.7049321824907522,0.08199753390875462,0.17053020961775586
6076,E02006077,5173.0,0.11134738063019524,0.06765899864682003,0.08293060119853084,0.009665571235260004,0.01875120819640441,0.2482118693214769,0.6638314324376571,0.08795669824086604,0.19795089889812487
6077,E02006078,5232.0,0.11009174311926606,0.0672782874617737,0.0856269113149847,0.0066896024464831805,0.017775229357798166,0.22190366972477063,0.6909403669724771,0.0871559633027523,0.1790902140672783
6078,E02006079,6423.0,0.09341429238673517,0.06679121905651565,0.06663552856920442,0.009964191187918418,0.01681457262961233,0.23369142145414915,0.680056048575432,0.08625252997041881,0.18402615600186828
6079,E02006080,6567.0,0.09456372772955687,0.0581696360590833,0.07156997106745851,0.007461550175118015,0.015532206486980357,0.19445713415562663,0.7482868889904066,0.05725597685396681,0.13704888076747374
6080,E02006081,5273.0,0.11890764270813578,0.06277261520955812,0.08647828560591693,0.013275175421960933,0.01915418168025792,0.22321259245211456,0.6942916745685568,0.08249573297932866,0.18130096719135216
6081,E02006082,5882.0,0.10268616116967018,0.06987419245154709,0.07327439646378783,0.01037062223733424,0.019041142468548114,0.2318939136348181,0.6987419245154709,0.06936416184971098,0.16456987419245156
6082,E02006083,5454.0,0.09864319765309865,0.058672533920058674,0.07297396406307298,0.006784011734506784,0.018885221855518886,0.23102310231023102,0.6969196919691969,0.07205720572057206,0.1563989732306564
6083,E02006084,6839.0,0.10951893551688843,0.05892674367597602,0.08539260125749379,0.0068723497587366575,0.01725398450065799,0.2291270653604328,0.6907442608568504,0.08012867378271678,0.1756104693668665
6084,E02006085,5959.0,0.10102366168820272,0.0740057056553113,0.07199194495720758,0.008894109749958046,0.020137606981037087,0.23527437489511663,0.6934049337137104,0.07132069139117302,0.15774458801812385
6085,E02006086,5468.0,0.09052670080468178,0.07571324067300658,0.06656912948061448,0.007863935625457206,0.016093635698610095,0.2254937820043892,0.7031821506949525,0.07132406730065838,0.1686174103877103
6086,E02006087,5707.0,0.0774487471526196,0.07814964079200981,0.05221657613457158,0.008235500262835115,0.016996670755212898,0.24303486945855968,0.6686525319782723,0.08831259856316805,0.16593656912563517
6087,E02006088,7333.0,0.09341333696986226,0.09232237828992226,0.06136642574662485,0.008454929769534979,0.02359198145370244,0.26142097368062184,0.6463930178644484,0.09218600845492977,0.19200872766943952
6088,E02006089,5695.0,0.0820017559262511,0.09499561018437226,0.059350307287093944,0.00684811237928007,0.015803336259877086,0.24635645302897277,0.6549604916593503,0.09868305531167691,0.1845478489903424
6089,E02006090,6110.0,0.1016366612111293,0.07217675941080197,0.07103109656301146,0.011292962356792145,0.019312602291325694,0.24353518821603928,0.6630114566284779,0.09345335515548281,0.19361702127659575
6090,E02006091,9734.0,0.10715019519211012,0.06441339634271626,0.0815697554961989,0.008835011300595849,0.016745428395315388,0.23032668995274297,0.6959112389562359,0.07376207109102116,0.1666324224368194
6091,E02006092,5868.0,0.09662576687116564,0.06237218813905931,0.07208588957055215,0.008861622358554875,0.015678254942058625,0.20501022494887525,0.7319359236537151,0.06305385139740968,0.1525221540558964
6092,E02006093,7033.0,0.11062135646239159,0.06213564623915825,0.08289492393004408,0.008957770510450732,0.01876866202189677,0.24783165078913694,0.6652921939428409,0.08687615526802218,0.18455850988198494
6093,E02006094,5258.0,0.11182959300114112,0.0699885888170407,0.08425256751616585,0.009319132750095093,0.018257892734880182,0.23507036896158234,0.6869532141498669,0.07797641688855078,0.17249904906808672
6094,E02006095,7520.0,0.10305851063829788,0.06861702127659575,0.07659574468085106,0.00851063829787234,0.01795212765957447,0.26529255319148937,0.6488031914893617,0.08590425531914894,0.18284574468085107
6095,E02006096,6383.0,0.09556634811217296,0.06611311295629015,0.07018643271189096,0.006736644211185963,0.018643271189096037,0.23860253799154002,0.6885477048409838,0.0728497571674761,0.17421275262415792
6096,E02006097,5625.0,0.1000888888888889,0.08,0.06826666666666667,0.010844444444444445,0.02097777777777778,0.2920888888888889,0.6090666666666666,0.09884444444444444,0.2225777777777778
