,GEOGRAPHY_CODE,All categories: NS-SeC,Full-time students,Higher professional occupations,Intermediate occupations,Large employers and higher managerial and administrative occupations,Long-term unemployed,"Lower managerial, administrative and professional occupations",Lower supervisory and technical occupations,Never worked,Not classifiable for other reasons,Routine occupations,Semi-routine occupations,Small employers and own account workers
5126,E02005127,3599.3333333333335,0.05927023522874606,0.048712724578625674,0.10576032598629376,0.045008334876829044,0.0055565845526949435,0.23189479533246896,0.06464160029635117,0.014817558807186515,0.1885534358214484,0.05575106501203926,0.09946286349323949,0.08057047601407667
5127,E02005128,3888.6666666666665,0.05417452425852906,0.043373907080404596,0.09394822561289216,0.03257328990228013,0.007371849819989714,0.19235384879135953,0.07886164923709928,0.014743699639979428,0.168523915652323,0.11743528201611522,0.13166466655237444,0.06497514143665352
5128,E02005129,4414.0,0.050596586618335604,0.04485727231536022,0.0853345416100287,0.02431656849418517,0.009062075215224286,0.17565322458843077,0.07959522730705332,0.017671046669687357,0.19015254493278963,0.12641594925237878,0.13230629814227457,0.06403866485425162
5129,E02005130,3795.3333333333335,0.044089232390655195,0.04496750395222202,0.07447742842086773,0.03565782539961356,0.008958369927981732,0.19128754610925697,0.08080098366414895,0.02599683822237836,0.17407342350254698,0.09713683470929212,0.1117161426313016,0.11083787106973476
5130,E02005131,2564.0,0.05018200728029121,0.06682267290691628,0.0798231929277171,0.042641705668226726,0.008320332813312532,0.21268850754030164,0.06630265210608424,0.0109204368174727,0.1658866354654186,0.0767030681227249,0.10530421216848673,0.11440457618304732
5131,E02005132,3412.6666666666665,0.06798202773979294,0.014846649736276616,0.06153545614377808,0.012502441883180308,0.04493065051767924,0.1252197694862278,0.06798202773979294,0.06055870287165462,0.20922055088884547,0.11134987302207464,0.1424106270756007,0.0814612228950967
5132,E02005133,3686.0,0.0473865075058781,0.039428468077410024,0.07741001989509856,0.03472599023331525,0.008138903960933261,0.1806836679327184,0.05570627599927654,0.013203110869958401,0.2910110327364804,0.053355037077229155,0.10056068005064207,0.09839030566105987
5133,E02005134,3208.0,0.05631753948462177,0.025145469659185373,0.06546134663341646,0.013923524522028262,0.027015793848711556,0.14921030756442227,0.09081463009143806,0.04239401496259352,0.17103075644222776,0.12011637572734829,0.1654197838736492,0.07315045719035744
5134,E02005135,3227.3333333333335,0.057426151621565794,0.026440818012807267,0.08200784961784756,0.011980995662053294,0.014872960132204089,0.15843833918611855,0.09708737864077668,0.019830613509605452,0.18901053501342696,0.11072092542863043,0.16153687254699442,0.07064656062796942
5135,E02005136,3647.3333333333335,0.0623286419301773,0.02869676475964175,0.0795101443977335,0.025955035642478523,0.013525863644671907,0.1800402120270517,0.06945713763480169,0.02120270517272893,0.21513434472674098,0.08298300127947358,0.1332480350941327,0.0879181136903674
