,GEOGRAPHY_CODE,All people aged 16-74,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,No qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 to 74
3934,E02003935,1,0.009137055837563452,0.0,0.009340101522842639,0.2134010152284264,0.22883248730964467,0.06152284263959391,0.11289340101522842,0.06923857868020304,0.3141116751269036,0.030862944162436547,0.018883248730964468
3935,E02003936,1,0.008557457212713936,0.0017464198393293748,0.01781348236115962,0.1678309465595529,0.21777855396437304,0.07282570730003493,0.18477121900104784,0.07771568285015718,0.2790778903248341,0.02829200139713587,0.028117359413202935
3936,E02003937,1,0.005923000987166831,0.0007403751233958539,0.013820335636722606,0.16189536031589338,0.2376604146100691,0.06959526159921027,0.18065153010858837,0.07428430404738401,0.27591312931885487,0.02443237907206318,0.02048371174728529
3937,E02003938,1,0.00541299117882919,0.0010024057738572574,0.007818765036086608,0.16720128307939053,0.23195669607056937,0.08139534883720931,0.1537690457097033,0.07999198075380914,0.28568564554931836,0.022253408179631114,0.014234161988773055
3938,E02003939,1,0.008022003208801283,0.0,0.009168003667201467,0.1744212697685079,0.24043089617235847,0.0806784322713729,0.13591565436626174,0.074948429979372,0.293605317442127,0.02681641072656429,0.017648407059362825
3939,E02003940,1,0.008853681267474371,0.0013979496738117428,0.011649580615097856,0.1554054054054054,0.2092264678471575,0.08690587138863001,0.17590866728797763,0.07525629077353216,0.2972972972972973,0.03331780055917987,0.02190121155638397
3940,E02003941,1,0.008156606851549755,0.0009321836401771149,0.007923560941505477,0.18317408529480309,0.21603355861104637,0.08249825215567466,0.1272430668841762,0.08412957352598462,0.30692146352831506,0.03099510603588907,0.017012351433232348
3941,E02003942,1,0.007620660457239628,0.001693480101608806,0.00867908552074513,0.20808636748518206,0.21486028789161726,0.0552497883149873,0.08806096528365792,0.08763759525825572,0.3461049957662998,0.023920406435224386,0.017993226079593565
3942,E02003943,1,0.007471980074719801,0.0012453300124533001,0.009251022949653086,0.16402775306884895,0.22131293364170077,0.060665362035225046,0.162960327343889,0.09019747375911759,0.3008361501512186,0.03148905888631916,0.017968333036826187
3943,E02003944,1,0.007412181759587496,0.0006445375443119562,0.011279407025459234,0.1867547534643893,0.20657428295198196,0.058814050918466,0.10731550112794071,0.09055752497582985,0.3499838865613922,0.027715114405414115,0.019336126329358685
3944,E02003945,1,0.00910010111223458,0.0007583417593528817,0.011627906976744186,0.15369059656218403,0.23154701718907988,0.0717896865520728,0.1807381193124368,0.10010111223458039,0.2621334681496461,0.02654196157735086,0.021233569261880688
3945,E02003946,1,0.007665389101816364,0.0006665555740709882,0.012331278120313281,0.17763706048991834,0.20979836693884352,0.07382102982836194,0.1749708381936344,0.08448591901349775,0.27928678553574404,0.024495917347108816,0.02066322279620063
