,GEOGRAPHY_CODE,All households,One family and no others,One family and no others - All pensioners,One family and no others - Lone parent households - all children non-dependent,One family and no others - Lone parent households - with dependent children,One family and no others - cohabiting couple households - all children non-dependent,One family and no others - cohabiting couple households - no children,One family and no others - cohabiting couple households - with dependent children,One family and no others - married couple households - all children non-dependent,One family and no others - married couple households - no children,One family and no others - married couple households - with dependent children,One person household,One person household - Other,One person household - Pensioner,Other households,Other households - All pensioner,Other households - All students,Other households - Other,Other households - With dependent children
4294,E02004295,3075.0,0.7180487804878048,0.09463414634146342,0.03284552845528455,0.05430894308943089,0.0045528455284552845,0.04455284552845529,0.030894308943089432,0.08357723577235772,0.16195121951219513,0.21073170731707316,0.24747967479674796,0.11772357723577236,0.12975609756097561,0.03447154471544715,0.0035772357723577236,0.0,0.014634146341463415,0.016260162601626018
4295,E02004296,3322.0,0.6646598434677905,0.07645996387718242,0.03371462974111981,0.07886815171583383,0.0030102347983142685,0.037928958458759786,0.03431667670078266,0.07525586995785671,0.1444912703190849,0.1806140878988561,0.2925948223961469,0.1580373269114991,0.1345574954846478,0.042745334136062615,0.0027092113184828417,0.0,0.026189042745334137,0.013847080072245636
4296,E02004297,3261.0,0.6869058570990494,0.08616988653787182,0.032505366452008584,0.05519779208831647,0.0030665440049064702,0.054891137687825824,0.030665440049064702,0.08310334253296535,0.15087396504139836,0.19043238270469182,0.27752223244403557,0.13186139221097823,0.14566084023305734,0.03557191045691506,0.0033731984053971173,0.0,0.020852499233364,0.01134621281815394
4297,E02004298,3814.0,0.7144729942317777,0.1059255374934452,0.030676455165180912,0.054535920293654956,0.0028841111693759833,0.03382275825904562,0.026743576297850027,0.07656004195070792,0.17278447823807028,0.21054011536444678,0.24986890403775563,0.10907184058730991,0.14079706345044574,0.0356581017304667,0.0047194546407970635,0.0007865757734661773,0.01914001048767698,0.01101206082852648
4298,E02004299,3351.0,0.6574156968069234,0.09400179051029543,0.02954341987466428,0.05550581915846016,0.005669949268874963,0.044762757385854966,0.03760071620411817,0.07908087138167712,0.1414503133393017,0.1698000596836765,0.3076693524321098,0.13936138466129513,0.1683079677708147,0.03491495076096687,0.0041778573560131305,0.0,0.014025663980901224,0.016711429424052522
4299,E02004300,3276.0,0.637057387057387,0.08974358974358974,0.03632478632478633,0.06471306471306472,0.004578754578754579,0.03021978021978022,0.04945054945054945,0.076007326007326,0.12759462759462759,0.15842490842490842,0.32264957264957267,0.14713064713064714,0.1755189255189255,0.040293040293040296,0.003357753357753358,0.0009157509157509158,0.02197802197802198,0.014041514041514042
4300,E02004301,3521.0,0.6305026980971314,0.07071854586765124,0.042033513206475435,0.0985515478557228,0.003976143141153081,0.04032945186026697,0.05396194262993468,0.06787844362397047,0.11445612042033514,0.1385969894916217,0.32320363533087193,0.17040613462084636,0.15279750071002557,0.04629366657199659,0.003976143141153081,0.0,0.024992899744390798,0.01732462368645271
4301,E02004302,3255.0,0.6546850998463901,0.08387096774193549,0.034408602150537634,0.06328725038402458,0.0027649769585253456,0.040245775729646695,0.04608294930875576,0.08172043010752689,0.1348694316436252,0.1674347158218126,0.306605222734255,0.15053763440860216,0.15606758832565285,0.03870967741935484,0.004608294930875576,0.0,0.01904761904761905,0.015053763440860216
4302,E02004303,4241.0,0.6163640650789908,0.08205611883989625,0.035369016741334594,0.049045036547983964,0.004244282008960151,0.04574392831879274,0.034897429851450126,0.06555057769394011,0.13275170950247583,0.16670596557415704,0.34944588540438576,0.1733081820325395,0.17613770337184625,0.03419004951662344,0.0061306295684979955,0.0,0.018391888705493988,0.009667531242631455
4303,E02004304,3169.0,0.6781319028084569,0.09908488482171032,0.04480908804039129,0.0949826443673083,0.004417797412432944,0.031555695803092455,0.04196907541811297,0.08330703692016408,0.11959608709372041,0.15840959293152415,0.28210792047964656,0.11896497317765857,0.163142947301988,0.039760176711896494,0.005680025244556642,0.0,0.018933417481855473,0.01514673398548438
