,GEOGRAPHY_CODE,1. Managers and senior officials,2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,6. Personal service occupations,7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,All categories: Occupation
6570,E02006571,0.16551724137931037,0.15987460815047022,0.1341692789968652,0.1382445141065831,0.11630094043887149,0.07366771159874608,0.07429467084639499,0.042319749216300946,0.0956112852664577,2126.6666666666665
6571,E02006572,0.14820178614530533,0.12309920347574221,0.12599565532223025,0.11803041274438812,0.12623702630943762,0.07675597393193338,0.08954863625392229,0.06154960173787111,0.1305817040791697,2762.0
6572,E02006573,0.18566618566618565,0.10894660894660894,0.1277056277056277,0.11592111592111591,0.16185666185666187,0.07503607503607504,0.07118807118807119,0.05098605098605099,0.1026936026936027,2772.0
6573,E02006574,0.15770700636942678,0.08101910828025478,0.11082802547770701,0.13171974522292995,0.1561783439490446,0.10165605095541402,0.08560509554140128,0.060891719745222936,0.11439490445859872,2616.6666666666665
6574,E02006575,0.09937518595656054,0.056530794406426665,0.09550728949717346,0.12823564415352573,0.10383814340969949,0.07021719726271944,0.11127640583159774,0.1088961618565903,0.22612317762570666,2240.6666666666665
6575,E02006576,0.17710537452391029,0.1146847228099873,0.14515446466356327,0.1838764282691494,0.08315700380871774,0.08104104951333052,0.08950486669487939,0.047820567075751164,0.07765552264071096,3150.6666666666665
6576,E02006577,0.11864406779661017,0.08757062146892655,0.11173885750156937,0.160075329566855,0.10828625235404897,0.0847457627118644,0.10043942247332079,0.0856873822975518,0.14281230382925297,2124.0
6577,E02006578,0.1254773595199127,0.07774140752864157,0.11374795417348608,0.14238952536824878,0.09574468085106383,0.09465357337697763,0.10474631751227496,0.08974358974358974,0.1557555919258047,2444.0
6578,E02006579,0.14428532828965143,0.09240745744393407,0.1318562550661983,0.16319913536881925,0.09132666846798163,0.07754660902458795,0.10618751688732775,0.07376384760875439,0.1194271818427452,2467.3333333333335
6579,E02006580,0.1317584023380419,0.07744763760350706,0.1298100340964442,0.1673161227471992,0.09912323429128105,0.0881636629322942,0.10375060886507549,0.08426692644909888,0.11836337067705796,2737.3333333333335
6580,E02006581,0.1341614906832298,0.09913043478260869,0.11726708074534162,0.1657142857142857,0.08645962732919255,0.10459627329192547,0.09291925465838509,0.08745341614906832,0.11229813664596272,2683.3333333333335
6581,E02006582,0.2603365384615384,0.12524038461538461,0.16610576923076922,0.1456730769230769,0.05649038461538461,0.09447115384615384,0.06610576923076923,0.03894230769230769,0.046634615384615385,2773.3333333333335
6582,E02006583,0.16639038541234977,0.08557811852465809,0.146083713220058,0.1620389556568587,0.08806464981351014,0.09863240779113136,0.08951512639867384,0.06900124326564443,0.09469539991711562,3217.3333333333335
6583,E02006584,0.09223300970873785,0.03909044455799693,0.09095554420030659,0.15048543689320387,0.10270822687787429,0.08277976494634644,0.1323454266734798,0.1060296371997956,0.20337250894225853,2609.3333333333335
6584,E02006585,0.11261505143475907,0.061180292365998916,0.10205739036275041,0.1578234975636167,0.11126150514347591,0.07904710341093665,0.1161342717920953,0.10097455332972388,0.15890633459664322,2462.6666666666665
6585,E02006586,0.10766515380736259,0.0453857791225416,0.10136157337367625,0.13161875945537066,0.1059001512859304,0.08446797781139688,0.1265758951084216,0.11422087745839637,0.18280383257690366,2644.0
6586,E02006587,0.13070790045904807,0.05581058226624788,0.11524522831601836,0.14762019811548682,0.09640009664170089,0.08142063300314084,0.12007731336071513,0.09736651365064025,0.15535153418700168,2759.3333333333335
6587,E02006588,0.19337160751565763,0.12134655532359082,0.16805845511482254,0.1419624217118998,0.09420668058455114,0.07672233820459291,0.07228601252609604,0.05167014613778706,0.0803757828810021,2554.6666666666665
6588,E02006589,0.2,0.1419811320754717,0.16650943396226414,0.1641509433962264,0.07971698113207547,0.06572327044025157,0.0740566037735849,0.04135220125786164,0.06650943396226415,4240.0
6589,E02006590,0.18840219014435045,0.11448481831757094,0.16102538576406172,0.1445993031358885,0.101543056246889,0.07317073170731708,0.07217521154803386,0.05201592832254854,0.09258337481333997,2678.6666666666665
6590,E02006591,0.1879021879021879,0.11737451737451737,0.15366795366795366,0.1444015444015444,0.09446589446589446,0.07516087516087516,0.077992277992278,0.05225225225225225,0.09678249678249679,2590.0
6591,E02006592,0.23517312307164895,0.13404182379156668,0.14878299622900237,0.130956462118615,0.11312992800822763,0.0575934178950977,0.05519369214946863,0.0407953376756942,0.08433321906067878,1944.6666666666667
