,GEOGRAPHY_CODE,All females aged 16-74 in employment,All males aged 16-74 in employment,Female - Mean hours worked,Females - Full-time - 31 to 37 hours,Females - Full-time - 38 to 48 hours,Females - Full-time - 49 or more hours,Females - Part-time - 1 to 5 hours,Females - Part-time - 16 to 30 hours,Females - Part-time - 6 to 15 hours,Male - Mean hours worked,Males - Full-time - 31 to 37 hours,Males - Full-time - 38 to 48 hours,Males - Full-time - 49 or more hours,Males - Part-time - 1 to 5 hours,Males - Part-time - 16 to 30 hours,Males - Part-time - 6 to 15 hours
2869,E02002870,0.7945205479452054,1606.0,30.22,0.1917808219178082,0.20049813200498132,0.030510585305105854,0.010585305105853052,0.2640099626400996,0.09713574097135741,41.06,0.16002490660024907,0.5709838107098381,0.1780821917808219,0.0024906600249066002,0.062266500622665005,0.026151930261519303
2870,E02002871,0.8841430859583556,1873.0,30.81,0.23384943940202882,0.24879871863320877,0.02616123865456487,0.007474639615589963,0.27442605445808865,0.09343299519487454,41.47,0.16657768286171917,0.5557928457020822,0.19540843566470903,0.005339028296849973,0.053390282968499736,0.023491724506139882
2871,E02002872,0.8602395892755277,1753.0,29.85,0.22076440387906446,0.22304620650313747,0.022247575584711923,0.013120365088419851,0.28066172276098117,0.10039931545921278,41.47,0.1939532230462065,0.5533371363377068,0.18482601254991443,0.002852253280091272,0.047347404449515115,0.017683970336565887
2872,E02002873,0.8848614072494669,1407.0,29.97,0.20966595593461265,0.23738450604122247,0.02914001421464108,0.02061122956645345,0.2878464818763326,0.10021321961620469,41.01,0.1648898365316276,0.5557924662402275,0.1847903340440654,0.006396588486140725,0.06609808102345416,0.02203269367448472
2873,E02002874,0.9432048681541582,1479.0,31.69,0.24814063556457067,0.25760649087221094,0.06220419202163624,0.014874915483434753,0.2508451656524679,0.10953346855983773,41.27,0.16835699797160245,0.5091277890466531,0.21703853955375255,0.004056795131845842,0.06896551724137931,0.032454361054766734
2874,E02002875,0.9332905708787684,1559.0,31.36,0.23091725465041693,0.2783835792174471,0.042334830019243104,0.011545862732520847,0.2764592687620269,0.09364977549711354,41.77,0.17447081462475947,0.5484284797947402,0.19692110327132778,0.0025657472738935213,0.059012187299550996,0.01860166773572803
2875,E02002876,0.9109195402298851,1740.0,30.86,0.23275862068965517,0.25689655172413794,0.04080459770114943,0.017241379310344827,0.25689655172413794,0.10632183908045977,41.28,0.17701149425287357,0.5275862068965518,0.20344827586206896,0.004022988505747126,0.05747126436781609,0.03045977011494253
2876,E02002877,0.9190263288623944,2013.0,33.92,0.24192747143566815,0.30700447093889716,0.07699950322901143,0.009935419771485345,0.21510183805265773,0.06805762543467461,40.41,0.21410829607550919,0.4883258817685047,0.18579234972677597,0.005961251862891207,0.07600596125186289,0.029806259314456036
2877,E02002878,0.8378825475599669,1209.0,29.4,0.16790736145574855,0.23986765922249792,0.028122415219189414,0.01488833746898263,0.29280397022332505,0.09429280397022333,40.8,0.15053763440860216,0.5698924731182796,0.17452440033085195,0.0033085194375516956,0.08105872622001654,0.0206782464846981
2878,E02002879,0.9274764150943396,1696.0,31.83,0.25825471698113206,0.27240566037735847,0.05129716981132076,0.017099056603773585,0.2240566037735849,0.10436320754716981,40.24,0.2104952830188679,0.49174528301886794,0.17806603773584906,0.004127358490566038,0.08195754716981132,0.033608490566037735
