,GEOGRAPHY_CODE,All household spaces - with no residents - second residence/holiday accommodation,All household spaces - with no residents - vacant,All household spaces - with residents,Caravan or other mobile or temporary structure,"Flat, maisonette or apartment - in a commercial building","Flat, maisonette or apartment - in a purpose built block of flats or tenement","Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",Whole house or bungalow - detatched,Whole house or bungalow - semi-detatched,Whole house or bungalow - terraced
5757,E02005758,0.019930401771591267,0.04239164821259095,3161.0,0.018032268269534957,0.0060107560898449855,0.029421069281872825,0.007592534008225245,0.44005061689338815,0.3419803859538121,0.21923441948750397
5758,E02005759,0.007869425823375109,0.02914602156805596,3431.0,0.008743806470416789,0.011949868842902944,0.032935004371903234,0.009618187117458467,0.523462547362285,0.25939959195569806,0.19090644127076653
5759,E02005760,0.017279574656623838,0.0412051395657953,2257.0,0.006202924235711121,0.005316792202038104,0.003987594151528578,0.008861320336730172,0.5117412494461675,0.33540097474523706,0.18697385910500663
5760,E02005761,0.03571428571428571,0.037545787545787544,2184.0,0.0022893772893772895,0.017857142857142856,0.025183150183150184,0.026556776556776556,0.4967948717948718,0.31547619047619047,0.1891025641025641
5761,E02005762,0.007411067193675889,0.054841897233201584,2024.0,0.018280632411067192,0.0266798418972332,0.09486166007905138,0.037549407114624504,0.40118577075098816,0.2816205533596838,0.20207509881422925
5762,E02005763,0.01278227524499361,0.05581593523647209,2347.0,0.030251384746484873,0.007669365146996165,0.008521516829995739,0.01533873029399233,0.49126544524925436,0.32765232211333617,0.18789944610140605
5763,E02005764,0.0034698126301179735,0.027758501040943788,4323.0,0.008558871154291001,0.015035854730511219,0.131852879944483,0.03446680545917187,0.208882720333102,0.332176729123294,0.30025445292620867
5764,E02005765,0.0032388663967611335,0.04939271255060729,2470.0,0.01902834008097166,0.019838056680161944,0.058704453441295545,0.014979757085020242,0.4898785425101215,0.2635627530364372,0.18663967611336033
5765,E02005766,0.05467156262749898,0.04691962464300286,2451.0,0.005711954304365565,0.02692778457772338,0.031007751937984496,0.03712770297837617,0.5046919624643003,0.26356589147286824,0.23255813953488372
5766,E02005767,0.007255139056831923,0.02781136638452237,2481.0,0.007255139056831923,0.007658202337767029,0.028214429665457477,0.010479645304312777,0.5723498589278516,0.2712615880693269,0.13784764207980654
5767,E02005768,0.007259528130671506,0.038112522686025406,2204.0,0.0013611615245009074,0.004537205081669692,0.014065335753176044,0.01588021778584392,0.5494555353901996,0.3275862068965517,0.132486388384755
5768,E02005769,0.007863247863247864,0.030085470085470085,2925.0,0.0017094017094017094,0.031452991452991456,0.1511111111111111,0.029743589743589743,0.14495726495726496,0.39863247863247864,0.28034188034188035
5769,E02005770,0.0007390983000739098,0.021926582902192657,4059.0,0.0066518847006651885,0.011332840601133284,0.01798472530179847,0.008130081300813009,0.1593988667159399,0.5814239960581424,0.2374969204237497
5770,E02005771,0.0,0.0219681011134517,3323.0,0.0,0.004814926271441469,0.1910923863978333,0.01023171832681312,0.24014444778814326,0.34607282575985554,0.2302136623532952
5771,E02005772,0.018471872376154493,0.014273719563392108,2382.0,0.041561712846347604,0.0033585222502099076,0.011335012594458438,0.010075566750629723,0.5709487825356843,0.3144416456759026,0.08102434928631402
5772,E02005773,0.0012661433274246644,0.0369713851608002,3949.0,0.0010129146619397315,0.013927576601671309,0.23423651557356293,0.08483160293745252,0.04228918713598379,0.2550012661433274,0.4069384654342872
5773,E02005774,0.004872766648619383,0.028965890633459664,3694.0,0.03248511099079589,0.010557661072008662,0.07038440714672442,0.015430427720628045,0.07336220898754738,0.45966432051976175,0.3719545208446129
5774,E02005775,0.017463933181473046,0.07289293849658314,3951.0,0.0007593014426727411,0.0554290053151101,0.23234624145785876,0.37180460642875224,0.07593014426727411,0.12325993419387497,0.2308276385725133
5775,E02005776,0.009847198641765705,0.03531409168081494,2945.0,0.010186757215619695,0.010526315789473684,0.011205432937181663,0.011205432937181663,0.5918505942275042,0.27198641765704584,0.13820033955857386
5776,E02005777,0.0029248318221702253,0.019011406844106463,3419.0,0.0,0.00467973091547236,0.05878911962562153,0.013161743199766013,0.3319684118163206,0.5437262357414449,0.06931851418543433
5777,E02005778,0.01773356401384083,0.04930795847750865,2312.0,0.007785467128027681,0.006487889273356401,0.028546712802768166,0.01643598615916955,0.6461937716262975,0.2305363321799308,0.13105536332179932
5778,E02005779,0.01642281277993431,0.07614213197969544,3349.0,0.0008957897879964168,0.015527022991937893,0.2648551806509406,0.28963869811884146,0.14989549119140042,0.179755150791281,0.19259480441922963
5779,E02005780,0.0058997050147492625,0.023107177974434612,4068.0,0.0,0.005653883972468043,0.06440511307767945,0.035889872173058016,0.5098328416912488,0.2743362831858407,0.1388888888888889
5780,E02005781,0.007668019846639603,0.028416779431664412,2217.0,0.005412719891745603,0.007668019846639603,0.016238159675236806,0.011276499774470004,0.6441136671177267,0.2318448353631033,0.11953089760938204
5781,E02005782,0.013371537726838587,0.038204393505253106,3141.0,0.0057306590257879654,0.006367398917542184,0.009232728430436167,0.00795924864692773,0.5390003183699459,0.2833492518306272,0.1999363260108246
5782,E02005783,0.007860752386299831,0.03060078607523863,3562.0,0.012071869736103313,0.010948905109489052,0.10022459292532285,0.035934868051656375,0.2490174059517125,0.3879842784952274,0.24227961819202695
5783,E02005784,0.007483629560336763,0.03882132834424696,2138.0,0.006548175865294668,0.006548175865294668,0.023386342376052385,0.011693171188026192,0.39476145930776424,0.3952291861552853,0.20813844714686622
5784,E02005785,0.0014371945961483186,0.19114688128772636,3479.0,0.0014371945961483186,0.010347801092267893,0.07214716872664559,0.007185972980741593,0.17849956884162116,0.5656797930439782,0.357286576602472
5785,E02005786,0.3066109422492401,0.05281155015197568,2632.0,0.00303951367781155,0.02127659574468085,0.0338145896656535,0.041033434650455926,0.5824468085106383,0.3761398176291793,0.30167173252279633
5786,E02005787,0.07343208320201702,0.03592814371257485,3173.0,0.005672864796722345,0.017964071856287425,0.021430822565395524,0.023952095808383235,0.52410967538607,0.3321777497636306,0.18405294673810274
5787,E02005788,0.07524964336661912,0.03495007132667618,2804.0,0.0046362339514978606,0.01390870185449358,0.029957203994293864,0.010699001426533523,0.5164051355206848,0.2888730385164051,0.2457203994293866
5788,E02005789,0.04192825112107623,0.021748878923766816,4460.0,0.003139013452914798,0.01726457399103139,0.035201793721973094,0.014573991031390135,0.4531390134529148,0.2982062780269058,0.242152466367713
5789,E02005790,0.05711127487103906,0.039056742815033164,2714.0,0.003316138540899042,0.014738393515106854,0.03500368459837878,0.013264554163596167,0.5364775239498895,0.30397936624907884,0.18938835666912307
5790,E02005791,0.0072992700729927005,0.024202842873607376,2603.0,0.002689204763734153,0.005762581636573185,0.0072992700729927005,0.0072992700729927005,0.4183634268152132,0.46139070303495966,0.12869765655013446
5791,E02005792,0.003964757709251102,0.027312775330396475,2270.0,0.0013215859030837004,0.03436123348017621,0.13480176211453745,0.03259911894273128,0.2643171806167401,0.3682819383259912,0.19559471365638767
5792,E02005793,0.0031768443346276033,0.03565125308859866,2833.0,0.0010589481115425344,0.013060360042357924,0.0833039181080127,0.02612072008471585,0.26897282033180375,0.3748676314860572,0.27144369925873635
5793,E02005794,0.021767985134058934,0.03052827183435094,3767.0,0.01247677196708256,0.005840191133528006,0.01513140430050438,0.012211308733740376,0.5266790549508893,0.33607645341120257,0.1438810724714627
5794,E02005795,0.06244316459533192,0.050318278266141256,3299.0,0.0,0.04092149136101849,0.1570172779630191,0.1642922097605335,0.14004243710215217,0.39405880569869656,0.21612609881782358
5795,E02005796,0.17852303523035232,0.04403794037940379,2952.0,0.0020325203252032522,0.011178861788617886,0.01084010840108401,0.02540650406504065,0.47899728997289975,0.32113821138211385,0.37296747967479676
5796,E02005797,0.10396409872849663,0.036275243081525806,2674.0,0.002243829468960359,0.028795811518324606,0.08825729244577413,0.04038893044128646,0.2318623784592371,0.36462228870605834,0.38406881077038146
5797,E02005798,0.0967741935483871,0.04080507306313758,3627.0,0.0041356492969396195,0.012682657843948167,0.014336917562724014,0.013509787703336091,0.5682382133995038,0.3421560518334712,0.18251998897160188
5798,E02005799,0.008128016256032511,0.02286004572009144,3937.0,0.001016002032004064,0.006858013716027432,0.07721615443230886,0.013208026416052832,0.3507747015494031,0.5313690627381255,0.050546101092202186
5799,E02005800,0.06869565217391305,0.09942028985507247,3450.0,0.0011594202898550724,0.12666666666666668,0.2898550724637681,0.1634782608695652,0.05594202898550724,0.1356521739130435,0.3953623188405797
5800,E02005801,0.01102629346904156,0.035623409669211195,2358.0,0.0,0.008481764206955046,0.18744698897370654,0.035623409669211195,0.09881255301102629,0.44189991518235794,0.27438507209499574
5801,E02005802,0.004900459418070444,0.05114854517611026,3265.0,0.0,0.043797856049004595,0.061868300153139356,0.0787136294027565,0.028177641653905055,0.0768759571209801,0.7666156202143951
5802,E02005803,0.005377789728421619,0.04893788652863673,3719.0,0.0,0.008066684592632429,0.1677870395267545,0.04571121269158376,0.2481849959666577,0.3006184458187685,0.2836784081742404
5803,E02005804,0.08048904737646459,0.1273560876209883,3926.0,0.0007641365257259297,0.047885888945491596,0.3795211411105451,0.5198675496688742,0.06393275598573611,0.0944982170147733,0.10163015792154866
5804,E02005805,0.018111254851228976,0.028460543337645538,3092.0,0.00258732212160414,0.002263906856403622,0.037516170763260026,0.009379042690815007,0.2923673997412678,0.6271021992238034,0.07535575679172057
5805,E02005806,0.0035574528637495554,0.028459622909996443,2811.0,0.0,0.004268943436499467,0.09676271789398791,0.0032017075773745998,0.13625044468160796,0.5190323728210601,0.27178939879046604
5806,E02005807,0.017584994138335287,0.02618210238374365,2559.0,0.0035169988276670576,0.006643220007815553,0.008597108245408363,0.016412661195779603,0.4622899570144588,0.4091441969519343,0.13716295427901523
