,GEOGRAPHY_CODE,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Not answered,Other religion,Sikh,Total: All usual residents
1531,E02001595,0.0019293379959001568,0.5515494995779573,0.0009646689979500784,0.0001205836247437598,0.004099843241287833,0.3938261184131195,0.044254190280959844,0.002411672494875196,0.0008440853732063186,8293.0
1532,E02001596,0.001447178002894356,0.5639170284611674,0.000723589001447178,0.000120598166907863,0.00844187168355041,0.3650506512301013,0.05511336227689339,0.004220935841775205,0.000964785335262904,8292.0
1533,E02001597,0.001576955424726661,0.4703532380151388,0.0008410428931875525,0.00042052144659377626,0.007043734230445753,0.46867115222876365,0.04373423044575273,0.0036795626576955425,0.0036795626576955425,9512.0
1534,E02001598,0.0012444260085035777,0.5100072591517163,0.0010370216737529815,0.0003111065021258944,0.07362853883646168,0.35445400808876903,0.05548065954578451,0.0024888520170071554,0.0013481281758788758,9643.0
1535,E02001600,0.0030652722683014787,0.37342228633249186,0.015596826541651641,0.00027046520014424813,0.3429498737829066,0.2047421565091958,0.05454381536242337,0.0010818608005769925,0.00432744320230797,11092.0
1536,E02001602,0.003425414364640884,0.47701657458563534,0.0017679558011049724,0.00033149171270718233,0.040773480662983426,0.4162430939226519,0.05414364640883978,0.004419889502762431,0.0018784530386740331,9050.0
1537,E02001603,0.002136752136752137,0.47662927350427353,0.001469017094017094,0.00013354700854700856,0.005608974358974359,0.4577991452991453,0.051014957264957264,0.0037393162393162395,0.001469017094017094,7488.0
1538,E02001604,0.004578599287773444,0.43225368831609295,0.013566220111921316,0.00025436662709852465,0.024080040698660335,0.46845853823978295,0.05290825843649313,0.002628455146684755,0.0012718331354926234,11794.0
1539,E02001605,0.0026663111585121984,0.5147313691507799,0.0,0.0005332622317024396,0.0025329956005865884,0.43154246100519933,0.044927343020930544,0.0029329422743634183,0.0001333155579256099,7501.0
1540,E02001606,0.0024903498941601294,0.4983190138214419,0.001618727431204084,0.00012451749470800648,0.004607147304196239,0.4380525463827668,0.05030506786203462,0.0029884198729921555,0.0014942099364960778,8031.0
1541,E02001607,0.0029125126022179902,0.49658339867816736,0.0008961577237593816,0.0002240394309398454,0.009185616668533661,0.43149994399014224,0.05343340427915313,0.0032485717486277583,0.0020163548784586085,8927.0
1542,E02001608,0.003681155316437774,0.5130964179527113,0.0,0.0007079144839303412,0.00566331587144273,0.42687243380999573,0.04431544669403936,0.002831657935721365,0.002831657935721365,7063.0
1543,E02001609,0.000822175240779892,0.5597838853652807,0.001526896875734085,0.0004698144233027954,0.0036410617805966643,0.37268029128494246,0.056025369978858354,0.0035236081747709656,0.001526896875734085,8514.0
1544,E02001610,0.0021967857555786796,0.5412186379928315,0.001040582726326743,0.00023124060585038732,0.0039310902994565845,0.3944964735807608,0.049485489651982885,0.005896635449184877,0.0015030639380275177,8649.0
1545,E02001611,0.0036444097357802943,0.47429389561369256,0.0009111024339450736,0.0014317323961994012,0.0036444097357802943,0.45633216191591824,0.05492646101783158,0.004555512169725368,0.0002603149811271639,7683.0
1546,E02001612,0.001067995728017088,0.4969740121039516,0.001067995728017088,0.000177999288002848,0.00177999288002848,0.44606621573513705,0.04983980064079744,0.002847988608045568,0.000177999288002848,5618.0
1547,E02001613,0.0018596456885582853,0.4974062836449055,0.0007830087109719096,0.0010766369775863757,0.007732211020847607,0.4311441714789077,0.05510423803464814,0.004306547910345503,0.0005872565332289321,10217.0
