,GEOGRAPHY_CODE,1 person disabled under the Equality Act in household,2 or more people disabled under the Equality Act in household,No people disabled under the Equality Act in household,Total: All households
835,E02000884,0.1497849041845913,0.036566288619475945,0.8136488071959327,1
836,E02000885,0.2697616060225847,0.07570054370556252,0.6545378502718527,1
837,E02000886,0.1985351817944023,0.041851948731362804,0.7596128694742349,1
838,E02000887,0.22700785406637952,0.05877881935647327,0.7142133265771472,1
839,E02000888,0.1800834824090638,0.05068574836016696,0.7692307692307693,1
840,E02000889,0.15760441292356187,0.036249014972419225,0.806146572104019,1
841,E02000890,0.1418194396402629,0.02525077827741266,0.8329297820823245,1
842,E02000893,0.22724230254350736,0.05488621151271754,0.7178714859437751,1
843,E02000894,0.17140936589737846,0.041900067219359176,0.7866905668832623,1
844,E02000895,0.2593835825450107,0.0683552029295087,0.6722612145254806,1
845,E02000896,0.21949947862356622,0.05005213764337852,0.7304483837330553,1
846,E02000897,0.26409495548961426,0.06973293768545995,0.6661721068249258,1
847,E02000898,0.2755388940955951,0.0612308653545767,0.6632302405498282,1
848,E02000899,0.23279603223806572,0.06013639181649101,0.7070675759454432,1
849,E02000900,0.24142353318371274,0.07117665918563643,0.6873998076306509,1
850,E02000901,0.19761101012723967,0.05660867307192937,0.7457803168008309,1
851,E02000902,0.21887436043206368,0.053155201819215465,0.7279704377487208,1
852,E02000903,0.2409916402421447,0.08561545113865668,0.6733929086191986,1
853,E02000904,0.20856131316382362,0.052140328290955905,0.7392983585452205,1
854,E02000905,0.20798898071625344,0.048209366391184574,0.743801652892562,1
855,E02000906,0.21588089330024815,0.050730631375792666,0.7333884753239592,1
856,E02000907,0.2362921072043275,0.04794688959921318,0.7157610031964593,1
857,E02000908,0.20041992746707388,0.043328879557167396,0.7562511929757587,1
858,E02000909,0.218609865470852,0.047365470852017935,0.73402466367713,1
859,E02000910,0.20458673932788374,0.05313351498637602,0.7422797456857403,1
860,E02000911,0.20416580738296555,0.04990719736028047,0.745926995256754,1
861,E02000912,0.22415902140672783,0.07370030581039755,0.7021406727828746,1
862,E02000913,0.23370786516853934,0.08154093097913323,0.6847512038523275,1
863,E02000914,0.2404330312185297,0.0662134944612286,0.6933534743202417,1
864,E02000915,0.21047822113920195,0.046908315565031986,0.742613463295766,1
865,E02000916,0.1946258161727775,0.051230537418382724,0.7541436464088398,1
866,E02000917,0.19446726924130375,0.04245412215831279,0.7630786086003835,1
867,E02000918,0.22966226138032306,0.04933920704845815,0.7209985315712188,1
868,E02000919,0.19821162444113263,0.05067064083457526,0.7511177347242921,1
869,E02000920,0.2199213630406291,0.05871559633027523,0.7213630406290956,1
870,E02000921,0.23311976343026122,0.06308526367668803,0.7037949728930508,1
871,E02000922,0.2170563961485557,0.055845942228335624,0.7270976616231086,1
872,E02000923,0.16027673681176133,0.025367541078120497,0.8143557221101182,1
873,E02000925,0.21468926553672316,0.041629497472494795,0.743681236990782,1
874,E02000926,0.15453890489913544,0.023054755043227664,0.8224063400576369,1
875,E02000927,0.23785957315187134,0.04021033096195484,0.7219300958861739,1
876,E02000928,0.16353071389042612,0.02628666297731046,0.8101826231322634,1
877,E02000929,0.23977110157367668,0.044062947067238914,0.7161659513590845,1
878,E02000930,0.14691386998357192,0.02346866932644919,0.8296174606899789,1
879,E02000931,0.1368330464716007,0.023809523809523808,0.8393574297188755,1
880,E02000932,0.1330522765598651,0.021922428330522766,0.8450252951096121,1
881,E02000933,0.1826507250063597,0.03179852454846095,0.7855507504451793,1
882,E02000934,0.1544327931363203,0.02716873212583413,0.8183984747378455,1
883,E02000935,0.2561576354679803,0.05665024630541872,0.687192118226601,1
884,E02000936,0.1676551094890511,0.03170620437956204,0.8006386861313869,1
885,E02000937,0.14134953629677008,0.03197953309881676,0.8266709306044132,1
886,E02000938,0.21800184162062616,0.05570902394106814,0.7262891344383057,1
887,E02000939,0.1622002820874471,0.023977433004231313,0.8138222849083215,1
888,E02000940,0.17394399620313242,0.0322733744660655,0.7937826293308021,1
889,E02000941,0.16408893185113582,0.03455775737071049,0.8013533107781537,1
890,E02000942,0.16483228511530398,0.03459119496855346,0.8005765199161425,1
891,E02000943,0.16373655208606666,0.030963001836788243,0.8053004460771451,1
892,E02000944,0.21868512110726643,0.05501730103806229,0.7262975778546713,1
893,E02000945,0.24457308248914617,0.07018813314037627,0.6852387843704776,1
894,E02000946,0.1847441261667203,0.047312520115867396,0.7679433537174123,1
895,E02000947,0.15947945904567493,0.028578719060984945,0.8119418218933402,1
896,E02000948,0.16316750342309447,0.02624372432679142,0.810588772250114,1
897,E02000949,0.14735605170387778,0.02491186839012926,0.827732079905993,1
898,E02000950,0.17266881028938907,0.03729903536977492,0.7900321543408361,1
899,E02000951,0.1873893021608218,0.03825717321997875,0.7743535246191995,1
900,E02000952,0.1893112532931878,0.03650733910425292,0.7741814076025593,1
