,GEOGRAPHY_CODE,Arrived 1951 to 1960,Arrived 1961 to 1970,Arrived 1971 to 1980,Arrived 1981 to 1990,Arrived 1991 to 2000,Arrived 2001 to 2010,Arrived 2011 to 2013,Arrived 2014 to 2016,Arrived 2017 to 2019,Arrived 2020 to 2021,Arrived before 1951,Born in the UK,Total: All usual residents
1825,E02001914,0.007789264976632205,0.03908794788273615,0.03894632488316103,0.031723551904829346,0.04376150686871548,0.06826228579521314,0.016994759949015722,0.02690836991927489,0.02280130293159609,0.012462823962611528,0.001557852995326441,0.6897040079308879,7061.0
1826,E02001915,0.01078414980772446,0.02240428022069888,0.016385219862899182,0.014295268349774286,0.020063534525998995,0.06303293763584684,0.016134425681324192,0.02959371342584852,0.03218525330212339,0.01220531683664939,0.0030931282394248455,0.759822772111687,11962.0
1827,E02001916,0.008586725931912315,0.015961208202848774,0.02030508132134559,0.01878977674512577,0.03515506616829983,0.07889685826851198,0.033538741286998686,0.03616526921911304,0.04273158904939893,0.017779573694312555,0.0004040812203252854,0.6916860288918073,9899.0
1828,E02001918,0.012598243180767453,0.025312066574202496,0.021960240406842347,0.01768377253814147,0.028432732316227463,0.04403606102635229,0.014909847434119279,0.02288488210818308,0.03305594082293111,0.013060564031437818,0.0026583448913546,0.7634073046694406,8652.0
1829,E02001919,0.008787093056755978,0.04868913857677903,0.051138000576202824,0.03615672716796312,0.03269951022760011,0.04595217516565831,0.015701526937481995,0.023192163641601843,0.024776721405934888,0.012532411408815903,0.001728608470181504,0.6986459233650245,6942.0
1830,E02001920,0.0073145245559038665,0.009926854754440962,0.001567398119122257,0.003134796238244514,0.016327063740856844,0.07471264367816093,0.013975966562173458,0.031217345872518287,0.025992685475444095,0.0073145245559038665,0.0011755485893416929,0.8073406478578893,7656.0
1831,E02001921,0.005945456895437508,0.012924906294429366,0.006462453147214683,0.0074964456507690316,0.023523329455861445,0.07393046400413597,0.03270001292490629,0.04006720951273103,0.03593123949851364,0.014346645986816595,0.0015509887553315238,0.7451208478738529,7737.0
1832,E02001922,0.002252111354394745,0.0024397873005943074,0.0035032843290584924,0.002564904598060682,0.010259618392242728,0.05273694088207695,0.008758210822646231,0.017141069752893336,0.04967156709415076,0.06193306224585549,0.00025023459493274944,0.7884892086330936,15985.0
1833,E02001923,0.010072848277722818,0.041820307581617054,0.04901519920856192,0.03372605450130407,0.04029139311089127,0.07266840543214317,0.018257037503372604,0.03111790628653656,0.03021854483316845,0.013940102527205685,0.0015289144707257847,0.6573432862667506,11119.0
1834,E02001924,0.012441679626749611,0.02983175455959282,0.031528347235967764,0.026579951929874168,0.03407323625053019,0.053018521136717095,0.01215891418068712,0.02431782836137424,0.027993779160186624,0.005796691644281069,0.0002827654460624912,0.7419765304679768,7073.0
1835,E02001925,0.005643843754641319,0.0158918758354374,0.01292143175404723,0.007871676815683945,0.026436952324372494,0.06297341452547156,0.01648596465171543,0.027179563344720034,0.04559631664933907,0.01782266448834101,0.0013366998366255755,0.7598395960196049,6733.0
