,GEOGRAPHY_CODE,Arrived in the UK,Arrived in the UK: Aged 0 to 4 years,Arrived in the UK: Aged 10 to 14 years,Arrived in the UK: Aged 15 years,Arrived in the UK: Aged 16 to 17 years,Arrived in the UK: Aged 18 to 19 years,Arrived in the UK: Aged 20 to 24 years,Arrived in the UK: Aged 25 to 29 years,Arrived in the UK: Aged 30 to 44 years,Arrived in the UK: Aged 45 to 59 years,Arrived in the UK: Aged 5 to 7 years,Arrived in the UK: Aged 60 to 64 years,Arrived in the UK: Aged 65 to 74 years,Arrived in the UK: Aged 75 to 84 years,Arrived in the UK: Aged 8 to 9 years,Arrived in the UK: Aged 85 to 89 years,Arrived in the UK: Aged 90 years and over,Born in the UK,Total: All usual residents
21,E02000023,0.42573887018331463,0.03429355281207133,0.031425364758698095,0.006983414390821798,0.01870557426112982,0.0236937273974311,0.08118219229330341,0.0776904850978925,0.09839132061354283,0.01883027808953735,0.018082055119092156,0.0024940765681506424,0.002618780396558174,0.001122334455667789,0.010101010101010102,0.00012470382840753212,0.0,0.5742611298166854,1
22,E02000024,0.2825124515771998,0.028408042796532005,0.016048699501936912,0.004427227448810182,0.009500092233905183,0.018631248847076187,0.05275779376498801,0.05404906843755765,0.06465596753366537,0.011713705958310274,0.010237963475373547,0.0016602102933038186,0.002213613724405091,0.0004611695259177274,0.007655414130234274,0.0,9.223390518354546e-05,0.7174875484228003,1
23,E02000025,0.28897692845490563,0.026334187835003495,0.017594966208343044,0.005942670706129107,0.013866231647634585,0.021090654859007223,0.05127010020974132,0.05628058727569331,0.0612910743416453,0.013400139827546027,0.011885341412258214,0.0016313213703099511,0.002213936145420648,0.0003495688650664181,0.005709624796084829,0.00011652295502213937,0.0,0.7110230715450944,1
24,E02000026,0.28111455108359135,0.02693498452012384,0.023374613003095974,0.005108359133126935,0.01563467492260062,0.021826625386996906,0.058359133126934984,0.04055727554179567,0.050928792569659445,0.012229102167182662,0.012229102167182662,0.0023219814241486067,0.0037151702786377707,0.0006191950464396285,0.00696594427244582,0.00030959752321981426,0.0,0.7188854489164087,1
25,E02000027,0.3377215714729968,0.03389654814968384,0.02467088213952524,0.00518295843267337,0.015237897792059708,0.02062817456204001,0.05784181610863481,0.06364672955322899,0.0756711931170312,0.013683010262257697,0.013475691924950762,0.0016585466984554785,0.0019695242044158808,0.0003109775059604022,0.009743961853425935,0.0001036591686534674,0.0,0.6622784285270032,1
26,E02000028,0.3340480931229897,0.032011027722468985,0.019758002756930616,0.005513861234492265,0.016847909327615256,0.024046561494869046,0.06586000918976873,0.05912084545872262,0.07168019604839945,0.013478327462092205,0.01470362995864604,0.001837953744830755,0.0021442793689692144,0.0006126512482769183,0.006432838106907643,0.0,0.0,0.6659519068770102,1
27,E02000029,0.33667458923220006,0.031001343391546966,0.02035754882711584,0.004650201508732045,0.015500671695773483,0.022320967241913816,0.07047638731011677,0.060762633047432055,0.07336984602666116,0.01291722641314457,0.014363955771416761,0.0015500671695773483,0.002376769660018601,0.0004133512452206262,0.006613619923530019,0.0,0.0,0.6633254107677999,1
28,E02000030,0.29717729146844274,0.030447193149381543,0.01934665398033619,0.004651654508933291,0.011629136272333227,0.018923776297705888,0.06269161644994185,0.04630510624801776,0.06639179617295697,0.012369172216936251,0.013426366423511998,0.001057194206575748,0.0016915107305211967,0.0002114388413151496,0.007611798287345386,0.0003171582619727244,0.0001057194206575748,0.7028227085315573,1
29,E02000031,0.36142119793542193,0.03108870483735446,0.018845276677469693,0.0037210418917296845,0.01692473892689953,0.022566318569199377,0.06457808186292162,0.06637858600408114,0.08738446765094227,0.01764494058336334,0.015964470051614454,0.0025207057976233344,0.0027607730164446046,0.0013203697035169847,0.009602688752850799,0.00012003360941063497,0.0,0.6385788020645781,1
30,E02000032,0.354623330813807,0.03476946334089191,0.026329050138573947,0.0066767447719828675,0.021919879062736205,0.0327538422776518,0.07218442932728647,0.05845301083396322,0.057193247669438146,0.013731418493323256,0.015369110607205845,0.002015621063240111,0.002771478961955152,0.0015117157974300832,0.008944318468127993,0.0,0.0,0.645376669186193,1
