,GEOGRAPHY_CODE,Occupancy rating of rooms: +1,Occupancy rating of rooms: +2 or more,Occupancy rating of rooms: -1,Occupancy rating of rooms: -2 or less,Occupancy rating of rooms: 0,Total: All households
6596,E02006848,0.36906854130052724,0.37668424135910955,0.02958406561218512,0.0035149384885764497,0.22114821323960163,3414.0
6597,E02006849,0.26201984227931824,0.5845840752989061,0.017298397354362758,0.0027982701602645636,0.1332994149071483,3931.0
6598,E02006850,0.228481455563331,0.1609517144856543,0.19419174247725682,0.0311406578026592,0.38523442967109867,2858.0
6599,E02006851,0.21201413427561838,0.05354715955422669,0.1834737700462082,0.03098668116335961,0.5199782549605871,3679.0
6600,E02006852,0.2612484799351439,0.4904742602351034,0.03769760843129307,0.004053506282934738,0.20652614511552492,4934.0
6601,E02006853,0.20595238095238094,0.05555555555555555,0.18095238095238095,0.02857142857142857,0.528968253968254,5040.0
6602,E02006854,0.2928834703714205,0.05046781967677913,0.1281542387297987,0.017862205840657782,0.5106322653813439,3527.0
6603,E02006855,0.27037617554858934,0.34992163009404387,0.07445141065830721,0.01293103448275862,0.29231974921630094,2552.0
6604,E02006856,0.30389401846647934,0.2798073063026897,0.08109193095142513,0.010236852669610599,0.3249698916097953,4982.0
6605,E02006857,0.3156559248921593,0.43390002537427047,0.040091347373763006,0.0032986551636640447,0.20705404719614312,3941.0
6606,E02006858,0.39431018660140715,0.3802386050780055,0.036096665646986846,0.007953502600183543,0.18140104007341695,3269.0
6607,E02006859,0.3015454202789295,0.34451564266867696,0.06860158311345646,0.012815680361854504,0.27252167357708257,2653.0
6608,E02006861,0.2436502584850528,0.21870083164756124,0.1557653405259609,0.015958642391548664,0.3659249269498764,4449.0
6609,E02006862,0.2385596399099775,0.5600150037509377,0.034133533383345835,0.004126031507876969,0.16316579144786197,2666.0
6610,E02006863,0.26294343240651963,0.5529721955896453,0.027564717162032598,0.0052732502396931925,0.1512464046021093,4172.0
6611,E02006864,0.273972602739726,0.5802739726027397,0.021369863013698632,0.0032876712328767125,0.1210958904109589,3650.0
6612,E02006865,0.24861070488446915,0.6001754899093302,0.022228721848493713,0.0032173150043872476,0.12576776835331968,3419.0
6613,E02006866,0.30357142857142855,0.564935064935065,0.01433982683982684,0.0016233766233766235,0.11553030303030302,3696.0
6614,E02006867,0.30314533622559653,0.571583514099783,0.01843817787418655,0.0008134490238611713,0.10601952277657267,3688.0
6615,E02006868,0.30854650009914736,0.30021812413246085,0.0727741423755701,0.011699385286535793,0.30676184810628593,5043.0
6616,E02006869,0.363504255760847,0.3296657670749429,0.04421839319078264,0.0049823541623417065,0.2576292298110857,4817.0
6617,E02006871,0.3025767336112164,0.5134520651762031,0.02860932171276999,0.0034103827207275484,0.15195149677908298,5278.0
6618,E02006872,0.29572118702553485,0.5089717046238785,0.025534851621808144,0.003450655624568668,0.1663216011042098,5796.0
6619,E02006873,0.2883575291773413,0.4400797039567321,0.036720751494449186,0.005123825789923143,0.22971818958155424,3513.0
6620,E02006874,0.24391455538996523,0.600347739692002,0.01788375558867362,0.0017386984600099354,0.13611525086934922,4026.0
6621,E02006875,0.3522029372496662,0.03925233644859813,0.12843791722296397,0.004005340453938585,0.4761014686248331,3745.0
6622,E02006876,0.35013477088948786,0.15579514824797844,0.059568733153638816,0.007547169811320755,0.4269541778975741,3710.0
6623,E02006877,0.313013698630137,0.4429223744292237,0.034703196347031964,0.004794520547945206,0.2045662100456621,4380.0
6624,E02006878,0.26023835319609967,0.4801733477789816,0.04550379198266522,0.00866738894907909,0.20541711809317442,4615.0
6625,E02006879,0.25366817155756205,0.1670428893905192,0.1275395033860045,0.014672686230248307,0.43707674943566593,3544.0
6626,E02006880,0.3433219178082192,0.2177511415525114,0.06364155251141553,0.005422374429223744,0.3698630136986301,3504.0
6627,E02006881,0.3149485664259138,0.44867585905012036,0.03983366163274239,0.006565988181221274,0.1899759247100022,4569.0
6628,E02006882,0.20814376706096452,0.5391264786169245,0.07666060054595086,0.0316196542311192,0.14444949954504094,4396.0
6629,E02006883,0.3327177593105571,0.15297014465989536,0.0981840566328101,0.006771314250538628,0.4093567251461988,3249.0
6630,E02006884,0.36193364252586513,0.3301819479129504,0.04298965394220478,0.009810916874777025,0.25508383874420265,5606.0
6631,E02006885,0.40548703750314624,0.19733199093883716,0.10546186760634281,0.006040775232821546,0.28567832871885224,3973.0
6632,E02006886,0.2055378061767838,0.644124955626553,0.013312034078807242,0.0033723819666311677,0.1336528221512247,5634.0
6633,E02006887,0.2677044507783381,0.04626178469633852,0.13549660162245122,0.020609515457136594,0.5299276474457356,4561.0
6634,E02006888,0.21971537660534537,0.32176327664005555,0.1197500867754252,0.040958000694203404,0.2978132592849705,2881.0
6635,E02006889,0.22229465449804434,0.1769882659713168,0.16166883963494133,0.07235984354628422,0.3666883963494133,3068.0
6636,E02006890,0.23973727422003285,0.4061302681992337,0.08620689655172414,0.031472359058565956,0.23645320197044334,3654.0
6637,E02006891,0.2717877094972067,0.6134078212290502,0.009497206703910615,0.0013966480446927375,0.10391061452513967,3580.0
6638,E02006892,0.3330026455026455,0.4480820105820106,0.021494708994708994,0.004629629629629629,0.1927910052910053,3024.0
6639,E02006893,0.34312930685042564,0.520064856100527,0.016011349817592217,0.0016214025131738954,0.11917308471828131,4934.0
6640,E02006894,0.2830262642101137,0.3312426499411995,0.0782046256370051,0.01764014112112897,0.28988631909055274,5102.0
6641,E02006895,0.29560201874549386,0.06825282384042297,0.10021629416005767,0.015621244893054553,0.520307618360971,4161.0
6642,E02006896,0.27811213177066835,0.04878048780487805,0.12068419385492556,0.021539436173582515,0.5308837503959455,3157.0
6643,E02006897,0.1987980769230769,0.06201923076923077,0.13677884615384617,0.019951923076923075,0.5824519230769231,4160.0
6644,E02006898,0.3065161138555634,0.07104210773935545,0.10820983298047518,0.01529051987767584,0.49894142554693016,4251.0
6645,E02006899,0.25061485489424495,0.027545499262174127,0.09247417609444171,0.0054107230693556324,0.6239547466797836,4066.0
6646,E02006900,0.21676942046855735,0.2922318125770654,0.13538840937114674,0.09938347718865598,0.2562268803945746,4055.0
6647,E02006902,0.3199449162267615,0.06105118200596741,0.08010098691760385,0.003442735827404177,0.5354601790222631,4357.0
6648,E02006903,0.2811692185325114,0.5233644859813084,0.028037383177570093,0.003976933784052496,0.16345197852455756,5029.0
6649,E02006904,0.31299353912419237,0.13759272553242402,0.08542713567839195,0.00765733429050012,0.45632926537449153,4179.0
6650,E02006905,0.2920806985847636,0.21198434206564287,0.07678410117434507,0.028003613369467027,0.3911472448057814,3321.0
6651,E02006906,0.264524817237399,0.6090804155444401,0.017121969988457098,0.0034628703347441324,0.1058099268949596,5198.0
6652,E02006907,0.28730563935948017,0.2104896727779067,0.07519145973543746,0.0016245068461359943,0.42538872128103966,4309.0
6653,E02006908,0.29413713150049686,0.36800264988406756,0.03179860881086453,0.001324942033786022,0.304736667770785,3019.0
6654,E02006909,0.22657952069716775,0.6964415395787945,0.007625272331154684,0.0014524328249818446,0.06790123456790123,5508.0
6655,E02006910,0.27754745799694525,0.5127645646956143,0.022037966397556185,0.005891337551821951,0.1817586733580624,4583.0
6656,E02006912,0.3417595541401274,0.04239649681528662,0.06130573248407643,0.0033837579617834396,0.5511544585987261,5024.0
6657,E02006913,0.2950408035153798,0.10797237915881984,0.10797237915881984,0.03421217827997489,0.4548022598870056,3186.0
6658,E02006914,0.39285714285714285,0.045207956600361664,0.06962025316455696,0.004972875226039783,0.4873417721518987,2212.0
6659,E02006915,0.3098452420151465,0.17517286796180442,0.10734277247283504,0.038524860059269014,0.369114257490945,3037.0
6660,E02006916,0.3766438716465018,0.07075223566543924,0.052603892688058915,0.006049447659126775,0.4939505523408732,3802.0
6661,E02006917,0.44339622641509435,0.02410901467505241,0.03773584905660377,0.002882599580712788,0.4918763102725367,3816.0
6662,E02006918,0.21608832807570977,0.11198738170347003,0.17728706624605678,0.06277602523659306,0.43186119873817036,3170.0
6663,E02006919,0.2829094154395359,0.5232039268183847,0.02030343596608657,0.00178491744756805,0.1717983043284248,4482.0
6664,E02006920,0.3024580335731415,0.5368705035971223,0.022781774580335732,0.002997601918465228,0.13489208633093525,3336.0
6665,E02006921,0.18900467121810996,0.14157384117858426,0.1969098095580309,0.07042759611929572,0.40208408192597916,2783.0
6666,E02006922,0.2510616612875828,0.5094275522337354,0.04229658569729913,0.006115169016476983,0.19109903176490572,5887.0
6667,E02006924,0.19819380034171344,0.4139614351964852,0.12350500366121553,0.0446668293873566,0.2196729314132292,4097.0
