,GEOGRAPHY_CODE,All other gender identities,Gender identity different from sex registered at birth but no specific identity given,Gender identity the same as sex registered at birth,Not answered,Total,Trans man,Trans woman
5907,E02006148,0.00016398819285011479,0.0004919645785503444,0.9596589045588717,0.03870121351262709,1,0.0006559527714004591,0.00032797638570022957
5908,E02006149,0.0006831378799954458,0.001480132073323466,0.9458043948536946,0.04986906523966754,1,0.001138563133325743,0.0010247068199931686
5909,E02006150,0.0005114566284779051,0.0013297872340425532,0.9593903436988543,0.03764320785597381,1,0.00020458265139116204,0.0009206219312602291
5910,E02006151,0.0004954787563483216,0.0012386968908708038,0.9635823114083983,0.03406416449894711,1,0.0003716090672612412,0.0002477393781741608
5911,E02006152,0.0005873370139786209,0.0014096088335486903,0.9550099847292376,0.04240573240925643,1,0.00011746740279572419,0.00046986961118289676
5912,E02006153,0.0,0.0011961722488038277,0.9634502923976608,0.03482190324295587,1,0.0002658160552897395,0.0002658160552897395
5913,E02006154,0.0007199424046076314,0.00047996160307175426,0.9568034557235421,0.04115670746340293,1,0.00047996160307175426,0.0003599712023038157
5914,E02006155,0.0002222716159146477,0.0020004445432318294,0.9257612802845077,0.07134918870860191,1,0.0002222716159146477,0.0004445432318292954
5915,E02006156,0.0002957267484844004,0.00044359012272660064,0.9578589383409729,0.04110601803933166,1,0.0001478633742422002,0.0001478633742422002
5916,E02006157,0.00016423057973394647,0.0014780752176055182,0.9456396781080637,0.05140417145672524,1,0.0009853834784036787,0.00032846115946789294
5917,E02006158,0.0005745475438092502,0.001005458201666188,0.9564780235564493,0.040649238724504454,1,0.0005745475438092502,0.0007181844297615628
5918,E02006159,0.0008576329331046312,0.001286449399656947,0.9406089193825042,0.056818181818181816,1,0.0002144082332761578,0.0002144082332761578
5919,E02006160,0.0008505812305075135,0.0011341083073433513,0.9431528210944146,0.05316132690671959,1,0.00042529061525375673,0.0012758718457612703
5920,E02006161,0.000541809644211667,0.0014448257178977786,0.9483474805851544,0.04785985190536392,1,0.0014448257178977786,0.00036120642947444465
5921,E02006162,0.0009974351667141636,0.0007124536905101168,0.9477058991165574,0.049016813907096037,1,0.0009974351667141636,0.0005699629524080935
5922,E02006163,0.0001579778830963665,0.00047393364928909954,0.9304897314375987,0.0679304897314376,1,0.00047393364928909954,0.00047393364928909954
5923,E02006164,0.0019147084421235858,0.0019147084421235858,0.9307223672758921,0.06405570060922541,1,0.0008703220191470844,0.0005221932114882506
5924,E02006165,0.00048340315823396714,0.0014502094747019013,0.9489203996132775,0.047695778279084756,1,0.0009668063164679343,0.00048340315823396714
5925,E02006166,0.00033760972316002703,0.0011816340310600946,0.9527346387575962,0.044058068872383525,1,0.0008440243079000675,0.0008440243079000675
5926,E02006167,0.002871410736579276,0.003620474406991261,0.9273408239700375,0.062172284644194754,1,0.0022471910112359553,0.0017478152309612985
5927,E02006168,0.0035249457700650758,0.003796095444685466,0.9144522776572668,0.07565075921908894,1,0.001898047722342733,0.0006778741865509761
5928,E02006169,0.0052179251074278695,0.0009208103130755065,0.8994782074892572,0.09039287906691222,1,0.0019950890116635974,0.0019950890116635974
5929,E02006170,0.0006838386140870754,0.0009117848187827673,0.9587417369500798,0.038750854798267606,1,0.00045589240939138365,0.00045589240939138365
5930,E02006171,0.0010716677829872739,0.0012056262558606831,0.9399866041527126,0.055994641661085066,1,0.0010716677829872739,0.0006697923643670462
5931,E02006172,0.00037593984962406017,0.0013784461152882206,0.9525062656641604,0.0443609022556391,1,0.0008771929824561404,0.0005012531328320802
5932,E02006173,0.0006651147322913202,0.0008313934153641503,0.9617559028932491,0.03608247422680412,1,0.00016627868307283005,0.0004988360492184902
5933,E02006174,0.00010879025239338555,0.0010879025239338555,0.9604003481288077,0.037315056570931246,1,0.0005439512619669277,0.0005439512619669277
5934,E02006175,0.0003615982643283312,0.0003615982643283312,0.9631169770385102,0.035617429036340624,1,0.0003615982643283312,0.0001807991321641656
5935,E02006176,0.00032149172158816913,0.0012859668863526765,0.9575630927503617,0.04034721105931522,1,0.00016074586079408456,0.00032149172158816913
5936,E02006177,0.00036478599221789884,0.00036478599221789884,0.9610894941634242,0.03720817120622568,1,0.0007295719844357977,0.00024319066147859923
5937,E02006178,0.00031501023783272954,0.0011025358324145535,0.949440856827847,0.04835407150732399,1,0.00031501023783272954,0.00047251535674909436
5938,E02006179,0.0005803830528148578,0.002089378990133488,0.9343006384213581,0.06256529309344167,1,0.00023215322112594313,0.00023215322112594313
5939,E02006180,0.0005252100840336134,0.0012254901960784314,0.9473039215686274,0.050070028011204484,1,0.00017507002801120448,0.0007002801120448179
5940,E02006181,0.00021710811984368216,0.0010855405992184109,0.9496309161962657,0.0486322188449848,1,0.00021710811984368216,0.00021710811984368216
5941,E02006182,0.0,0.0013506668917778154,0.9501941583656931,0.047273341212223534,1,0.00033766672294445384,0.0008441668073611346
5942,E02006185,0.00016778523489932885,0.001174496644295302,0.9506711409395974,0.04697986577181208,1,0.00016778523489932885,0.0008389261744966443
5943,E02006186,0.00028079371022089104,0.0006551853238487457,0.9568513665293897,0.041557469112691876,1,0.0004679895170348184,0.00018719580681392738
5944,E02006187,0.000489077274209325,0.00032605151613955004,0.9589175089664167,0.03977828496902511,1,0.00032605151613955004,0.00016302575806977502
5945,E02006188,0.0,0.0017765495459928938,0.9601263324121595,0.03730754046585077,1,0.00019739439399921041,0.0005921831819976313
5946,E02006189,0.00032578595862518323,0.0011402508551881414,0.9539012868545366,0.04381821143508715,1,0.0004886789379377749,0.00032578595862518323
5947,E02006190,0.001206140350877193,0.0008771929824561404,0.9392543859649123,0.05767543859649123,1,0.0005482456140350877,0.0004385964912280702
5948,E02006191,0.0010257913247362252,0.0005861664712778429,0.9621922626025792,0.03502344665885111,1,0.0005861664712778429,0.0005861664712778429
5949,E02006192,0.0003883997928534438,0.000647332988089073,0.9540393578456758,0.044018643190056966,1,0.0005178663904712584,0.0003883997928534438
5950,E02006193,0.0008061915511125443,0.0004837149306675266,0.9551757497581426,0.04256691389874234,1,0.0004837149306675266,0.0004837149306675266
5951,E02006194,0.00044816253361219,0.0010457125784284435,0.9333731700029877,0.06378846728413505,1,0.0007469375560203167,0.0005975500448162533
5952,E02006195,0.00026986911347996224,0.0008096073404398866,0.9564161381729861,0.041694778032654166,1,0.0004048036702199433,0.0004048036702199433
5953,E02006196,0.002872592091922947,0.0025346400811084827,0.9303818857722204,0.06201419398445421,1,0.0013518080432578573,0.0008448800270361609
5954,E02006197,0.002690927729369554,0.002178370066632496,0.9441312147616607,0.04805228088159918,1,0.0015376729882111738,0.0014095335725269093
5955,E02006198,0.0005411255411255411,0.0005411255411255411,0.9549512987012987,0.043154761904761904,1,0.00027056277056277056,0.0005411255411255411
5956,E02006199,0.001262449151353626,0.0009819048954972647,0.9496423060737832,0.04727170711179689,1,0.00028054425585636136,0.0005610885117127227
5957,E02006200,0.0003252561392096276,0.002276792974467393,0.9364124247845178,0.06000975768417629,1,0.0004878842088144414,0.0004878842088144414
5958,E02006201,0.0005026641198351262,0.0009047954157032271,0.9581783452297175,0.03950939981904092,1,0.0006031969438021514,0.0003015984719010757
5959,E02006202,0.0006328312871788382,0.0006328312871788382,0.9508922921149222,0.04682951525123402,1,0.00012656625743576763,0.0008859638020503734
5960,E02006203,0.0009700889248181083,0.0009700889248181083,0.9437348423605497,0.05222312045270817,1,0.0009700889248181083,0.0011317704122877931
5961,E02006204,0.0013131976362442547,0.0004924491135915955,0.9276099803020355,0.0691070256073539,1,0.0004924491135915955,0.000984898227183191
5962,E02006205,0.0004764930114358323,0.0003176620076238882,0.9556861499364676,0.042884371029224905,1,0.0003176620076238882,0.0003176620076238882
5963,E02006206,0.0,0.0012584552461853075,0.9421110586754758,0.05584395154947302,1,0.00015730690577316344,0.0006292276230926538
5964,E02006207,0.00037016472330186933,0.001110494169905608,0.9559503979270776,0.0416435313714603,1,0.00037016472330186933,0.000555247084952804
5965,E02006208,0.0007481669908723628,0.0011970671853957803,0.9423911417028281,0.05401765674098459,1,0.0005985335926978902,0.0010474337872213078
5966,E02006209,0.00022323920080366113,0.001004576403616475,0.9504408974215872,0.04732671057037616,1,0.00044647840160732226,0.0005580980020091528
5967,E02006210,0.000224517287831163,0.000673551863493489,0.9526268522676246,0.04580152671755725,1,0.000224517287831163,0.000449034575662326
5968,E02006211,0.0001836210062431142,0.0012853470437017994,0.9484024972456849,0.04921042967315461,1,0.0005508630187293427,0.0003672420124862284
5969,E02006212,0.0004539951573849879,0.001059322033898305,0.9553571428571429,0.04252421307506053,1,0.0003026634382566586,0.0003026634382566586
5970,E02006213,0.0003613369467028004,0.0005420054200542005,0.9454381210478772,0.053116531165311655,1,0.0003613369467028004,0.0001806684733514002
5971,E02006214,0.001154068090017311,0.0007693787266782073,0.9344104635506828,0.06193498749759569,1,0.0005770340450086555,0.001154068090017311
5972,E02006215,0.00029739776951672863,0.00029739776951672863,0.9571747211895911,0.04133828996282528,1,0.00029739776951672863,0.0005947955390334573
5973,E02006216,0.0008448324415657561,0.0009856378484933823,0.9562095184455083,0.04083356800901155,1,0.000563221627710504,0.000563221627710504
5974,E02006217,0.0002387489554733198,0.0004774979109466396,0.9615614181687955,0.03700608809836457,1,0.0002387489554733198,0.0004774979109466396
5975,E02006218,0.0002840909090909091,0.0015625,0.9433238636363637,0.05397727272727273,1,0.0005681818181818182,0.0002840909090909091
5976,E02006219,0.00029642804209278195,0.0014821402104639098,0.9488661627389952,0.04802134281903068,1,0.0007410701052319549,0.0005928560841855639
5977,E02006220,0.000327653997378768,0.001474442988204456,0.9403669724770642,0.05701179554390563,1,0.000327653997378768,0.000491480996068152
5978,E02006221,0.00041203131437989287,0.001854140914709518,0.9532344458178822,0.044293366295838486,1,0.0,0.00020601565718994644
5979,E02006222,0.0005404431633939831,0.0014411817690506215,0.9403711043055305,0.05512520266618627,1,0.0012610340479192938,0.0012610340479192938
5980,E02006223,0.000588350656991567,0.001765051970974701,0.9382231810158854,0.05805059815650127,1,0.0007844675426554226,0.000588350656991567
5981,E02006224,0.0008195377806916899,0.0008195377806916899,0.9604982789706605,0.036059662350434354,1,0.000983445336830028,0.0008195377806916899
5982,E02006225,0.0008238589553468446,0.0013181743285549513,0.9650683802932938,0.03196572746745757,1,0.0006590871642774757,0.00016477179106936892
5983,E02006226,0.0007644285896292522,0.001656261944196713,0.9603771181042171,0.036565167537265894,1,0.00012740476493820868,0.0005096190597528347
5984,E02006227,0.0008975049362771495,0.0008975049362771495,0.9531502423263328,0.043439238915814034,1,0.0008975049362771495,0.0007180039490217197
5985,E02006228,0.001165954139137194,0.0,0.9535561601243684,0.04391760590750097,1,0.000971628449280995,0.000388651379712398
