,GEOGRAPHY_CODE,Number of households
873,E02000925,3363.0
874,E02000926,5552.0
875,E02000927,3234.0
876,E02000928,3614.0
877,E02000929,3495.0
878,E02000930,4261.0
879,E02000931,3486.0
880,E02000932,5930.0
881,E02000933,3931.0
882,E02000934,4196.0
883,E02000935,2436.0
884,E02000936,4382.0
885,E02000937,3127.0
886,E02000938,4345.0
887,E02000939,2836.0
888,E02000940,4214.0
889,E02000941,4138.0
890,E02000942,3816.0
891,E02000943,3808.0
892,E02000944,2890.0
893,E02000945,2764.0
894,E02000946,3107.0
895,E02000947,3919.0
896,E02000948,4382.0
897,E02000949,4255.0
898,E02000950,3110.0
899,E02000951,2822.0
900,E02000952,2657.0
901,E02000953,3211.0
902,E02000954,2247.0
903,E02000955,2678.0
904,E02000956,3032.0
905,E02000957,4420.0
906,E02000958,2917.0
907,E02000959,3104.0
908,E02000960,2782.0
909,E02000961,4068.0
910,E02000962,3858.0
911,E02000963,4135.0
912,E02000964,5358.0
913,E02000965,3624.0
914,E02000966,4110.0
915,E02000967,3014.0
916,E02000968,5617.0
917,E02000969,3718.0
918,E02000970,3555.0
919,E02000971,3722.0
920,E02000972,4255.0
921,E02000973,4797.0
922,E02000974,3979.0
923,E02000975,3802.0
924,E02000976,4212.0
925,E02000977,3432.0
926,E02000978,2764.0
927,E02000979,3927.0
928,E02000980,4324.0
929,E02000981,4157.0
930,E02000982,3844.0
931,E02000983,3757.0
932,E02000984,3208.0
933,E02000985,3220.0
934,E02000986,3647.0
935,E02000987,3462.0
936,E02000988,3640.0
937,E02000989,3744.0
938,E02000990,3690.0
939,E02000991,3250.0
940,E02000992,2760.0
941,E02000993,3450.0
942,E02000994,3317.0
943,E02000995,3424.0
944,E02000996,3382.0
945,E02000997,2721.0
946,E02000998,3702.0
947,E02000999,3635.0
948,E02001000,4065.0
949,E02001001,3209.0
950,E02001002,4074.0
951,E02001003,2829.0
952,E02001004,3059.0
953,E02001005,3390.0
954,E02001006,2759.0
955,E02001007,4392.0
956,E02001008,2830.0
957,E02001009,2977.0
958,E02001010,2487.0
959,E02001011,4233.0
960,E02001012,2982.0
961,E02001013,2498.0
962,E02001014,3783.0
963,E02001015,3860.0
964,E02001016,3341.0
965,E02001017,4661.0
966,E02001018,3109.0
967,E02001019,4073.0
968,E02001020,2508.0
969,E02001021,3176.0
970,E02001022,3367.0
971,E02001023,2321.0
972,E02001024,3378.0
973,E02001025,3425.0
974,E02001026,4380.0
975,E02001027,3177.0
976,E02001028,3098.0
977,E02001029,2876.0
978,E02001030,2512.0
979,E02001031,2951.0
980,E02001032,3277.0
981,E02001033,2684.0
982,E02001034,4089.0
983,E02001035,2994.0
984,E02001036,3093.0
985,E02001037,3035.0
986,E02001038,2675.0
987,E02001039,3513.0
988,E02001040,2632.0
989,E02001041,3399.0
990,E02001042,2893.0
991,E02001043,2373.0
992,E02001044,2794.0
993,E02001045,3602.0
994,E02001046,4379.0
995,E02001047,4359.0
996,E02001048,3487.0
997,E02001049,4205.0
998,E02001050,3161.0
999,E02001051,3527.0
1000,E02001052,4411.0
1001,E02001053,4587.0
1002,E02001055,3986.0
1003,E02001056,3444.0
