,GEOGRAPHY_CODE,All persons,Female,Male
2040,E02002292,1,0.6666666666666666,0.3333333333333333
2041,E02002293,1,0.5,0.5
2042,E02002294,1,0.5555555555555556,0.4444444444444444
2043,E02002295,1,0.3333333333333333,0.6666666666666666
2044,E02002297,1,0.5,0.5
2045,E02002299,1,0.39805825242718446,0.6019417475728155
2046,E02002300,1,1.0,0.0
2047,E02002301,1,0.3548387096774194,0.6451612903225806
2048,E02002302,1,1.0,0.0
2049,E02002303,1,0.6666666666666666,0.3333333333333333
2050,E02002304,1,0.32142857142857145,0.6785714285714286
2051,E02002305,1,0.4,0.6
2052,E02002306,1,0.5,0.5
2053,E02002307,1,0.0,1.0
2054,E02002308,1,1.0,0.0
2055,E02002309,1,0.45,0.55
2056,E02002310,1,0.0,1.0
2057,E02002311,1,1.0,0.0
2058,E02002312,1,0.41875,0.58125
2059,E02002313,1,0.5227272727272727,0.4772727272727273
2060,E02002314,1,0.6666666666666666,0.3333333333333333
2061,E02002315,1,0.4,0.6
2062,E02002316,1,0.0,1.0
2063,E02002317,1,0.4166666666666667,0.5833333333333334
2064,E02002318,1,0.6,0.4
2065,E02002319,1,0.5,0.5
2066,E02002321,1,0.4,0.6
2067,E02002322,1,1.0,0.0
2068,E02002323,1,0.0,1.0
2069,E02002325,1,0.5,0.5
2070,E02002326,1,1.0,0.0
2071,E02002327,1,1.0,0.0
2072,E02002329,1,0.3333333333333333,0.6666666666666666
2073,E02002331,1,1.0,0.0
2074,E02002332,1,0.0,1.0
2075,E02002334,1,1.0,0.0
2076,E02002335,1,0.42857142857142855,0.5714285714285714
2077,E02002336,1,0.3333333333333333,0.6666666666666666
2078,E02002337,1,0.5,0.5
2079,E02002338,1,1.0,0.0
2080,E02002340,1,1.0,0.0
2081,E02002341,1,0.5555555555555556,0.4444444444444444
2082,E02002343,1,0.5,0.5
2083,E02002344,1,0.6,0.4
2084,E02002345,1,0.11764705882352941,0.8823529411764706
2085,E02002346,1,0.0,1.0
2086,E02002347,1,0.5,0.5
2087,E02002348,1,0.2,0.8
2088,E02002349,1,0.5,0.5
2089,E02002350,1,0.5,0.5
2090,E02002351,1,1.0,0.0
2091,E02002352,1,0.5454545454545454,0.45454545454545453
2092,E02002353,1,0.5,0.5
2093,E02002354,1,0.625,0.375
2094,E02002356,1,0.3333333333333333,0.6666666666666666
2095,E02002357,1,0.25,0.75
2096,E02002358,1,0.42857142857142855,0.5714285714285714
2097,E02002359,1,0.5,0.5
2098,E02002360,1,0.8,0.2
2099,E02002361,1,0.6666666666666666,0.3333333333333333
2100,E02002362,1,0.625,0.375
2101,E02002363,1,0.4,0.6
2102,E02002364,1,0.6,0.4
2103,E02002366,1,0.5294117647058824,0.47058823529411764
2104,E02002367,1,0.5555555555555556,0.4444444444444444
2105,E02002368,1,0.0,1.0
2106,E02002369,1,0.7777777777777778,0.2222222222222222
2107,E02002370,1,0.0,1.0
2108,E02002371,1,0.6086956521739131,0.391304347826087
2109,E02002373,1,0.5238095238095238,0.47619047619047616
2110,E02002374,1,0.391304347826087,0.6086956521739131
2111,E02002375,1,0.6666666666666666,0.3333333333333333
2112,E02002376,1,0.6363636363636364,0.36363636363636365
2113,E02002377,1,0.5238095238095238,0.47619047619047616
2114,E02002379,1,1.0,0.0
2115,E02002381,1,0.5555555555555556,0.4444444444444444
2116,E02002382,1,0.5217391304347826,0.4782608695652174
2117,E02002383,1,0.5131578947368421,0.4868421052631579
