,GEOGRAPHY_CODE,Apprenticeship,Level 1 and entry level qualifications,Level 2 qualifications,Level 3 qualifications,Level 4 qualifications or above,No qualifications,Other qualifications,Total: All usual residents aged 16 years and over
3062,E02003207,0.06784861916126833,0.12904875554040232,0.16075690419365837,0.18649846573474257,0.22280941016024547,0.2052505966587112,0.027787248550971703,5866.0
3063,E02003208,0.055532532117695814,0.0998756734355574,0.13914214670534605,0.1608992954828015,0.3248031496062992,0.18731869042685453,0.0324285122254455,9652.0
3064,E02003209,0.07128888888888889,0.11413333333333334,0.1534222222222222,0.18186666666666668,0.24604444444444445,0.2039111111111111,0.029333333333333333,5625.0
3065,E02003210,0.05089710728670817,0.07994629561821066,0.1360917856706945,0.15647503966800927,0.4406200414988405,0.10862931771024045,0.027340412547296473,8193.0
3066,E02003211,0.054915166429219016,0.07965289470275871,0.13042352026939516,0.128739800543971,0.43310452013987827,0.14013728791607305,0.03302680999870483,7721.0
3067,E02003212,0.0653835267478064,0.11279365977922445,0.1542598358335692,0.1801585055193886,0.29167846023209737,0.16459099915086328,0.031135012737050664,7066.0
3068,E02003214,0.05687963148407771,0.1766473062287202,0.19347085920288404,0.1333867414380132,0.14119767674744643,0.268375726016423,0.03004205888243541,4993.0
3069,E02003215,0.08668623726472112,0.12985667414954238,0.1588672077361423,0.1714729753065101,0.22966672422724918,0.1959937834570886,0.02745639785874633,5791.0
3070,E02003216,0.07205134415112618,0.1444659723904093,0.1614192298377331,0.1671106805521918,0.2176071688060063,0.20440784693630418,0.03293775732622911,8258.0
3071,E02003217,0.06322335463810676,0.1449300397305234,0.17015028502332008,0.16030402487476247,0.21247192952150631,0.21903610295387804,0.02988426325790292,5789.0
3072,E02003218,0.0558238361985706,0.15221170562101602,0.1734595325478076,0.1377245508982036,0.17539115317751594,0.2713926984740197,0.03399652308286653,5177.0
3073,E02003219,0.049438427597272364,0.09175691937424789,0.1607501002807862,0.18953068592057762,0.388086642599278,0.10158443642198155,0.0188527878058564,9972.0
3074,E02003220,0.0747577295800646,0.1324411628980157,0.1688970927549608,0.17858790955237655,0.23707891093677896,0.17731887401938162,0.03091832025842178,8668.0
3075,E02003221,0.06164034640855833,0.1696383087111564,0.1490915265749703,0.12548819833588046,0.20207165902530141,0.24265579894718967,0.049414161996943456,5889.0
3076,E02003222,0.05027817844632186,0.11930764475582115,0.17988872862147126,0.19781578405110242,0.3305172058520503,0.09849577580877808,0.023696682464454975,4853.0
3077,E02003223,0.06313274940279831,0.12364918666818336,0.15743373905130248,0.1580025025594358,0.2892731202366056,0.17131156864975544,0.03719713343191901,8791.0
3078,E02003224,0.07906012439530062,0.13780234968901175,0.16378714581893572,0.17429163787145818,0.2247408431237042,0.1871458189357291,0.0331720801658604,7235.0
3079,E02003225,0.059927934761995066,0.12023516025033187,0.16840508249573297,0.17485302484354256,0.3091219419685189,0.13635501611985587,0.031101839560022757,5273.0
3080,E02003226,0.05013439289470609,0.1765805773051303,0.13310739745237818,0.09524366016127148,0.24739978964590395,0.2109384129952086,0.08659576954540142,8557.0
3081,E02003227,0.04684548545523234,0.18832640725349453,0.16547034378541745,0.11975821684926331,0.1622591613146959,0.27276161692482054,0.044578768417075934,5294.0
3082,E02003228,0.06097168597168597,0.1336872586872587,0.1513835263835264,0.14848777348777348,0.29214929214929214,0.17229729729729729,0.041023166023166024,6216.0
3083,E02003229,0.05220796171416141,0.11942571242114422,0.1820752664781379,0.19034152708288013,0.29084185338264085,0.1368283663258647,0.028279312595170764,4597.0
3084,E02003230,0.04898463227222832,0.10441822173435784,0.11978594950603733,0.1446212952799122,0.3751372118551043,0.158205268935236,0.04884742041712404,7288.0
3085,E02003231,0.050973828362751064,0.1667681071211199,0.1690505173463177,0.11853317102860621,0.17026780279975653,0.2853012781497261,0.039105295191722456,6572.0
3086,E02003232,0.049807335521621234,0.09147994862280577,0.14842300556586271,0.16012558869701726,0.40716426430712144,0.12045097759383473,0.022548879691736835,7007.0
3087,E02003233,0.055595255109332574,0.15106474203229955,0.1652136629984279,0.15535229384021723,0.20951836501357723,0.22209518365013578,0.04116049735600972,6997.0
3088,E02003234,0.06385404789053592,0.15350627137970355,0.17274800456100342,0.15379133409350057,0.22063854047890535,0.20182440136830102,0.033637400228050174,7016.0
3089,E02003235,0.05001305823974928,0.09506398537477148,0.15134499869417603,0.1591799425437451,0.40219378427787933,0.11621833376860799,0.025985897101070774,7658.0
3090,E02003236,0.06327175265626496,0.1052933856609553,0.1500909351967072,0.17469129893749402,0.32803675696372164,0.15372834306499475,0.02488752751986216,10447.0
3091,E02003237,0.06676870097570307,0.10828391046489381,0.15592117849626938,0.18480964224220395,0.2898412091065621,0.1666347809450928,0.027740577769274917,5227.0
3092,E02003238,0.053579082726103726,0.13159022717531077,0.17916845263609088,0.18731247321045863,0.253107586798114,0.16566652378911273,0.02957565366480926,4666.0
3093,E02003239,0.07822440717177559,0.12116830537883169,0.1586176980913823,0.1791497975708502,0.24927703875072296,0.18681318681318682,0.026749566223250434,6916.0
3094,E02003240,0.048659566654425265,0.07730444362835108,0.15332354021300038,0.2183253764230628,0.3813808299669482,0.1072346676459787,0.013771575468233566,5446.0
3095,E02003241,0.06299347751458977,0.12032269138345349,0.1580844490216272,0.1858908341915551,0.24939924476484723,0.1893237212495709,0.03398558187435633,5826.0
3096,E02003242,0.0739577384351799,0.1267846944603084,0.1449171901770417,0.15719588806396345,0.23300970873786409,0.22772701313535124,0.03640776699029126,7004.0
3097,E02003243,0.05774395702775291,0.15286481647269473,0.15778871978513875,0.14581468218442256,0.1841987466427932,0.25783348254252464,0.04375559534467323,8936.0
3098,E02003244,0.05329195898542904,0.14112250404749055,0.13572584997301673,0.13221802482460873,0.17754991905018888,0.31516459794927143,0.0449271451699946,7412.0
3099,E02003245,0.05786618444846293,0.1551865855663324,0.15765247410817032,0.12839059674502712,0.1885582771658721,0.26664474765740587,0.04570113430872925,6083.0
