,GEOGRAPHY_CODE,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 4 years and under,Aged 40 to 44 years,Aged 45 to 49 years,Aged 5 to 9 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over,Total
5194,E02005405,0.059722222222222225,0.06027777777777778,0.05305555555555556,0.05472222222222222,0.06208333333333333,0.057916666666666665,0.05277777777777778,0.05625,0.06097222222222222,0.059027777777777776,0.06986111111111111,0.06888888888888889,0.06111111111111111,0.05708333333333333,0.06833333333333333,0.042916666666666665,0.02666666666666667,0.028333333333333332,1
5195,E02005406,0.05895748987854251,0.052884615384615384,0.06414473684210527,0.07894736842105263,0.07616396761133604,0.07527834008097166,0.06718117408906883,0.062246963562753034,0.07173582995951416,0.06338562753036438,0.07338056680161943,0.06768724696356275,0.05098684210526316,0.04048582995951417,0.03441295546558704,0.026821862348178137,0.018092105263157895,0.01720647773279352,1
5196,E02005407,0.05440746159473299,0.052852962692026335,0.051847110460863204,0.08037673738112655,0.07973664959765911,0.07040965618141917,0.06108266276517922,0.06821506949524506,0.07278712509144111,0.05998536942209217,0.07845647403072421,0.06931236283833211,0.051755669348939284,0.04178858814923189,0.04252011704462326,0.03108997805413314,0.01837966349670812,0.014996342355523043,1
5197,E02005408,0.05676744482714632,0.05102691669855849,0.04771016711315219,0.05804311774461028,0.06046689628779181,0.05893608878683505,0.05128205128205128,0.05842581961984947,0.07016201046051793,0.05510907003444317,0.08368414338563593,0.07730577879831611,0.06595228983288685,0.059956627120806225,0.05561933920142875,0.046179359612195436,0.025130756474040058,0.01824212271973466,1
5198,E02005409,0.05830418124271198,0.05147426286856572,0.051557554556055304,0.059470264867566215,0.06971514242878561,0.062552057304681,0.05805430618024321,0.061802432117274694,0.07146426786606697,0.06413459936698318,0.07879393636515075,0.06854905880393136,0.058637347992670334,0.049475262368815595,0.05480593036814926,0.03864734299516908,0.022988505747126436,0.019573546560053307,1
5199,E02005412,0.07025495750708215,0.05031161473087819,0.040793201133144476,0.04611898016997167,0.06062322946175638,0.06515580736543909,0.04929178470254957,0.06742209631728045,0.06141643059490085,0.06572237960339944,0.0601699716713881,0.059490084985835696,0.06232294617563739,0.055410764872521244,0.054277620396600564,0.042946175637393766,0.03875354107648725,0.049518413597733714,1
5200,E02005414,0.0615964038391447,0.057708662373952134,0.054914348195844974,0.06281132304701738,0.06815696756165715,0.0615964038391447,0.055643299720568584,0.05965253310654842,0.057708662373952134,0.06341878265095371,0.06888591908638075,0.06329729073016645,0.05503584011663224,0.051512574413801485,0.0495687036812052,0.03462519742437128,0.028186125622646094,0.04568096221601264,1
5201,E02005415,0.057656769742515705,0.04964888505605519,0.05531600344955032,0.07157816927436245,0.07404213379327337,0.07034618701490698,0.0629542934581742,0.05556239990144142,0.06159911297277319,0.062215104102500925,0.07120857459652581,0.06726623136626833,0.05470001231982259,0.04496735247012443,0.044104964888505606,0.038930639398792655,0.03166194406800542,0.02624122212640138,1
5202,E02005416,0.05030674846625767,0.0501952035694367,0.04305633017289459,0.054099274958170664,0.06090351366424986,0.05666480758505298,0.04171779141104295,0.049302844394868935,0.06090351366424986,0.05086447295036252,0.06436140546569995,0.0769659788064696,0.06804238706079196,0.06625766871165645,0.07897378694924707,0.05911879531511433,0.037702175125488006,0.0305633017289459,1
5203,E02005417,0.05303531278931358,0.04681920380901997,0.04047083719084777,0.04245470175902658,0.04642243089538421,0.04523211215447692,0.034519243486311336,0.047612749636291495,0.06612881893929375,0.04589340034386986,0.07816426398624521,0.0931093770665256,0.08094167438169554,0.08080941674381696,0.07208041264383018,0.058854648855971435,0.034519243486311336,0.032932151831768286,1
