,GEOGRAPHY_CODE,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household,Total: All households
91,E02000095,0.18027638190954773,0.22141959798994976,0.19064070351758794,0.1972361809045226,0.0888819095477387,0.058103015075376886,0.02701005025125628,0.0364321608040201,1
92,E02000096,0.18694955964771817,0.2674139311449159,0.18414731785428343,0.19975980784627703,0.08606885508406725,0.03843074459567654,0.014811849479583666,0.02241793434747798,1
93,E02000097,0.20915678524374176,0.23353096179183136,0.18214756258234518,0.17753623188405798,0.08893280632411067,0.05237154150197629,0.026021080368906456,0.030303030303030304,1
94,E02000098,0.216,0.25565217391304346,0.1822608695652174,0.1666086956521739,0.09321739130434782,0.04626086956521739,0.02191304347826087,0.01808695652173913,1
95,E02000099,0.1912924237230031,0.21906067877956806,0.19746314706890641,0.19574905725059993,0.08399040109701748,0.0407953376756942,0.025368529310935892,0.04628042509427494,1
96,E02000100,0.1992993382639159,0.24017127286882056,0.19384974698326196,0.17633320358115998,0.09692487349163098,0.053717399766446086,0.021798365122615803,0.017905799922148698,1
97,E02000101,0.25694034258712345,0.2297696396928529,0.1887182516243355,0.16804489072652096,0.0800354400472534,0.040460720614294156,0.02067336089781453,0.01535735380980508,1
98,E02000102,0.2578241430700447,0.21050670640834576,0.1721311475409836,0.14046199701937406,0.0935171385991058,0.06520119225037257,0.030923994038748136,0.029433681073025336,1
99,E02000103,0.25541750939034963,0.2571511123952615,0.18405085235481075,0.14966772609072523,0.08234614273331407,0.0361167292689974,0.01762496388327073,0.01762496388327073,1
100,E02000104,0.25444766239139427,0.21803889118742242,0.16052958212660323,0.17625155151013652,0.09557302441042614,0.0430285477865122,0.021100537856847332,0.03103020273065784,1
101,E02000105,0.2204699066623753,0.22111361441905375,0.18120373350498872,0.17766334084325716,0.09430318635339556,0.05246218216929514,0.023817186997103314,0.028966849050531058,1
102,E02000106,0.2838817624093698,0.23898494143892918,0.1634132738427217,0.1388733965421082,0.08003346346904629,0.046848856664807585,0.021193530395984383,0.026770775237032907,1
