,GEOGRAPHY_CODE,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Other household types,"Other household types: Other, including all full-time students and all aged 66 years and over",Other household types: With dependent children,Single family household,Single family household: All aged 66 years and over,Single family household: Cohabiting couple family,Single family household: Cohabiting couple family: All children non-dependent,Single family household: Cohabiting couple family: No children,Single family household: Cohabiting couple family: With dependent children,Single family household: Lone parent family,Single family household: Lone parent family: All children non-dependent,Single family household: Lone parent family: With dependent children,Single family household: Married or civil partnership couple,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Married or civil partnership couple: Dependent children,Single family household: Married or civil partnership couple: No children,Single family household: Other single family household,Single family household: Other single family household: Other family composition,Total: All households
3782,E02003948,0.3635200818623689,0.17165515477104118,0.1918649270913277,0.04553594269634178,0.029930928626247123,0.015605014070094653,0.5909439754412893,0.1128165771297007,0.1087234586850857,0.0061396776669224865,0.04579176259913021,0.056792018419033,0.13097979022767972,0.05525709900230238,0.07572269122537734,0.2340752110514198,0.04937324123816833,0.08467638782297263,0.10002558199027885,0.004348938347403428,0.004348938347403428,1
3783,E02003949,0.5110741971207088,0.23477297895902546,0.2763012181616833,0.043466223698781836,0.03211517165005537,0.011351052048726468,0.44545957918050944,0.07059800664451828,0.10132890365448505,0.004429678848283499,0.06035437430786268,0.036544850498338874,0.12043189368770764,0.046511627906976744,0.0739202657807309,0.14867109634551495,0.027408637873754152,0.05232558139534884,0.06893687707641195,0.004429678848283499,0.004429678848283499,1
3784,E02003950,0.3542245140817136,0.19912733042443476,0.15509718365727887,0.0432368107893693,0.029353431178103927,0.013883379611265371,0.6025386751289171,0.128520428401428,0.09440698135660452,0.007140023800079333,0.047996826656088856,0.03927013090043634,0.07695358984529949,0.02816342721142404,0.04879016263387544,0.2994843316144387,0.055533518445061485,0.10432368107893693,0.1396271320904403,0.0031733439111463705,0.0031733439111463705,1
3785,E02003951,0.3757894736842105,0.21333333333333335,0.1624561403508772,0.04105263157894737,0.028771929824561403,0.012280701754385965,0.5831578947368421,0.15157894736842106,0.09263157894736843,0.0059649122807017545,0.05157894736842105,0.03508771929824561,0.10210526315789474,0.04245614035087719,0.05964912280701754,0.2326315789473684,0.04982456140350877,0.07684210526315789,0.10596491228070175,0.004210526315789474,0.004210526315789474,1
3786,E02003952,0.27410300219672934,0.12155235538198682,0.1525506468147425,0.061020258725896996,0.04027337075909202,0.02074688796680498,0.6648767390773737,0.0993409812057603,0.1484012692213815,0.008054674151818403,0.07395655357578716,0.06639004149377593,0.10495484500854284,0.03905296558457408,0.06590187942396876,0.30656577983890654,0.0446668293873566,0.1484012692213815,0.11349768123016842,0.005613863802782524,0.005613863802782524,1
3787,E02003953,0.2585551330798479,0.11787072243346007,0.14068441064638784,0.06173115634086334,0.037799150078282266,0.023932006262581077,0.6797137105792888,0.11227913218519348,0.13554014761798255,0.008946544397226572,0.06732274658912994,0.05927085663162603,0.10221426973831357,0.040035786177588906,0.06217848356072467,0.3243122343994632,0.06284947439051666,0.13643480205770522,0.12502795795124133,0.0053679266383359426,0.0053679266383359426,1
3788,E02003954,0.381567856139365,0.14048890137679124,0.24107895476257377,0.07811182916549593,0.062377072211295306,0.015734756954200617,0.5403203146951391,0.08148356279853891,0.13571227872998032,0.007867378477100308,0.08429334082607474,0.04355155942680528,0.07979769598201743,0.027816802472604665,0.051980893509412755,0.2388311323405451,0.04495644844057319,0.09525147513346445,0.09862320876650744,0.00449564484405732,0.00449564484405732,1
3789,E02003955,0.33011886073110563,0.14308140838753083,0.1870374523435748,0.06683112805561785,0.045077371607983856,0.021753756447634,0.6030500112132765,0.10271361291769456,0.12289751065261269,0.008297824624355236,0.06750392464678179,0.04709576138147567,0.09733124018838304,0.036555281453240634,0.06077595873514241,0.27293115048217087,0.05202960305001121,0.11616954474097331,0.10473200269118636,0.00717649697241534,0.00717649697241534,1
3790,E02003956,0.2754158964879852,0.11829944547134935,0.15711645101663585,0.0680837954405422,0.03974121996303143,0.028342575477510783,0.6565003080714725,0.10166358595194085,0.1337030191004313,0.00862600123228589,0.06346272335181762,0.061614294516327786,0.09642637091805299,0.03542821934688848,0.06099815157116451,0.3185459026494147,0.061614294516327786,0.12415280345040049,0.13277880468268638,0.0061614294516327784,0.0061614294516327784,1
3791,E02003957,0.2784595852729581,0.1347862886161659,0.1436732966567922,0.05924672027084215,0.03575962759204401,0.023487092678798137,0.6622936944561998,0.11828184511214558,0.1464240372407956,0.006982649174777825,0.0732120186203978,0.06622936944561997,0.09077443927211172,0.03152771900126957,0.05924672027084215,0.3002539145154465,0.05522640710960643,0.11510791366906475,0.12991959373677528,0.0065594583157003805,0.0065594583157003805,1
3792,E02003958,0.2685532775050534,0.1348541726826451,0.13369910482240832,0.046491481374530755,0.02598902685532775,0.020502454519203003,0.6849552411204158,0.10944267975743575,0.13052266820675715,0.007219174126479931,0.0626624314178458,0.06064106266243142,0.10857637886225815,0.03898354028299163,0.06959283857926653,0.3332370776783136,0.06468380017326018,0.12734623159110597,0.14120704591394745,0.0031764366156511693,0.0031764366156511693,1
3793,E02003959,0.2863881401617251,0.14454177897574125,0.14184636118598382,0.057951482479784364,0.03807277628032345,0.019878706199460916,0.6556603773584906,0.10950134770889487,0.12668463611859837,0.006064690026954178,0.05761455525606469,0.06300539083557952,0.12668463611859837,0.0444743935309973,0.08221024258760108,0.28942048517520214,0.05390835579514825,0.11960916442048518,0.11590296495956873,0.0033692722371967657,0.0033692722371967657,1
3794,E02003960,0.305886879569065,0.19315121200461716,0.11273566756444786,0.050788764909580605,0.03193535975375144,0.018853405155829166,0.6433243555213544,0.16929588303193535,0.09619084263178146,0.005386687187379761,0.058099268949596,0.03270488649480569,0.07849172758753367,0.029626779530588686,0.04886494805694498,0.29549826856483263,0.05886879569065025,0.09580607926125433,0.14082339361292806,0.003847633705271258,0.003847633705271258,1
3795,E02003961,0.27343565525383706,0.15678866587957496,0.1166469893742621,0.04037780401416765,0.02550177095631641,0.01487603305785124,0.6861865407319953,0.14994096812278632,0.11003541912632822,0.008736717827626918,0.05690672963400236,0.04439197166469894,0.0923258559622196,0.03471074380165289,0.05761511216056671,0.3305785123966942,0.06210153482880756,0.1319952774498229,0.13648170011806376,0.003305785123966942,0.003305785123966942,1
3796,E02003962,0.30329178651326305,0.1278363694471077,0.17545541706615533,0.059443911792905084,0.03707254713966123,0.02237136465324385,0.6372643016938319,0.10642377756471716,0.12527964205816555,0.007031000319590924,0.0696708213486737,0.048577820389900925,0.10418664109939278,0.03803131991051454,0.06615532118887824,0.2956216043464366,0.0488974113135187,0.12911473314157879,0.11760945989133909,0.005752636625119847,0.005752636625119847,1
3797,E02003963,0.36367605326347957,0.17703558175070946,0.18664047151277013,0.05129884304736957,0.033180528268936915,0.018118314778432655,0.5850251036891508,0.09583060467146912,0.12006112202575857,0.007640253219821,0.0626500764025322,0.04977079240340537,0.12639161755075312,0.04671469111547697,0.07967692643527614,0.23772102161100198,0.044313468674961796,0.09670377646802009,0.09670377646802009,0.005020737830168085,0.005020737830168085,1
3798,E02003964,0.3043833378709502,0.18268445412469372,0.12169888374625647,0.050367546964334334,0.037026953444051186,0.013340593520283148,0.6452491151647155,0.18595153825211,0.08739450040838552,0.0051728832017424444,0.05254560304927852,0.029676014157364553,0.06343588347399945,0.027497958072420364,0.03593792540157909,0.3057446229240403,0.060713313367819224,0.10781377620473727,0.1372175333514838,0.002722570106180234,0.002722570106180234,1
3799,E02003965,0.33167429822815053,0.17599044395779415,0.15568385427035636,0.02826995819231535,0.015329484371889308,0.01294047382042604,0.6400557435795341,0.13975711726060122,0.10710730639060323,0.00856062114274338,0.05295640055743579,0.045590284690424046,0.09157873780609198,0.03623332669719291,0.05534541110889907,0.29683456101931116,0.06669321122834959,0.10471829583913995,0.12542305395182163,0.004778021102926538,0.004778021102926538,1
3800,E02003966,0.2664054848188051,0.1514854717597127,0.1149200130590924,0.03493307215148547,0.022526934378060724,0.012406137773424747,0.6986614430297095,0.15997388181521385,0.09761671563826314,0.004570682337577538,0.056154097290238326,0.036891936010447275,0.054195233431276524,0.029709435194253998,0.024485798237022526,0.3832843617368593,0.0842311459353575,0.13157035586026772,0.16748285994123407,0.0035912504080966375,0.0035912504080966375,1
3801,E02003967,0.30446849847349433,0.14932001110185955,0.15514848737163475,0.034415764640577294,0.01887316125451013,0.015542603386067166,0.6611157368859284,0.13461004718290315,0.11462669997224535,0.00749375520399667,0.054676658340271994,0.05245628642797669,0.08687205106855399,0.03691368304190952,0.04995836802664446,0.32112128781570914,0.06272550652234249,0.11601443241742992,0.14238134887593673,0.0038856508465167916,0.0038856508465167916,1
3802,E02003968,0.33075193604796405,0.15163627279540345,0.1791156632525606,0.031226580064951288,0.019735198601049213,0.011491381463902073,0.6380214838870847,0.12890332250811892,0.11966025480889333,0.010741943542343242,0.06145390956782413,0.047464401698725955,0.07719210592055958,0.028728453659755182,0.048463652260804395,0.30951786160379713,0.05920559580314764,0.1284036972270797,0.12190856857356983,0.0027479390457157134,0.0027479390457157134,1
3803,E02003969,0.3342512908777969,0.14974182444061962,0.18450946643717728,0.033390705679862305,0.014113597246127367,0.01927710843373494,0.6323580034423408,0.08502581755593804,0.13390705679862305,0.007573149741824441,0.05576592082616179,0.07056798623063683,0.16006884681583478,0.05025817555938038,0.10981067125645438,0.24750430292598968,0.06437177280550775,0.0864027538726334,0.09672977624784854,0.00585197934595525,0.00585197934595525,1
3804,E02003970,0.34212588143118305,0.15643771219639593,0.18568816923478715,0.02768346826847741,0.014625228519195612,0.013058239749281797,0.6301906503003395,0.12979890310786105,0.09506398537477148,0.003656307129798903,0.06163489161661008,0.029772786628362496,0.07025332985113607,0.02820579785844868,0.04204753199268738,0.3329851136066858,0.05406111256202664,0.14207364847218595,0.13685035257247324,0.0020893183598850876,0.0020893183598850876,1
3805,E02003971,0.3122540753232153,0.16582349634626195,0.14643057897695336,0.02894884766722878,0.019955030916245082,0.008993816750983699,0.6587970770095559,0.15261382799325462,0.08347386172006746,0.006183249016301293,0.04946599213041034,0.02782462057335582,0.0775716694772344,0.03035413153456998,0.047217537942664416,0.34345137717819,0.05705452501405284,0.13546936481169197,0.15092748735244518,0.0016863406408094434,0.0016863406408094434,1
3806,E02003972,0.3576676937662953,0.14979853045745437,0.20786916330884095,0.022754207158094335,0.011377103579047167,0.011377103579047167,0.6195780990756103,0.1080824840009481,0.11945958757999527,0.008769850675515525,0.060440862763688076,0.050248874140791655,0.10120881725527377,0.03436833372837165,0.06684048352690211,0.28703484237971083,0.05925574780753733,0.1066603460535672,0.12111874851860631,0.003792367859682389,0.003792367859682389,1
3807,E02003973,0.41935483870967744,0.15197132616487455,0.26738351254480286,0.027718040621266427,0.014097968936678614,0.013620071684587814,0.5529271206690561,0.05806451612903226,0.11899641577060932,0.006929510155316607,0.053763440860215055,0.05830346475507766,0.15005973715651136,0.04707287933094385,0.1029868578255675,0.22054958183990442,0.045878136200716846,0.07837514934289128,0.0962962962962963,0.0052568697729988055,0.0052568697729988055,1
3808,E02003974,0.33390508862206975,0.1432246998284734,0.19068038879359633,0.024871355060034305,0.012864493996569469,0.012006861063464836,0.641223556317896,0.10520297312750143,0.11749571183533447,0.008004574042309892,0.05603201829616924,0.05345911949685535,0.1377930245854774,0.03659233847913093,0.10120068610634649,0.2775871926815323,0.0634648370497427,0.09605488850771869,0.1180674671240709,0.0031446540880503146,0.0031446540880503146,1
3809,E02003975,0.2920075519194462,0.1356198867212083,0.15638766519823788,0.02391441157960982,0.012586532410320957,0.011327879169288861,0.684078036500944,0.13058527375707993,0.11925739458779107,0.005034612964128383,0.05884203901825047,0.05538074260541221,0.08527375707992448,0.03303964757709251,0.05223410950283197,0.3470736312146004,0.059786028949024544,0.14317180616740088,0.14411579609817496,0.0018879798615481435,0.0018879798615481435,1
3810,E02003976,0.3508771929824561,0.19504643962848298,0.15583075335397317,0.04540763673890609,0.029927760577915376,0.015479876160990712,0.6037151702786377,0.1503267973856209,0.09012727898176814,0.004815961472308222,0.05538355693154455,0.029927760577915376,0.06535947712418301,0.03199174406604747,0.033367733058135535,0.29239766081871343,0.05125558995528036,0.09838321293429653,0.14275885792913656,0.005503955968352253,0.005503955968352253,1
3811,E02003977,0.32470334412081986,0.1449119021934556,0.17979144192736426,0.02409205321826681,0.013304566702624955,0.010787486515641856,0.6512046026609133,0.10391945343401654,0.11830276878820568,0.006472491909385114,0.061129090255303845,0.05070118662351672,0.08270406328658755,0.038834951456310676,0.04386911183027688,0.34376123696512045,0.07659115426105717,0.12765192376842863,0.13951815893563466,0.0025170801869830997,0.0025170801869830997,1
3812,E02003978,0.33698526633925197,0.14960332451832262,0.18738194182092935,0.029467321496033247,0.017378163959199094,0.012089157536834151,0.6335474121647148,0.11371363808084624,0.12882508500188894,0.006422364941443143,0.06951265583679637,0.05289006422364941,0.10426898375519456,0.044578768417075934,0.05969021533811863,0.28447298828862866,0.060823573857196826,0.10464676992822063,0.11900264450321119,0.0022667170381564035,0.0022667170381564035,1
3813,E02003979,0.29884393063583814,0.1893063583815029,0.10953757225433526,0.03265895953757225,0.01763005780346821,0.015028901734104046,0.6684971098265896,0.18294797687861272,0.0861271676300578,0.004335260115606936,0.04190751445086705,0.039884393063583816,0.04393063583815029,0.02398843930635838,0.019942196531791908,0.3534682080924855,0.07283236994219654,0.14277456647398845,0.13786127167630058,0.002023121387283237,0.002023121387283237,1
3814,E02003980,0.42073170731707316,0.15670731707317073,0.26402439024390245,0.03170731707317073,0.01676829268292683,0.014939024390243902,0.5475609756097561,0.056402439024390245,0.12225609756097561,0.00853658536585366,0.04939024390243903,0.06432926829268293,0.15457317073170732,0.04573170731707317,0.10884146341463415,0.20640243902439023,0.043292682926829265,0.07896341463414634,0.08414634146341464,0.007926829268292683,0.007926829268292683,1
3815,E02003981,0.33537832310838445,0.13258350374914793,0.20279481935923654,0.030334014996591684,0.019768234492160874,0.010565780504430812,0.6342876618950238,0.0841854124062713,0.13803680981595093,0.009202453987730062,0.0681663258350375,0.06066802999318337,0.1138377641445126,0.04124062713019768,0.07259713701431493,0.2948193592365371,0.06441717791411043,0.1165644171779141,0.1138377641445126,0.0034083162917518746,0.0034083162917518746,1
3816,E02003982,0.2607026867434308,0.13433717153823443,0.12636551520519634,0.029524653085326247,0.01210510776498376,0.017419545320342487,0.709772660171243,0.12931798051372898,0.12370829642751698,0.007971656333038087,0.05727782698553292,0.05845881310894597,0.09211691762621789,0.03926778860348391,0.05284912902273398,0.3625627398878063,0.0684971951579569,0.15589016829052257,0.13817537643932684,0.002066725715972837,0.002066725715972837,1
3817,E02003983,0.3752260397830018,0.13050030138637733,0.24472573839662448,0.03375527426160337,0.018685955394816153,0.015069318866787222,0.5910186859553949,0.056660638939119955,0.13803496081977096,0.010548523206751054,0.05515370705244123,0.07233273056057866,0.16063893911995178,0.06027727546714889,0.1003616636528029,0.22875226039783003,0.050331525015069316,0.09041591320072333,0.08800482218203737,0.006931886678722122,0.006931886678722122,1
3818,E02003984,0.5036407766990292,0.13804611650485438,0.36559466019417475,0.04156553398058253,0.025485436893203883,0.01608009708737864,0.45479368932038833,0.035800970873786406,0.12135922330097088,0.0057645631067961165,0.0591626213592233,0.05643203883495146,0.1507888349514563,0.04247572815533981,0.1083131067961165,0.13865291262135923,0.027305825242718445,0.05127427184466019,0.060072815533980584,0.008191747572815534,0.008191747572815534,1
3819,E02003985,0.3500794912559618,0.17106518282988872,0.17901430842607313,0.02448330683624801,0.013354531001589825,0.011128775834658187,0.6254372019077902,0.11764705882352941,0.12845786963434022,0.00794912559618442,0.059777424483306835,0.060731319554848964,0.10492845786963434,0.04260731319554849,0.06232114467408585,0.2718600953895072,0.05278219395866455,0.10079491255961844,0.11828298887122417,0.0025437201907790143,0.0025437201907790143,1
3820,E02003986,0.4069883527454243,0.1480865224625624,0.2589018302828619,0.023627287853577372,0.016306156405990018,0.007321131447587354,0.5693843594009983,0.10615640599001663,0.11813643926788686,0.007321131447587354,0.05124792013311148,0.05956738768718802,0.10415973377703827,0.03993344425956739,0.06422628951747088,0.23760399334442595,0.04858569051580699,0.08685524126455907,0.1021630615640599,0.0033277870216306157,0.0033277870216306157,1
3821,E02003987,0.32142857142857145,0.14985272459499263,0.1715758468335788,0.03608247422680412,0.024300441826215022,0.011782032400589101,0.6424889543446245,0.12039764359351988,0.10346097201767304,0.007363770250368188,0.054491899852724596,0.04160530191458026,0.07695139911634757,0.03350515463917526,0.04344624447717231,0.33468335787923414,0.0625920471281296,0.11818851251840942,0.15390279823269515,0.006995581737849779,0.006995581737849779,1
3822,E02003988,0.34739617666446937,0.18029004614370467,0.16710613052076467,0.02966381015161503,0.015820698747528016,0.013843111404087014,0.6229400131839157,0.13645352669742913,0.0955833882663151,0.008899143045484509,0.05372445616348055,0.03295978905735003,0.0903098220171391,0.035596572181938034,0.05471324983520105,0.2982860909690178,0.05372445616348055,0.10382333553065261,0.14073829927488465,0.0023071852340145024,0.0023071852340145024,1
3823,E02003989,0.3407917383820998,0.178714859437751,0.16207687894434883,0.025817555938037865,0.01549053356282272,0.010327022375215147,0.6333907056798623,0.12794033275960986,0.102122776821572,0.0051635111876075735,0.05335628227194492,0.04360298336201951,0.08691910499139414,0.03155479059093517,0.055364314400458976,0.3132530120481928,0.05909351692484223,0.13052208835341367,0.1236374067699369,0.003155479059093517,0.003155479059093517,1
