,GEOGRAPHY_CODE,1 person in the household previously served in UK armed forces,2 people in the household previously served in UK armed forces,3 or more people in the household previously served in UK armed forces,No people in the household previously served in UK armed forces,Total: All households
1933,E02002025,0.04628369180506398,0.0005445140212360468,0.0,0.9531717941737,1
1934,E02002026,0.057242582897033156,0.0020942408376963353,0.0,0.9406631762652705,1
1935,E02002027,0.04848754448398576,0.0026690391459074734,0.0,0.9488434163701067,1
1936,E02002028,0.07964939024390244,0.0007621951219512195,0.0,0.9195884146341463,1
1937,E02002029,0.06828703703703703,0.0015432098765432098,0.0,0.9301697530864198,1
1938,E02002030,0.06148760330578512,0.001652892561983471,0.00033057851239669424,0.9365289256198347,1
1939,E02002031,0.040234375,0.001953125,0.0,0.9578125,1
1940,E02002032,0.050597329585382995,0.0014054813773717498,0.0,0.9479971890372453,1
1941,E02002033,0.06392002423508028,0.0021205695243865495,0.0,0.9339594062405332,1
1942,E02002034,0.05282051282051282,0.0010256410256410256,0.0,0.9461538461538461,1
1943,E02002035,0.06449044585987261,0.0011942675159235668,0.0,0.9343152866242038,1
1944,E02002036,0.05661688086141021,0.0010420284821118443,0.0,0.942341090656478,1
1945,E02002037,0.0602125147579693,0.0007870916961826052,0.0,0.9390003935458481,1
1946,E02002038,0.05821064552661381,0.0013590033975084937,0.0,0.9404303510758777,1
1947,E02002039,0.0583804143126177,0.0018832391713747645,0.0,0.9397363465160076,1
1948,E02002040,0.07117716073523661,0.0011732499022291747,0.0,0.9276495893625342,1
1949,E02002041,0.07251328777524678,0.0030372057706909645,0.0,0.9244495064540622,1
1950,E02002042,0.06946107784431138,0.0008982035928143712,0.0,0.9296407185628742,1
1951,E02002043,0.05307262569832402,0.0012414649286157666,0.0,0.9456859093730602,1
1952,E02002044,0.04316791298436438,0.0020394289598912306,0.0,0.9547926580557444,1
1953,E02002045,0.054317111459968606,0.0006279434850863422,0.0,0.945054945054945,1
1954,E02002046,0.03806734992679356,0.002440214738897023,0.0,0.9594924353343094,1
1955,E02002047,0.04755742478162407,0.0016175994823681655,0.0,0.9508249757360078,1
1956,E02002048,0.05367647058823529,0.0011029411764705882,0.0,0.9452205882352941,1
1957,E02002049,0.04030327214684756,0.0011971268954509178,0.0,0.9584996009577015,1
1958,E02002051,0.04506916555109326,0.000892458723784025,0.0,0.9540383757251227,1
1959,E02002052,0.04250295159386069,0.0009445100354191264,0.0,0.9565525383707202,1
1960,E02002053,0.05273514364423455,0.0019677292404565133,0.0,0.9452971271153089,1
1961,E02002054,0.06050129645635264,0.000432152117545376,0.0,0.939066551426102,1
1962,E02002055,0.03997127812350407,0.00023934897079942556,0.0,0.9597893729056965,1
1963,E02002056,0.03785325382421571,0.0010370754472387865,0.0,0.9611096707285455,1
1964,E02002057,0.03928905519176801,0.0009354536950420954,0.00023386342376052386,0.9595416276894294,1
1965,E02002058,0.032355305466237945,0.0006028938906752412,0.0,0.9670418006430869,1
1966,E02002059,0.03062117235345582,0.0006561679790026247,0.0,0.9687226596675416,1
1967,E02002060,0.03650190114068441,0.0,0.0,0.9634980988593156,1
1968,E02002061,0.03216494845360825,0.0012371134020618556,0.0,0.9665979381443299,1
1969,E02002062,0.028056112224448898,0.000572573718866304,0.0,0.9713713140566848,1
1970,E02002063,0.03505207010414021,0.000508001016002032,0.000762001524003048,0.9636779273558547,1
1971,E02002064,0.05127672825410006,0.0010379904504878555,0.0,0.9476852812954121,1
1972,E02002065,0.013989387361312108,0.000723589001447178,0.0,0.9852870236372407,1
1973,E02002066,0.03182751540041068,0.0006844626967830253,0.0,0.9674880219028063,1
1974,E02002067,0.06150159744408946,0.0011980830670926517,0.0,0.9373003194888179,1
1975,E02002069,0.057151878749605305,0.0012630249447426586,0.0,0.941585096305652,1
1976,E02002070,0.028094575799721837,0.0,0.0002781641168289291,0.9716272600834492,1
1977,E02002071,0.05193855157278712,0.000365764447695684,0.000365764447695684,0.9473299195318216,1
1978,E02002072,0.046324549237170595,0.001941747572815534,0.0,0.9517337031900138,1
1979,E02002073,0.04020442930153322,0.0020442930153321977,0.0,0.9577512776831346,1
1980,E02002074,0.05023696682464455,0.000631911532385466,0.0,0.94913112164297,1
1981,E02002075,0.05130293159609121,0.003528773072747014,0.0,0.9451682953311618,1
1982,E02002076,0.03130511463844797,0.0002204585537918871,0.0,0.9684744268077602,1
1983,E02002077,0.051384274640088594,0.0011074197120708748,0.0,0.9475083056478405,1
1984,E02002078,0.05594135802469136,0.002700617283950617,0.0,0.941358024691358,1
1985,E02002079,0.05970571590265988,0.00311262026032824,0.0,0.9371816638370118,1
1986,E02002080,0.050518134715025906,0.0006476683937823834,0.0003238341968911917,0.9485103626943006,1
1987,E02002081,0.06937394247038917,0.001692047377326565,0.0,0.9289340101522843,1
1988,E02002082,0.05222270176952956,0.0008631851532153647,0.0,0.946914113077255,1
1989,E02002083,0.07666804807293826,0.0016576875259013675,0.0004144218814753419,0.9212598425196851,1
1990,E02002084,0.05513239027928908,0.0003627130939426913,0.0003627130939426913,0.9441421835328255,1
1991,E02002085,0.053544494720965306,0.0011312217194570137,0.0,0.9453242835595776,1
1992,E02002086,0.052452830188679245,0.0011320754716981133,0.0,0.9464150943396227,1
1993,E02002087,0.0525923162998881,0.0011189854531891085,0.0,0.9462886982469227,1
1994,E02002088,0.06233389707658855,0.0012080212611741967,0.0,0.9364580816622372,1
1995,E02002089,0.07197785296831744,0.0015379883112888342,0.0,0.9264841587203937,1
1996,E02002090,0.05770887166236004,0.0008613264427217916,0.0,0.9414298018949182,1
1997,E02002091,0.0779801853627357,0.002556727388942154,0.0,0.9194630872483222,1
1998,E02002092,0.0631786771964462,0.0013162224415926291,0.0,0.9355051003619612,1
1999,E02002093,0.059402579769178544,0.0016972165648336728,0.0,0.9389002036659878,1
2000,E02002094,0.06844741235392321,0.0012520868113522537,0.0,0.9303005008347245,1
2001,E02002095,0.053763440860215055,0.0005514199062586159,0.0,0.9456851392335264,1
2002,E02002096,0.07089377632194666,0.001169864295741694,0.0,0.9279363593823117,1
2003,E02002097,0.06826923076923076,0.0019230769230769232,0.0,0.9298076923076923,1
2004,E02002098,0.0622598001537279,0.0015372790161414297,0.0,0.9362029208301307,1
2005,E02002099,0.059850374064837904,0.0010687566797292483,0.0,0.9390808692554329,1
2006,E02002101,0.0649895178197065,0.001397624039133473,0.0,0.93361285814116,1
2007,E02002102,0.06320861678004536,0.0011337868480725624,0.0,0.9356575963718821,1
2008,E02002103,0.06493506493506493,0.0007870916961826052,0.0,0.9342778433687524,1
2009,E02002104,0.05,0.0021008403361344537,0.0,0.9478991596638655,1
2010,E02002105,0.06884166417240348,0.002394492666866208,0.0,0.9287638431607304,1
2011,E02002106,0.06660137120470128,0.0009794319294809011,0.0,0.9324191968658179,1
2012,E02002107,0.04840142095914742,0.0013321492007104796,0.0,0.9502664298401421,1
2013,E02002108,0.06281407035175879,0.0007537688442211055,0.0,0.9364321608040201,1
2014,E02002109,0.041782178217821785,0.001386138613861386,0.0,0.9568316831683168,1
2015,E02002110,0.06784452296819787,0.0017667844522968198,0.0,0.9303886925795053,1
2016,E02002111,0.05824891461649783,0.002170767004341534,0.0,0.9395803183791607,1
2017,E02002112,0.07420814479638009,0.0013574660633484162,0.0,0.9244343891402715,1
2018,E02002113,0.059873558943845294,0.0014875418371141688,0.0,0.9386388992190405,1
2019,E02002114,0.07459903021260723,0.001864975755315181,0.0,0.9235359940320775,1
2020,E02002115,0.06556221360592175,0.0017624250969333803,0.0,0.9326753612971449,1
2021,E02002116,0.0731958762886598,0.003092783505154639,0.0,0.9237113402061856,1
2022,E02002117,0.06578001437814522,0.0010783608914450035,0.0007189072609633358,0.9324227174694465,1
2023,E02002118,0.06206668867613074,0.0013205678441729944,0.0,0.9366127434796963,1
2024,E02002119,0.059377559377559376,0.0020475020475020475,0.0,0.9385749385749386,1
2025,E02002120,0.058174097664543525,0.0004246284501061571,0.0,0.9414012738853503,1
2026,E02002121,0.05661850839515814,0.0,0.0,0.9433814916048419,1
2027,E02002122,0.04889779559118237,0.002004008016032064,0.0,0.9490981963927856,1
2028,E02002123,0.061269959153360566,0.001856665428889714,0.0,0.9368733754177497,1
2029,E02002124,0.06865203761755485,0.0006269592476489029,0.0,0.9307210031347962,1
2030,E02002125,0.060109289617486336,0.0014571948998178506,0.0,0.9384335154826958,1
2031,E02002126,0.057446030003658985,0.0007317965605561653,0.0,0.9418221734357849,1
2032,E02002127,0.045930232558139536,0.0008720930232558139,0.0,0.9531976744186047,1
2033,E02002128,0.07136963696369637,0.0012376237623762376,0.0,0.9273927392739274,1
2034,E02002129,0.06619937694704049,0.002336448598130841,0.0,0.9314641744548287,1
2035,E02002130,0.04914860681114551,0.0003869969040247678,0.0,0.9504643962848297,1
2036,E02002131,0.07140610254797106,0.002201950298836112,0.0,0.9263919471531928,1
2037,E02002132,0.047729918509895226,0.002328288707799767,0.0,0.9499417927823051,1
