,GEOGRAPHY_CODE,A caravan or other mobile or temporary structure,Detached,"In a commercial building, for example, in an office building, hotel or over a shop",In a purpose-built block of flats or tenement,"Part of a converted or shared house, including bedsits","Part of another converted building, for example, former school, church or warehouse",Semi-detached,Terraced,Total
3435,E02003592,0.0010473397570171764,0.4055299539170507,0.008169250104733976,0.12505236698785085,0.03917050691244239,0.014453288646837033,0.30456640134059487,0.10201089233347298,1
3436,E02003593,0.014154870940882597,0.6365528726061616,0.004995836802664446,0.014154870940882597,0.01665278934221482,0.003746877601998335,0.23480432972522897,0.0749375520399667,1
3437,E02003594,0.009440641963653528,0.27708284163323105,0.02076941232003776,0.15057823932027378,0.06938871843285344,0.022893556761859807,0.2846353552041539,0.16521123436393675,1
3438,E02003595,0.0045735808447672855,0.5856873822975518,0.002959375840731773,0.07156308851224105,0.022060801721818672,0.0045735808447672855,0.24213075060532688,0.06645143933279526,1
3439,E02003596,0.0011873664212776064,0.25290904773213013,0.033246259795772976,0.26525765851341726,0.09356447399667538,0.033246259795772976,0.2521966278793636,0.06839230586559013,1
3440,E02003597,0.008494208494208495,0.5185328185328185,0.005405405405405406,0.035907335907335906,0.011196911196911196,0.0034749034749034747,0.3247104247104247,0.09227799227799227,1
3441,E02003598,0.0024855012427506215,0.31206848936757803,0.016846175089754212,0.15603424468378901,0.09721071527202431,0.027892847279756973,0.24330295498481083,0.14415907207953604,1
3442,E02003599,0.00043196544276457883,0.252267818574514,0.0008639308855291577,0.08336933045356372,0.002591792656587473,0.0,0.3161987041036717,0.34427645788336936,1
3443,E02003600,0.004072565716401333,0.24435394298407997,0.009626064420584968,0.09959274342835987,0.0074046649389115145,0.004442798963346909,0.3461680858941133,0.28433913365420216,1
3444,E02003601,0.0028628685943315204,0.3718866304036645,0.006298310907529345,0.06784998568565703,0.004580589750930432,0.004866876610363584,0.36358431148010306,0.17807042656742056,1
3445,E02003602,0.002580169553999263,0.5060818282344268,0.003685956505713233,0.017323995576852193,0.005160339107998526,0.003685956505713233,0.3214154072981939,0.14006634721710284,1
3446,E02003603,0.0010066438494060802,0.20293940004026575,0.011878397422991745,0.13911817998792028,0.008455808335011073,0.01268371250251661,0.3015904972820616,0.32232736057982686,1
3447,E02003604,0.008266309204647005,0.2658623771224307,0.0024575513851653264,0.09651474530831099,0.0020107238605898124,0.0006702412868632708,0.4403485254691689,0.18386952636282394,1
3448,E02003605,0.006530825496342737,0.4315569487983281,0.0036572622779519333,0.038923719958202714,0.008881922675026124,0.003134796238244514,0.34169278996865204,0.16562173458725182,1
3449,E02003606,0.013298565840938721,0.4910039113428944,0.0015645371577574967,0.01877444589308996,0.0020860495436766623,0.0015645371577574967,0.30691003911342896,0.16479791395045632,1
3450,E02003607,0.00044316419233325947,0.33348105473077777,0.005539552404165743,0.05894083758032351,0.0039884777309993355,0.009306448038998449,0.3452249058276091,0.24307555949479281,1
3451,E02003608,0.0015582391897156214,0.28126217374366963,0.004090377873003506,0.08180755746007012,0.006427736657576938,0.00584339696143358,0.33638488507985975,0.2826256330346708,1
3452,E02003609,0.0002143163309044149,0.3392627518216888,0.004929275610801543,0.09644234890698672,0.0036433776253750536,0.0038576939562794685,0.28268324046292326,0.2689669952850407,1
3453,E02003610,0.0008004268943436499,0.3815368196371398,0.007737459978655283,0.08484525080042689,0.005336179295624333,0.012806830309498399,0.3044290288153682,0.20250800426894344,1
3454,E02003611,0.05681535011213556,0.38574632444555196,0.0049838026414154,0.04186394218788936,0.0049838026414154,0.00149514079242462,0.3229504111637179,0.1811612260154498,1
3455,E02003612,0.0008092251669026907,0.3180254905927574,0.003439206959336435,0.08051790410681772,0.006473801335221525,0.035403601051992716,0.36496055027311347,0.190370220513858,1
3456,E02003613,0.0004098360655737705,0.33524590163934426,0.004508196721311476,0.12254098360655738,0.0069672131147540985,0.003278688524590164,0.32786885245901637,0.19918032786885245,1
3457,E02003614,0.0008710801393728223,0.3141695702671312,0.0017421602787456446,0.04936120789779326,0.0040650406504065045,0.0008710801393728223,0.3795005807200929,0.2494192799070848,1
3458,E02003615,0.0026455026455026454,0.4574314574314574,0.004088504088504088,0.031746031746031744,0.0036075036075036075,0.0031265031265031266,0.322991822991823,0.17436267436267436,1
3459,E02003616,0.003837953091684435,0.5773987206823028,0.0042643923240938165,0.012366737739872069,0.004690831556503198,0.005543710021321962,0.24520255863539445,0.1466950959488273,1
3460,E02003617,0.018315018315018316,0.4856096284667713,0.0031397174254317113,0.023547880690737835,0.004186289900575615,0.005494505494505495,0.2967032967032967,0.163003663003663,1
3461,E02003618,0.04249448123620309,0.32229580573951433,0.00358719646799117,0.04939293598233996,0.006622516556291391,0.00358719646799117,0.4139072847682119,0.15811258278145696,1
3462,E02003619,0.01292099131539928,0.48782037703876296,0.002965473416649015,0.027960177928404998,0.003600932005930947,0.0012709171785638637,0.29273459012920994,0.170726540987079,1
3463,E02003620,0.0005704506560182544,0.41015402167712495,0.002852253280091272,0.11466058185966914,0.004563605248146035,0.0011409013120365088,0.3291500285225328,0.13690815744438106,1
3464,E02003621,0.0,0.39818456883509834,0.001815431164901664,0.028139183055975795,0.0015128593040847202,0.0,0.4577912254160363,0.11255673222390318,1
3465,E02003622,0.0002623983206507478,0.1448438729992128,0.004985568092364209,0.12280241406454999,0.0023615848858567303,0.0010495932826029913,0.35397533455785885,0.3697192337969037,1
3466,E02003623,0.019279952783789103,0.4717686405665945,0.0017706079087153256,0.06570922683454652,0.0023608105449537675,0.0011804052724768838,0.289002557544757,0.14892779854416682,1
3467,E02003624,0.001219016659894352,0.2385209264526615,0.00690776107273466,0.23445753758634702,0.23405119869971555,0.015440877691995123,0.19301097114993904,0.07639171068671272,1
3468,E02003625,0.0021382751247327157,0.08909479686386315,0.01639344262295082,0.4046091708244239,0.13186029935851745,0.020669992872416252,0.1511047754811119,0.18412924685198384,1
3469,E02003626,0.027084214980956412,0.25687685146000844,0.004655099449851883,0.05924672027084215,0.003808717731696995,0.0,0.43504020313161235,0.21328819297503174,1
3470,E02003627,0.0005951200158698671,0.05316405475104146,0.03233485419559611,0.40607022416187266,0.09482245586193215,0.030549494147986512,0.18766117833763143,0.19480261852806982,1
3471,E02003628,0.0003274394237066143,0.13686967910936476,0.0091683038637852,0.17321545514079895,0.027177472167648986,0.0026195153896529143,0.3755730189914866,0.275049115913556,1
3472,E02003629,0.0020920502092050207,0.09832635983263599,0.008833100883310088,0.22687122268712226,0.013714551371455138,0.005346350534635054,0.39539748953974896,0.2494188749418875,1
3473,E02003630,0.00023255813953488373,0.06813953488372093,0.007209302325581395,0.2618604651162791,0.024651162790697675,0.0074418604651162795,0.3532558139534884,0.2772093023255814,1
3474,E02003631,0.0004415011037527594,0.295364238410596,0.004415011037527594,0.1598233995584989,0.011479028697571744,0.005298013245033113,0.2891832229580574,0.23399558498896247,1
