,GEOGRAPHY_CODE,Establishment not stated,Medical and care establishment,Medical and care establishment: Local Authority: Care home with nursing,Medical and care establishment: Local Authority: Care home without nursing,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: Local Authority: Other home,Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Other: Mental health hospital or unit (including secure units),Medical and care establishment: Other: Other establishment,Medical and care establishment: Other: Other hospital,Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel,Medical and care establishment:Local Authority,Medical and care establishment:NHS,Medical and care establishment:Other,Medical and care establishment:Registered Social Landlord or Housing Association,Other establishment,Other establishment: Approved premises (probation or bail hostel),Other establishment: Defence,Other establishment: Detention centres and other detention,Other establishment: Education,Other establishment: Holiday accommodation,Other establishment: Hostel or temporary shelter for the homeless,"Other establishment: Hotel, guest house, B&B or youth hostel",Other establishment: Other travel or temporary accommodation,Other establishment: Prison service,Other establishment: Religious,Other establishment: Staff or worker accommodation or Other,Total
2550,E02003005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,1
2551,E02003006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2552,E02003007,0.014925373134328358,0.9701492537313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701492537313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701492537313433,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,1
2553,E02003008,0.038461538461538464,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,1
2554,E02003009,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,1
2555,E02003010,0.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.0,0.175,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2556,E02003011,0.4146341463414634,0.5853658536585366,0.0,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.43902439024390244,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2557,E02003012,0.014925373134328358,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.07462686567164178,0.04477611940298507,0.4626865671641791,0.0,0.23880597014925373,0.16417910447761194,0.0,0.0,0.0,0.07462686567164178,0.9104477611940298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2558,E02003013,0.10344827586206896,0.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2559,E02003014,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
