,GEOGRAPHY_CODE,Usual residents per square kilometre
787,E02000835,5259.9
788,E02000836,10975.0
789,E02000837,3595.3
790,E02000838,8877.4
791,E02000839,3070.2
792,E02000840,6815.6
793,E02000841,7954.3
794,E02000842,5116.2
795,E02000843,7410.6
796,E02000844,8564.5
797,E02000845,6252.9
798,E02000846,5574.3
799,E02000847,6110.6
800,E02000848,7081.7
801,E02000849,6849.0
802,E02000850,2176.0
803,E02000851,10142.8
804,E02000852,8593.7
805,E02000853,6554.1
806,E02000854,4678.3
807,E02000855,4408.4
808,E02000856,7448.5
809,E02000857,8816.0
810,E02000858,5589.5
811,E02000859,4961.7
812,E02000860,10003.4
813,E02000861,3035.0
814,E02000863,1026.3
815,E02000864,8921.9
816,E02000865,17164.7
817,E02000866,9385.5
818,E02000867,14002.5
819,E02000868,20022.3
820,E02000869,18453.6
821,E02000870,16129.1
822,E02000871,17205.6
823,E02000872,17811.1
824,E02000873,19512.7
825,E02000874,21860.6
826,E02000875,20328.0
827,E02000876,13507.9
828,E02000877,17094.6
829,E02000878,16342.4
830,E02000879,18799.0
831,E02000880,17487.2
832,E02000881,15345.7
833,E02000882,20022.6
834,E02000883,19634.2
835,E02000884,23407.9
836,E02000885,20863.6
837,E02000886,19686.0
838,E02000887,18539.3
839,E02000888,16554.0
840,E02000889,15462.2
841,E02000890,10365.4
842,E02000893,10363.4
843,E02000894,20093.1
844,E02000895,3818.2
845,E02000896,3314.9
846,E02000897,4554.0
847,E02000898,5231.2
848,E02000899,7321.1
849,E02000900,5777.1
850,E02000901,6099.6
851,E02000902,8189.4
852,E02000903,5225.3
853,E02000904,5773.0
854,E02000905,9980.9
855,E02000906,15617.2
856,E02000907,11839.7
857,E02000908,5478.3
858,E02000909,6641.1
859,E02000910,14452.5
860,E02000911,14557.0
861,E02000912,3897.3
862,E02000913,9119.5
863,E02000914,16866.3
864,E02000915,5430.9
865,E02000916,4752.8
866,E02000917,14122.2
867,E02000918,11202.8
868,E02000919,16424.9
869,E02000920,5894.9
870,E02000921,13330.6
871,E02000922,16022.4
872,E02000923,7040.2
873,E02000925,17865.2
874,E02000926,18464.5
875,E02000927,15770.8
876,E02000928,8896.9
877,E02000929,20109.2
878,E02000930,12436.5
879,E02000931,11079.7
880,E02000932,10147.0
881,E02000933,8249.9
882,E02000934,11356.5
883,E02000935,5163.5
884,E02000936,10388.2
885,E02000937,6656.1
886,E02000938,6116.7
887,E02000939,10736.0
888,E02000940,13302.9
889,E02000941,9524.5
890,E02000942,9576.8
891,E02000943,12359.7
892,E02000944,13036.4
893,E02000945,3548.6
894,E02000946,7913.5
