,GEOGRAPHY_CODE,All household members have the same main language,Any other combination of multiple main languages,"Main language differs between generations, but not within partnerships",Main language differs within partnerships,One-person household,Total: All households
1832,E02001922,0.6881781838949171,0.10336950314106225,0.01684751570531125,0.014277555682467162,0.17732724157624213,3502.0
1833,E02001923,0.4983655274888559,0.0950965824665676,0.07340267459138188,0.0861812778603269,0.24695393759286777,3365.0
1834,E02001924,0.5655475619504396,0.04876099120703437,0.043565147881694646,0.06235011990407674,0.2797761790567546,2502.0
1835,E02001925,0.5583362707084949,0.02537892139584068,0.03806838209376102,0.02855128657032076,0.34966513923158266,2837.0
1836,E02001926,0.5939217588102166,0.03653410927901714,0.02230843840931135,0.030067895247332686,0.3171677982541222,3093.0
1837,E02001927,0.6241276171485544,0.013958125623130608,0.029245596543702228,0.0196078431372549,0.31306081754735793,3009.0
1838,E02001928,0.6047984005331556,0.006331222925691436,0.01866044651782739,0.011996001332889037,0.3582139286904365,3001.0
1839,E02001929,0.6087305838243171,0.03240492769148366,0.04740224959828602,0.05088377075522228,0.26057846813069097,3734.0
1840,E02001930,0.6087227414330219,0.025233644859813085,0.022741433021806853,0.028348909657320873,0.3149532710280374,3210.0
1841,E02001931,0.5830176767676768,0.043560606060606064,0.028724747474747476,0.04640151515151515,0.29829545454545453,3168.0
1842,E02001932,0.6002604166666666,0.013020833333333334,0.024739583333333332,0.016276041666666668,0.345703125,3072.0
1843,E02001933,0.5944831959416614,0.016487000634115408,0.02568167406467977,0.03551046290424857,0.3278376664552949,3154.0
1844,E02001934,0.6193801833260585,0.058489742470536885,0.05543430816237451,0.0515058926233086,0.21518987341772153,2291.0
1845,E02001935,0.6385248399878086,0.01462968607131972,0.029868942395611095,0.01828710758914965,0.2986894239561109,3281.0
1846,E02001936,0.6525656090873482,0.01880141010575793,0.025851938895417155,0.024676850763807285,0.27810419114766943,2553.0
1847,E02001937,0.5582464745554875,0.028203556100551808,0.03832004904966278,0.04261189454322502,0.33261802575107297,3262.0
1848,E02001938,0.619874715261959,0.012528473804100227,0.009965831435079727,0.021355353075170842,0.3362756264236902,3512.0
1849,E02001939,0.5164304123711341,0.007731958762886598,0.014819587628865979,0.01675257731958763,0.44426546391752575,3104.0
1850,E02001941,0.6157811260904045,0.02141157811260904,0.02973830293417922,0.02696272799365583,0.3061062648691515,2522.0
1851,E02001942,0.5945496842804918,0.006646726487205052,0.015952143569292122,0.014955134596211365,0.3678963110667996,3009.0
1852,E02001943,0.6295454545454545,0.014393939393939395,0.017424242424242425,0.023863636363636365,0.31477272727272726,2640.0
1853,E02001944,0.6263929618768328,0.011143695014662757,0.02258064516129032,0.012023460410557185,0.3278592375366569,3410.0
1854,E02001945,0.668086500655308,0.01474442988204456,0.0245740498034076,0.013433813892529489,0.27916120576671033,3052.0
1855,E02001946,0.6634465565596759,0.006544094733561857,0.012776565908382673,0.015892801495793082,0.3013399813025865,3209.0
1856,E02001947,0.5584366779406238,0.010898158586997369,0.030815482901164974,0.018038331454340473,0.38181134911687337,2661.0
1857,E02001948,0.658360655737705,0.009180327868852459,0.015081967213114755,0.01180327868852459,0.3055737704918033,3050.0
1858,E02001949,0.6368778280542986,0.008672699849170438,0.010935143288084464,0.014705882352941176,0.3288084464555053,2652.0
1859,E02001950,0.661808367071525,0.007557354925775978,0.011875843454790824,0.011336032388663968,0.30742240215924427,3705.0
1860,E02001951,0.6451200817577926,0.006387327542156361,0.010986203372508942,0.009197751660705161,0.328308635666837,3914.0
1861,E02001952,0.5574250182882224,0.010241404535479151,0.02243355279200195,0.010972933430870519,0.398927090953426,4101.0
1862,E02001953,0.6781923998630606,0.008558712769599451,0.01266689489900719,0.013009243409791168,0.2875727490585416,2921.0
1863,E02001954,0.5811598649892605,0.013194231359312672,0.020558453513347653,0.01350107394906413,0.371586376189015,3259.0
1864,E02001955,0.6198019801980198,0.005374823196605375,0.014144271570014143,0.011032531824611032,0.34964639321074964,3535.0
1865,E02001956,0.6722807017543859,0.002807017543859649,0.008421052631578947,0.008421052631578947,0.3080701754385965,2850.0
1866,E02001957,0.698237227367792,0.0032865252464893933,0.005079175380938153,0.005079175380938153,0.2883178966238423,3347.0
1867,E02001958,0.5670588235294117,0.027941176470588237,0.026470588235294117,0.03294117647058824,0.34558823529411764,3400.0
1868,E02001959,0.672093023255814,0.027906976744186046,0.043410852713178294,0.02751937984496124,0.22906976744186047,2580.0
1869,E02001961,0.5797367615549434,0.024487297214569943,0.045607591062136514,0.026323844505662688,0.32384450566268747,3267.0
1870,E02001962,0.5668534827862289,0.05844675740592474,0.08406725380304243,0.05284227381905524,0.2377902321857486,2498.0
1871,E02001963,0.6368296529968455,0.020110410094637224,0.025236593059936908,0.020110410094637224,0.2977129337539432,2536.0
1872,E02001964,0.6111783208323252,0.028066779578998308,0.06629566900556497,0.02782482458262763,0.26663440600048394,4133.0
1873,E02001965,0.6271036315323295,0.017419545320342487,0.03129613227044582,0.020962503690581637,0.30321818718630056,3387.0
1874,E02001966,0.46547884187082406,0.0957683741648107,0.10423162583518931,0.09977728285077951,0.23474387527839644,2245.0
1875,E02001967,0.699686083013603,0.008022322985699337,0.007324729682595047,0.009068712940355772,0.27589815137774676,2867.0
