,GEOGRAPHY_CODE,Household is deprived in four dimensions,Household is deprived in one dimension,Household is deprived in three dimensions,Household is deprived in two dimensions,Household is not deprived in any dimension,Total: All households
5127,E02005337,0.0015224562293834052,0.36462826693732553,0.028165440243592996,0.15326059375792947,0.4524232428317686,1
5128,E02005338,0.0006259127894846651,0.3150427707072814,0.02461923638639683,0.1295639474233257,0.5301481326935114,1
5129,E02005339,0.0,0.3142779734489298,0.015172040097534544,0.0907613112977513,0.5797886751557844,1
5130,E02005340,0.0,0.33980582524271846,0.022483392948390392,0.13771078180889115,0.5,1
5131,E02005341,0.0,0.31108230719377833,0.019442644199611146,0.10693454309786131,0.5625405055087492,1
5132,E02005342,0.0003190810465858328,0.3468410976388003,0.018825781748564134,0.10912571793235482,0.5248883216336949,1
5133,E02005343,0.0006002400960384153,0.3172268907563025,0.016506602641056422,0.10654261704681872,0.5591236494597839,1
5134,E02005344,0.001538856116953065,0.3118748397024878,0.01744036932546807,0.09540907925109002,0.573736855604001,1
5135,E02005345,0.0010672358591248667,0.3233724653148346,0.02383493418712202,0.10992529348986126,0.5418000711490573,1
5136,E02005346,0.003074697051908121,0.33658889491770666,0.05932356664858021,0.17055525411466813,0.4304575872671369,1
5137,E02005347,0.002190580503833516,0.3537787513691128,0.03587075575027382,0.16073384446878422,0.4474260679079956,1
5138,E02005348,0.0008012820512820513,0.3505608974358974,0.020833333333333332,0.12580128205128205,0.5020032051282052,1
5139,E02005349,0.0005827505827505828,0.32196969696969696,0.027389277389277388,0.12208624708624709,0.527972027972028,1
5140,E02005350,0.0009807126511932004,0.33213468453743056,0.02549852893102321,0.11703170970905524,0.5243543641712978,1
5141,E02005351,0.002113271344040575,0.3127641589180051,0.040997464074387154,0.1496196111580727,0.4945054945054945,1
5142,E02005352,0.0015829046299960427,0.2896715472892758,0.010684606252473288,0.0664819944598338,0.631578947368421,1
5143,E02005353,0.0024084778420038534,0.32490366088631983,0.04070327552986513,0.14836223506743737,0.4836223506743738,1
5144,E02005354,0.0004870920603994155,0.3105211885046274,0.007062834875791525,0.07988309790550414,0.6020457866536776,1
5145,E02005355,0.0006207324643078833,0.3125387957790192,0.018001241464928614,0.10273122284295469,0.5661080074487895,1
5146,E02005356,0.00031055900621118014,0.3,0.013975155279503106,0.08819875776397515,0.5975155279503106,1
5147,E02005357,0.0011273957158962795,0.3198985343855693,0.02818489289740699,0.1189402480270575,0.5318489289740699,1
5148,E02005358,0.001146131805157593,0.2922636103151863,0.02043935052531041,0.09589302769818529,0.5902578796561605,1
5149,E02005359,0.0,0.3188548864758144,0.01579466929911155,0.09674234945705824,0.5686080947680158,1
5150,E02005360,0.0,0.2818146866589773,0.004998077662437524,0.07727797001153403,0.6359092656670511,1
5151,E02005361,0.0010771992818671453,0.3231597845601436,0.022262118491921005,0.12387791741472172,0.5296229802513465,1
5152,E02005362,0.0006680026720106881,0.32965931863727455,0.02571810287241149,0.13760855043420173,0.5063460253841016,1
5153,E02005363,0.00028145229383619476,0.33605403884041657,0.012665353222628765,0.10976639459611595,0.5412327610470026,1
5154,E02005364,0.0,0.33158396946564883,0.026717557251908396,0.12833969465648856,0.5133587786259542,1
5155,E02005365,0.0004968944099378882,0.3741614906832298,0.03204968944099379,0.15975155279503106,0.4335403726708075,1
5156,E02005366,0.0,0.3317350913994606,0.02157626610728199,0.114474078513635,0.5322145639796224,1
5157,E02005368,0.0,0.2964635063957863,0.012791572610985704,0.06884875846501129,0.6218961625282167,1
5158,E02005369,0.0015220700152207,0.2981354642313546,0.01293759512937595,0.09075342465753425,0.5966514459665144,1
5159,E02005370,0.0002565418163160595,0.30836326321190355,0.011031298101590559,0.09030271934325294,0.5900461775269369,1
5160,E02005371,0.0013583880461851936,0.31378763866877973,0.010867104369481548,0.09304958116368577,0.5809372877518678,1
5161,E02005372,0.000241196333815726,0.29064158224794984,0.012542209358417752,0.07935359382537385,0.6172214182344429,1
5162,E02005373,0.0,0.2905668099038265,0.009412727644771844,0.0847145488029466,0.6153059136484551,1
5163,E02005374,0.0013114754098360656,0.33147540983606555,0.04590163934426229,0.16229508196721312,0.45901639344262296,1
5164,E02005375,0.0004944375772558715,0.311495673671199,0.01161928306551298,0.09394313967861558,0.5824474660074166,1
5165,E02005376,0.0006580390436499232,0.32901952182496164,0.019083132265847774,0.11691160342180303,0.5343277034437377,1
5166,E02005377,0.00127942681678608,0.34851586489252817,0.018935516888433982,0.11463664278403275,0.5166325486182191,1
5167,E02005378,0.00044603033006244426,0.32292595896520965,0.015611061552185548,0.09411239964317573,0.5669045495093666,1
5168,E02005379,0.00037835792659856227,0.3567915247824442,0.0170261066969353,0.11237230419977298,0.513431706394249,1
5169,E02005380,0.00027085590465872155,0.3166305525460455,0.01868905742145179,0.10319609967497291,0.5612134344528711,1
5170,E02005381,0.0005433306166802499,0.32681336593317034,0.018473240967128497,0.12116272751969573,0.5330073349633252,1
5171,E02005382,0.0004296455424274973,0.35166487647690653,0.033941997851772286,0.15166487647690655,0.4622986036519871,1
5172,E02005383,0.0029462312791554137,0.3587036582371716,0.032408544070709554,0.1482936410508225,0.45764792536214094,1
5173,E02005384,0.0006600660066006601,0.3198019801980198,0.01881188118811881,0.09801980198019802,0.5627062706270627,1
5174,E02005385,0.00035137034434293746,0.34293745607870696,0.014054813773717497,0.09873506676036542,0.5439212930428672,1
5175,E02005386,0.0025563560306762724,0.3323262839879154,0.03904252846851034,0.14547989774575878,0.4805949337671392,1
5176,E02005387,0.0018544274455261937,0.3242929995363931,0.027352804821511357,0.12795549374130738,0.518544274455262,1
5177,E02005388,0.0017755681818181818,0.34801136363636365,0.03231534090909091,0.15234375,0.4655539772727273,1
5178,E02005389,0.0014814814814814814,0.3485185185185185,0.035925925925925924,0.15925925925925927,0.45481481481481484,1
5179,E02005390,0.0004391743522178305,0.321256038647343,0.011198945981554678,0.08915239350021958,0.577953447518665,1
5180,E02005391,0.0004753981459472308,0.3175659614927502,0.012122652721654385,0.10292369859757547,0.5669122890420727,1
5181,E02005392,0.000246669955599408,0.33448445979279723,0.015293537247163296,0.09965466206216082,0.5503206709422792,1
5182,E02005393,0.0009196811771919068,0.34150827713059473,0.01900674432863274,0.09809932556713673,0.5404659717964438,1
5183,E02005394,0.002647412755716005,0.3641395908543923,0.0296028880866426,0.13237063778580024,0.47123947051744886,1
5184,E02005395,0.0017627801561319568,0.3444976076555024,0.02694535381515991,0.13548224628557037,0.49131201208763536,1
5185,E02005396,0.0,0.31907671418873046,0.011541072640868975,0.0923285811269518,0.5770536320434487,1
5186,E02005397,0.001223391240518718,0.31587961830193295,0.021042329336921947,0.11255199412772204,0.5493026669929043,1
5187,E02005398,0.00033783783783783786,0.3179054054054054,0.016216216216216217,0.10101351351351351,0.5645270270270271,1
5188,E02005399,0.0016469942355201758,0.29975295086467196,0.024430414493549272,0.09497666758166347,0.5791929728245951,1
5189,E02005400,0.0003869969040247678,0.3703560371517028,0.021671826625386997,0.13312693498452013,0.4744582043343653,1
5190,E02005401,0.0003696857670979667,0.3046210720887246,0.0166358595194085,0.09759704251386321,0.5807763401109057,1
5191,E02005402,0.001384083044982699,0.3107266435986159,0.022145328719723183,0.1245674740484429,0.5411764705882353,1
5192,E02005403,0.0013373453694416582,0.35840855901036445,0.029087261785356068,0.14142427281845538,0.46974256101638245,1
5193,E02005404,0.001897018970189702,0.32791327913279134,0.02953929539295393,0.13631436314363143,0.5043360433604336,1
5194,E02005405,0.003328894806924101,0.3581890812250333,0.05059920106524634,0.19340878828229027,0.394474034620506,1
5195,E02005406,0.0008883624518803672,0.35475273911755995,0.03968018951732307,0.15398282499259697,0.45069588392063964,1
5196,E02005407,0.0002199736031676199,0.3284205895292565,0.01715794104707435,0.10162780466344039,0.5525736911570611,1
5197,E02005408,0.001183431952662722,0.3437869822485207,0.02544378698224852,0.1242603550295858,0.5053254437869823,1
5198,E02005409,0.000782472613458529,0.3317683881064163,0.024843505477308295,0.13438967136150234,0.5082159624413145,1
5199,E02005412,0.0011235955056179776,0.3438202247191011,0.028370786516853933,0.13342696629213482,0.49325842696629213,1
5200,E02005414,0.005184331797235023,0.3456221198156682,0.04176267281105991,0.1837557603686636,0.4236751152073733,1
5201,E02005415,0.0013997760358342665,0.3687010078387458,0.0341545352743561,0.17609182530795073,0.4196528555431131,1
5202,E02005416,0.0010232796111537478,0.3499616270145817,0.0166282936812484,0.10923509849066257,0.5231517012023535,1
5203,E02005417,0.0009715025906735751,0.39831606217616583,0.03205958549222798,0.18102331606217617,0.38762953367875647,1
5204,E02005418,0.0067370312149112955,0.4253312373680665,0.065798338198967,0.1960476083539187,0.3060857848641365,1
5205,E02005419,0.004487856388595565,0.40021119324181625,0.046198521647307283,0.15707497360084477,0.3920274551214361,1
5206,E02005420,0.00400962309542903,0.37957765303394814,0.048650093557872226,0.18791766907244054,0.3798449612403101,1
5207,E02005422,0.001043115438108484,0.37273991655076494,0.04207232267037552,0.1627260083449235,0.42141863699582754,1
5208,E02005423,0.0022794620469569183,0.38363346250284935,0.039434693412354685,0.16138591292454982,0.41326646911328924,1
5209,E02005424,0.0013259668508287293,0.3478453038674033,0.02430939226519337,0.1230939226519337,0.5034254143646408,1
5210,E02005425,0.0007005253940455342,0.36357267950963224,0.0287215411558669,0.1551663747810858,0.45183887915936954,1
5211,E02005426,0.0013040643338404696,0.3447076722451641,0.04716366007389698,0.17452727667898282,0.4322973266681156,1
5212,E02005427,0.0014351320321469576,0.3366819747416762,0.02870264064293915,0.1483926521239954,0.48478760045924224,1
5213,E02005428,0.004068141367912535,0.36409865242817185,0.07475209763539283,0.2700228832951945,0.28705822527332825,1
5214,E02005429,0.0028186658315064203,0.41778891324772943,0.05136235515189477,0.22674600689007204,0.3012840588787974,1
5215,E02005430,0.0012726694241170856,0.3744829780464524,0.02481705377028317,0.14699331848552338,0.4524339802736239,1
5216,E02005431,0.0017561465127947818,0.3946312092323131,0.04264927245358756,0.18564977420973408,0.3753135975915705,1
5217,E02005432,0.0011547344110854503,0.34584295612009236,0.01789838337182448,0.1351039260969977,0.5,1
5218,E02005433,0.004986799647990613,0.414197711938985,0.07802874743326489,0.2601936051628043,0.24259313581695513,1
5219,E02005434,0.001694915254237288,0.3550847457627119,0.0384180790960452,0.16016949152542373,0.44463276836158194,1
5220,E02005435,0.002197802197802198,0.382967032967033,0.05137362637362637,0.22747252747252747,0.335989010989011,1
5221,E02005436,0.0021804306350504225,0.37339874625238484,0.04006541291905151,0.1744344508040338,0.4099209593894794,1
5222,E02005437,0.01188858695652174,0.382133152173913,0.09646739130434782,0.21603260869565216,0.29347826086956524,1
5223,E02005438,0.005583126550868486,0.3529776674937965,0.0837468982630273,0.25,0.3076923076923077,1
5224,E02005439,0.0011883541295306002,0.3557140027728263,0.026737967914438502,0.14795008912655971,0.4684095860566449,1
5225,E02005440,0.002943650126156434,0.3814129520605551,0.059293523969722456,0.20521446593776282,0.3511354079058032,1
5226,E02005441,0.0026925148088314485,0.38314485729671516,0.029617662897145933,0.15751211631663975,0.42703284868066776,1
5227,E02005442,0.005438477226376614,0.35791978246091094,0.08701563562202583,0.22059823249490143,0.32902787219578516,1
5228,E02005443,0.0011830819284235432,0.336882579118604,0.038154392191659274,0.15882874889086068,0.4649511978704525,1
5229,E02005444,0.0012098167991704113,0.31800898721050813,0.019011406844106463,0.1076736951261666,0.5540960940200484,1
5230,E02005445,0.0050930460333006855,0.34573947110675807,0.061704211557296766,0.1841332027424094,0.40333006856023507,1
5231,E02005446,0.005872756933115824,0.34159869494290374,0.03784665579119086,0.1432300163132137,0.47145187601957583,1
5232,E02005447,0.001402524544179523,0.3859747545582048,0.04067321178120617,0.17223001402524543,0.3997194950911641,1
5233,E02005448,0.004107424960505529,0.33522906793048973,0.06003159557661927,0.19557661927330175,0.4050552922590837,1
5234,E02005449,0.0009101941747572816,0.33798543689320387,0.027912621359223302,0.13652912621359223,0.4966626213592233,1
5235,E02005450,0.0015793629902605948,0.34956567517767834,0.022111081863648328,0.12319031324032641,0.5035535667280864,1
5236,E02005451,0.005592841163310962,0.3422818791946309,0.08025727069351231,0.19742729306487697,0.3744407158836689,1
5237,E02005452,0.0008297033810412777,0.3522090852520224,0.02924704418170504,0.13109313420452187,0.4866210329807094,1
5238,E02005453,0.00042043304603741857,0.34181206642842127,0.01177212528904772,0.0929157031742695,0.5530796720622241,1
5239,E02005455,0.0,0.3048923025546836,0.011855067623977292,0.09534145934212723,0.5879111704792119,1
5240,E02005456,0.0008770006577504934,0.3275597456698093,0.02236351677263758,0.11510633632975224,0.5340934005700504,1
5241,E02005457,0.0007884362680683311,0.34586070959264126,0.02076215505913272,0.12431011826544021,0.5082785808147174,1
5242,E02005458,0.00033909799932180403,0.3306205493387589,0.011190233977619531,0.10478128179043744,0.5530688368938623,1
5243,E02005459,0.0013770311209033324,0.37675571467915175,0.03442577802258331,0.16166345359405124,0.4257780225833104,1
5244,E02005460,0.0,0.3296432964329643,0.012300123001230012,0.10824108241082411,0.5498154981549815,1
5245,E02005461,0.0,0.3539402173913043,0.025135869565217392,0.12567934782608695,0.4952445652173913,1
5246,E02005462,0.002201188641866608,0.3609949372661237,0.042923178516398854,0.1582654633502091,0.4356152322254017,1
