,GEOGRAPHY_CODE,10km to less than 20km,20km to less than 30km,2km to less than 5km,30km to less than 40km,40km to less than 60km,5km to less than 10km,60km and over,Less than 2km,Total: All usual residents aged 16 years and over in employment the week before the census,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
2372,E02002476,0.17933450087565675,0.06865148861646235,0.06549912434325744,0.012259194395796848,0.008756567425569177,0.251138353765324,0.013660245183887917,0.07985989492119089,1,0.163922942206655,0.15691768826619965
2373,E02002477,0.1731049562682216,0.0652332361516035,0.0608600583090379,0.009475218658892129,0.0047376093294460644,0.2715014577259475,0.009839650145772596,0.05393586005830904,1,0.17128279883381925,0.18002915451895043
2374,E02002478,0.21513157894736842,0.08026315789473684,0.1118421052631579,0.017434210526315788,0.007236842105263158,0.10230263157894737,0.012171052631578947,0.12401315789473684,1,0.15098684210526317,0.17861842105263157
2375,E02002479,0.22684255807284198,0.06854029251505592,0.10754229997132206,0.014338973329509607,0.005162030398623459,0.13794092342988243,0.014052193862919416,0.10725552050473186,1,0.15285345569257242,0.16547175222254087
2376,E02002480,0.20871751886001677,0.06035205364626991,0.12740989103101424,0.012573344509639563,0.006705783738474434,0.06496227996647108,0.012154233025984913,0.23889354568315171,1,0.1454316848281643,0.12279966471081308
2377,E02002481,0.20505373221028173,0.07319198373511472,0.0920708684286959,0.015103107754864944,0.00813244263723497,0.08510020331106594,0.011908219575951205,0.22974150450188788,1,0.13796108045309324,0.14173685739180947
2378,E02002482,0.21747700394218134,0.06603153745072274,0.20302233902759526,0.011826544021024968,0.00821287779237845,0.08837056504599211,0.012155059132720105,0.10019710906701708,1,0.16130091984231273,0.1314060446780552
2379,E02002483,0.18434394646116406,0.06976272561346583,0.19164469681606164,0.016021091056580814,0.010139931048468871,0.10444128979922937,0.025349827621172175,0.07239910768606773,1,0.1435814236463192,0.1823159602514703
2380,E02002484,0.17601760176017603,0.04977997799779978,0.20352035203520352,0.0165016501650165,0.007150715071507151,0.06930693069306931,0.020627062706270627,0.15264026402640263,1,0.16666666666666666,0.1377887788778878
2381,E02002485,0.15970098538905877,0.05164797825348284,0.1671763506625892,0.01291199456337071,0.0067957866123003734,0.0581039755351682,0.015970098538905877,0.25552157662249403,1,0.14033299354400272,0.13183826027862725
2382,E02002489,0.14337060702875398,0.043530351437699684,0.12899361022364217,0.01637380191693291,0.0115814696485623,0.044329073482428115,0.018769968051118212,0.2795527156549521,1,0.15415335463258786,0.15934504792332269
2383,E02002490,0.13154238073182029,0.035664659564613246,0.1602593793422881,0.012968967114404817,0.006947660954145438,0.05187586845761927,0.009726725335803613,0.270032422417786,1,0.18017600741083836,0.14080592867068087
2384,E02002491,0.13288758880066862,0.03343083994985374,0.2632678646050982,0.015043877977434183,0.011282908483075638,0.055996656916005014,0.01713330547430004,0.19431675720852487,1,0.15419974926870036,0.12244045131633932
2385,E02002492,0.11927582534611289,0.03585374511892084,0.230386936457224,0.011359602413915513,0.012424565140220093,0.08697195598154064,0.021299254526091587,0.17678381256656017,1,0.16258430954916578,0.14305999290024848
2386,E02002493,0.1420729738456571,0.04036164029706167,0.21989021633839198,0.01614465611882467,0.013238618017436228,0.1172102034226671,0.016790442363577657,0.0829835324507588,1,0.145947691314175,0.2053600258314498
2387,E02002494,0.10631970260223049,0.03271375464684015,0.31115241635687735,0.011895910780669145,0.007063197026022305,0.1204460966542751,0.01449814126394052,0.10297397769516729,1,0.18698884758364312,0.10594795539033457
2388,E02002496,0.06767131077622975,0.026442991185669604,0.18026727324424224,0.023315325561558145,0.013363662212112597,0.11543929485356838,0.02104065965311345,0.21836792721069093,1,0.18879727040090988,0.14529428490190505
2389,E02002497,0.05778648383937316,0.029382957884427033,0.26689520078354556,0.02889324191968658,0.012242899118511263,0.15426052889324193,0.016160626836434867,0.1694417238001959,1,0.16601371204701273,0.098922624877571
2390,E02002498,0.0649598777225831,0.02445548337791364,0.2399694306457776,0.050057317539166986,0.014138326327856323,0.09247229652273596,0.02254489873901414,0.20328620557890714,1,0.1815055406954528,0.10661062285059228
2391,E02002499,0.05124450951683748,0.023060029282576867,0.24560761346998536,0.013177159590043924,0.013177159590043924,0.1526354319180088,0.025256222547584188,0.25,1,0.15153733528550511,0.07430453879941434
2392,E02002500,0.057422373458102936,0.022543598468736707,0.2160782645682688,0.010633772862611655,0.013185878349638452,0.10250957039557634,0.01446193109315185,0.20714589536367503,1,0.15737983836665248,0.1986388770735857
2393,E02002501,0.048060708263069137,0.024873524451939293,0.18338954468802698,0.012647554806070826,0.00885328836424958,0.12099494097807757,0.010961214165261383,0.2790893760539629,1,0.16736930860033727,0.14376053962900506
2394,E02002502,0.05228165608945301,0.02780296161982472,0.2907222725899063,0.008159564823209429,0.010275007555152614,0.1885766092475068,0.02085222121486854,0.13720157147174372,1,0.16953762466001812,0.09459051072831672
2395,E02002503,0.05976243504083148,0.015961395694135114,0.3262806236080178,0.011135857461024499,0.010764662212323682,0.11544172234595397,0.019302152932442463,0.14216778025241278,1,0.15738678544914625,0.14179658500371195
2396,E02002504,0.05854579792256846,0.024315391879131256,0.2773843248347498,0.012039660056657223,0.009915014164305949,0.09891406987724269,0.017233238904627007,0.12983947119924458,1,0.1652502360717658,0.20656279508970726
2397,E02002505,0.04717813051146384,0.018518518518518517,0.27469135802469136,0.01146384479717813,0.01146384479717813,0.15696649029982362,0.017195767195767195,0.2019400352733686,1,0.16843033509700175,0.09215167548500881
2398,E02002506,0.03808033385498174,0.020865936358894107,0.2566510172143975,0.012519561815336464,0.008346374543557642,0.107981220657277,0.018779342723004695,0.2905581637976004,1,0.1476264997391758,0.09859154929577464
2399,E02002507,0.058803649881716796,0.026022304832713755,0.29334234538695503,0.013180128421764109,0.013518080432578574,0.1108482595471443,0.01723555255153768,0.09733017911456573,1,0.15174045285569449,0.2179790469753295
2400,E02002508,0.06464981351015334,0.01989225031081641,0.30418566100290095,0.01533360961458765,0.012432656444260257,0.13593037712391215,0.021964359718193122,0.0563613758806465,1,0.15706589307915458,0.21218400331537504
