,GEOGRAPHY_CODE,Not in employment: Never worked,Not in employment: Not worked in the last 12 months,Not in employment: Worked in the last 12 months,Total: All usual residents aged 16 years and over not in employment the week before the census
3303,E02003455,0.1859805510534846,0.6705834683954619,0.14343598055105347,2468.0
3304,E02003456,0.20750887874175544,0.6402841197361745,0.15220700152207,1971.0
3305,E02003457,0.1560460055952751,0.7267640658999067,0.11718992850481816,3217.0
3306,E02003458,0.175139146567718,0.7187384044526902,0.10612244897959183,2695.0
3307,E02003459,0.135498687664042,0.7444225721784777,0.12007874015748031,3048.0
3308,E02003460,0.16709365214916025,0.7025334471961286,0.13037290065471108,3513.0
3309,E02003461,0.14912621359223302,0.7332038834951456,0.11766990291262136,2575.0
3310,E02003462,0.16525988449577966,0.6979120390937361,0.13682807641048422,2251.0
3311,E02003463,0.21401752190237797,0.6537338339591156,0.13224864413850645,2397.0
3312,E02003464,0.2779510022271715,0.5585746102449889,0.16347438752783963,2245.0
3313,E02003465,0.15867992766726943,0.7047920433996383,0.13652802893309224,2212.0
3314,E02003466,0.26945812807881775,0.532512315270936,0.1980295566502463,2030.0
3315,E02003467,0.2480933153880664,0.5962314939434724,0.1556751906684612,2229.0
3316,E02003468,0.19723937522702506,0.6701779876498365,0.1325826371231384,2753.0
3317,E02003469,0.19072988811933936,0.6680873734683005,0.14118273841236015,1877.0
3318,E02003470,0.331537708129285,0.5176297747306562,0.15083251714005877,2042.0
3319,E02003471,0.25755462575546256,0.5783356578335658,0.16410971641097163,2151.0
3320,E02003472,0.3134876883498714,0.4494671076809996,0.237045203969129,2721.0
3321,E02003473,0.19635258358662613,0.6504559270516718,0.15319148936170213,1645.0
3322,E02003474,0.23410526315789473,0.5797894736842105,0.18610526315789475,2375.0
3323,E02003476,0.3480392156862745,0.4740896358543417,0.17787114845938376,2856.0
3324,E02003478,0.25749741468459153,0.5956566701137539,0.1468459152016546,1934.0
3325,E02003479,0.31937639198218265,0.49175946547884186,0.1888641425389755,2245.0
3326,E02003480,0.23323323323323322,0.5925925925925926,0.17417417417417416,1998.0
3327,E02003481,0.29802052785923755,0.5366568914956011,0.16532258064516128,2728.0
3328,E02003482,0.1502568493150685,0.696917808219178,0.1528253424657534,2336.0
3329,E02003483,0.28778467908902694,0.5118012422360249,0.20041407867494823,2415.0
3330,E02003484,0.2514395393474088,0.5969289827255279,0.15163147792706333,2084.0
3331,E02003485,0.23353293413173654,0.6351047904191617,0.13136227544910178,2672.0
3332,E02003486,0.2734548688305914,0.5411293908403735,0.18541574032903513,2249.0
3333,E02003487,0.20489891135303265,0.6691290824261276,0.12597200622083982,2572.0
3334,E02003488,0.2650909090909091,0.5952727272727273,0.13963636363636364,2750.0
3335,E02003489,0.1875256462864177,0.6750102585145671,0.13746409519901517,2437.0
3336,E02003490,0.3437602897596312,0.49654264076391175,0.15969706947645704,3037.0
3337,E02003491,0.2224465078724263,0.6439241017359709,0.13362939039160274,2477.0
3338,E02003492,0.3033338550633902,0.33651588668023164,0.36015025825637814,6389.0
3339,E02003493,0.20503597122302158,0.6784172661870503,0.11654676258992806,2780.0
3340,E02003494,0.1950405340963281,0.6719122556032427,0.13304721030042918,2097.0
3341,E02003495,0.21228794131132508,0.6584135717560752,0.12929848693259974,2181.0
3342,E02003496,0.25949367088607594,0.6311533052039381,0.10935302390998594,2844.0
3343,E02003497,0.2020366598778004,0.6680244399185336,0.129938900203666,2455.0
3344,E02003498,0.28981653815474606,0.5166179207657537,0.19356554107950014,3761.0
3345,E02003499,0.2987951807228916,0.4963855421686747,0.20481927710843373,3320.0
3346,E02003500,0.21876473361621876,0.5544554455445545,0.2267798208392268,2121.0
3347,E02003501,0.20621587568248634,0.6346073078538429,0.15917681646367074,2381.0
3348,E02003502,0.25433753943217663,0.6100157728706624,0.13564668769716087,2536.0
3349,E02003503,0.26823529411764707,0.598655462184874,0.13310924369747898,2975.0
3350,E02003504,0.2036734693877551,0.5608163265306122,0.23551020408163265,2450.0
3351,E02003505,0.19336521219366407,0.4665271966527197,0.3401075911536163,3346.0
3352,E02003506,0.24193548387096775,0.5591397849462365,0.1989247311827957,1674.0
3353,E02003507,0.21771428571428572,0.6705714285714286,0.11171428571428571,3500.0
3354,E02003508,0.19816573861775302,0.4854241729446446,0.3164100884376024,3053.0
3355,E02003509,0.21485943775100402,0.5891566265060241,0.19598393574297188,2490.0
3356,E02003510,0.20756972111553784,0.6195219123505976,0.17290836653386454,2510.0
3357,E02003511,0.23940149625935161,0.6093100581878637,0.1512884455527847,2406.0
3358,E02003512,0.1988046555520604,0.47530670022019506,0.32588864422774455,3179.0
3359,E02003513,0.24217745392198886,0.6219459922846121,0.13587655379339905,2333.0
3360,E02003514,0.1937261551504875,0.5739720220432386,0.23230182280627384,2359.0
3361,E02003515,0.3576285014957846,0.5284199075333152,0.11395159097090019,3677.0
3362,E02003516,0.19092542677448338,0.5754716981132075,0.23360287511230907,2226.0
3363,E02003517,0.28574950690335305,0.4588264299802761,0.25542406311637084,4056.0
3364,E02003518,0.21941594317284924,0.6341752170481453,0.1464088397790055,2534.0
3365,E02003519,0.20129310344827586,0.5344827586206896,0.2642241379310345,2320.0
3366,E02003520,0.2702256466703357,0.526967528893781,0.20280682443588333,3634.0
3367,E02003521,0.23278145695364238,0.595364238410596,0.1718543046357616,3020.0
3368,E02003522,0.2543765630582351,0.6027152554483745,0.1429081814933905,2799.0
3369,E02003523,0.15876042908224075,0.7380214541120381,0.1032181168057211,4195.0
3370,E02003524,0.32138815541305166,0.5579026782346285,0.12070916635231987,2651.0
3371,E02003525,0.32013358778625955,0.5553435114503816,0.12452290076335878,2096.0
3372,E02003526,0.17699115044247787,0.7248941900731051,0.09811465948441708,2599.0
3373,E02003527,0.18928392588883325,0.6870305458187281,0.12368552829243866,1997.0
3374,E02003529,0.20518358531317496,0.6591792656587473,0.13563714902807775,2315.0
3375,E02003530,0.24481152054214317,0.6349004659042778,0.12028801355357899,2361.0
3376,E02003531,0.2017167381974249,0.671244635193133,0.12703862660944207,2330.0
3377,E02003532,0.27770300583221175,0.566621803499327,0.1556751906684612,2229.0
3378,E02003533,0.2589686098654709,0.594170403587444,0.1468609865470852,1784.0
3379,E02003534,0.24904377390565235,0.5911602209944752,0.1597960050998725,2353.0
3380,E02003535,0.272,0.5524,0.1756,2500.0
3381,E02003536,0.3578534820621043,0.514018691588785,0.12812782634911063,3317.0
3382,E02003537,0.2263226649248857,0.6515349444807316,0.12214239059438275,3062.0
3383,E02003538,0.29713566257475604,0.5102297765187284,0.19263456090651557,3177.0
3384,E02003540,0.23001579778830963,0.6426540284360189,0.1273301737756714,3165.0
3385,E02003541,0.29022140221402215,0.4669741697416974,0.24280442804428043,5420.0
3386,E02003542,0.2113115891741846,0.5374739764052742,0.2512144344205413,2882.0
3387,E02003543,0.2124439461883408,0.4789798206278027,0.3085762331838565,3568.0
3388,E02003544,0.2287980475899939,0.6058572300183038,0.16534472239170225,1639.0
3389,E02003545,0.24862313139260425,0.5601888276947286,0.1911880409126672,2542.0
3390,E02003546,0.1801665404996215,0.6813020439061317,0.13853141559424678,2642.0
3391,E02003547,0.1977175463623395,0.6316690442225392,0.17061340941512126,3505.0
3392,E02003548,0.21393998063891578,0.5895450145208132,0.19651500484027107,2066.0
3393,E02003549,0.30952380952380953,0.40937803692905733,0.28109815354713313,4116.0
3394,E02003550,0.2472397476340694,0.6332807570977917,0.11947949526813881,2536.0
3395,E02003551,0.3501747696218621,0.438512869399428,0.2113123609787099,3147.0
3396,E02003552,0.2910516605166052,0.5894833948339483,0.1194649446494465,2168.0
3397,E02003553,0.3608024691358025,0.3966049382716049,0.24259259259259258,3240.0
3398,E02003554,0.21451392058420812,0.6613418530351438,0.1241442263806481,2191.0
3399,E02003555,0.28877630553390493,0.5818394388152767,0.1293842556508184,2566.0
3400,E02003556,0.19988207547169812,0.6739386792452831,0.12617924528301888,1696.0
3401,E02003557,0.2068630624797669,0.5250890255746197,0.26804791194561345,3089.0
3402,E02003558,0.30082085948816994,0.5596330275229358,0.13954611298889424,2071.0
3403,E02003559,0.2031114952463267,0.6646499567847882,0.13223854796888504,2314.0
3404,E02003560,0.29910524073285044,0.5773327652322113,0.12356199403493821,2347.0
3405,E02003561,0.31778589491430176,0.4391683057038494,0.24304579938184884,3559.0
3406,E02003562,0.2267313630348478,0.6228495809439788,0.15041905602117336,2267.0
3407,E02003563,0.2498928418345478,0.6116588084012001,0.13844834976425205,2333.0
3408,E02003564,0.2288072018004501,0.6451612903225806,0.12603150787696923,2666.0
3409,E02003565,0.2877824858757062,0.408545197740113,0.3036723163841808,2832.0
3410,E02003566,0.21966911764705882,0.6750919117647058,0.1052389705882353,2176.0
3411,E02003567,0.2952739439565036,0.5637808448347972,0.1409452112086993,2391.0
3412,E02003568,0.23640960809102401,0.5318162663295407,0.2317741255794353,2373.0
3413,E02003569,0.28679962013295346,0.5223171889838556,0.1908831908831909,2106.0
3414,E02003570,0.4313324238290132,0.33515234197362437,0.23351523419736245,4398.0
