,GEOGRAPHY_CODE,Has not previously served in any UK armed forces,Previously served in UK regular armed forces,Previously served in UK reserve armed forces,Previously served in both regular and reserve UK armed forces,Total: All usual residents aged 16 and over
139,E02000146,0.9758179231863442,0.01642312168627958,0.007371007371007371,0.000387947756368809,1
140,E02000147,0.975022844958879,0.017819067925677733,0.005787389582698751,0.0013706975327444412,1
141,E02000148,0.971518402071389,0.019974107638246717,0.007952653967079712,0.000554836323284631,1
142,E02000149,0.9730769230769231,0.018461538461538463,0.007076923076923077,0.0013846153846153845,1
143,E02000150,0.9789504891787726,0.014675363178179662,0.005336495701156241,0.0010376519418914913,1
144,E02000151,0.9731890091590342,0.018984179850124894,0.0069941715237302245,0.0008326394671107411,1
145,E02000152,0.9765166340508806,0.016470971950424004,0.005707762557077625,0.001304631441617743,1
146,E02000153,0.9747648902821316,0.01677115987460815,0.006739811912225706,0.0017241379310344827,1
147,E02000154,0.9747814873191002,0.018484023499068636,0.005301619143143717,0.001432870038687491,1
148,E02000155,0.9636637642330877,0.027461486939048894,0.007032819825853985,0.001841929002009377,1
149,E02000156,0.968132631787948,0.022336940335550483,0.008339124391938846,0.0011913034845626924,1
150,E02000157,0.9661871570517574,0.024618122497404717,0.008304908794305205,0.0008898116565327006,1
151,E02000158,0.9691478942213516,0.019915115899444988,0.008978126020241593,0.0019588638589618022,1
152,E02000159,0.9707027942421677,0.01981371718882303,0.00829805249788315,0.0011854360711261642,1
153,E02000160,0.9722987450260178,0.018365472910927456,0.008417508417508417,0.0009182736455463728,1
154,E02000161,0.9712344608268285,0.01821335646140503,0.008673026886383347,0.0018791558253830587,1
155,E02000162,0.9640759930915371,0.026252158894645942,0.008117443868739206,0.0015544041450777201,1
156,E02000163,0.9679263258177199,0.02048269291838679,0.00952683391552874,0.00206414734836456,1
157,E02000165,0.9640262884814943,0.02455897613282601,0.010031131096506399,0.0013836042891732965,1
158,E02000166,0.9831495098039216,0.011488970588235295,0.004901960784313725,0.00045955882352941176,1
159,E02000167,0.9838414126270199,0.010494752623688156,0.004997501249375313,0.0006663334999167084,1
160,E02000168,0.9871659368866073,0.007700437868035633,0.004982636267552468,0.00015098897780462027,1
161,E02000169,0.9878408893520931,0.008858780614903595,0.003126628452318916,0.00017370158068438424,1
162,E02000170,0.9902705989662511,0.005472788081483734,0.003952569169960474,0.0003040437823046519,1
163,E02000171,0.9859971028488653,0.00788668920006438,0.005472396587799775,0.0006438113632705617,1
164,E02000172,0.9887337741856478,0.006245407788390889,0.00440852314474651,0.0006122948812147931,1
165,E02000173,0.9888204795852236,0.006156837329876863,0.004860661049902786,0.00016202203499675956,1
166,E02000174,0.9914188489421512,0.005770084332001775,0.002663115845539281,0.00014795088030773783,1
167,E02000175,0.991751269035533,0.004314720812182741,0.003934010152284264,0.0,1
168,E02000176,0.9877238881062588,0.007043670758703964,0.004226202455222379,0.001006238679814852,1
169,E02000177,0.9892927585235277,0.007326007326007326,0.003240349394195548,0.00014088475626937165,1
170,E02000178,0.9931686810299527,0.0031529164477141357,0.003284287966368891,0.00039411455596426696,1
171,E02000179,0.989406779661017,0.007203389830508475,0.002754237288135593,0.000635593220338983,1
172,E02000180,0.9913972115099378,0.0051913378819341445,0.003263126668644319,0.0001483239394838327,1
173,E02000181,0.9890382928968138,0.005407775504238527,0.004969307220111079,0.0005846243788365975,1
174,E02000182,0.9910112359550561,0.005358686257562662,0.0032843560933448574,0.00034572169403630077,1
175,E02000183,0.9863481228668942,0.008687558175612783,0.004498914055228048,0.0004654049022649705,1
176,E02000184,0.9925132309281012,0.004259713437459661,0.002968891183684007,0.000258164450755131,1
177,E02000185,0.9906400550584996,0.005368203716448727,0.003991741225051617,0.0,1
178,E02000186,0.9900662251655629,0.006070640176600441,0.003679175864606328,0.0001839587932303164,1
179,E02000187,0.991610318056599,0.005634861006761833,0.002629601803155522,0.00012521913348359628,1
