,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEALTH_6_NAME,OBS_VALUE
339,2021,E02002542,2021 super output areas - middle layer,152,Fair health,1320
340,2021,E02002542,2021 super output areas - middle layer,152,Bad health,568
341,2021,E02002542,2021 super output areas - middle layer,152,Very bad health,203
342,2021,E02002543,2021 super output areas - middle layer,152,Total: All usual residents,9246
343,2021,E02002543,2021 super output areas - middle layer,152,Very good health,4223
344,2021,E02002543,2021 super output areas - middle layer,152,Good health,2885
345,2021,E02002543,2021 super output areas - middle layer,152,Fair health,1337
346,2021,E02002543,2021 super output areas - middle layer,152,Bad health,602
347,2021,E02002543,2021 super output areas - middle layer,152,Very bad health,199
348,2021,E02002544,2021 super output areas - middle layer,152,Total: All usual residents,8918
349,2021,E02002544,2021 super output areas - middle layer,152,Very good health,3394
350,2021,E02002544,2021 super output areas - middle layer,152,Good health,3155
351,2021,E02002544,2021 super output areas - middle layer,152,Fair health,1558
352,2021,E02002544,2021 super output areas - middle layer,152,Bad health,614
353,2021,E02002544,2021 super output areas - middle layer,152,Very bad health,197
354,2021,E02002545,2021 super output areas - middle layer,152,Total: All usual residents,5033
355,2021,E02002545,2021 super output areas - middle layer,152,Very good health,2208
356,2021,E02002545,2021 super output areas - middle layer,152,Good health,1796
357,2021,E02002545,2021 super output areas - middle layer,152,Fair health,755
358,2021,E02002545,2021 super output areas - middle layer,152,Bad health,214
359,2021,E02002545,2021 super output areas - middle layer,152,Very bad health,60
360,2021,E02002546,2021 super output areas - middle layer,152,Total: All usual residents,7453
361,2021,E02002546,2021 super output areas - middle layer,152,Very good health,3320
362,2021,E02002546,2021 super output areas - middle layer,152,Good health,2445
363,2021,E02002546,2021 super output areas - middle layer,152,Fair health,1071
364,2021,E02002546,2021 super output areas - middle layer,152,Bad health,446
365,2021,E02002546,2021 super output areas - middle layer,152,Very bad health,171
366,2021,E02002547,2021 super output areas - middle layer,152,Total: All usual residents,6089
367,2021,E02002547,2021 super output areas - middle layer,152,Very good health,2641
368,2021,E02002547,2021 super output areas - middle layer,152,Good health,2153
369,2021,E02002547,2021 super output areas - middle layer,152,Fair health,910
370,2021,E02002547,2021 super output areas - middle layer,152,Bad health,307
371,2021,E02002547,2021 super output areas - middle layer,152,Very bad health,78
372,2021,E02002549,2021 super output areas - middle layer,152,Total: All usual residents,7456
373,2021,E02002549,2021 super output areas - middle layer,152,Very good health,3299
374,2021,E02002549,2021 super output areas - middle layer,152,Good health,2629
375,2021,E02002549,2021 super output areas - middle layer,152,Fair health,1135
376,2021,E02002549,2021 super output areas - middle layer,152,Bad health,299
377,2021,E02002549,2021 super output areas - middle layer,152,Very bad health,94
378,2021,E02002550,2021 super output areas - middle layer,152,Total: All usual residents,6045
379,2021,E02002550,2021 super output areas - middle layer,152,Very good health,2823
380,2021,E02002550,2021 super output areas - middle layer,152,Good health,2009
381,2021,E02002550,2021 super output areas - middle layer,152,Fair health,867
382,2021,E02002550,2021 super output areas - middle layer,152,Bad health,263
383,2021,E02002550,2021 super output areas - middle layer,152,Very bad health,83
384,2021,E02002551,2021 super output areas - middle layer,152,Total: All usual residents,5365
385,2021,E02002551,2021 super output areas - middle layer,152,Very good health,2149
386,2021,E02002551,2021 super output areas - middle layer,152,Good health,1780
387,2021,E02002551,2021 super output areas - middle layer,152,Fair health,930
388,2021,E02002551,2021 super output areas - middle layer,152,Bad health,382
389,2021,E02002551,2021 super output areas - middle layer,152,Very bad health,124
390,2021,E02002552,2021 super output areas - middle layer,152,Total: All usual residents,7146
391,2021,E02002552,2021 super output areas - middle layer,152,Very good health,3288
392,2021,E02002552,2021 super output areas - middle layer,152,Good health,2393
393,2021,E02002552,2021 super output areas - middle layer,152,Fair health,992
394,2021,E02002552,2021 super output areas - middle layer,152,Bad health,374
395,2021,E02002552,2021 super output areas - middle layer,152,Very bad health,99
396,2021,E02002553,2021 super output areas - middle layer,152,Total: All usual residents,5798
397,2021,E02002553,2021 super output areas - middle layer,152,Very good health,2516
398,2021,E02002553,2021 super output areas - middle layer,152,Good health,1966
399,2021,E02002553,2021 super output areas - middle layer,152,Fair health,881
400,2021,E02002553,2021 super output areas - middle layer,152,Bad health,326
401,2021,E02002553,2021 super output areas - middle layer,152,Very bad health,109
402,2021,E02002554,2021 super output areas - middle layer,152,Total: All usual residents,5039
403,2021,E02002554,2021 super output areas - middle layer,152,Very good health,1881
404,2021,E02002554,2021 super output areas - middle layer,152,Good health,1731
405,2021,E02002554,2021 super output areas - middle layer,152,Fair health,924
406,2021,E02002554,2021 super output areas - middle layer,152,Bad health,383
407,2021,E02002554,2021 super output areas - middle layer,152,Very bad health,120
408,2021,E02002555,2021 super output areas - middle layer,152,Total: All usual residents,10309
409,2021,E02002555,2021 super output areas - middle layer,152,Very good health,5216
