,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
127,2021,W02000043,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4043
128,2021,W02000043,2021 super output areas - middle layer,152,Can understand spoken Welsh,1053
129,2021,W02000044,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5186
130,2021,W02000044,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4077
131,2021,W02000044,2021 super output areas - middle layer,152,Can understand spoken Welsh,1109
132,2021,W02000045,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9226
133,2021,W02000045,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,7838
134,2021,W02000045,2021 super output areas - middle layer,152,Can understand spoken Welsh,1388
135,2021,W02000047,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5340
136,2021,W02000047,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4495
137,2021,W02000047,2021 super output areas - middle layer,152,Can understand spoken Welsh,845
138,2021,W02000049,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6471
139,2021,W02000049,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4799
140,2021,W02000049,2021 super output areas - middle layer,152,Can understand spoken Welsh,1672
141,2021,W02000050,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6223
142,2021,W02000050,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4708
143,2021,W02000050,2021 super output areas - middle layer,152,Can understand spoken Welsh,1515
144,2021,W02000051,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5174
145,2021,W02000051,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3564
146,2021,W02000051,2021 super output areas - middle layer,152,Can understand spoken Welsh,1610
147,2021,W02000052,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,4834
148,2021,W02000052,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2948
149,2021,W02000052,2021 super output areas - middle layer,152,Can understand spoken Welsh,1886
150,2021,W02000053,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6180
151,2021,W02000053,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3043
152,2021,W02000053,2021 super output areas - middle layer,152,Can understand spoken Welsh,3137
153,2021,W02000054,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5983
154,2021,W02000054,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3751
155,2021,W02000054,2021 super output areas - middle layer,152,Can understand spoken Welsh,2232
156,2021,W02000055,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5524
157,2021,W02000055,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2946
158,2021,W02000055,2021 super output areas - middle layer,152,Can understand spoken Welsh,2578
