,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
139,2001,E02003509,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
140,2001,E02003510,2001 super output areas - middle layer,305,All household spaces - with residents,3790
141,2001,E02003510,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,183
142,2001,E02003510,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,48
143,2001,E02003510,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,140
144,2001,E02003510,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,339
145,2001,E02003510,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,550
146,2001,E02003510,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1815
147,2001,E02003510,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",1131
148,2001,E02003510,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",40
149,2001,E02003510,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,6
150,2001,E02003511,2001 super output areas - middle layer,305,All household spaces - with residents,3143
151,2001,E02003511,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,78
152,2001,E02003511,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,6
153,2001,E02003511,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,275
154,2001,E02003511,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1148
155,2001,E02003511,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,814
156,2001,E02003511,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",372
157,2001,E02003511,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",498
158,2001,E02003511,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",119
159,2001,E02003511,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
160,2001,E02003512,2001 super output areas - middle layer,305,All household spaces - with residents,3427
161,2001,E02003512,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,102
162,2001,E02003512,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,9
163,2001,E02003512,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,26
164,2001,E02003512,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,88
165,2001,E02003512,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,2157
166,2001,E02003512,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",519
167,2001,E02003512,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",694
168,2001,E02003512,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",54
169,2001,E02003512,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
170,2001,E02003513,2001 super output areas - middle layer,305,All household spaces - with residents,2661
171,2001,E02003513,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,77
172,2001,E02003513,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,35
173,2001,E02003513,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,339
174,2001,E02003513,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,670
175,2001,E02003513,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,179
176,2001,E02003513,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",861
177,2001,E02003513,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",659
178,2001,E02003513,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",64
179,2001,E02003513,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
180,2001,E02003514,2001 super output areas - middle layer,305,All household spaces - with residents,4546
181,2001,E02003514,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,204
182,2001,E02003514,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,29
183,2001,E02003514,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,40
184,2001,E02003514,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,128
185,2001,E02003514,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,524
186,2001,E02003514,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",899
187,2001,E02003514,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",3133
188,2001,E02003514,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",52
189,2001,E02003514,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
