,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_LARPUK11_NAME,OBS_VALUE
158,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple: Divorced,358
159,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple: Widowed,475
160,2001,E02005908,2001 super output areas - middle layer,305,All categories: Living arrangements,6709
161,2001,E02005908,2001 super output areas - middle layer,305,Living in a couple,4628
162,2001,E02005908,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4044
163,2001,E02005908,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,584
164,2001,E02005908,2001 super output areas - middle layer,305,Not living in a couple,2081
165,2001,E02005908,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1091
166,2001,E02005908,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,30
167,2001,E02005908,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),96
168,2001,E02005908,2001 super output areas - middle layer,305,Not living in a couple: Divorced,319
169,2001,E02005908,2001 super output areas - middle layer,305,Not living in a couple: Widowed,545
170,2001,E02005909,2001 super output areas - middle layer,305,All categories: Living arrangements,6216
171,2001,E02005909,2001 super output areas - middle layer,305,Living in a couple,3712
172,2001,E02005909,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2970
173,2001,E02005909,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,742
174,2001,E02005909,2001 super output areas - middle layer,305,Not living in a couple,2504
175,2001,E02005909,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1726
176,2001,E02005909,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,34
177,2001,E02005909,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),91
178,2001,E02005909,2001 super output areas - middle layer,305,Not living in a couple: Divorced,298
179,2001,E02005909,2001 super output areas - middle layer,305,Not living in a couple: Widowed,355
180,2001,E02005910,2001 super output areas - middle layer,305,All categories: Living arrangements,7135
181,2001,E02005910,2001 super output areas - middle layer,305,Living in a couple,3176
182,2001,E02005910,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2210
183,2001,E02005910,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,966
184,2001,E02005910,2001 super output areas - middle layer,305,Not living in a couple,3959
185,2001,E02005910,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),2918
186,2001,E02005910,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,73
187,2001,E02005910,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),135
188,2001,E02005910,2001 super output areas - middle layer,305,Not living in a couple: Divorced,407
189,2001,E02005910,2001 super output areas - middle layer,305,Not living in a couple: Widowed,426
190,2001,E02005911,2001 super output areas - middle layer,305,All categories: Living arrangements,5937
191,2001,E02005911,2001 super output areas - middle layer,305,Living in a couple,4108
192,2001,E02005911,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3434
193,2001,E02005911,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,674
194,2001,E02005911,2001 super output areas - middle layer,305,Not living in a couple,1829
195,2001,E02005911,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1105
196,2001,E02005911,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,31
197,2001,E02005911,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),97
198,2001,E02005911,2001 super output areas - middle layer,305,Not living in a couple: Divorced,298
199,2001,E02005911,2001 super output areas - middle layer,305,Not living in a couple: Widowed,298
200,2001,E02005912,2001 super output areas - middle layer,305,All categories: Living arrangements,6700
201,2001,E02005912,2001 super output areas - middle layer,305,Living in a couple,4432
202,2001,E02005912,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3870
203,2001,E02005912,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,562
204,2001,E02005912,2001 super output areas - middle layer,305,Not living in a couple,2268
205,2001,E02005912,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1306
206,2001,E02005912,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,44
207,2001,E02005912,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),102
208,2001,E02005912,2001 super output areas - middle layer,305,Not living in a couple: Divorced,338
209,2001,E02005912,2001 super output areas - middle layer,305,Not living in a couple: Widowed,478
210,2001,E02005913,2001 super output areas - middle layer,305,All categories: Living arrangements,5116
211,2001,E02005913,2001 super output areas - middle layer,305,Living in a couple,3412
212,2001,E02005913,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3092
213,2001,E02005913,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,320
214,2001,E02005913,2001 super output areas - middle layer,305,Not living in a couple,1704
215,2001,E02005913,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),885
216,2001,E02005913,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,41
217,2001,E02005913,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),65
218,2001,E02005913,2001 super output areas - middle layer,305,Not living in a couple: Divorced,187
219,2001,E02005913,2001 super output areas - middle layer,305,Not living in a couple: Widowed,526
220,2001,E02005914,2001 super output areas - middle layer,305,All categories: Living arrangements,5511
221,2001,E02005914,2001 super output areas - middle layer,305,Living in a couple,3656
222,2001,E02005914,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2992
223,2001,E02005914,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,664
224,2001,E02005914,2001 super output areas - middle layer,305,Not living in a couple,1855
225,2001,E02005914,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1058
226,2001,E02005914,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,34
227,2001,E02005914,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),99
228,2001,E02005914,2001 super output areas - middle layer,305,Not living in a couple: Divorced,338
229,2001,E02005914,2001 super output areas - middle layer,305,Not living in a couple: Widowed,326
230,2001,E02005915,2001 super output areas - middle layer,305,All categories: Living arrangements,4417
231,2001,E02005915,2001 super output areas - middle layer,305,Living in a couple,3090
232,2001,E02005915,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2744
233,2001,E02005915,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,346
234,2001,E02005915,2001 super output areas - middle layer,305,Not living in a couple,1327
235,2001,E02005915,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),752
236,2001,E02005915,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,20
237,2001,E02005915,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),77
238,2001,E02005915,2001 super output areas - middle layer,305,Not living in a couple: Divorced,195
239,2001,E02005915,2001 super output areas - middle layer,305,Not living in a couple: Widowed,283
240,2001,E02005916,2001 super output areas - middle layer,305,All categories: Living arrangements,5187
241,2001,E02005916,2001 super output areas - middle layer,305,Living in a couple,3314
242,2001,E02005916,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2796
243,2001,E02005916,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,518
244,2001,E02005916,2001 super output areas - middle layer,305,Not living in a couple,1873
245,2001,E02005916,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),987
246,2001,E02005916,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,28
247,2001,E02005916,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),69
248,2001,E02005916,2001 super output areas - middle layer,305,Not living in a couple: Divorced,322
249,2001,E02005916,2001 super output areas - middle layer,305,Not living in a couple: Widowed,467
250,2001,E02005917,2001 super output areas - middle layer,305,All categories: Living arrangements,4531
251,2001,E02005917,2001 super output areas - middle layer,305,Living in a couple,3441
252,2001,E02005917,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3209
253,2001,E02005917,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,232
254,2001,E02005917,2001 super output areas - middle layer,305,Not living in a couple,1090
255,2001,E02005917,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),608
256,2001,E02005917,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,15
257,2001,E02005917,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),51
258,2001,E02005917,2001 super output areas - middle layer,305,Not living in a couple: Divorced,118
259,2001,E02005917,2001 super output areas - middle layer,305,Not living in a couple: Widowed,298
260,2001,E02005918,2001 super output areas - middle layer,305,All categories: Living arrangements,4261
261,2001,E02005918,2001 super output areas - middle layer,305,Living in a couple,2916
262,2001,E02005918,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2580
263,2001,E02005918,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,336
264,2001,E02005918,2001 super output areas - middle layer,305,Not living in a couple,1345
265,2001,E02005918,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),723
266,2001,E02005918,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,20
267,2001,E02005918,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),51
268,2001,E02005918,2001 super output areas - middle layer,305,Not living in a couple: Divorced,211
269,2001,E02005918,2001 super output areas - middle layer,305,Not living in a couple: Widowed,340
270,2001,E02005919,2001 super output areas - middle layer,305,All categories: Living arrangements,4400
271,2001,E02005919,2001 super output areas - middle layer,305,Living in a couple,3000
272,2001,E02005919,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2604
273,2001,E02005919,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,396
274,2001,E02005919,2001 super output areas - middle layer,305,Not living in a couple,1400
275,2001,E02005919,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),786
276,2001,E02005919,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,29
