,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
283,2021,W01000074,2021 super output areas - lower layer,151,Cannot speak Welsh,803
284,2021,W01000074,2021 super output areas - lower layer,151,Can speak Welsh,967
285,2021,W01000101,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1329
286,2021,W01000101,2021 super output areas - lower layer,151,Cannot speak Welsh,338
287,2021,W01000101,2021 super output areas - lower layer,151,Can speak Welsh,991
288,2021,W01002003,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2337
289,2021,W01002003,2021 super output areas - lower layer,151,Cannot speak Welsh,1246
290,2021,W01002003,2021 super output areas - lower layer,151,Can speak Welsh,1091
291,2021,W01000080,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1424
292,2021,W01000080,2021 super output areas - lower layer,151,Cannot speak Welsh,645
293,2021,W01000080,2021 super output areas - lower layer,151,Can speak Welsh,779
294,2021,W01000084,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1046
295,2021,W01000084,2021 super output areas - lower layer,151,Cannot speak Welsh,398
296,2021,W01000084,2021 super output areas - lower layer,151,Can speak Welsh,648
297,2021,W01001932,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2694
298,2021,W01001932,2021 super output areas - lower layer,151,Cannot speak Welsh,651
299,2021,W01001932,2021 super output areas - lower layer,151,Can speak Welsh,2043
300,2021,W01000051,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1945
301,2021,W01000051,2021 super output areas - lower layer,151,Cannot speak Welsh,535
302,2021,W01000051,2021 super output areas - lower layer,151,Can speak Welsh,1410
303,2021,W01000060,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1227
304,2021,W01000060,2021 super output areas - lower layer,151,Cannot speak Welsh,626
305,2021,W01000060,2021 super output areas - lower layer,151,Can speak Welsh,601
306,2021,W01000082,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1067
307,2021,W01000082,2021 super output areas - lower layer,151,Cannot speak Welsh,375
308,2021,W01000082,2021 super output areas - lower layer,151,Can speak Welsh,692
309,2021,W01000083,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1320
310,2021,W01000083,2021 super output areas - lower layer,151,Cannot speak Welsh,256
311,2021,W01000083,2021 super output areas - lower layer,151,Can speak Welsh,1064
312,2021,W01000057,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1358
313,2021,W01000057,2021 super output areas - lower layer,151,Cannot speak Welsh,543
