,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
247,2021,W01000105,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,377
248,2021,W01000105,2021 super output areas - lower layer,151,Can understand spoken Welsh,1312
249,2021,W01000106,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1475
250,2021,W01000106,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,631
251,2021,W01000106,2021 super output areas - lower layer,151,Can understand spoken Welsh,844
252,2021,W01000107,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1167
253,2021,W01000107,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,367
254,2021,W01000107,2021 super output areas - lower layer,151,Can understand spoken Welsh,800
255,2021,W01000047,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1233
256,2021,W01000047,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,295
257,2021,W01000047,2021 super output areas - lower layer,151,Can understand spoken Welsh,938
258,2021,W01000061,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1697
259,2021,W01000061,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,611
260,2021,W01000061,2021 super output areas - lower layer,151,Can understand spoken Welsh,1086
261,2021,W01000078,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1517
262,2021,W01000078,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,452
263,2021,W01000078,2021 super output areas - lower layer,151,Can understand spoken Welsh,1065
264,2021,W01000089,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1869
265,2021,W01000089,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,430
266,2021,W01000089,2021 super output areas - lower layer,151,Can understand spoken Welsh,1439
267,2021,W01000070,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1263
268,2021,W01000070,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,336
269,2021,W01000070,2021 super output areas - lower layer,151,Can understand spoken Welsh,927
270,2021,W01000094,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1188
271,2021,W01000094,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,305
272,2021,W01000094,2021 super output areas - lower layer,151,Can understand spoken Welsh,883
273,2021,W01000095,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1261
274,2021,W01000095,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,316
275,2021,W01000095,2021 super output areas - lower layer,151,Can understand spoken Welsh,945
276,2021,W01000108,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2032
277,2021,W01000108,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,488
278,2021,W01000108,2021 super output areas - lower layer,151,Can understand spoken Welsh,1544
279,2021,W01000109,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1815
280,2021,W01000109,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,425
281,2021,W01000109,2021 super output areas - lower layer,151,Can understand spoken Welsh,1390
282,2021,W01000074,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1770
283,2021,W01000074,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,746
284,2021,W01000074,2021 super output areas - lower layer,151,Can understand spoken Welsh,1024
285,2021,W01000101,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1330
286,2021,W01000101,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,359
287,2021,W01000101,2021 super output areas - lower layer,151,Can understand spoken Welsh,971
288,2021,W01002003,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2337
289,2021,W01002003,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,1107
290,2021,W01002003,2021 super output areas - lower layer,151,Can understand spoken Welsh,1230
291,2021,W01000080,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1424
292,2021,W01000080,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,603
293,2021,W01000080,2021 super output areas - lower layer,151,Can understand spoken Welsh,821
294,2021,W01000084,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1047
295,2021,W01000084,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,359
296,2021,W01000084,2021 super output areas - lower layer,151,Can understand spoken Welsh,688
297,2021,W01001932,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2694
298,2021,W01001932,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,636
299,2021,W01001932,2021 super output areas - lower layer,151,Can understand spoken Welsh,2058
300,2021,W01000051,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1945
301,2021,W01000051,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,521
302,2021,W01000051,2021 super output areas - lower layer,151,Can understand spoken Welsh,1424
303,2021,W01000060,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1227
304,2021,W01000060,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,563
305,2021,W01000060,2021 super output areas - lower layer,151,Can understand spoken Welsh,664
306,2021,W01000082,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1067
