,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_STUDENT_3_NAME,OBS_VALUE
194,2021,E01010795,2021 super output areas - lower layer,151,Total,1843
195,2021,E01010795,2021 super output areas - lower layer,151,Student,395
196,2021,E01010795,2021 super output areas - lower layer,151,Not a student,1448
197,2021,E01010796,2021 super output areas - lower layer,151,Total,1599
198,2021,E01010796,2021 super output areas - lower layer,151,Student,350
199,2021,E01010796,2021 super output areas - lower layer,151,Not a student,1249
200,2021,E01010797,2021 super output areas - lower layer,151,Total,1337
201,2021,E01010797,2021 super output areas - lower layer,151,Student,223
202,2021,E01010797,2021 super output areas - lower layer,151,Not a student,1114
203,2021,E01010798,2021 super output areas - lower layer,151,Total,1432
204,2021,E01010798,2021 super output areas - lower layer,151,Student,277
205,2021,E01010798,2021 super output areas - lower layer,151,Not a student,1155
206,2021,E01010834,2021 super output areas - lower layer,151,Total,2780
207,2021,E01010834,2021 super output areas - lower layer,151,Student,1619
208,2021,E01010834,2021 super output areas - lower layer,151,Not a student,1161
209,2021,E01010836,2021 super output areas - lower layer,151,Total,1881
210,2021,E01010836,2021 super output areas - lower layer,151,Student,740
211,2021,E01010836,2021 super output areas - lower layer,151,Not a student,1141
212,2021,E01010837,2021 super output areas - lower layer,151,Total,1959
213,2021,E01010837,2021 super output areas - lower layer,151,Student,622
214,2021,E01010837,2021 super output areas - lower layer,151,Not a student,1337
215,2021,E01010838,2021 super output areas - lower layer,151,Total,1879
216,2021,E01010838,2021 super output areas - lower layer,151,Student,660
217,2021,E01010838,2021 super output areas - lower layer,151,Not a student,1219
218,2021,E01010839,2021 super output areas - lower layer,151,Total,1526
219,2021,E01010839,2021 super output areas - lower layer,151,Student,433
220,2021,E01010839,2021 super output areas - lower layer,151,Not a student,1093
221,2021,E01033900,2021 super output areas - lower layer,151,Total,1454
222,2021,E01033900,2021 super output areas - lower layer,151,Student,548
223,2021,E01033900,2021 super output areas - lower layer,151,Not a student,906
224,2021,E01033901,2021 super output areas - lower layer,151,Total,1517
225,2021,E01033901,2021 super output areas - lower layer,151,Student,486
226,2021,E01033901,2021 super output areas - lower layer,151,Not a student,1031
227,2021,E01010608,2021 super output areas - lower layer,151,Total,1620
228,2021,E01010608,2021 super output areas - lower layer,151,Student,545
229,2021,E01010608,2021 super output areas - lower layer,151,Not a student,1075
230,2021,E01010613,2021 super output areas - lower layer,151,Total,1513
231,2021,E01010613,2021 super output areas - lower layer,151,Student,353
232,2021,E01010613,2021 super output areas - lower layer,151,Not a student,1160
233,2021,E01010730,2021 super output areas - lower layer,151,Total,1193
234,2021,E01010730,2021 super output areas - lower layer,151,Student,209
235,2021,E01010730,2021 super output areas - lower layer,151,Not a student,984
236,2021,E01010734,2021 super output areas - lower layer,151,Total,1365
237,2021,E01010734,2021 super output areas - lower layer,151,Student,414
238,2021,E01010734,2021 super output areas - lower layer,151,Not a student,951
239,2021,E01010609,2021 super output areas - lower layer,151,Total,1480
240,2021,E01010609,2021 super output areas - lower layer,151,Student,338
241,2021,E01010609,2021 super output areas - lower layer,151,Not a student,1142
242,2021,E01010610,2021 super output areas - lower layer,151,Total,1867
243,2021,E01010610,2021 super output areas - lower layer,151,Student,494
244,2021,E01010610,2021 super output areas - lower layer,151,Not a student,1373
245,2021,E01010611,2021 super output areas - lower layer,151,Total,2010
246,2021,E01010611,2021 super output areas - lower layer,151,Student,495
247,2021,E01010611,2021 super output areas - lower layer,151,Not a student,1515
248,2021,E01010614,2021 super output areas - lower layer,151,Total,1605
249,2021,E01010614,2021 super output areas - lower layer,151,Student,536
250,2021,E01010614,2021 super output areas - lower layer,151,Not a student,1069
251,2021,E01010633,2021 super output areas - lower layer,151,Total,1406
252,2021,E01010633,2021 super output areas - lower layer,151,Student,257
253,2021,E01010633,2021 super output areas - lower layer,151,Not a student,1149
254,2021,E01010634,2021 super output areas - lower layer,151,Total,1483
255,2021,E01010634,2021 super output areas - lower layer,151,Student,235
256,2021,E01010634,2021 super output areas - lower layer,151,Not a student,1248
257,2021,E01010635,2021 super output areas - lower layer,151,Total,1357
258,2021,E01010635,2021 super output areas - lower layer,151,Student,277
259,2021,E01010635,2021 super output areas - lower layer,151,Not a student,1080
260,2021,E01010636,2021 super output areas - lower layer,151,Total,1642
261,2021,E01010636,2021 super output areas - lower layer,151,Student,265
262,2021,E01010636,2021 super output areas - lower layer,151,Not a student,1377
263,2021,E01010637,2021 super output areas - lower layer,151,Total,1968
264,2021,E01010637,2021 super output areas - lower layer,151,Student,892
265,2021,E01010637,2021 super output areas - lower layer,151,Not a student,1076
266,2021,E01010731,2021 super output areas - lower layer,151,Total,1481
267,2021,E01010731,2021 super output areas - lower layer,151,Student,488
268,2021,E01010731,2021 super output areas - lower layer,151,Not a student,993
269,2021,E01010732,2021 super output areas - lower layer,151,Total,1504
270,2021,E01010732,2021 super output areas - lower layer,151,Student,564
271,2021,E01010732,2021 super output areas - lower layer,151,Not a student,940
272,2021,E01010733,2021 super output areas - lower layer,151,Total,1571
273,2021,E01010733,2021 super output areas - lower layer,151,Student,428
274,2021,E01010733,2021 super output areas - lower layer,151,Not a student,1143
275,2021,E01010736,2021 super output areas - lower layer,151,Total,1794
276,2021,E01010736,2021 super output areas - lower layer,151,Student,656
277,2021,E01010736,2021 super output areas - lower layer,151,Not a student,1138
278,2021,E01010737,2021 super output areas - lower layer,151,Total,1485
279,2021,E01010737,2021 super output areas - lower layer,151,Student,417
280,2021,E01010737,2021 super output areas - lower layer,151,Not a student,1068
281,2021,E01010659,2021 super output areas - lower layer,151,Total,1781
282,2021,E01010659,2021 super output areas - lower layer,151,Student,598
283,2021,E01010659,2021 super output areas - lower layer,151,Not a student,1183
284,2021,E01010662,2021 super output areas - lower layer,151,Total,1373
285,2021,E01010662,2021 super output areas - lower layer,151,Student,386
286,2021,E01010662,2021 super output areas - lower layer,151,Not a student,987
287,2021,E01010664,2021 super output areas - lower layer,151,Total,1504
288,2021,E01010664,2021 super output areas - lower layer,151,Student,437
289,2021,E01010664,2021 super output areas - lower layer,151,Not a student,1067
290,2021,E01010761,2021 super output areas - lower layer,151,Total,1629
291,2021,E01010761,2021 super output areas - lower layer,151,Student,373
292,2021,E01010761,2021 super output areas - lower layer,151,Not a student,1256
293,2021,E01033695,2021 super output areas - lower layer,151,Total,2010
294,2021,E01033695,2021 super output areas - lower layer,151,Student,544
295,2021,E01033695,2021 super output areas - lower layer,151,Not a student,1466
296,2021,E01033696,2021 super output areas - lower layer,151,Total,1527
297,2021,E01033696,2021 super output areas - lower layer,151,Student,294
298,2021,E01033696,2021 super output areas - lower layer,151,Not a student,1233
299,2021,E01033697,2021 super output areas - lower layer,151,Total,2588
