,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
127,2021,E01033459,2021 super output areas - lower layer,151,Arrived 1981 to 1990,16
128,2021,E01033459,2021 super output areas - lower layer,151,Arrived 1991 to 2000,22
129,2021,E01033459,2021 super output areas - lower layer,151,Arrived 2001 to 2010,95
130,2021,E01033459,2021 super output areas - lower layer,151,Arrived 2011 to 2013,41
131,2021,E01033459,2021 super output areas - lower layer,151,Arrived 2014 to 2016,76
132,2021,E01033459,2021 super output areas - lower layer,151,Arrived 2017 to 2019,51
133,2021,E01033459,2021 super output areas - lower layer,151,Arrived 2020 to 2021,6
134,2021,E01021364,2021 super output areas - lower layer,151,Total: All usual residents,1685
135,2021,E01021364,2021 super output areas - lower layer,151,Born in the UK,1537
136,2021,E01021364,2021 super output areas - lower layer,151,Arrived before 1951,6
137,2021,E01021364,2021 super output areas - lower layer,151,Arrived 1951 to 1960,5
138,2021,E01021364,2021 super output areas - lower layer,151,Arrived 1961 to 1970,8
139,2021,E01021364,2021 super output areas - lower layer,151,Arrived 1971 to 1980,10
140,2021,E01021364,2021 super output areas - lower layer,151,Arrived 1981 to 1990,8
141,2021,E01021364,2021 super output areas - lower layer,151,Arrived 1991 to 2000,18
142,2021,E01021364,2021 super output areas - lower layer,151,Arrived 2001 to 2010,49
143,2021,E01021364,2021 super output areas - lower layer,151,Arrived 2011 to 2013,10
144,2021,E01021364,2021 super output areas - lower layer,151,Arrived 2014 to 2016,17
145,2021,E01021364,2021 super output areas - lower layer,151,Arrived 2017 to 2019,16
146,2021,E01021364,2021 super output areas - lower layer,151,Arrived 2020 to 2021,1
147,2021,E01021366,2021 super output areas - lower layer,151,Total: All usual residents,1640
148,2021,E01021366,2021 super output areas - lower layer,151,Born in the UK,1499
149,2021,E01021366,2021 super output areas - lower layer,151,Arrived before 1951,5
150,2021,E01021366,2021 super output areas - lower layer,151,Arrived 1951 to 1960,7
151,2021,E01021366,2021 super output areas - lower layer,151,Arrived 1961 to 1970,14
152,2021,E01021366,2021 super output areas - lower layer,151,Arrived 1971 to 1980,16
153,2021,E01021366,2021 super output areas - lower layer,151,Arrived 1981 to 1990,11
154,2021,E01021366,2021 super output areas - lower layer,151,Arrived 1991 to 2000,16
155,2021,E01021366,2021 super output areas - lower layer,151,Arrived 2001 to 2010,46
156,2021,E01021366,2021 super output areas - lower layer,151,Arrived 2011 to 2013,9
157,2021,E01021366,2021 super output areas - lower layer,151,Arrived 2014 to 2016,8
158,2021,E01021366,2021 super output areas - lower layer,151,Arrived 2017 to 2019,5
159,2021,E01021366,2021 super output areas - lower layer,151,Arrived 2020 to 2021,4
160,2021,E01021383,2021 super output areas - lower layer,151,Total: All usual residents,2262
161,2021,E01021383,2021 super output areas - lower layer,151,Born in the UK,2089
162,2021,E01021383,2021 super output areas - lower layer,151,Arrived before 1951,3
163,2021,E01021383,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
164,2021,E01021383,2021 super output areas - lower layer,151,Arrived 1961 to 1970,13
165,2021,E01021383,2021 super output areas - lower layer,151,Arrived 1971 to 1980,12
166,2021,E01021383,2021 super output areas - lower layer,151,Arrived 1981 to 1990,16
167,2021,E01021383,2021 super output areas - lower layer,151,Arrived 1991 to 2000,28
168,2021,E01021383,2021 super output areas - lower layer,151,Arrived 2001 to 2010,37
169,2021,E01021383,2021 super output areas - lower layer,151,Arrived 2011 to 2013,17
170,2021,E01021383,2021 super output areas - lower layer,151,Arrived 2014 to 2016,17
171,2021,E01021383,2021 super output areas - lower layer,151,Arrived 2017 to 2019,19
172,2021,E01021383,2021 super output areas - lower layer,151,Arrived 2020 to 2021,5
173,2021,E01021405,2021 super output areas - lower layer,151,Total: All usual residents,2358
174,2021,E01021405,2021 super output areas - lower layer,151,Born in the UK,2230
175,2021,E01021405,2021 super output areas - lower layer,151,Arrived before 1951,2
176,2021,E01021405,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
177,2021,E01021405,2021 super output areas - lower layer,151,Arrived 1961 to 1970,16
178,2021,E01021405,2021 super output areas - lower layer,151,Arrived 1971 to 1980,12
179,2021,E01021405,2021 super output areas - lower layer,151,Arrived 1981 to 1990,14
180,2021,E01021405,2021 super output areas - lower layer,151,Arrived 1991 to 2000,22
181,2021,E01021405,2021 super output areas - lower layer,151,Arrived 2001 to 2010,34
182,2021,E01021405,2021 super output areas - lower layer,151,Arrived 2011 to 2013,7
183,2021,E01021405,2021 super output areas - lower layer,151,Arrived 2014 to 2016,3
184,2021,E01021405,2021 super output areas - lower layer,151,Arrived 2017 to 2019,8
