,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
161,2021,E01021544,2021 super output areas - lower layer,151,British only identity,701
162,2021,E01021544,2021 super output areas - lower layer,151,English only identity,219
163,2021,E01021544,2021 super output areas - lower layer,151,English and British only identity,229
164,2021,E01021544,2021 super output areas - lower layer,151,Welsh only identity,4
165,2021,E01021544,2021 super output areas - lower layer,151,Welsh and British only identity,0
166,2021,E01021544,2021 super output areas - lower layer,151,Any other combination of only UK identities,9
167,2021,E01021544,2021 super output areas - lower layer,151,Scottish only identity,3
168,2021,E01021544,2021 super output areas - lower layer,151,Scottish and British only identity,0
169,2021,E01021544,2021 super output areas - lower layer,151,Northern Irish only identity,1
170,2021,E01021544,2021 super output areas - lower layer,151,Northern Irish and British only identity,2
171,2021,E01021544,2021 super output areas - lower layer,151,Cornish only identity,0
172,2021,E01021544,2021 super output areas - lower layer,151,Cornish and British only identity,0
173,2021,E01021544,2021 super output areas - lower layer,151,Any other combination of only UK identities ,3
174,2021,E01021544,2021 super output areas - lower layer,151,Irish only identity,7
175,2021,E01021544,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
176,2021,E01021544,2021 super output areas - lower layer,151,Other identity only,75
177,2021,E01021544,2021 super output areas - lower layer,151,Other identity and at least one UK identity,19
178,2021,E01021544,2021 super output areas - lower layer,151,Non-UK identity only,82
179,2021,E01021544,2021 super output areas - lower layer,151,UK identity and non-UK identity,19
180,2021,E01021545,2021 super output areas - lower layer,151,Total: All usual residents,1567
181,2021,E01021545,2021 super output areas - lower layer,151,British only identity,882
182,2021,E01021545,2021 super output areas - lower layer,151,English only identity,280
183,2021,E01021545,2021 super output areas - lower layer,151,English and British only identity,262
184,2021,E01021545,2021 super output areas - lower layer,151,Welsh only identity,4
185,2021,E01021545,2021 super output areas - lower layer,151,Welsh and British only identity,0
186,2021,E01021545,2021 super output areas - lower layer,151,Any other combination of only UK identities,15
187,2021,E01021545,2021 super output areas - lower layer,151,Scottish only identity,4
188,2021,E01021545,2021 super output areas - lower layer,151,Scottish and British only identity,2
189,2021,E01021545,2021 super output areas - lower layer,151,Northern Irish only identity,1
190,2021,E01021545,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
191,2021,E01021545,2021 super output areas - lower layer,151,Cornish only identity,0
192,2021,E01021545,2021 super output areas - lower layer,151,Cornish and British only identity,0
193,2021,E01021545,2021 super output areas - lower layer,151,Any other combination of only UK identities ,8
194,2021,E01021545,2021 super output areas - lower layer,151,Irish only identity,21
195,2021,E01021545,2021 super output areas - lower layer,151,Irish and at least one UK identity,2
196,2021,E01021545,2021 super output areas - lower layer,151,Other identity only,84
197,2021,E01021545,2021 super output areas - lower layer,151,Other identity and at least one UK identity,17
198,2021,E01021545,2021 super output areas - lower layer,151,Non-UK identity only,105
199,2021,E01021545,2021 super output areas - lower layer,151,UK identity and non-UK identity,19
200,2021,E01021546,2021 super output areas - lower layer,151,Total: All usual residents,1403
201,2021,E01021546,2021 super output areas - lower layer,151,British only identity,769
202,2021,E01021546,2021 super output areas - lower layer,151,English only identity,295
203,2021,E01021546,2021 super output areas - lower layer,151,English and British only identity,205
204,2021,E01021546,2021 super output areas - lower layer,151,Welsh only identity,2
205,2021,E01021546,2021 super output areas - lower layer,151,Welsh and British only identity,2
206,2021,E01021546,2021 super output areas - lower layer,151,Any other combination of only UK identities,13
207,2021,E01021546,2021 super output areas - lower layer,151,Scottish only identity,6
208,2021,E01021546,2021 super output areas - lower layer,151,Scottish and British only identity,3
209,2021,E01021546,2021 super output areas - lower layer,151,Northern Irish only identity,0
210,2021,E01021546,2021 super output areas - lower layer,151,Northern Irish and British only identity,1
211,2021,E01021546,2021 super output areas - lower layer,151,Cornish only identity,0
212,2021,E01021546,2021 super output areas - lower layer,151,Cornish and British only identity,0
213,2021,E01021546,2021 super output areas - lower layer,151,Any other combination of only UK identities ,3
214,2021,E01021546,2021 super output areas - lower layer,151,Irish only identity,5
215,2021,E01021546,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
216,2021,E01021546,2021 super output areas - lower layer,151,Other identity only,76
217,2021,E01021546,2021 super output areas - lower layer,151,Other identity and at least one UK identity,36
218,2021,E01021546,2021 super output areas - lower layer,151,Non-UK identity only,81
219,2021,E01021546,2021 super output areas - lower layer,151,UK identity and non-UK identity,36
220,2021,E01021547,2021 super output areas - lower layer,151,Total: All usual residents,1461
221,2021,E01021547,2021 super output areas - lower layer,151,British only identity,813
222,2021,E01021547,2021 super output areas - lower layer,151,English only identity,237
223,2021,E01021547,2021 super output areas - lower layer,151,English and British only identity,257
224,2021,E01021547,2021 super output areas - lower layer,151,Welsh only identity,0
225,2021,E01021547,2021 super output areas - lower layer,151,Welsh and British only identity,0
226,2021,E01021547,2021 super output areas - lower layer,151,Any other combination of only UK identities,21
227,2021,E01021547,2021 super output areas - lower layer,151,Scottish only identity,6
228,2021,E01021547,2021 super output areas - lower layer,151,Scottish and British only identity,5
229,2021,E01021547,2021 super output areas - lower layer,151,Northern Irish only identity,7
230,2021,E01021547,2021 super output areas - lower layer,151,Northern Irish and British only identity,2
231,2021,E01021547,2021 super output areas - lower layer,151,Cornish only identity,0
232,2021,E01021547,2021 super output areas - lower layer,151,Cornish and British only identity,0
233,2021,E01021547,2021 super output areas - lower layer,151,Any other combination of only UK identities ,1
234,2021,E01021547,2021 super output areas - lower layer,151,Irish only identity,12
235,2021,E01021547,2021 super output areas - lower layer,151,Irish and at least one UK identity,4
236,2021,E01021547,2021 super output areas - lower layer,151,Other identity only,93
237,2021,E01021547,2021 super output areas - lower layer,151,Other identity and at least one UK identity,24
238,2021,E01021547,2021 super output areas - lower layer,151,Non-UK identity only,105
239,2021,E01021547,2021 super output areas - lower layer,151,UK identity and non-UK identity,28
240,2021,E01021628,2021 super output areas - lower layer,151,Total: All usual residents,1838
241,2021,E01021628,2021 super output areas - lower layer,151,British only identity,987
242,2021,E01021628,2021 super output areas - lower layer,151,English only identity,323
243,2021,E01021628,2021 super output areas - lower layer,151,English and British only identity,328
244,2021,E01021628,2021 super output areas - lower layer,151,Welsh only identity,4
245,2021,E01021628,2021 super output areas - lower layer,151,Welsh and British only identity,1
246,2021,E01021628,2021 super output areas - lower layer,151,Any other combination of only UK identities,11
247,2021,E01021628,2021 super output areas - lower layer,151,Scottish only identity,6
248,2021,E01021628,2021 super output areas - lower layer,151,Scottish and British only identity,2
249,2021,E01021628,2021 super output areas - lower layer,151,Northern Irish only identity,0
250,2021,E01021628,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
251,2021,E01021628,2021 super output areas - lower layer,151,Cornish only identity,0
252,2021,E01021628,2021 super output areas - lower layer,151,Cornish and British only identity,0
253,2021,E01021628,2021 super output areas - lower layer,151,Any other combination of only UK identities ,3
254,2021,E01021628,2021 super output areas - lower layer,151,Irish only identity,17
255,2021,E01021628,2021 super output areas - lower layer,151,Irish and at least one UK identity,9
256,2021,E01021628,2021 super output areas - lower layer,151,Other identity only,117
257,2021,E01021628,2021 super output areas - lower layer,151,Other identity and at least one UK identity,41
258,2021,E01021628,2021 super output areas - lower layer,151,Non-UK identity only,134
259,2021,E01021628,2021 super output areas - lower layer,151,UK identity and non-UK identity,50
260,2021,E01021629,2021 super output areas - lower layer,151,Total: All usual residents,1813
261,2021,E01021629,2021 super output areas - lower layer,151,British only identity,967
262,2021,E01021629,2021 super output areas - lower layer,151,English only identity,272
263,2021,E01021629,2021 super output areas - lower layer,151,English and British only identity,313
264,2021,E01021629,2021 super output areas - lower layer,151,Welsh only identity,2
265,2021,E01021629,2021 super output areas - lower layer,151,Welsh and British only identity,0
266,2021,E01021629,2021 super output areas - lower layer,151,Any other combination of only UK identities,14
267,2021,E01021629,2021 super output areas - lower layer,151,Scottish only identity,5
268,2021,E01021629,2021 super output areas - lower layer,151,Scottish and British only identity,6
269,2021,E01021629,2021 super output areas - lower layer,151,Northern Irish only identity,3
270,2021,E01021629,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
271,2021,E01021629,2021 super output areas - lower layer,151,Cornish only identity,0
272,2021,E01021629,2021 super output areas - lower layer,151,Cornish and British only identity,0
273,2021,E01021629,2021 super output areas - lower layer,151,Any other combination of only UK identities ,0
274,2021,E01021629,2021 super output areas - lower layer,151,Irish only identity,5
275,2021,E01021629,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
276,2021,E01021629,2021 super output areas - lower layer,151,Other identity only,193
277,2021,E01021629,2021 super output areas - lower layer,151,Other identity and at least one UK identity,47
278,2021,E01021629,2021 super output areas - lower layer,151,Non-UK identity only,198
279,2021,E01021629,2021 super output areas - lower layer,151,UK identity and non-UK identity,47
280,2021,E01021573,2021 super output areas - lower layer,151,Total: All usual residents,1779
281,2021,E01021573,2021 super output areas - lower layer,151,British only identity,1067
282,2021,E01021573,2021 super output areas - lower layer,151,English only identity,242
283,2021,E01021573,2021 super output areas - lower layer,151,English and British only identity,252
284,2021,E01021573,2021 super output areas - lower layer,151,Welsh only identity,4
285,2021,E01021573,2021 super output areas - lower layer,151,Welsh and British only identity,4
286,2021,E01021573,2021 super output areas - lower layer,151,Any other combination of only UK identities,16
287,2021,E01021573,2021 super output areas - lower layer,151,Scottish only identity,4
288,2021,E01021573,2021 super output areas - lower layer,151,Scottish and British only identity,2
289,2021,E01021573,2021 super output areas - lower layer,151,Northern Irish only identity,1
290,2021,E01021573,2021 super output areas - lower layer,151,Northern Irish and British only identity,2
291,2021,E01021573,2021 super output areas - lower layer,151,Cornish only identity,0
292,2021,E01021573,2021 super output areas - lower layer,151,Cornish and British only identity,0
293,2021,E01021573,2021 super output areas - lower layer,151,Any other combination of only UK identities ,7
294,2021,E01021573,2021 super output areas - lower layer,151,Irish only identity,10
295,2021,E01021573,2021 super output areas - lower layer,151,Irish and at least one UK identity,5
296,2021,E01021573,2021 super output areas - lower layer,151,Other identity only,120
297,2021,E01021573,2021 super output areas - lower layer,151,Other identity and at least one UK identity,59
298,2021,E01021573,2021 super output areas - lower layer,151,Non-UK identity only,130
299,2021,E01021573,2021 super output areas - lower layer,151,UK identity and non-UK identity,64
300,2021,E01021575,2021 super output areas - lower layer,151,Total: All usual residents,1701
301,2021,E01021575,2021 super output areas - lower layer,151,British only identity,974
302,2021,E01021575,2021 super output areas - lower layer,151,English only identity,249
303,2021,E01021575,2021 super output areas - lower layer,151,English and British only identity,209
304,2021,E01021575,2021 super output areas - lower layer,151,Welsh only identity,1
305,2021,E01021575,2021 super output areas - lower layer,151,Welsh and British only identity,0
306,2021,E01021575,2021 super output areas - lower layer,151,Any other combination of only UK identities,13
307,2021,E01021575,2021 super output areas - lower layer,151,Scottish only identity,5
308,2021,E01021575,2021 super output areas - lower layer,151,Scottish and British only identity,1
309,2021,E01021575,2021 super output areas - lower layer,151,Northern Irish only identity,4
310,2021,E01021575,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
311,2021,E01021575,2021 super output areas - lower layer,151,Cornish only identity,0
312,2021,E01021575,2021 super output areas - lower layer,151,Cornish and British only identity,0
313,2021,E01021575,2021 super output areas - lower layer,151,Any other combination of only UK identities ,3
314,2021,E01021575,2021 super output areas - lower layer,151,Irish only identity,13
315,2021,E01021575,2021 super output areas - lower layer,151,Irish and at least one UK identity,1
316,2021,E01021575,2021 super output areas - lower layer,151,Other identity only,202
317,2021,E01021575,2021 super output areas - lower layer,151,Other identity and at least one UK identity,39
318,2021,E01021575,2021 super output areas - lower layer,151,Non-UK identity only,215
319,2021,E01021575,2021 super output areas - lower layer,151,UK identity and non-UK identity,40
320,2021,E01021599,2021 super output areas - lower layer,151,Total: All usual residents,1834
321,2021,E01021599,2021 super output areas - lower layer,151,British only identity,1060
322,2021,E01021599,2021 super output areas - lower layer,151,English only identity,292
323,2021,E01021599,2021 super output areas - lower layer,151,English and British only identity,245
324,2021,E01021599,2021 super output areas - lower layer,151,Welsh only identity,10
325,2021,E01021599,2021 super output areas - lower layer,151,Welsh and British only identity,4
326,2021,E01021599,2021 super output areas - lower layer,151,Any other combination of only UK identities,15
327,2021,E01021599,2021 super output areas - lower layer,151,Scottish only identity,6
328,2021,E01021599,2021 super output areas - lower layer,151,Scottish and British only identity,5
329,2021,E01021599,2021 super output areas - lower layer,151,Northern Irish only identity,2
330,2021,E01021599,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
331,2021,E01021599,2021 super output areas - lower layer,151,Cornish only identity,0
332,2021,E01021599,2021 super output areas - lower layer,151,Cornish and British only identity,0
333,2021,E01021599,2021 super output areas - lower layer,151,Any other combination of only UK identities ,2
334,2021,E01021599,2021 super output areas - lower layer,151,Irish only identity,16
335,2021,E01021599,2021 super output areas - lower layer,151,Irish and at least one UK identity,2
336,2021,E01021599,2021 super output areas - lower layer,151,Other identity only,124
337,2021,E01021599,2021 super output areas - lower layer,151,Other identity and at least one UK identity,66
338,2021,E01021599,2021 super output areas - lower layer,151,Non-UK identity only,140
339,2021,E01021599,2021 super output areas - lower layer,151,UK identity and non-UK identity,68
340,2021,E01021631,2021 super output areas - lower layer,151,Total: All usual residents,1921
341,2021,E01021631,2021 super output areas - lower layer,151,British only identity,1071
342,2021,E01021631,2021 super output areas - lower layer,151,English only identity,299
343,2021,E01021631,2021 super output areas - lower layer,151,English and British only identity,300
344,2021,E01021631,2021 super output areas - lower layer,151,Welsh only identity,1
345,2021,E01021631,2021 super output areas - lower layer,151,Welsh and British only identity,3
346,2021,E01021631,2021 super output areas - lower layer,151,Any other combination of only UK identities,13
347,2021,E01021631,2021 super output areas - lower layer,151,Scottish only identity,4
348,2021,E01021631,2021 super output areas - lower layer,151,Scottish and British only identity,1
349,2021,E01021631,2021 super output areas - lower layer,151,Northern Irish only identity,2
350,2021,E01021631,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
351,2021,E01021631,2021 super output areas - lower layer,151,Cornish only identity,0
352,2021,E01021631,2021 super output areas - lower layer,151,Cornish and British only identity,0
353,2021,E01021631,2021 super output areas - lower layer,151,Any other combination of only UK identities ,6
354,2021,E01021631,2021 super output areas - lower layer,151,Irish only identity,3
355,2021,E01021631,2021 super output areas - lower layer,151,Irish and at least one UK identity,6
356,2021,E01021631,2021 super output areas - lower layer,151,Other identity only,194
357,2021,E01021631,2021 super output areas - lower layer,151,Other identity and at least one UK identity,31
358,2021,E01021631,2021 super output areas - lower layer,151,Non-UK identity only,197
359,2021,E01021631,2021 super output areas - lower layer,151,UK identity and non-UK identity,37
360,2021,E01033138,2021 super output areas - lower layer,151,Total: All usual residents,1473
361,2021,E01033138,2021 super output areas - lower layer,151,British only identity,831
362,2021,E01033138,2021 super output areas - lower layer,151,English only identity,246
363,2021,E01033138,2021 super output areas - lower layer,151,English and British only identity,200
364,2021,E01033138,2021 super output areas - lower layer,151,Welsh only identity,3
365,2021,E01033138,2021 super output areas - lower layer,151,Welsh and British only identity,2
366,2021,E01033138,2021 super output areas - lower layer,151,Any other combination of only UK identities,14
367,2021,E01033138,2021 super output areas - lower layer,151,Scottish only identity,6
368,2021,E01033138,2021 super output areas - lower layer,151,Scottish and British only identity,6
369,2021,E01033138,2021 super output areas - lower layer,151,Northern Irish only identity,1
370,2021,E01033138,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
371,2021,E01033138,2021 super output areas - lower layer,151,Cornish only identity,0
372,2021,E01033138,2021 super output areas - lower layer,151,Cornish and British only identity,0
373,2021,E01033138,2021 super output areas - lower layer,151,Any other combination of only UK identities ,1
374,2021,E01033138,2021 super output areas - lower layer,151,Irish only identity,1
375,2021,E01033138,2021 super output areas - lower layer,151,Irish and at least one UK identity,0
